"","condition","id","delete","description","set_size","enrichment_score","nes","pvalue","p_adjust","qvalue","rank","leading_edge","core_enrichment","gsea_enrichment"
"75","ZF2001 (V3, D07)","MONOCYTES","MONOCYTES...75","MONOCYTES",9,-0.581284852830925,-1.74473501322511,0.0204841468873003,0.0716945141055512,0.0539056497034219,236,"tags=56%, list=5%, signal=53%","LGALS3/CSF1/CCL4/CCL3/CCL20","ImmuneGO"
"76","ZF2001 (V3, D07)","NEUTROPHIL","NEUTROPHIL...76","NEUTROPHIL",26,-0.397659948624815,-1.57890358131718,0.152166017386326,0.235372953056585,0.176972145155327,241,"tags=38%, list=5%, signal=37%","CXCL5/LGALS3/CSF1/CCL4/PDE4B/CXCL3/CXCL8/CCL3/CXCL2/CCL20","ImmuneGO"
"77","ZF2001 (V3, D07)","HUMORAL ADAPTIVE IMMUNE SYSTEM","HUMORAL ADAPTIVE IMMUNE SYSTEM...77","HUMORAL ADAPTIVE IMMUNE SYSTEM",21,-0.379927308433351,-1.45113590348011,0.168123537897561,0.235372953056585,0.176972145155327,543,"tags=43%, list=11%, signal=38%","NFKB2/GATA3/SPI1/SHLD3/IRF2BP2/GPR183/BCL6/BCL3/PTX3","ImmuneGO"
"78","ZF2001 (V3, D07)","EOSINOPHIL","EOSINOPHIL...78","EOSINOPHIL",6,-0.486360870642942,-1.29258825121495,0.126562754499437,0.235372953056585,0.176972145155327,236,"tags=50%, list=5%, signal=48%","LGALS3/CCL4/CCL3","ImmuneGO"
"79","ZF2001 (V3, D14)","NEUTROPHIL","NEUTROPHIL...79","NEUTROPHIL",4,-0.810187627081461,-1.73936006656558,0.0626088367500887,0.156522091875222,0.131808077368608,17,"tags=75%, list=3%, signal=73%","CSF1/CXCL2/CXCL8","ImmuneGO"
"80","ZF2001 (V3, D14)","MONOCYTES","MONOCYTES...80","MONOCYTES",1,-0.976525821596244,-1.30633971388927,0.0468196088620644,0.156522091875222,0.131808077368608,17,"tags=100%, list=3%, signal=97%","","ImmuneGO"
"81","ZF2001 (V3, D28)","NEUTROPHIL","NEUTROPHIL...81","NEUTROPHIL",5,-0.949367088607595,-2.05988272914669,0.000450646173971475,0.00315452321780033,0.00237182196827092,18,"tags=100%, list=7%, signal=95%","CCL3/CXCL2/CXCL8/CCL20","ImmuneGO"
"82","ZF2001 (V3, D28)","MONOCYTES","MONOCYTES...82","MONOCYTES",3,-0.941422594142259,-1.75215008631753,0.0166630419329912,0.0583206467654692,0.0438501103499768,18,"tags=100%, list=7%, signal=94%","CCL3/CCL20","ImmuneGO"
"83","ZF2001 (V3, D28)","CELLULAR ADAPTIVE IMMUNE SYSTEM","CELLULAR ADAPTIVE IMMUNE SYSTEM...83","CELLULAR ADAPTIVE IMMUNE SYSTEM",4,-0.724165603875491,-1.47980298168076,0.0671875,0.117578125,0.0884046052631579,10,"tags=75%, list=4%, signal=73%","GATA3/CCL3/CCL20","ImmuneGO"
"84","ZF2001 (V3, D28)","EOSINOPHIL","EOSINOPHIL...84","EOSINOPHIL",1,-0.966804979253112,-1.28652243625935,0.0591836734693878,0.117578125,0.0884046052631579,10,"tags=100%, list=4%, signal=96%","","ImmuneGO"
"85","ZF2001 (V3, D28)","COMPLEMENT IMMUNE SYSTEM","COMPLEMENT IMMUNE SYSTEM...85","COMPLEMENT IMMUNE SYSTEM",1,0.966804979253112,1.27855631798804,0.091796875,0.128515625,0.0966282894736842,9,"tags=100%, list=4%, signal=97%","FPR2","ImmuneGO"
"86","ZF2001 (V3, D28)","NK CELL","NK CELL...86","NK CELL",2,-0.766666666666667,-1.25417330325738,0.176265270506108,0.20564281559046,0.154618658338691,59,"tags=100%, list=24%, signal=76%","GATA3","ImmuneGO"
"87","ZF2001 (V3, D28)","HUMORAL ADAPTIVE IMMUNE SYSTEM","HUMORAL ADAPTIVE IMMUNE SYSTEM...87","HUMORAL ADAPTIVE IMMUNE SYSTEM",5,-0.541150216415839,-1.174156970518,0.235294117647059,0.235294117647059,0.176912870411322,92,"tags=80%, list=38%, signal=51%","IRF2BP2/SHLD3/GATA3/PTX3","ImmuneGO"
