"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","condition","gsea_enrichment"
"Antimicrobial humoral response...77","Antimicrobial humoral response","Antimicrobial humoral response",3,0.882670505668526,1.67700476884256,0.00481795482397976,0.0897991579493488,0.0814076147252958,655,"tags=100%, list=12%, signal=88%","DEFA4/AZU1/BCL3","BNT-I (D10, mild)","ImmuneGO"
"Cellular adaptive immune system...78","Cellular adaptive immune system","Cellular adaptive immune system",103,-0.370924131156901,-1.67826403275802,0.0059837599823131,0.0977347463777807,0.0886016390363554,960,"tags=34%, list=17%, signal=29%","DTX1/TXK/TOX/BCL2/CACNB4/NLRC3/GATA3/PLCG1/PRF1/SKAP1/CD247/RASGRP1/CRTAM/CR2/ITK/S1PR1/ZAP70/CD28/CD40LG/RORA/RORC/TESPA1/GZMM/CD3G/THEMIS/TCF7/CD8B/EOMES/ZNF683/KLRK1/IL7R/GPR15/CCR7/FCER1A/GLI3","BNT-I (D10, mild)","ImmuneGO"
"Antifungal humoral response...79","Antifungal humoral response","Antifungal humoral response",2,0.935228499460237,1.57151998315017,0.008041009954163,0.123127964923121,0.111621914495289,362,"tags=100%, list=7%, signal=94%","DEFA4/CAMP","BNT-I (D10, mild)","ImmuneGO"
"Activation, Neutrophil...80","Activation, Neutrophil","Activation, Neutrophil",6,0.69816577673576,1.76307498059709,0.0115728306308714,0.166784912033147,0.15119921133832,362,"tags=67%, list=7%, signal=62%","CTSG/IL18RAP/IL15/CAMP","BNT-I (D10, mild)","ImmuneGO"
"Migration, Inflammatory response, Leukocyte...81","Migration, Inflammatory response, Leukocyte","Migration, Inflammatory response, Leukocyte",3,0.846859816447724,1.60896726649808,0.0125463750075739,0.170770104269756,0.154811995707491,854,"tags=100%, list=15%, signal=85%","ELANE/FUT7/ALOX5","BNT-I (D10, mild)","ImmuneGO"
"Activation, B cell...82","Activation, B cell","Activation, B cell",12,-0.678094090921276,-1.93263014308665,0.0163106072388658,0.192867643960465,0.174844566597886,913,"tags=67%, list=16%, signal=56%","BANK1/LAX1/RASGRP1/ZAP70/CD22/MS4A1/CD79A/CXCR5","BNT-I (D10, mild)","ImmuneGO"
"Adaptive Immune response...83","Adaptive Immune response","Adaptive Immune response",42,-0.468615943870118,-1.81068280087763,0.0162910039167018,0.192867643960465,0.174844566597886,1106,"tags=60%, list=20%, signal=48%","CD1C/CTLA4/OTUD7B/RAG1/CX3CR1/MCOLN2/TXK/CD19/SKAP1/CD247/LAX1/CRTAM/ITK/CD79B/ZAP70/CD3G/CD6/KLRC2/THEMIS/CD8B/EOMES/CD79A/ZNF683/KLRK1/CD1E","BNT-I (D10, mild)","ImmuneGO"
"APP...84","APP","APP",5,0.753195319531953,1.79187329493662,0.0165315123394684,0.192867643960465,0.174844566597886,1376,"tags=100%, list=25%, signal=75%","HLA-C/RELB/PSMB8/HLA-E/CTSH","BNT-I (D10, mild)","ImmuneGO"
"Activation, gdT cell...85","Activation, gdT cell","Activation, gdT cell",3,-0.858736728450603,-1.57510996190184,0.0204374555894981,0.2208251093717,0.200189465423969,789,"tags=100%, list=14%, signal=86%","ITK/CD3G","BNT-I (D10, mild)","ImmuneGO"
"Differentiation, Th17 cell...86","Differentiation, Th17 cell","Differentiation, Th17 cell",2,-0.902662828355524,-1.45435139082054,0.020730520471629,0.2208251093717,0.200189465423969,544,"tags=100%, list=10%, signal=90%","RORC","BNT-I (D10, mild)","ImmuneGO"
"Proliferation, B cell...87","Proliferation, B cell","Proliferation, B cell",10,-0.664213926779,-1.78030902367194,0.0218675056971198,0.223230787324765,0.202370337811065,944,"tags=70%, list=17%, signal=58%","BCL2/RASGRP1/CR2/CD40LG/MS4A1/CD79A/IL7R","BNT-I (D10, mild)","ImmuneGO"
"Degranulation, Mast cell...88","Degranulation, Mast cell","Degranulation, Mast cell",6,-0.746847853896306,-1.72981818313796,0.0235631262707893,0.230344735492257,0.208819502422627,704,"tags=67%, list=13%, signal=58%","RASGRP1/PTGDS/FCER1A/CLNK","BNT-I (D10, mild)","ImmuneGO"
"Activation, NK cell...89","Activation, NK cell","Activation, NK cell",3,-0.844340471477416,-1.54870409497976,0.0244447474399947,0.230344735492257,0.208819502422627,869,"tags=100%, list=16%, signal=84%","RASGRP1/KLRK1","BNT-I (D10, mild)","ImmuneGO"
"Innate immune response...90","Innate immune response","Innate immune response",102,0.449716235780641,2.25125016130839,1.21122085811991e-07,3.27029631692375e-05,2.90693005948778e-05,2433,"tags=68%, list=30%, signal=48%","IFI27/DEFA4/BPI/LCN2/PPARG/TARM1/CRISP3/IFIT1/RNASE3/GBP6/CD177/IFI6/CAMP/MX1/DDX60/FCGR1A/VNN1/OAS2/TRIM22/S100A12/HMGB2/GBP1/IFITM3/PARP9/APOBEC3A/IFITM1/IFIT2/EIF2AK2/RNF135/CLU/CSF1/IFI35/CFB/PTX3/IFITM2/TREML1/FCER1G/HLA-C/CR1/F12/GBP2/IL27/ANKHD1/TRIM21/SLC15A4/ZC3HAV1/PML/TLR4/TBKBP1/HLA-E/IFNL1/ITGAM/C1R/CHGA/MX2/JAK3/ADAR/F2RL1/NCF2/CASP4/NLRP6/BCL10/LILRA5/CD55/FGR/B2M/BST2/LGALS3/LILRA2","BNT-I (D10, severe)","ImmuneGO"
"Signaling, Interferon I, Pathway...91","Signaling, Interferon I, Pathway","Signaling, Interferon I, Pathway",11,0.774274959163044,2.18496225125235,2.3496633167033e-05,0.00317204547754946,0.00281959598004396,1642,"tags=91%, list=20%, signal=73%","IFI27/OAS2/IFITM3/IFITM1/IFITM2/STAT2/STAT1/SP100/HDAC4/TBKBP1","BNT-I (D10, severe)","ImmuneGO"
"Antiviral and inteferon...92","Antiviral and inteferon","Antiviral and inteferon",45,0.520842216480536,2.19828685263864,3.6207363393457e-05,0.00325866270541113,0.00289658907147656,2009,"tags=60%, list=24%, signal=46%","IFI27/IFIT1/GBP6/MX1/OAS2/GBP1/IFITM3/IFITM1/CCL20/IFIT2/EIF2AK2/RNF135/CASP1/IFITM2/STAT2/GBP2/STAT1/SP100/TLR4/HDAC4/TBKBP1/IL10RB/IFNL1/FCAR/CD58/VIM/IFNGR2","BNT-I (D10, severe)","ImmuneGO"
"Neutrophil...93","Neutrophil","Neutrophil",36,0.537207454332786,2.1631712949542,5.69894733476442e-05,0.00360196611238339,0.00320174765545191,2433,"tags=69%, list=30%, signal=49%","ELANE/CTSG/PRTN3/AZU1/CD177/CAMP/IL18RAP/ANXA3/S100A12/CCL20/CXCL2/CXCL3/CSF1/IL15/FCER1G/MERTK/ADAM17/FCAR/ITGA1/F2RL1/NLRP6/PRKCD/STXBP3/LGALS3/LILRA2","BNT-I (D10, severe)","ImmuneGO"
"Innate immune response, mucosa...94","Innate immune response, mucosa","Innate immune response, mucosa",6,0.882307860015213,2.04768061614056,6.67030761552481e-05,0.00360196611238339,0.00320174765545191,372,"tags=67%, list=5%, signal=64%","DEFA4/RNASE3/CAMP/RNASE2","BNT-I (D10, severe)","ImmuneGO"
"Antimicrobial peptide-mediated immune response...95","Antimicrobial peptide-mediated immune response","Antimicrobial peptide-mediated immune response",20,0.642266727627297,2.19819676897514,9.85010346321233e-05,0.00443254655844555,0.00394004138528493,950,"tags=45%, list=12%, signal=40%","S100A7/DEFA4/BPI/RNASE3/CAMP/S100A12/CCL20/CXCL2/CXCL3","BNT-I (D10, severe)","ImmuneGO"
"Activation, T cell...96","Activation, T cell","Activation, T cell",14,-0.682976743473618,-2.19250794473108,0.00019172738270144,0.00739519904705553,0.00657351026404936,1353,"tags=64%, list=16%, signal=54%","PRKCQ/ZAP70/DPP4/NLRC3/ITK/RASGRP1/CD8B/CD28/CD3G","BNT-I (D10, severe)","ImmuneGO"
"Antibacterial humoral response...97","Antibacterial humoral response","Antibacterial humoral response",12,0.719187666291086,2.09467248418563,0.000251924675192463,0.00850245778774562,0.00755774025577388,602,"tags=50%, list=7%, signal=46%","DEFA4/BPI/CTSG/RNASE3/CAMP/RNASE4","BNT-I (D10, severe)","ImmuneGO"
"Signaling, T cell...98","Signaling, T cell","Signaling, T cell",25,-0.549931139345619,-2.12473508546651,0.000325971116186351,0.00977913348559052,0.00869256309830268,1278,"tags=48%, list=16%, signal=41%","SKAP1/CD247/CTLA4/ZAP70/GATA3/ITK/PLCG1/CD8B/CD28/CD3G/THEMIS/ZNF683","BNT-I (D10, severe)","ImmuneGO"
"Immune system, Process...99","Immune system, Process","Immune system, Process",138,0.329398565239171,1.74242788848476,0.000564650544154671,0.0152455646921761,0.0135516130597121,2439,"tags=53%, list=30%, signal=38%","IFI27/BPI/LCN2/TARM1/OLR1/IFIT1/GBP6/CD177/IFI6/TNFRSF17/CAMP/MX1/HP/DDX60/FCGR1A/OAS2/S100A12/HMGB2/GBP1/IFITM3/PARP9/APOBEC3A/IFITM1/BCL6/IFIT2/LILRA6/EIF2AK2/RNF135/PRKCE/CLU/CSF1/IFI35/CFB/BTNL8/IFITM2/FCER1G/HLA-C/CR1/TAP1/GBP2/IL27/SLC15A4/MAP3K8/ZC3HAV1/PML/TLR4/TBKBP1/IFI30/HLA-E/ITGAM/C1R/TFEB/PSMB8/MX2/PSMB9/JAK3/ADAR/PRG2/F2RL1/RNF213/CASP4/NLRP6/BCL10/LILRA5/CD55/FGR/B2M/BST2/FCGR2A/LGALS3/IRF9/LILRA2/LILRB4","BNT-I (D10, severe)","ImmuneGO"
"Antiviral innate immune response...100","Antiviral innate immune response","Antiviral innate immune response",9,0.733101296591831,1.93269529431971,0.00113241902533632,0.0218395097743433,0.0194128975771941,842,"tags=56%, list=10%, signal=50%","IFIT1/MX1/IFIT2/EIF2AK2/RNF135","BNT-I (D10, severe)","ImmuneGO"
"Antimicrobial humoral response...101","Antimicrobial humoral response","Antimicrobial humoral response",5,0.849210652956285,1.87189251950601,0.00112208685124461,0.0218395097743433,0.0194128975771941,127,"tags=60%, list=2%, signal=59%","DEFA4/PRTN3/AZU1","BNT-I (D10, severe)","ImmuneGO"
"Selection-, T cell, Thymic...102","Selection-, T cell, Thymic","Selection-, T cell, Thymic",4,-0.881958825679133,-1.8708486642576,0.00106626755092427,0.0218395097743433,0.0194128975771941,974,"tags=100%, list=12%, signal=88%","SPN/CD28/CCR7","BNT-I (D10, severe)","ImmuneGO"
"Antifungal humoral response...103","Antifungal humoral response","Antifungal humoral response",3,0.927681306490001,1.72714661589157,0.000991391251464241,0.0218395097743433,0.0194128975771941,206,"tags=67%, list=3%, signal=65%","DEFA4/CAMP","BNT-I (D10, severe)","ImmuneGO"
"T cells...104","T cells","T cells",116,-0.310651015763688,-1.71489363990213,0.00156026324698129,0.0271735654919916,0.0241542804373258,1416,"tags=33%, list=17%, signal=27%","KLRK1/RAG1/CR2/PRKCQ/TOX/SKAP1/GPR183/CD247/CTLA4/IL7/S1PR1/CD1C/ZAP70/BCL2/DPP4/NLRC3/LFNG/SPN/GATA3/CRTAM/ITK/PLCG1/RASGRP1/GZMM/CD8B/EOMES/TESPA1/CD28/CD6/CD3G/THEMIS/TCF7/GPR15/IL7R/CCR7/CD40LG/ZNF683/FCER1A","BNT-I (D10, severe)","ImmuneGO"
"Cellular adaptive immune system...105","Cellular adaptive immune system","Cellular adaptive immune system",133,-0.288918428414571,-1.63742322044648,0.00161028536248839,0.0271735654919916,0.0241542804373258,1416,"tags=30%, list=17%, signal=25%","KLRK1/RAG1/CR2/PRKCQ/TOX/SKAP1/GPR183/CD247/CTLA4/IL7/S1PR1/CD1C/ZAP70/BCL2/DPP4/NLRC3/LFNG/SPN/GATA3/CRTAM/ITK/ZFPM1/PLCG1/RASGRP1/RORA/GZMM/CD8B/EOMES/TESPA1/CD28/CD3G/THEMIS/TCF7/GPR15/IL7R/CCR7/CD40LG/RORC/ZNF683/FCER1A","BNT-I (D10, severe)","ImmuneGO"
"Monocytes...106","Monocytes","Monocytes",7,0.763534513989838,1.87291801226573,0.00182874244977038,0.0290447330257648,0.0258175404673465,970,"tags=71%, list=12%, signal=63%","CTSG/AZU1/S100A12/CCL20/CSF1","BNT-I (D10, severe)","ImmuneGO"
"Extravasation, Neutrophil...107","Extravasation, Neutrophil","Extravasation, Neutrophil",3,0.908011767275016,1.69052608915072,0.00232161406513698,0.0348242109770547,0.0309548542018264,189,"tags=67%, list=2%, signal=65%","PRTN3/CD177","BNT-I (D10, severe)","ImmuneGO"
"Adaptive Immune response...108","Adaptive Immune response","Adaptive Immune response",50,-0.381446472307981,-1.77201902966486,0.00259444232556328,0.0361424028106894,0.0321265802761683,1416,"tags=44%, list=17%, signal=37%","KLRK1/RAG1/SKAP1/MCOLN2/GPR183/CD247/CTLA4/CD1C/ZAP70/HLA-DPA1/KLRC2/CRTAM/ITK/CX3CR1/CLEC10A/CD8B/EOMES/CD6/CD3G/THEMIS/CD1E/ZNF683","BNT-I (D10, severe)","ImmuneGO"
"Chemotaxis, B cell...109","Chemotaxis, B cell","Chemotaxis, B cell",1,0.999025815879201,1.32722088057523,0.00267721502301403,0.0361424028106894,0.0321265802761683,9,"tags=100%, list=0%, signal=100%","CH25H","BNT-I (D10, severe)","ImmuneGO"
"Activation, gdT cell...110","Activation, gdT cell","Activation, gdT cell",3,-0.854933008526188,-1.63227903511029,0.0050198423339798,0.0645408300083117,0.0573696266740549,1195,"tags=100%, list=15%, signal=85%","ITK/CD3G","BNT-I (D10, severe)","ImmuneGO"
"Hypersensitivity, Type I...111","Hypersensitivity, Type I","Hypersensitivity, Type I",1,-0.997564539698003,-1.33652787401411,0.0062952398324626,0.0772597615802228,0.0686753436268647,22,"tags=100%, list=0%, signal=100%","","BNT-I (D10, severe)","ImmuneGO"
"Differentiation, Th17 cell...112","Differentiation, Th17 cell","Differentiation, Th17 cell",2,-0.933016684934844,-1.52105610754515,0.00814839172178335,0.0956550332557176,0.0850266962273045,553,"tags=100%, list=7%, signal=93%","RORC","BNT-I (D10, severe)","ImmuneGO"
"Biosynthesis, Antibacterial peptides against Gram-...113","Biosynthesis, Antibacterial peptides against Gram-","Biosynthesis, Antibacterial peptides against Gram-",1,0.995859717486605,1.32301467105609,0.00991987482911761,0.103014084763914,0.091568075345701,35,"tags=100%, list=0%, signal=100%","ELANE","BNT-I (D10, severe)","ImmuneGO"
"Killing of fungus, Neutrophil...114","Killing of fungus, Neutrophil","Killing of fungus, Neutrophil",1,0.995859717486605,1.32301467105609,0.00991987482911761,0.103014084763914,0.091568075345701,35,"tags=100%, list=0%, signal=100%","ELANE","BNT-I (D10, severe)","ImmuneGO"
"killing of Gram- bacterium, Neutrophil...115","killing of Gram- bacterium, Neutrophil","killing of Gram- bacterium, Neutrophil",1,0.995859717486605,1.32301467105609,0.00991987482911761,0.103014084763914,0.091568075345701,35,"tags=100%, list=0%, signal=100%","ELANE","BNT-I (D10, severe)","ImmuneGO"
"Degranulation, Mast cell...116","Degranulation, Mast cell","Degranulation, Mast cell",6,-0.730977050360222,-1.7596271285849,0.0108424741828277,0.108424741828277,0.0963775482918015,577,"tags=50%, list=7%, signal=47%","RASGRP1/CLNK/FCER1A","BNT-I (D10, severe)","ImmuneGO"
"Activation, NK cell...117","Activation, NK cell","Activation, NK cell",5,-0.76074125882824,-1.72797241977276,0.0113613212554615,0.109555597820522,0.0973827536182416,1416,"tags=80%, list=17%, signal=66%","KLRK1/FCGR3A/GATA3/RASGRP1","BNT-I (D10, severe)","ImmuneGO"
"Response to Interferon I...118","Response to Interferon I","Response to Interferon I",3,0.846580258095228,1.57615359673688,0.0126275487640914,0.117566833320851,0.104503851840757,231,"tags=67%, list=3%, signal=65%","CH25H/MX1","BNT-I (D10, severe)","ImmuneGO"
"Chemotaxis, Monocyte...119","Chemotaxis, Monocyte","Chemotaxis, Monocyte",5,0.747551644222897,1.64780826276009,0.018878411486387,0.169905703377483,0.151027291891096,627,"tags=60%, list=8%, signal=55%","CTSG/S100A12/CCL20","BNT-I (D10, severe)","ImmuneGO"
"Establishment of T cell polarity...120","Establishment of T cell polarity","Establishment of T cell polarity",2,-0.899159663865546,-1.46586049367,0.0222788358114369,0.194041473196386,0.172481309507899,831,"tags=100%, list=10%, signal=90%","CCR7","BNT-I (D10, severe)","ImmuneGO"
"PRR, TLR4, Pathway...121","PRR, TLR4, Pathway","PRR, TLR4, Pathway",3,0.807673568818514,1.50371756051441,0.0265671571089021,0.224160388106362,0.199253678316766,1582,"tags=100%, list=19%, signal=81%","NFKBIA/PIK3AP1/TLR4","BNT-I (D10, severe)","ImmuneGO"
"Chemotaxis, Macrophage...122","Chemotaxis, Macrophage","Chemotaxis, Macrophage",5,0.724989855119264,1.5980759094238,0.0276787345192202,0.226462373339074,0.201299887412511,736,"tags=60%, list=9%, signal=55%","AZU1/MMP2/EDNRB","BNT-I (D10, severe)","ImmuneGO"
"Differentiation, T cell...123","Differentiation, T cell","Differentiation, T cell",14,-0.507134523683038,-1.62801513059928,0.0303889439408938,0.241323966589451,0.214510192523957,1581,"tags=50%, list=19%, signal=40%","GPR89B/PIK3R1/ZAP70/BCL2/LFNG/GATA3/IL7R","BNT-I (D10, severe)","ImmuneGO"
"Antibacterial humoral response...124","Antibacterial humoral response","Antibacterial humoral response",7,0.872458606583054,2.33993412991911,1.42393557741577e-06,0.000264852017399333,0.000245816247048617,280,"tags=86%, list=8%, signal=79%","DEFA4/BPI/CAMP/ADM/PI3/RNASE4","BNT-I (D26, mild)","ImmuneGO"
"Innate immune response...125","Innate immune response","Innate immune response",37,0.501102377494226,2.39819018423421,9.84368859893938e-06,0.000915463039701363,0.000849665752750557,688,"tags=65%, list=21%, signal=52%","DEFA4/CD177/LCN2/PPARG/BPI/TARM1/CRISP3/CAMP/PI3/S100A12/VNN1/CR1/FCER1G/LILRA5/C1R/ANKHD1/APOBEC3A/SLC15A4/TBKBP1/RNF135/ITGAM/HMGB2/LGALS3/HLA-C","BNT-I (D26, mild)","ImmuneGO"
"Antimicrobial peptide-mediated immune response...126","Antimicrobial peptide-mediated immune response","Antimicrobial peptide-mediated immune response",9,0.699476370347202,2.06257819668104,0.000991377716168698,0.0542991068286657,0.0503964545551849,165,"tags=56%, list=5%, signal=53%","DEFA4/BPI/CAMP/ADM/S100A12","BNT-I (D26, mild)","ImmuneGO"
"Antifungal humoral response...127","Antifungal humoral response","Antifungal humoral response",2,0.971915147893636,1.63776785818155,0.00116772272749819,0.0542991068286657,0.0503964545551849,96,"tags=100%, list=3%, signal=97%","DEFA4/CAMP","BNT-I (D26, mild)","ImmuneGO"
"Chemotaxis, Lymphocyte...128","Chemotaxis, Lymphocyte","Chemotaxis, Lymphocyte",1,-0.997013142174432,-1.31441431829294,0.0029575754865945,0.0916848400844295,0.08509515435114,12,"tags=100%, list=0%, signal=100%","","BNT-I (D26, mild)","ImmuneGO"
"Extravasation, Th cell...129","Extravasation, Th cell","Extravasation, Th cell",1,-0.997013142174432,-1.31441431829294,0.0029575754865945,0.0916848400844295,0.08509515435114,12,"tags=100%, list=0%, signal=100%","","BNT-I (D26, mild)","ImmuneGO"
"Innate immune response, mucosa...130","Innate immune response, mucosa","Innate immune response, mucosa",3,0.868089159031121,1.69571240947392,0.00450970164778588,0.119829215212596,0.111216702291261,96,"tags=67%, list=3%, signal=65%","DEFA4/CAMP","BNT-I (D26, mild)","ImmuneGO"
"Activation, B cell...131","Activation, B cell","Activation, B cell",9,-0.735029940119761,-1.97546256277953,0.00831862996940944,0.154726517431016,0.143605822629805,895,"tags=100%, list=27%, signal=73%","ZAP70/LAX1/CD40/BANK1/CXCR5/MS4A1/CD22/CD79A","BNT-I (D26, mild)","ImmuneGO"
"Extravasation, Neutrophil...132","Extravasation, Neutrophil","Extravasation, Neutrophil",1,0.993428912783751,1.32722338485137,0.00770299563856066,0.154726517431016,0.143605822629805,23,"tags=100%, list=1%, signal=99%","CD177","BNT-I (D26, mild)","ImmuneGO"
"Migration, Neutrophil...133","Migration, Neutrophil","Migration, Neutrophil",1,0.993428912783751,1.32722338485137,0.00770299563856066,0.154726517431016,0.143605822629805,23,"tags=100%, list=1%, signal=99%","CD177","BNT-I (D26, mild)","ImmuneGO"
"Development, Lymph node...134","Development, Lymph node","Development, Lymph node",4,-0.842580008380263,-1.72348407178135,0.0117991939372379,0.161715427778824,0.150092417406492,213,"tags=75%, list=6%, signal=70%","RORC/IL7R/CXCR5","BNT-I (D26, mild)","ImmuneGO"
"Immune system, Process...135","Immune system, Process","Immune system, Process",55,0.310458063358475,1.66158584498878,0.0118582393426423,0.161715427778824,0.150092417406492,688,"tags=44%, list=21%, signal=35%","CD177/LCN2/OLR1/BPI/TARM1/HP/CAMP/S100A12/LILRA6/BCL6/CR1/LILRA3/FCER1G/LILRA5/C1R/APOBEC3A/SLC15A4/TBKBP1/RNF135/ITGAM/HMGB2/IL4R/LGALS3/HLA-C","BNT-I (D26, mild)","ImmuneGO"
"PRR, NOD1...136","PRR, NOD1","PRR, NOD1",1,0.989545997610514,1.3220358009659,0.0130415667563567,0.161715427778824,0.150092417406492,36,"tags=100%, list=1%, signal=99%","NFKBIA","BNT-I (D26, mild)","ImmuneGO"
"PRR, NOD2...137","PRR, NOD2","PRR, NOD2",1,0.989545997610514,1.3220358009659,0.0130415667563567,0.161715427778824,0.150092417406492,36,"tags=100%, list=1%, signal=99%","NFKBIA","BNT-I (D26, mild)","ImmuneGO"
"PRR, TLR4, Pathway...138","PRR, TLR4, Pathway","PRR, TLR4, Pathway",1,0.989545997610514,1.3220358009659,0.0130415667563567,0.161715427778824,0.150092417406492,36,"tags=100%, list=1%, signal=99%","NFKBIA","BNT-I (D26, mild)","ImmuneGO"
"Formation, Germinal center...139","Formation, Germinal center","Formation, Germinal center",2,0.900209142515686,1.51693653756564,0.0168506562949424,0.184366004168193,0.171115023676195,336,"tags=100%, list=10%, signal=90%","BCL3/BCL6","BNT-I (D26, mild)","ImmuneGO"
"Immune response, Th2","Immune response, Th2","Immune response, Th2",2,0.900209142515686,1.51693653756564,0.0168506562949424,0.184366004168193,0.171115023676195,336,"tags=100%, list=10%, signal=90%","IL10/BCL6","BNT-I (D26, mild)","ImmuneGO"
"Antimicrobial peptide-mediated immune response...141","Antimicrobial peptide-mediated immune response","Antimicrobial peptide-mediated immune response",4,0.870340356564019,1.89983852762264,0.000962738325121344,0.0584203286368423,0.0475854807192324,164,"tags=100%, list=13%, signal=87%","BPI/CXCL2/S100A12/CXCL5","BNT-I (D26, severe)","ImmuneGO"
"Chemotaxis, B cell...142","Chemotaxis, B cell","Chemotaxis, B cell",1,0.999191592562652,1.32490882549899,0.00208644030845865,0.0584203286368423,0.0475854807192324,2,"tags=100%, list=0%, signal=100%","CH25H","BNT-I (D26, severe)","ImmuneGO"
"Response to Interferon I...143","Response to Interferon I","Response to Interferon I",1,0.999191592562652,1.32490882549899,0.00208644030845865,0.0584203286368423,0.0475854807192324,2,"tags=100%, list=0%, signal=100%","CH25H","BNT-I (D26, severe)","ImmuneGO"
"Chemotaxis, Neutrophil...144","Chemotaxis, Neutrophil","Chemotaxis, Neutrophil",3,0.869635627530364,1.73721664863264,0.00543134632350129,0.0912466182348216,0.0743236865321229,164,"tags=100%, list=13%, signal=87%","CXCL2/S100A12/CXCL5","BNT-I (D26, severe)","ImmuneGO"
"Neutrophil...145","Neutrophil","Neutrophil",3,0.869635627530364,1.73721664863264,0.00543134632350129,0.0912466182348216,0.0743236865321229,164,"tags=100%, list=13%, signal=87%","CXCL2/S100A12/CXCL5","BNT-I (D26, severe)","ImmuneGO"
"Selection-, T cell, Thymic...146","Selection-, T cell, Thymic","Selection-, T cell, Thymic",2,-0.877022653721683,-1.47204096255676,0.0348758148459502,0.162785495222621,0.132594701622436,155,"tags=100%, list=13%, signal=88%","CCR7","BNT-I (D26, severe)","ImmuneGO"
"Complement immune system...147","Complement immune system","Complement immune system",1,-0.977364591754244,-1.31862916570045,0.0338009969323815,0.162785495222621,0.132594701622436,30,"tags=100%, list=2%, signal=98%","","BNT-I (D26, severe)","ImmuneGO"
"Complement, Alternative pathway...148","Complement, Alternative pathway","Complement, Alternative pathway",1,-0.977364591754244,-1.31862916570045,0.0338009969323815,0.162785495222621,0.132594701622436,30,"tags=100%, list=2%, signal=98%","","BNT-I (D26, severe)","ImmuneGO"
"Complement, Classical pathway...149","Complement, Classical pathway","Complement, Classical pathway",1,-0.977364591754244,-1.31862916570045,0.0338009969323815,0.162785495222621,0.132594701622436,30,"tags=100%, list=2%, signal=98%","","BNT-I (D26, severe)","ImmuneGO"
"Complement, Pathway...150","Complement, Pathway","Complement, Pathway",1,-0.977364591754244,-1.31862916570045,0.0338009969323815,0.162785495222621,0.132594701622436,30,"tags=100%, list=2%, signal=98%","","BNT-I (D26, severe)","ImmuneGO"
"Chemotaxis, Dendritic cell...151","Chemotaxis, Dendritic cell","Chemotaxis, Dendritic cell",1,-0.976556184316896,-1.31753848814404,0.0348826061191332,0.162785495222621,0.132594701622436,31,"tags=100%, list=3%, signal=98%","","BNT-I (D26, severe)","ImmuneGO"
"Chemotaxis, Dendritic cell, Myeloid...152","Chemotaxis, Dendritic cell, Myeloid","Chemotaxis, Dendritic cell, Myeloid",1,-0.976556184316896,-1.31753848814404,0.0348826061191332,0.162785495222621,0.132594701622436,31,"tags=100%, list=3%, signal=98%","","BNT-I (D26, severe)","ImmuneGO"
"Establishment of T cell polarity...153","Establishment of T cell polarity","Establishment of T cell polarity",1,-0.976556184316896,-1.31753848814404,0.0348826061191332,0.162785495222621,0.132594701622436,31,"tags=100%, list=3%, signal=98%","","BNT-I (D26, severe)","ImmuneGO"
"Migration, Lymphonode, Lymphocyte...154","Migration, Lymphonode, Lymphocyte","Migration, Lymphonode, Lymphocyte",1,-0.976556184316896,-1.31753848814404,0.0348826061191332,0.162785495222621,0.132594701622436,31,"tags=100%, list=3%, signal=98%","","BNT-I (D26, severe)","ImmuneGO"
"Regulation+, glyProtein, Immunological synapse...155","Regulation+, glyProtein, Immunological synapse","Regulation+, glyProtein, Immunological synapse",1,-0.976556184316896,-1.31753848814404,0.0348826061191332,0.162785495222621,0.132594701622436,31,"tags=100%, list=3%, signal=98%","","BNT-I (D26, severe)","ImmuneGO"
"PRR, NOD1...156","PRR, NOD1","PRR, NOD1",1,0.98464025869038,1.30561403677813,0.0256613792155133,0.162785495222621,0.132594701622436,20,"tags=100%, list=2%, signal=98%","NFKBIA","BNT-I (D26, severe)","ImmuneGO"
"PRR, NOD2...157","PRR, NOD2","PRR, NOD2",1,0.98464025869038,1.30561403677813,0.0256613792155133,0.162785495222621,0.132594701622436,20,"tags=100%, list=2%, signal=98%","NFKBIA","BNT-I (D26, severe)","ImmuneGO"
"PRR, TLR4, Pathway...158","PRR, TLR4, Pathway","PRR, TLR4, Pathway",1,0.98464025869038,1.30561403677813,0.0256613792155133,0.162785495222621,0.132594701622436,20,"tags=100%, list=2%, signal=98%","NFKBIA","BNT-I (D26, severe)","ImmuneGO"
"Proliferation, B cell...159","Proliferation, B cell","Proliferation, B cell",2,-0.872168284789644,-1.46389313435072,0.0378064892831151,0.167144478935877,0.136145252266065,161,"tags=100%, list=13%, signal=87%","CR2","BNT-I (D26, severe)","ImmuneGO"
"Immune response...160","Immune response","Immune response",10,-0.5037229560664,-1.56494427392223,0.058165548098434,0.231404958677686,0.188487748296361,164,"tags=60%, list=13%, signal=52%","IRAK1BP1/SPN/HLA-DPA1/CD79B/CCR7/CR2","BNT-I (D26, severe)","ImmuneGO"
"Differentiation, B cell...161","Differentiation, B cell","Differentiation, B cell",3,-0.765188856842052,-1.50575536060243,0.0606060606060606,0.231404958677686,0.188487748296361,105,"tags=67%, list=8%, signal=61%","CD79B/CR2","BNT-I (D26, severe)","ImmuneGO"
