,condition,id,delete,description,set_size,enrichment_score,nes,pvalue,p_adjust,qvalue,gsea_enrichment,rank,leading_edge,core_enrichment
203,"BNT-I (D10, severe)",Conventional dendritic cell 2(cDC2),Conventional dendritic cell 2(cDC2)...203,Conventional dendritic cell 2(cDC2),3,-0.8694275274,-1.684259108,0.01364909041,0.05533415031,0.03455957458,CellMarker,1076,"tags=100%, list=13%, signal=87%",CD1C/FCER1A
204,"BNT-I (D10, severe)",Plasmablast,Plasmablast...204,Plasmablast,5,0.7682923117,1.722997473,0.01481275722,0.05847141009,0.03651898595,CellMarker,473,"tags=60%, list=6%, signal=57%",CD24/TNFRSF17/MZB1
205,"BNT-I (D10, severe)",CD1C+_A dendritic cell,CD1C+_A dendritic cell...205,CD1C+_A dendritic cell,18,-0.4838119969,-1.671279815,0.01658810696,0.06380041137,0.03984727447,CellMarker,979,"tags=44%, list=12%, signal=39%",CD1C/PID1/CCR6/CD2/CLEC10A/CACNA2D3/CD1E/FCER1A
206,"BNT-I (D10, severe)",Effector CD8+ memory T (Tem) cell,Effector CD8+ memory T (Tem) cell...206,Effector CD8+ memory T (Tem) cell,38,-0.3754523627,-1.586642845,0.01959562517,0.07305484048,0.0456272337,CellMarker,1730,"tags=45%, list=21%, signal=35%",GNLY/FUT11/SAMD3/ADGRG1/S1PR5/PRSS23/TBX21/GZMH/FCGR3A/ZNF600/C1orf21/ARL4C/LLGL2/FCRL6/TTC16/TGFBR3/CX3CR1
207,"BNT-I (D10, severe)",Axl+ CD11c+ Plasmacytoid dendritic cell (CD11c+ Axl+DC),Axl+ CD11c+ Plasmacytoid dendritic cell (CD11c+ Axl+DC)...207,Axl+ CD11c+ Plasmacytoid dendritic cell (CD11c+ Axl+DC),2,-0.9344781391,-1.539094319,0.02045535533,0.07305484048,0.0456272337,CellMarker,541,"tags=100%, list=7%, signal=93%",CD5
208,"BNT-I (D10, severe)",Axl+ CD123+ Plasmacytoid dendritic cell (CD123+ Axl+DC),Axl+ CD123+ Plasmacytoid dendritic cell (CD123+ Axl+DC)...208,Axl+ CD123+ Plasmacytoid dendritic cell (CD123+ Axl+DC),2,-0.9344781391,-1.539094319,0.02045535533,0.07305484048,0.0456272337,CellMarker,541,"tags=100%, list=7%, signal=93%",CD5
209,"BNT-I (D10, severe)",Plasmacytoid dendritic cell,Plasmacytoid dendritic cell...209,Plasmacytoid dendritic cell,172,-0.2385614593,-1.40163548,0.0221279448,0.07719050511,0.04821021021,CellMarker,2523,"tags=42%, list=31%, signal=30%",ZNF506/MDFIC/TMEM63A/PCYOX1/ITPR1/TMEM109/PAFAH2/DAAM1/SLC38A1/MYO1E/VEGFB/TRRAP/ABHD15/ABI2/AHI1/TASP1/MDN1/SERPINF1/DPPA4/NPC1/TGFBI/TP53I13/SIDT1/ANKS3/TRAF4/ZNF527/USP11/CD40/MINA/ARHGEF4/TNFRSF21/PHLPP2/HNRNPA1L2/PLXNA4/TSPAN13/ANKRD36B/PTPRS/PPFIBP1/CARD11/LTB/MCOLN2/GPR183/FLNB/SPATA5/ANKRD36/PACSIN1/NRP1/KANK1/PTPRCAP/SIT1/LY9/ALDH5A1/CXCR3/CD4/GPM6B/SPIB/FMNL3/SPNS3/NOTCH4/TCL6/TBC1D4/IGFBP3/TTC24/SMPD3/VIPR2/PLD4/TCL1A/LRRC36/CUX2/LOC100507600/CYP46A1/KRT5
210,"BNT-I (D10, severe)",Memory CD8+ T cell,Memory CD8+ T cell...210,Memory CD8+ T cell,9,-0.5965531957,-1.661199945,0.02584126188,0.08809521095,0.05502086859,CellMarker,2069,"tags=78%, list=25%, signal=58%",CCL5/GNLY/GZMH/CD3D/KLRG1/CD3E/CD8A
211,"BNT-I (D10, severe)",Transitional dendritic cell,Transitional dendritic cell...211,Transitional dendritic cell,2,-0.9190110827,-1.513619931,0.03211012746,0.1070337582,0.06684915425,CellMarker,668,"tags=100%, list=8%, signal=92%",CD5
212,"BNT-I (D10, severe)",Natural killer T(NKT) cell,Natural killer T(NKT) cell...212,Natural killer T(NKT) cell,9,-0.5752079194,-1.601760532,0.03371423504,0.1082254606,0.06759344559,CellMarker,1811,"tags=67%, list=22%, signal=52%",KLRB1/NCR3/CD3D/CD2/CD3E/CD8A
213,"BNT-I (D10, severe)",Dendritic cell lineage,Dendritic cell lineage...213,Dendritic cell lineage,2,-0.913287054,-1.504192402,0.03391064433,0.1082254606,0.06759344559,CellMarker,715,"tags=100%, list=9%, signal=91%",CD2
214,"BNT-I (D10, severe)",Effector CD4+ T cell,Effector CD4+ T cell...214,Effector CD4+ T cell,7,-0.6300274187,-1.619643061,0.04376419678,0.1217586872,0.07604577657,CellMarker,2371,"tags=86%, list=29%, signal=61%",PRF1/GNLY/KLRB1/CD4/CD3D/CD3E
215,"BNT-I (D10, severe)",Proliferative CD8+ T cell,Proliferative CD8+ T cell...215,Proliferative CD8+ T cell,4,-0.7357847448,-1.596717102,0.04148503961,0.1217586872,0.07604577657,CellMarker,707,"tags=75%, list=9%, signal=69%",CD3D/CD3E/CD8A
216,"BNT-I (D10, severe)",Pan-B cell,Pan-B cell...216,Pan-B cell,2,-0.9042747534,-1.489349058,0.04231308431,0.1217586872,0.07604577657,CellMarker,789,"tags=100%, list=10%, signal=90%",CXCR5
217,"BNT-I (D10, severe)",CD4 T cell,CD4 T cell...217,CD4 T cell,2,-0.8968456948,-1.477113328,0.04891502262,0.1217586872,0.07604577657,CellMarker,850,"tags=100%, list=10%, signal=90%",CD3E
218,"BNT-I (D10, severe)",CD4+ T helper cell,CD4+ T helper cell...218,CD4+ T helper cell,2,-0.8968456948,-1.477113328,0.04891502262,0.1217586872,0.07604577657,CellMarker,850,"tags=100%, list=10%, signal=90%",CD3D
219,"BNT-I (D10, severe)",Central memory T helper 1 cell,Central memory T helper 1 cell...219,Central memory T helper 1 cell,2,-0.8968456948,-1.477113328,0.04891502262,0.1217586872,0.07604577657,CellMarker,850,"tags=100%, list=10%, signal=90%",CCR7
220,"BNT-I (D10, severe)",FOXP3+ natural regulatory T (Treg) cell,FOXP3+ natural regulatory T (Treg) cell...220,FOXP3+ natural regulatory T (Treg) cell,2,-0.8968456948,-1.477113328,0.04891502262,0.1217586872,0.07604577657,CellMarker,850,"tags=100%, list=10%, signal=90%",CD6
221,"BNT-I (D10, severe)",Natural regulatory T (Treg) cell,Natural regulatory T (Treg) cell...221,Natural regulatory T (Treg) cell,2,-0.8968456948,-1.477113328,0.04891502262,0.1217586872,0.07604577657,CellMarker,850,"tags=100%, list=10%, signal=90%",CD6
222,"BNT-I (D10, severe)",T helper17 (Th17) cell,T helper17 (Th17) cell...222,T helper17 (Th17) cell,2,-0.8968456948,-1.477113328,0.04891502262,0.1217586872,0.07604577657,CellMarker,850,"tags=100%, list=10%, signal=90%",CCR6
223,"BNT-I (D10, severe)",T helper2 (Th2) cell,T helper2 (Th2) cell...223,T helper2 (Th2) cell,2,-0.8968456948,-1.477113328,0.04891502262,0.1217586872,0.07604577657,CellMarker,850,"tags=100%, list=10%, signal=90%",CCR4
224,"BNT-I (D10, severe)",T helper1 (Th1) cell,T helper1 (Th1) cell...224,T helper1 (Th1) cell,2,-0.8959931799,-1.475709228,0.04951519946,0.1217586872,0.07604577657,CellMarker,857,"tags=100%, list=10%, signal=90%",CD4
225,"BNT-I (D10, severe)",Effector (EMRA) CD8+ T cell,Effector (EMRA) CD8+ T cell...225,Effector (EMRA) CD8+ T cell,1,-0.9772284462,-1.313363971,0.04179404393,0.1217586872,0.07604577657,CellMarker,189,"tags=100%, list=2%, signal=98%",
226,"BNT-I (D10, severe)",Effector CD4+ memory T (Tem) cell,Effector CD4+ memory T (Tem) cell...226,Effector CD4+ memory T (Tem) cell,1,-0.9772284462,-1.313363971,0.04179404393,0.1217586872,0.07604577657,CellMarker,189,"tags=100%, list=2%, signal=98%",
227,"BNT-I (D10, severe)",Naive CD8 T cell,Naive CD8 T cell...227,Naive CD8 T cell,1,-0.9772284462,-1.313363971,0.04179404393,0.1217586872,0.07604577657,CellMarker,189,"tags=100%, list=2%, signal=98%",
228,"BNT-I (D10, severe)",CD4+ cytotoxic T1 cell,CD4+ cytotoxic T1 cell...228,CD4+ cytotoxic T1 cell,5,-0.6901803119,-1.588190836,0.05577689243,0.1230273205,0.07683811599,CellMarker,2549,"tags=100%, list=31%, signal=69%",PRF1/CD4/CD3E/CD28
229,"BNT-I (D10, severe)",CD4+ cytotoxic T2 cell,CD4+ cytotoxic T2 cell...229,CD4+ cytotoxic T2 cell,5,-0.6901803119,-1.588190836,0.05577689243,0.1230273205,0.07683811599,CellMarker,2549,"tags=100%, list=31%, signal=69%",CCL5/CD4/CD3E/CD28
230,"BNT-I (D10, severe)",Cytotoxic CD8+ T cell,Cytotoxic CD8+ T cell...230,Cytotoxic CD8+ T cell,5,-0.6901803119,-1.588190836,0.05577689243,0.1230273205,0.07683811599,CellMarker,2549,"tags=100%, list=31%, signal=69%",CCL5/GNLY/GZMH/KLRG1
231,"BNT-I (D10, severe)",Central memory CD8+ T cell,Central memory CD8+ T cell...231,Central memory CD8+ T cell,10,-0.5492957738,-1.57382205,0.05823293173,0.1230273205,0.07683811599,CellMarker,2104,"tags=70%, list=26%, signal=52%",MYC/MAL/TSHZ2/LEF1/RCAN3/TCF7/CCR7
232,"BNT-I (D10, severe)",Activated memory B cell,Activated memory B cell...232,Activated memory B cell,7,0.6174139222,1.55822757,0.05233374196,0.1230273205,0.07683811599,CellMarker,1231,"tags=71%, list=15%, signal=61%",AICDA/HES4/DHRS9/FCER1G/STAC3
233,"BNT-I (D10, severe)",Granulocyte,Granulocyte...233,Granulocyte,6,0.6466208245,1.551217149,0.05691056911,0.1230273205,0.07683811599,CellMarker,127,"tags=50%, list=2%, signal=49%",PRTN3/MPO/AZU1
234,"BNT-I (D10, severe)",Effector regulatory T(eTreg) cell,Effector regulatory T(eTreg) cell...234,Effector regulatory T(eTreg) cell,4,-0.7117797539,-1.544624177,0.05675146771,0.1230273205,0.07683811599,CellMarker,2371,"tags=100%, list=29%, signal=71%",GNLY/GZMH/CD4
235,"BNT-I (D10, severe)",Dividing plasma B cell,Dividing plasma B cell...235,Dividing plasma B cell,3,0.7968331303,1.520233413,0.0570896029,0.1230273205,0.07683811599,CellMarker,1671,"tags=100%, list=20%, signal=80%",MKI67/MZB1/CD38
236,"BNT-I (D10, severe)",Conventional dendritic cell 2-B (cDC2-B),Conventional dendritic cell 2-B (cDC2-B)...236,Conventional dendritic cell 2-B (cDC2-B),1,0.9711397954,1.298202444,0.05775093623,0.1230273205,0.07683811599,CellMarker,238,"tags=100%, list=3%, signal=97%",CD163
237,"BNT-I (D10, severe)",M2c macrophage,M2c macrophage...237,M2c macrophage,1,0.9711397954,1.298202444,0.05775093623,0.1230273205,0.07683811599,CellMarker,238,"tags=100%, list=3%, signal=97%",CD163
238,"BNT-I (D10, severe)",B cell,B cell...238,B cell,35,0.3745790578,1.515705497,0.05913388005,0.1231955834,0.0769432065,CellMarker,646,"tags=31%, list=8%, signal=29%",CD24/TNFRSF17/CDC20/IL10/JCHAIN/MKI67/MZB1/CDK1/AIM2/NFKBIA/BCL6
239,"BNT-I (D10, severe)",Induced regulatory T (Treg) cell,Induced regulatory T (Treg) cell...239,Induced regulatory T (Treg) cell,2,-0.8292534405,-1.365788247,0.0618762475,0.1271429743,0.07940859449,CellMarker,1405,"tags=100%, list=17%, signal=83%",CD4
240,"BNT-I (D10, severe)",Central memory CD4+ T cell,Central memory CD4+ T cell...240,Central memory CD4+ T cell,10,-0.542588713,-1.554605226,0.06425702811,0.1274590586,0.07960600853,CellMarker,2104,"tags=70%, list=26%, signal=52%",MYC/MAL/TSHZ2/CD4/LEF1/TCF7/CCR7
241,"BNT-I (D10, severe)",Monocyte derived dendritic cell,Monocyte derived dendritic cell...241,Monocyte derived dendritic cell,3,-0.7933640971,-1.536908672,0.06358494496,0.1274590586,0.07960600853,CellMarker,979,"tags=67%, list=12%, signal=59%",CD1C/FCER1A
242,"BNT-I (D10, severe)",Proliferative CD4+ T cell,Proliferative CD4+ T cell...242,Proliferative CD4+ T cell,4,-0.7047236844,-1.529311891,0.06457925636,0.1274590586,0.07960600853,CellMarker,850,"tags=75%, list=10%, signal=67%",CD4/CD3D/CD3E
243,"BNT-I (D10, severe)",CD8+Â intraepithelial cell,CD8+Â intraepithelial cell...243,CD8+Â intraepithelial cell,3,-0.7895249695,-1.529471496,0.06721826351,0.1309446692,0.08178298637,CellMarker,1732,"tags=100%, list=21%, signal=79%",KLRC3/KLRC2
244,"BNT-I (D10, severe)",Effector CD8 T cell,Effector CD8 T cell...244,Effector CD8 T cell,4,-0.6900962358,-1.497569051,0.07436399217,0.1399253731,0.08739198743,CellMarker,2549,"tags=100%, list=31%, signal=69%",CCL5/GZMH/CX3CR1
245,"BNT-I (D10, severe)",Activated B cell,Activated B cell...245,Activated B cell,1,-0.959449586,-1.289469748,0.07462686567,0.1399253731,0.08739198743,CellMarker,335,"tags=100%, list=4%, signal=96%",
246,"BNT-I (D10, severe)",Conventional dendritic cell 2-A (cDC2-A),Conventional dendritic cell 2-A (cDC2-A)...246,Conventional dendritic cell 2-A (cDC2-A),1,-0.959449586,-1.289469748,0.07462686567,0.1399253731,0.08739198743,CellMarker,335,"tags=100%, list=4%, signal=96%",
247,"BNT-I (D10, severe)",Immunosuppressive neutrophil,Immunosuppressive neutrophil...247,Immunosuppressive neutrophil,2,0.8366824991,1.398024896,0.07784431138,0.1441561322,0.09003435624,CellMarker,1343,"tags=100%, list=16%, signal=84%",ARG1/ANXA1
248,"BNT-I (D10, severe)",CD141+CLEC9A+ dendritic cell,CD141+CLEC9A+ dendritic cell...248,CD141+CLEC9A+ dendritic cell,49,-0.3039088819,-1.381527896,0.08018867925,0.1466866084,0.091614794,CellMarker,1771,"tags=41%, list=22%, signal=32%",LIMA1/PDE4DIP/CD40/CLEC9A/HLA-DPB1/CYP2E1/ASB2/NCALD/HLA-DPA1/DUSP2/DPP4/DST/B3GNT7/FCRL6/NDRG2/DNASE1L3/DHRS3/ENPP1/HLA-DPB2/CLNK
249,"BNT-I (D10, severe)",Eosinophil,Eosinophil...249,Eosinophil,2,-0.8163594577,-1.344551736,0.08183632735,0.1478969771,0.09237074361,CellMarker,52,"tags=100%, list=1%, signal=99%",SIGLEC8
250,"BNT-I (D10, severe)",Memory CD8 T cell,Memory CD8 T cell...250,Memory CD8 T cell,1,-0.9495859717,-1.276213364,0.08582089552,0.1532515991,0.09571503385,CellMarker,416,"tags=100%, list=5%, signal=95%",
251,"BNT-I (D10, severe)",Effector CD8+ T cell,Effector CD8+ T cell...251,Effector CD8+ T cell,9,-0.5343379495,-1.487951416,0.08686868687,0.1532976827,0.09574381587,CellMarker,2371,"tags=78%, list=29%, signal=55%",PRF1/GNLY/GPR183/CD3D/CX3CR1/CD3E/CD8A
252,"BNT-I (D10, severe)",CD14+ monocyte,CD14+ monocyte...252,CD14+ monocyte,8,0.5445378986,1.422547939,0.09362549801,0.1633002872,0.1019910566,CellMarker,1470,"tags=62%, list=18%, signal=51%",IL1R2/S100A9/ALOX5AP/THBS1/F5
253,"BNT-I (D10, severe)",CD14+CD16+ monocyte,CD14+CD16+ monocyte...253,CD14+CD16+ monocyte,1,0.9509254749,1.2711803,0.09871244635,0.1682598517,0.1050886092,CellMarker,404,"tags=100%, list=5%, signal=95%",S100A12
254,"BNT-I (D10, severe)",CD14 monocyte,CD14 monocyte...254,CD14 monocyte,1,0.9501948368,1.270203596,0.09871244635,0.1682598517,0.1050886092,CellMarker,410,"tags=100%, list=5%, signal=95%",S100A8
255,"BNT-I (D10, severe)",Activated CD8+ T cell,Activated CD8+ T cell...255,Activated CD8+ T cell,7,-0.5729846691,-1.473000406,0.100990099,0.1683501684,0.1051450174,CellMarker,2549,"tags=86%, list=31%, signal=59%",NKG7/CCL5/GZMH/CD3D/CD3E/CD8A
256,"BNT-I (D10, severe)",Naive CD4 T cell,Naive CD4 T cell...256,Naive CD4 T cell,9,-0.5194959126,-1.446621337,0.101010101,0.1683501684,0.1051450174,CellMarker,2104,"tags=67%, list=26%, signal=50%",MYC/MAL/TSHZ2/LEF1/TCF7/CCR7
257,"BNT-I (D10, severe)",Tissue resident macrophage,Tissue resident macrophage...257,Tissue resident macrophage,2,0.8062355377,1.347150628,0.121756487,0.2006975061,0.1253479161,CellMarker,1593,"tags=100%, list=19%, signal=81%",SIGLEC1/KLF4
258,"BNT-I (D10, severe)",Activated natural killer cell,Activated natural killer cell...258,Activated natural killer cell,1,-0.9343643449,-1.255755981,0.1231343284,0.2007624919,0.1253885037,CellMarker,541,"tags=100%, list=7%, signal=93%",
259,"BNT-I (D10, severe)",Effector memory CD4+ T cell,Effector memory CD4+ T cell...259,Effector memory CD4+ T cell,4,-0.6348695566,-1.377722338,0.133072407,0.2146329146,0.1340514344,CellMarker,1215,"tags=75%, list=15%, signal=64%",GPR183/CD4/IL7R
260,"BNT-I (D10, severe)",Immature transitional B cell,Immature transitional B cell...260,Immature transitional B cell,2,0.7967360857,1.331277856,0.1417165669,0.2237630003,0.1397537335,CellMarker,1671,"tags=100%, list=20%, signal=80%",CD24/CD38
261,"BNT-I (D10, severe)",Resting naive B cell,Resting naive B cell...261,Resting naive B cell,2,0.7967360857,1.331277856,0.1417165669,0.2237630003,0.1397537335,CellMarker,1671,"tags=100%, list=20%, signal=80%",CD24/CD38
262,"BNT-I (D10, severe)",Intermediate monocyte cell,Intermediate monocyte cell...262,Intermediate monocyte cell,1,0.9315635655,1.245297643,0.1459227468,0.2280042918,0.1424026805,CellMarker,563,"tags=100%, list=7%, signal=93%",APOBEC3A
263,"BNT-I (D10, severe)",Memory B cell,Memory B cell...263,Memory B cell,9,0.485364396,1.322532154,0.1558185404,0.2409565058,0.1504921335,CellMarker,1044,"tags=44%, list=13%, signal=39%",CD24/JCHAIN/AIM2/KLF10
264,"BNT-I (D10, severe)",T helper 2(Th2) cell,T helper 2(Th2) cell...264,T helper 2(Th2) cell,7,-0.5306728875,-1.364227388,0.1623762376,0.2460246025,0.153657471,CellMarker,857,"tags=71%, list=10%, signal=64%",CXCR3/GATA3/CD4/CCR6/CCR4
265,"BNT-I (D10, severe)",Revertant memory CD8+ T(TEMRA) cell,Revertant memory CD8+ T(TEMRA) cell,Revertant memory CD8+ T(TEMRA) cell,1,-0.9188991719,-1.23497128,0.1623134328,0.2460246025,0.153657471,CellMarker,668,"tags=100%, list=8%, signal=92%",
266,"BNT-I (D26, mild)",INNATE IMMUNE SYSTEM,INNATE IMMUNE SYSTEM...266,INNATE IMMUNE SYSTEM,86,0.3185438448,1.904170379,0.0002802530798,0.003363036957,0.00324503566,ImmuneGO,859,"tags=53%, list=26%, signal=41%",DEFA4/CD177/LCN2/NFKBIA/PPARG/BPI/TARM1/ANXA3/CRISP3/CAMP/PI3/IL18RAP/S100A12/IL10/VNN1/CR1/FCER1G/MERTK/LILRA5/JMJD6/VIM/C1R/ANKHD1/MILR1/APOBEC3A/SLC15A4/TUBB4B/MAP2K6/AIF1/ALOX5/TBKBP1/RNF135/ITGAM/HMGB2/SLC18A2/LGALS3/HLA-C/MAPKAPK2/PRKCD/SLC11A1/STAT5B/JAK3/BCL10/IFNGR2/CD55/IFI30
267,"BNT-I (D26, mild)",CD1C-CD141- dendritic cell,CD1C-CD141- dendritic cell...267,CD1C-CD141- dendritic cell,73,0.5468840859,3.190104105,1.00E-10,1.37E-08,1.19E-08,CellMarker,929,"tags=78%, list=28%, signal=58%",UPP1/NFKBIZ/MS4A4A/TLR2/IRAK3/PYGL/LTA4H/LILRA6/S100A11/DUSP1/MARCKS/LILRA5/BCL2A1/TSC22D3/PELI1/RALB/SERPINA1/APOBEC3A/NAMPT/CNIH4/DOK3/S100A4/SIRPB1/AIF1/CSGALNACT2/FTH1/CDC42EP3/VASP/ALOX5/HK3/DDX60L/ABHD3/RAB24/NPL/MPP1/LGALS3/PTGER2/ITM2B/NDUFB3/CCPG1/FGD4/ASAH1/FTL/SSH2/DNASE2/TBXAS1/SLC11A1/DENND3/RNF149/SCPEP1/IFNGR2/IFI30/ALDH3B1/DENND5A/TESC/MCTP1/GNS
268,"BNT-I (D26, mild)",Neutrophil,Neutrophil...268,Neutrophil,15,0.7480761462,2.698572429,4.81E-07,3.30E-05,2.86E-05,CellMarker,220,"tags=67%, list=7%, signal=63%",MMP8/LTF/DEFA4/CD177/CEACAM8/LCN2/CAMP/S100A8/S100A9/TLR2
269,"BNT-I (D26, mild)",CD1C+_B dendritic cell,CD1C+_B dendritic cell...269,CD1C+_B dendritic cell,10,0.7912548667,2.449026759,7.38E-06,0.0003369092839,0.0002925143994,CellMarker,707,"tags=100%, list=21%, signal=79%",S100A8/PLBD1/S100A12/S100A9/MGST1/CSTA/BST1/ANXA1/CREB5/IL13RA1
270,"BNT-I (D26, mild)",Neutrophil progenitor cell,Neutrophil progenitor cell...270,Neutrophil progenitor cell,3,0.9722056186,1.881184434,2.84E-05,0.0009712314433,0.0008432512723,CellMarker,96,"tags=100%, list=3%, signal=97%",LTF/LCN2/CAMP
271,"BNT-I (D26, mild)",B cell,B cell...271,B cell,31,-0.6493110632,-2.531272126,0.0001546461553,0.004237304654,0.003678950641,CellMarker,452,"tags=68%, list=13%, signal=59%",CD40/CD72/CD5/CD79B/BLNK/BACH2/BANK1/VPREB3/CD19/FCRL1/CCR7/MS4A1/CD22/TNFRSF13C/CR2/FCER2/FCRLA/PAX5/CD79A/SPIB/TCL1A
272,"BNT-I (D26, mild)",M2 macrophage,M2 macrophage...272,M2 macrophage,3,0.9360430365,1.811211081,0.0003650792458,0.008335976113,0.007237535926,CellMarker,217,"tags=100%, list=6%, signal=94%",ARG1/MS4A4A/IL10
273,"BNT-I (D26, mild)",Naive CD8+ T cell,Naive CD8+ T cell...273,Naive CD8+ T cell,50,-0.5050081265,-2.203901861,0.00131068554,0.02565198842,0.0222717994,CellMarker,705,"tags=54%, list=21%, signal=43%",LMO7/THEM4/LDLRAP1/ABLIM1/RCAN3/PASK/LEF1/PLEKHB1/SNED1/TRABD2A/LINC01550/FAM102A/CAMK4/APBA2/TMEM204/TCF7/GCSAM/IL7R/S1PR1/NELL2/BACH2/NT5E/CCR7/LEF1-AS1/CD248/NOG/LRRN3
274,"BNT-I (D26, mild)",Naive B cell,Naive B cell...274,Naive B cell,13,-0.7225993647,-2.228978611,0.001766722153,0.03025511687,0.02626836885,CellMarker,176,"tags=62%, list=5%, signal=59%",BCL7A/CD19/MS4A1/PCDH9/FCER2/PAX5/CD79A/TCL1A
275,"BNT-I (D26, mild)",Naive CD4+ T cell,Naive CD4+ T cell...275,Naive CD4+ T cell,16,-0.6669843739,-2.150936317,0.002816076475,0.04286694189,0.03721832066,CellMarker,635,"tags=75%, list=19%, signal=61%",LDLRAP1/ABLIM1/LEF1/TESPA1/TRABD2A/TMEM204/TCF7/IL7R/S1PR1/NELL2/CCR7/LRRN3
276,"BNT-I (D26, mild)",Plasma cell,Plasma cell...276,Plasma cell,3,-0.9004781829,-1.701195915,0.004575375782,0.06268264822,0.05442289088,CellMarker,337,"tags=100%, list=10%, signal=90%",CD19/CD79A
277,"BNT-I (D26, mild)",Granulocyte-monocyte progenitor,Granulocyte-monocyte progenitor...277,Granulocyte-monocyte progenitor,26,0.438973245,1.946310913,0.005485091465,0.06831432097,0.0593124723,CellMarker,631,"tags=65%, list=19%, signal=53%",METTL7B/CST7/RMI2/PYGL/UBE2J1/MGST1/KIAA0101/VIM/CLSPN/PLEK/IGFBP7/SERPINB1/M1AP/AP3S1/CSTA/SELL/ANXA1
278,"BNT-I (D26, mild)",Classical monocyte,Classical monocyte...278,Classical monocyte,9,0.6100600302,1.813144992,0.008523949822,0.0973150938,0.08449178333,CellMarker,349,"tags=56%, list=10%, signal=50%",S100A8/PLBD1/S100A12/S100A9/BASP1
279,"BNT-I (D26, mild)",Memory B cell,Memory B cell...279,Memory B cell,7,-0.6921473244,-1.761832398,0.01424187312,0.1300757745,0.1129355553,CellMarker,236,"tags=71%, list=7%, signal=67%",TCF7/CD19/MS4A1/CD22/CD79A
280,"BNT-I (D26, mild)",CD14+ monocyte,CD14+ monocyte...280,CD14+ monocyte,4,0.7940209268,1.708903951,0.01407604766,0.1300757745,0.1129355553,CellMarker,693,"tags=100%, list=21%, signal=79%",IL1R2/S100A9/F5/ALOX5AP
281,"BNT-I (D26, mild)",Pan-B cell,Pan-B cell...281,Pan-B cell,3,-0.8583383144,-1.621584689,0.01368521789,0.1300757745,0.1129355553,CellMarker,478,"tags=100%, list=14%, signal=86%",CD19/CXCR5
282,"BNT-I (D26, mild)",CD4+ recently activated effector memory or effector T cell (CTL),CD4+ recently activated effector memory or effector T cell (CTL)...282,CD4+ recently activated effector memory or effector T cell (CTL),6,-0.743643434,-1.778620465,0.01877155255,0.1428723722,0.1240459321,CellMarker,864,"tags=100%, list=26%, signal=74%",PRF1/GNLY/TBX21/KLRG1/S1PR1
283,"BNT-I (D26, mild)",CD8+ recently activated effector memory or effector T cell (CTL),CD8+ recently activated effector memory or effector T cell (CTL)...283,CD8+ recently activated effector memory or effector T cell (CTL),6,-0.743643434,-1.778620465,0.01877155255,0.1428723722,0.1240459321,CellMarker,864,"tags=100%, list=26%, signal=74%",PRF1/TBX21/KLRG1/EOMES/S1PR1
284,"BNT-I (D26, mild)",Activated CD4+ T cell,Activated CD4+ T cell...284,Activated CD4+ T cell,7,-0.6816737454,-1.735172336,0.01811334165,0.1428723722,0.1240459321,CellMarker,478,"tags=86%, list=14%, signal=74%",CD3E/CCR6/TCF7/IL7R/CD19/CCR7
285,"BNT-I (D26, mild)",Mature B cell,Mature B cell,Mature B cell,3,-0.8289807481,-1.566121966,0.02401285588,0.1731453292,0.1503297903,CellMarker,140,"tags=67%, list=4%, signal=64%",CD19/CD79A
286,"BNT-I (D26, mild)",CD4+ T cell,CD4+ T cell...286,CD4+ T cell,21,-0.4709855986,-1.638660756,0.05689655172,0.1968272972,0.1708911609,CellMarker,617,"tags=57%, list=18%, signal=47%",CD3E/CDR2/TIGIT/IKZF2/CCR6/CD3G/FAM102A/TCF7/IL7R/CCR7/CD79A/LRRN3
287,"BNT-I (D26, mild)",Central memory CD8+ T cell,Central memory CD8+ T cell...287,Central memory CD8+ T cell,5,-0.7169393386,-1.623282574,0.04044569807,0.1968272972,0.1708911609,CellMarker,510,"tags=80%, list=15%, signal=68%",RCAN3/LEF1/TCF7/CCR7
288,"BNT-I (D26, mild)",Regulatory T(Treg) cell,Regulatory T(Treg) cell...288,Regulatory T(Treg) cell,8,-0.5992288957,-1.606510197,0.06352943139,0.1968272972,0.1708911609,CellMarker,864,"tags=75%, list=26%, signal=56%",CD3E/CDC25B/TIGIT/IKZF2/BACH2/CCR7
289,"BNT-I (D26, mild)",AXL+SIGLEC6+ dendritic cell,AXL+SIGLEC6+ dendritic cell...289,AXL+SIGLEC6+ dendritic cell,18,-0.4687314547,-1.56606752,0.07167832168,0.1968272972,0.1708911609,CellMarker,539,"tags=44%, list=16%, signal=37%",KLF12/LAX1/CD72/CD5/LTK/SIGLEC6/CD22/CDH1
290,"BNT-I (D26, mild)",Memory CD4+ T cell,Memory CD4+ T cell...290,Memory CD4+ T cell,9,-0.5519492528,-1.545195712,0.06060606061,0.1968272972,0.1708911609,CellMarker,952,"tags=78%, list=28%, signal=56%",GPR183/CD3E/CCR6/AQP3/IL7R/S1PR1/CCR7
