condition,direction,term_ancestor,n_genes,n_genes_total,n_genes_perc
Ebola/VV (D3),DOWN,Immune system,2,8,25
Ebola/VV (D3),DOWN,Interspecies interaction,3,8,37.5
Ebola/VV (D3),DOWN,Metabolism,4,8,50
Ebola/VV (D3),DOWN,Not mapped,1,8,12.5
Ebola/VV (D3),DOWN,Reg. of BP,5,8,62.5
Ebola/VV (D3),NEUTRAL,Cellular,1597,1730,92.3
Ebola/VV (D3),NEUTRAL,Immune system,382,1730,22.1
Ebola/VV (D3),NEUTRAL,Interspecies interaction,247,1730,14.3
Ebola/VV (D3),NEUTRAL,Metabolism,1199,1730,69.3
Ebola/VV (D3),NEUTRAL,Not mapped,87,1730,5
Ebola/VV (D3),NEUTRAL,Reg. of BP,1213,1730,70.1
Ebola/VV (D3),UP,Cellular,49,57,86
Ebola/VV (D3),UP,Immune system,35,57,61.4
Ebola/VV (D3),UP,Interspecies interaction,39,57,68.4
Ebola/VV (D3),UP,Metabolism,31,57,54.4
Ebola/VV (D3),UP,Not mapped,3,57,5.3
Ebola/VV (D3),UP,Reg. of BP,46,57,80.7
Ebola/VV (D7),DOWN,Cellular,1,1,100
Ebola/VV (D7),DOWN,Metabolism,1,1,100
Ebola/VV (D7),DOWN,Reg. of BP,1,1,100
Ebola/VV (D7),NEUTRAL,Cellular,586,636,92.1
Ebola/VV (D7),NEUTRAL,Immune system,175,636,27.5
Ebola/VV (D7),NEUTRAL,Interspecies interaction,115,636,18.1
Ebola/VV (D7),NEUTRAL,Metabolism,418,636,65.7
Ebola/VV (D7),NEUTRAL,Not mapped,38,636,6
Ebola/VV (D7),NEUTRAL,Reg. of BP,457,636,71.9
Ebola/VV (D7),UP,Cellular,17,19,89.5
Ebola/VV (D7),UP,Immune system,15,19,78.9
Ebola/VV (D7),UP,Interspecies interaction,18,19,94.7
Ebola/VV (D7),UP,Metabolism,10,19,52.6
Ebola/VV (D7),UP,Reg. of BP,17,19,89.5
HIV/VV (D1),DOWN,Cellular,76,81,93.8
HIV/VV (D1),DOWN,Immune system,36,81,44.4
HIV/VV (D1),DOWN,Interspecies interaction,14,81,17.3
HIV/VV (D1),DOWN,Metabolism,59,81,72.8
HIV/VV (D1),DOWN,Not mapped,3,81,3.7
HIV/VV (D1),DOWN,Reg. of BP,60,81,74.1
HIV/VV (D1),NEUTRAL,Cellular,1300,1388,93.7
HIV/VV (D1),NEUTRAL,Immune system,328,1388,23.6
HIV/VV (D1),NEUTRAL,Interspecies interaction,212,1388,15.3
HIV/VV (D1),NEUTRAL,Metabolism,982,1388,70.7
HIV/VV (D1),NEUTRAL,Not mapped,59,1388,4.3
HIV/VV (D1),NEUTRAL,Reg. of BP,969,1388,69.8
HIV/VV (D1),UP,Cellular,206,232,88.8
HIV/VV (D1),UP,Immune system,105,232,45.3
HIV/VV (D1),UP,Interspecies interaction,98,232,42.2
HIV/VV (D1),UP,Metabolism,150,232,64.7
HIV/VV (D1),UP,Not mapped,12,232,5.2
HIV/VV (D1),UP,Reg. of BP,177,232,76.3
HIV/VV (D3),DOWN,Cellular,1,2,50
HIV/VV (D3),DOWN,Immune system,1,2,50
HIV/VV (D3),DOWN,Reg. of BP,2,2,100
HIV/VV (D3),NEUTRAL,Cellular,370,406,91.1
HIV/VV (D3),NEUTRAL,Immune system,129,406,31.8
HIV/VV (D3),NEUTRAL,Interspecies interaction,92,406,22.7
HIV/VV (D3),NEUTRAL,Metabolism,288,406,70.9
HIV/VV (D3),NEUTRAL,Not mapped,20,406,4.9
HIV/VV (D3),NEUTRAL,Reg. of BP,302,406,74.4
HIV/VV (D3),UP,Cellular,44,50,88
HIV/VV (D3),UP,Immune system,35,50,70
HIV/VV (D3),UP,Interspecies interaction,35,50,70
HIV/VV (D3),UP,Metabolism,28,50,56
HIV/VV (D3),UP,Not mapped,3,50,6
HIV/VV (D3),UP,Reg. of BP,41,50,82
HIV/VV (D7),NEUTRAL,Cellular,61,66,92.4
HIV/VV (D7),NEUTRAL,Immune system,17,66,25.8
HIV/VV (D7),NEUTRAL,Interspecies interaction,14,66,21.2
HIV/VV (D7),NEUTRAL,Metabolism,41,66,62.1
HIV/VV (D7),NEUTRAL,Not mapped,3,66,4.5
HIV/VV (D7),NEUTRAL,Reg. of BP,45,66,68.2
HIV/VV (D7),UP,Cellular,3,4,75
HIV/VV (D7),UP,Immune system,3,4,75
HIV/VV (D7),UP,Interspecies interaction,2,4,50
HIV/VV (D7),UP,Reg. of BP,3,4,75
Hepatitis A/B/IN/SU (D7),NEUTRAL,Cellular,354,378,93.7
Hepatitis A/B/IN/SU (D7),NEUTRAL,Immune system,73,378,19.3
Hepatitis A/B/IN/SU (D7),NEUTRAL,Interspecies interaction,57,378,15.1
Hepatitis A/B/IN/SU (D7),NEUTRAL,Metabolism,269,378,71.2
Hepatitis A/B/IN/SU (D7),NEUTRAL,Not mapped,15,378,4
Hepatitis A/B/IN/SU (D7),NEUTRAL,Reg. of BP,277,378,73.3
I (D0-4),DOWN,Cellular,197,244,80.7
I (D0-4),DOWN,Immune system,47,244,19.3
I (D0-4),DOWN,Interspecies interaction,21,244,8.6
I (D0-4),DOWN,Metabolism,113,244,46.3
I (D0-4),DOWN,Not mapped,37,244,15.2
I (D0-4),DOWN,Reg. of BP,156,244,63.9
I (D0-4),NEUTRAL,Cellular,3470,4028,86.1
I (D0-4),NEUTRAL,Immune system,531,4028,13.2
I (D0-4),NEUTRAL,Interspecies interaction,363,4028,9
I (D0-4),NEUTRAL,Metabolism,2612,4028,64.8
I (D0-4),NEUTRAL,Not mapped,433,4028,10.7
I (D0-4),NEUTRAL,Reg. of BP,2419,4028,60.1
I (D0-4),UP,Cellular,505,602,83.9
I (D0-4),UP,Immune system,184,602,30.6
I (D0-4),UP,Interspecies interaction,160,602,26.6
I (D0-4),UP,Metabolism,321,602,53.3
I (D0-4),UP,Not mapped,70,602,11.6
I (D0-4),UP,Reg. of BP,407,602,67.6
"I (D10, hospital)",DOWN,Cellular,1171,1375,85.2
"I (D10, hospital)",DOWN,Immune system,221,1375,16.1
"I (D10, hospital)",DOWN,Interspecies interaction,128,1375,9.3
"I (D10, hospital)",DOWN,Metabolism,748,1375,54.4
"I (D10, hospital)",DOWN,Not mapped,164,1375,11.9
"I (D10, hospital)",DOWN,Reg. of BP,876,1375,63.7
"I (D10, hospital)",NEUTRAL,Cellular,2905,3335,87.1
"I (D10, hospital)",NEUTRAL,Immune system,400,3335,12
"I (D10, hospital)",NEUTRAL,Interspecies interaction,271,3335,8.1
"I (D10, hospital)",NEUTRAL,Metabolism,2333,3335,70
"I (D10, hospital)",NEUTRAL,Not mapped,319,3335,9.6
"I (D10, hospital)",NEUTRAL,Reg. of BP,2031,3335,60.9
"I (D10, hospital)",UP,Cellular,1413,1685,83.9
"I (D10, hospital)",UP,Immune system,298,1685,17.7
"I (D10, hospital)",UP,Interspecies interaction,248,1685,14.7
"I (D10, hospital)",UP,Metabolism,970,1685,57.6
"I (D10, hospital)",UP,Not mapped,203,1685,12
"I (D10, hospital)",UP,Reg. of BP,1058,1685,62.8
"I (D26, hospital)",DOWN,Cellular,1057,1253,84.4
"I (D26, hospital)",DOWN,Immune system,214,1253,17.1
"I (D26, hospital)",DOWN,Interspecies interaction,120,1253,9.6
"I (D26, hospital)",DOWN,Metabolism,683,1253,54.5
"I (D26, hospital)",DOWN,Not mapped,158,1253,12.6
"I (D26, hospital)",DOWN,Reg. of BP,799,1253,63.8
"I (D26, hospital)",NEUTRAL,Cellular,2626,2998,87.6
"I (D26, hospital)",NEUTRAL,Immune system,378,2998,12.6
"I (D26, hospital)",NEUTRAL,Interspecies interaction,245,2998,8.2
"I (D26, hospital)",NEUTRAL,Metabolism,2089,2998,69.7
"I (D26, hospital)",NEUTRAL,Not mapped,286,2998,9.5
"I (D26, hospital)",NEUTRAL,Reg. of BP,1856,2998,61.9
"I (D26, hospital)",UP,Cellular,1042,1251,83.3
"I (D26, hospital)",UP,Immune system,209,1251,16.7
"I (D26, hospital)",UP,Interspecies interaction,159,1251,12.7
"I (D26, hospital)",UP,Metabolism,717,1251,57.3
"I (D26, hospital)",UP,Not mapped,155,1251,12.4
"I (D26, hospital)",UP,Reg. of BP,784,1251,62.7
"I (D51, hospital)",DOWN,Cellular,310,374,82.9
"I (D51, hospital)",DOWN,Immune system,53,374,14.2
"I (D51, hospital)",DOWN,Interspecies interaction,31,374,8.3
"I (D51, hospital)",DOWN,Metabolism,201,374,53.7
"I (D51, hospital)",DOWN,Not mapped,54,374,14.4
"I (D51, hospital)",DOWN,Reg. of BP,238,374,63.6
"I (D51, hospital)",NEUTRAL,Cellular,1773,2032,87.3
"I (D51, hospital)",NEUTRAL,Immune system,238,2032,11.7
"I (D51, hospital)",NEUTRAL,Interspecies interaction,172,2032,8.5
"I (D51, hospital)",NEUTRAL,Metabolism,1435,2032,70.6
"I (D51, hospital)",NEUTRAL,Not mapped,203,2032,10
"I (D51, hospital)",NEUTRAL,Reg. of BP,1245,2032,61.3
"I (D51, hospital)",UP,Cellular,805,931,86.5
"I (D51, hospital)",UP,Immune system,197,931,21.2
"I (D51, hospital)",UP,Interspecies interaction,149,931,16
"I (D51, hospital)",UP,Metabolism,562,931,60.4
"I (D51, hospital)",UP,Not mapped,90,931,9.7
"I (D51, hospital)",UP,Reg. of BP,631,931,67.8
I-BNT (D5),DOWN,Cellular,429,533,80.5
I-BNT (D5),DOWN,Immune system,112,533,21
I-BNT (D5),DOWN,Interspecies interaction,66,533,12.4
I-BNT (D5),DOWN,Metabolism,260,533,48.8
I-BNT (D5),DOWN,Not mapped,89,533,16.7
I-BNT (D5),DOWN,Reg. of BP,330,533,61.9
I-BNT (D5),NEUTRAL,Cellular,887,1028,86.3
I-BNT (D5),NEUTRAL,Immune system,162,1028,15.8
I-BNT (D5),NEUTRAL,Interspecies interaction,101,1028,9.8
I-BNT (D5),NEUTRAL,Metabolism,662,1028,64.4
I-BNT (D5),NEUTRAL,Not mapped,117,1028,11.4
I-BNT (D5),NEUTRAL,Reg. of BP,642,1028,62.5
I-BNT (D5),UP,Cellular,185,236,78.4
I-BNT (D5),UP,Immune system,23,236,9.7
I-BNT (D5),UP,Interspecies interaction,9,236,3.8
I-BNT (D5),UP,Metabolism,105,236,44.5
I-BNT (D5),UP,Not mapped,48,236,20.3
I-BNT (D5),UP,Reg. of BP,121,236,51.3
I-I (D0-5),DOWN,Cellular,171,199,85.9
I-I (D0-5),DOWN,Immune system,25,199,12.6
I-I (D0-5),DOWN,Interspecies interaction,10,199,5
I-I (D0-5),DOWN,Metabolism,102,199,51.3
I-I (D0-5),DOWN,Not mapped,21,199,10.6
I-I (D0-5),DOWN,Reg. of BP,129,199,64.8
I-I (D0-5),NEUTRAL,Cellular,1197,1394,85.9
I-I (D0-5),NEUTRAL,Immune system,209,1394,15
I-I (D0-5),NEUTRAL,Interspecies interaction,138,1394,9.9
I-I (D0-5),NEUTRAL,Metabolism,914,1394,65.6
I-I (D0-5),NEUTRAL,Not mapped,152,1394,10.9
I-I (D0-5),NEUTRAL,Reg. of BP,826,1394,59.3
I-I (D0-5),UP,Cellular,364,419,86.9
I-I (D0-5),UP,Immune system,132,419,31.5
I-I (D0-5),UP,Interspecies interaction,118,419,28.2
I-I (D0-5),UP,Metabolism,244,419,58.2
I-I (D0-5),UP,Not mapped,37,419,8.8
I-I (D0-5),UP,Reg. of BP,296,419,70.6
Influenza/IN (D1),DOWN,Cellular,1,1,100
Influenza/IN (D1),DOWN,Interspecies interaction,1,1,100
Influenza/IN (D1),DOWN,Metabolism,1,1,100
Influenza/IN (D1),DOWN,Reg. of BP,1,1,100
Influenza/IN (D1),NEUTRAL,Cellular,3382,3673,92.1
Influenza/IN (D1),NEUTRAL,Immune system,789,3673,21.5
Influenza/IN (D1),NEUTRAL,Interspecies interaction,537,3673,14.6
Influenza/IN (D1),NEUTRAL,Metabolism,2619,3673,71.3
Influenza/IN (D1),NEUTRAL,Not mapped,199,3673,5.4
Influenza/IN (D1),NEUTRAL,Reg. of BP,2475,3673,67.4
Influenza/IN (D1),UP,Cellular,8,10,80
Influenza/IN (D1),UP,Immune system,6,10,60
Influenza/IN (D1),UP,Interspecies interaction,6,10,60
Influenza/IN (D1),UP,Metabolism,7,10,70
Influenza/IN (D1),UP,Reg. of BP,9,10,90
Influenza/IN (D10),NEUTRAL,Cellular,77,82,93.9
Influenza/IN (D10),NEUTRAL,Immune system,20,82,24.4
Influenza/IN (D10),NEUTRAL,Interspecies interaction,15,82,18.3
Influenza/IN (D10),NEUTRAL,Metabolism,57,82,69.5
Influenza/IN (D10),NEUTRAL,Not mapped,4,82,4.9
Influenza/IN (D10),NEUTRAL,Reg. of BP,56,82,68.3
Influenza/IN (D14),NEUTRAL,Cellular,450,481,93.6
Influenza/IN (D14),NEUTRAL,Immune system,86,481,17.9
Influenza/IN (D14),NEUTRAL,Interspecies interaction,50,481,10.4
Influenza/IN (D14),NEUTRAL,Metabolism,349,481,72.6
Influenza/IN (D14),NEUTRAL,Not mapped,21,481,4.4
Influenza/IN (D14),NEUTRAL,Reg. of BP,311,481,64.7
Influenza/IN (D2),NEUTRAL,Cellular,420,454,92.5
Influenza/IN (D2),NEUTRAL,Immune system,86,454,18.9
Influenza/IN (D2),NEUTRAL,Interspecies interaction,54,454,11.9
Influenza/IN (D2),NEUTRAL,Metabolism,321,454,70.7
Influenza/IN (D2),NEUTRAL,Not mapped,20,454,4.4
Influenza/IN (D2),NEUTRAL,Reg. of BP,292,454,64.3
Influenza/IN (D21),NEUTRAL,Cellular,103,107,96.3
Influenza/IN (D21),NEUTRAL,Immune system,20,107,18.7
Influenza/IN (D21),NEUTRAL,Interspecies interaction,7,107,6.5
Influenza/IN (D21),NEUTRAL,Metabolism,82,107,76.6
Influenza/IN (D21),NEUTRAL,Not mapped,2,107,1.9
Influenza/IN (D21),NEUTRAL,Reg. of BP,78,107,72.9
Influenza/IN (D28),NEUTRAL,Cellular,766,814,94.1
Influenza/IN (D28),NEUTRAL,Immune system,155,814,19
Influenza/IN (D28),NEUTRAL,Interspecies interaction,118,814,14.5
Influenza/IN (D28),NEUTRAL,Metabolism,605,814,74.3
Influenza/IN (D28),NEUTRAL,Not mapped,30,814,3.7
Influenza/IN (D28),NEUTRAL,Reg. of BP,551,814,67.7
Influenza/IN (D3),NEUTRAL,Cellular,1005,1080,93.1
Influenza/IN (D3),NEUTRAL,Immune system,264,1080,24.4
Influenza/IN (D3),NEUTRAL,Interspecies interaction,171,1080,15.8
Influenza/IN (D3),NEUTRAL,Metabolism,756,1080,70
Influenza/IN (D3),NEUTRAL,Not mapped,45,1080,4.2
Influenza/IN (D3),NEUTRAL,Reg. of BP,754,1080,69.8
Influenza/IN (D4),DOWN,Cellular,5,5,100
Influenza/IN (D4),DOWN,Interspecies interaction,1,5,20
Influenza/IN (D4),DOWN,Metabolism,4,5,80
Influenza/IN (D4),DOWN,Reg. of BP,4,5,80
Influenza/IN (D4),NEUTRAL,Cellular,530,564,94
Influenza/IN (D4),NEUTRAL,Immune system,92,564,16.3
Influenza/IN (D4),NEUTRAL,Interspecies interaction,64,564,11.3
Influenza/IN (D4),NEUTRAL,Metabolism,416,564,73.8
Influenza/IN (D4),NEUTRAL,Not mapped,24,564,4.3
Influenza/IN (D4),NEUTRAL,Reg. of BP,398,564,70.6
Influenza/IN (D4),UP,Cellular,2,2,100
Influenza/IN (D4),UP,Metabolism,1,2,50
Influenza/IN (D4),UP,Reg. of BP,2,2,100
Influenza/IN (D5),NEUTRAL,Cellular,20,25,80
Influenza/IN (D5),NEUTRAL,Immune system,6,25,24
Influenza/IN (D5),NEUTRAL,Interspecies interaction,6,25,24
Influenza/IN (D5),NEUTRAL,Metabolism,19,25,76
Influenza/IN (D5),NEUTRAL,Not mapped,2,25,8
Influenza/IN (D5),NEUTRAL,Reg. of BP,15,25,60
Influenza/IN (D6),NEUTRAL,Cellular,21,24,87.5
Influenza/IN (D6),NEUTRAL,Immune system,2,24,8.3
Influenza/IN (D6),NEUTRAL,Interspecies interaction,1,24,4.2
Influenza/IN (D6),NEUTRAL,Metabolism,18,24,75
Influenza/IN (D6),NEUTRAL,Not mapped,1,24,4.2
Influenza/IN (D6),NEUTRAL,Reg. of BP,18,24,75
Influenza/IN (D6),UP,Cellular,1,1,100
Influenza/IN (D6),UP,Immune system,1,1,100
Influenza/IN (D6),UP,Reg. of BP,1,1,100
Influenza/IN (D7),NEUTRAL,Cellular,934,1014,92.1
Influenza/IN (D7),NEUTRAL,Immune system,243,1014,24
Influenza/IN (D7),NEUTRAL,Interspecies interaction,165,1014,16.3
Influenza/IN (D7),NEUTRAL,Metabolism,694,1014,68.4
Influenza/IN (D7),NEUTRAL,Not mapped,47,1014,4.6
Influenza/IN (D7),NEUTRAL,Reg. of BP,681,1014,67.2
Influenza/IN (D7),UP,Cellular,1,1,100
Influenza/IN (D7),UP,Immune system,1,1,100
Influenza/IN (D7),UP,Reg. of BP,1,1,100
Influenza/IN (D70),NEUTRAL,Cellular,333,356,93.5
Influenza/IN (D70),NEUTRAL,Immune system,85,356,23.9
Influenza/IN (D70),NEUTRAL,Interspecies interaction,55,356,15.4
Influenza/IN (D70),NEUTRAL,Metabolism,260,356,73
Influenza/IN (D70),NEUTRAL,Not mapped,16,356,4.5
Influenza/IN (D70),NEUTRAL,Reg. of BP,269,356,75.6
Influenza/IN (D8),NEUTRAL,Cellular,3,5,60
Influenza/IN (D8),NEUTRAL,Interspecies interaction,1,5,20
Influenza/IN (D8),NEUTRAL,Metabolism,2,5,40
Influenza/IN (D8),NEUTRAL,Not mapped,2,5,40
Influenza/IN (D8),NEUTRAL,Reg. of BP,3,5,60
Influenza/IN (D9),NEUTRAL,Cellular,14,14,100
Influenza/IN (D9),NEUTRAL,Immune system,3,14,21.4
Influenza/IN (D9),NEUTRAL,Metabolism,10,14,71.4
Influenza/IN (D9),NEUTRAL,Reg. of BP,11,14,78.6
Influenza/LA (D3),DOWN,Cellular,5,5,100
Influenza/LA (D3),DOWN,Immune system,1,5,20
Influenza/LA (D3),DOWN,Interspecies interaction,2,5,40
Influenza/LA (D3),DOWN,Metabolism,3,5,60
Influenza/LA (D3),DOWN,Reg. of BP,5,5,100
Influenza/LA (D3),NEUTRAL,Cellular,708,759,93.3
Influenza/LA (D3),NEUTRAL,Immune system,175,759,23.1
Influenza/LA (D3),NEUTRAL,Interspecies interaction,133,759,17.5
Influenza/LA (D3),NEUTRAL,Metabolism,594,759,78.3
Influenza/LA (D3),NEUTRAL,Not mapped,30,759,4
Influenza/LA (D3),NEUTRAL,Reg. of BP,537,759,70.8
Influenza/LA (D7),DOWN,Cellular,8,8,100
Influenza/LA (D7),DOWN,Immune system,1,8,12.5
Influenza/LA (D7),DOWN,Interspecies interaction,2,8,25
Influenza/LA (D7),DOWN,Metabolism,7,8,87.5
Influenza/LA (D7),DOWN,Reg. of BP,8,8,100
Influenza/LA (D7),NEUTRAL,Cellular,780,830,94
Influenza/LA (D7),NEUTRAL,Immune system,180,830,21.7
Influenza/LA (D7),NEUTRAL,Interspecies interaction,139,830,16.7
Influenza/LA (D7),NEUTRAL,Metabolism,636,830,76.6
Influenza/LA (D7),NEUTRAL,Not mapped,32,830,3.9
Influenza/LA (D7),NEUTRAL,Reg. of BP,580,830,69.9
Influenza/LA (D7),UP,Cellular,2,2,100
Influenza/LA (D7),UP,Metabolism,2,2,100
Influenza/LA (D7),UP,Reg. of BP,1,2,50
Malaria/SU (D1),DOWN,Cellular,9,9,100
Malaria/SU (D1),DOWN,Immune system,4,9,44.4
Malaria/SU (D1),DOWN,Interspecies interaction,3,9,33.3
Malaria/SU (D1),DOWN,Metabolism,4,9,44.4
Malaria/SU (D1),DOWN,Reg. of BP,8,9,88.9
Malaria/SU (D1),NEUTRAL,Cellular,3117,3407,91.5
Malaria/SU (D1),NEUTRAL,Immune system,709,3407,20.8
Malaria/SU (D1),NEUTRAL,Interspecies interaction,475,3407,13.9
Malaria/SU (D1),NEUTRAL,Metabolism,2472,3407,72.6
Malaria/SU (D1),NEUTRAL,Not mapped,175,3407,5.1
Malaria/SU (D1),NEUTRAL,Reg. of BP,2276,3407,66.8
Malaria/SU (D1),UP,Cellular,69,74,93.2
Malaria/SU (D1),UP,Immune system,43,74,58.1
Malaria/SU (D1),UP,Interspecies interaction,36,74,48.6
Malaria/SU (D1),UP,Metabolism,49,74,66.2
Malaria/SU (D1),UP,Reg. of BP,65,74,87.8
Malaria/SU (D14),DOWN,Cellular,9,10,90
Malaria/SU (D14),DOWN,Immune system,1,10,10
Malaria/SU (D14),DOWN,Metabolism,7,10,70
Malaria/SU (D14),DOWN,Not mapped,1,10,10
Malaria/SU (D14),DOWN,Reg. of BP,6,10,60
Malaria/SU (D14),NEUTRAL,Cellular,2966,3218,92.2
Malaria/SU (D14),NEUTRAL,Immune system,479,3218,14.9
Malaria/SU (D14),NEUTRAL,Interspecies interaction,319,3218,9.9
Malaria/SU (D14),NEUTRAL,Metabolism,2211,3218,68.7
Malaria/SU (D14),NEUTRAL,Not mapped,158,3218,4.9
Malaria/SU (D14),NEUTRAL,Reg. of BP,2184,3218,67.9
Malaria/SU (D3),DOWN,Cellular,2,2,100
Malaria/SU (D3),DOWN,Immune system,1,2,50
Malaria/SU (D3),DOWN,Interspecies interaction,1,2,50
Malaria/SU (D3),DOWN,Metabolism,2,2,100
Malaria/SU (D3),DOWN,Reg. of BP,2,2,100
Malaria/SU (D3),NEUTRAL,Cellular,841,913,92.1
Malaria/SU (D3),NEUTRAL,Immune system,198,913,21.7
Malaria/SU (D3),NEUTRAL,Interspecies interaction,137,913,15
Malaria/SU (D3),NEUTRAL,Metabolism,641,913,70.2
Malaria/SU (D3),NEUTRAL,Not mapped,49,913,5.4
Malaria/SU (D3),NEUTRAL,Reg. of BP,649,913,71.1
Meningococcus/CONJ (D3),NEUTRAL,Cellular,38,40,95
Meningococcus/CONJ (D3),NEUTRAL,Immune system,9,40,22.5
Meningococcus/CONJ (D3),NEUTRAL,Interspecies interaction,5,40,12.5
Meningococcus/CONJ (D3),NEUTRAL,Metabolism,28,40,70
Meningococcus/CONJ (D3),NEUTRAL,Not mapped,1,40,2.5
Meningococcus/CONJ (D3),NEUTRAL,Reg. of BP,23,40,57.5
Meningococcus/CONJ (D7),NEUTRAL,Cellular,404,444,91
Meningococcus/CONJ (D7),NEUTRAL,Immune system,70,444,15.8
Meningococcus/CONJ (D7),NEUTRAL,Interspecies interaction,43,444,9.7
Meningococcus/CONJ (D7),NEUTRAL,Metabolism,301,444,67.8
Meningococcus/CONJ (D7),NEUTRAL,Not mapped,30,444,6.8
Meningococcus/CONJ (D7),NEUTRAL,Reg. of BP,279,444,62.8
Meningococcus/CONJ (D7),UP,Cellular,24,26,92.3
Meningococcus/CONJ (D7),UP,Immune system,7,26,26.9
Meningococcus/CONJ (D7),UP,Interspecies interaction,4,26,15.4
Meningococcus/CONJ (D7),UP,Metabolism,18,26,69.2
Meningococcus/CONJ (D7),UP,Not mapped,1,26,3.8
Meningococcus/CONJ (D7),UP,Reg. of BP,20,26,76.9
Meningococcus/PS (D3),NEUTRAL,Cellular,15,16,93.8
Meningococcus/PS (D3),NEUTRAL,Immune system,1,16,6.2
Meningococcus/PS (D3),NEUTRAL,Interspecies interaction,2,16,12.5
Meningococcus/PS (D3),NEUTRAL,Metabolism,14,16,87.5
Meningococcus/PS (D3),NEUTRAL,Not mapped,1,16,6.2
Meningococcus/PS (D3),NEUTRAL,Reg. of BP,11,16,68.8
Meningococcus/PS (D7),NEUTRAL,Cellular,18,21,85.7
Meningococcus/PS (D7),NEUTRAL,Immune system,4,21,19
Meningococcus/PS (D7),NEUTRAL,Interspecies interaction,2,21,9.5
Meningococcus/PS (D7),NEUTRAL,Metabolism,10,21,47.6
Meningococcus/PS (D7),NEUTRAL,Not mapped,3,21,14.3
Meningococcus/PS (D7),NEUTRAL,Reg. of BP,11,21,52.4
Pneumococcus/PS (D1),NEUTRAL,Cellular,320,341,93.8
Pneumococcus/PS (D1),NEUTRAL,Immune system,111,341,32.6
Pneumococcus/PS (D1),NEUTRAL,Interspecies interaction,73,341,21.4
Pneumococcus/PS (D1),NEUTRAL,Metabolism,242,341,71
Pneumococcus/PS (D1),NEUTRAL,Not mapped,15,341,4.4
Pneumococcus/PS (D1),NEUTRAL,Reg. of BP,237,341,69.5
Pneumococcus/PS (D1),UP,Cellular,1,1,100
Pneumococcus/PS (D1),UP,Reg. of BP,1,1,100
Pneumococcus/PS (D10),NEUTRAL,Cellular,38,44,86.4
Pneumococcus/PS (D10),NEUTRAL,Immune system,6,44,13.6
Pneumococcus/PS (D10),NEUTRAL,Interspecies interaction,3,44,6.8
Pneumococcus/PS (D10),NEUTRAL,Metabolism,33,44,75
Pneumococcus/PS (D10),NEUTRAL,Not mapped,4,44,9.1
Pneumococcus/PS (D10),NEUTRAL,Reg. of BP,24,44,54.5
Pneumococcus/PS (D10),UP,Cellular,1,1,100
Pneumococcus/PS (D10),UP,Immune system,1,1,100
Pneumococcus/PS (D10),UP,Interspecies interaction,1,1,100
Pneumococcus/PS (D10),UP,Metabolism,1,1,100
Pneumococcus/PS (D10),UP,Reg. of BP,1,1,100
Pneumococcus/PS (D14),NEUTRAL,Cellular,32,33,97
Pneumococcus/PS (D14),NEUTRAL,Immune system,9,33,27.3
Pneumococcus/PS (D14),NEUTRAL,Interspecies interaction,4,33,12.1
Pneumococcus/PS (D14),NEUTRAL,Metabolism,24,33,72.7
Pneumococcus/PS (D14),NEUTRAL,Reg. of BP,21,33,63.6
Pneumococcus/PS (D14),UP,Cellular,1,1,100
Pneumococcus/PS (D14),UP,Metabolism,1,1,100
Pneumococcus/PS (D14),UP,Reg. of BP,1,1,100
Pneumococcus/PS (D21),NEUTRAL,Cellular,43,48,89.6
Pneumococcus/PS (D21),NEUTRAL,Immune system,13,48,27.1
Pneumococcus/PS (D21),NEUTRAL,Interspecies interaction,6,48,12.5
Pneumococcus/PS (D21),NEUTRAL,Metabolism,33,48,68.8
Pneumococcus/PS (D21),NEUTRAL,Not mapped,4,48,8.3
Pneumococcus/PS (D21),NEUTRAL,Reg. of BP,35,48,72.9
Pneumococcus/PS (D28),NEUTRAL,Cellular,37,37,100
Pneumococcus/PS (D28),NEUTRAL,Immune system,9,37,24.3
Pneumococcus/PS (D28),NEUTRAL,Interspecies interaction,7,37,18.9
Pneumococcus/PS (D28),NEUTRAL,Metabolism,27,37,73
Pneumococcus/PS (D28),NEUTRAL,Reg. of BP,32,37,86.5
Pneumococcus/PS (D3),NEUTRAL,Cellular,12,12,100
Pneumococcus/PS (D3),NEUTRAL,Interspecies interaction,1,12,8.3
Pneumococcus/PS (D3),NEUTRAL,Metabolism,9,12,75
Pneumococcus/PS (D3),NEUTRAL,Reg. of BP,8,12,66.7
Pneumococcus/PS (D7),NEUTRAL,Cellular,131,143,91.6
Pneumococcus/PS (D7),NEUTRAL,Immune system,28,143,19.6
Pneumococcus/PS (D7),NEUTRAL,Interspecies interaction,14,143,9.8
Pneumococcus/PS (D7),NEUTRAL,Metabolism,102,143,71.3
Pneumococcus/PS (D7),NEUTRAL,Not mapped,8,143,5.6
Pneumococcus/PS (D7),NEUTRAL,Reg. of BP,91,143,63.6
Pneumococcus/PS (D7),UP,Cellular,35,41,85.4
Pneumococcus/PS (D7),UP,Immune system,9,41,22
Pneumococcus/PS (D7),UP,Interspecies interaction,3,41,7.3
Pneumococcus/PS (D7),UP,Metabolism,27,41,65.9
Pneumococcus/PS (D7),UP,Not mapped,4,41,9.8
Pneumococcus/PS (D7),UP,Reg. of BP,27,41,65.9
Smallpox/LA (D10),NEUTRAL,Cellular,15,15,100
Smallpox/LA (D10),NEUTRAL,Immune system,3,15,20
