"","genes","infection_vaccination","n_conditions","gene_set_short","process","comparison"
"663","CH25H","Infection",7,"Response to Interferon I","RESPONSE TO TYPE I INTERFERON","Infection only"
"664","CHGA","Infection",5,"Innate immune response","INNATE IMMUNE RESPONSE","Infection only"
"665","CHGA","Infection",5,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"666","CHGA","Infection",5,"Mast cell","MAST CELL","Infection only"
"667","CHGA","Infection",5,"Activation, Mast cell","MAST CELL ACTIVATION","Infection only"
"668","CHGA","Infection",5,"Chemotaxis, Mast cell","MAST CELL CHEMOTAXIS","Infection only"
"669","CHGA","Infection",5,"Degranulation, Mast cell","MAST CELL DEGRANULATION","Infection only"
"670","CIITA","Infection",2,"Immune response","IMMUNE RESPONSE","Infection only"
"671","CIITA","Infection",2,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"672","CIITA","Infection",2,"Response to Interferon II","RESPONSE TO TYPE II INTERFERON","Infection only"
"673","CLEC10A","Infection",7,"Adaptive Immune response","ADAPTIVE IMMUNE RESPONSE","Infection only"
"674","CLEC10A","Infection",7,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Infection only"
"675","CLEC10A","Infection",7,"Immune system, Process","IMMUNE SYSTEM PROCESS","Infection only"
"676","CLEC10A","Infection",7,"Innate immune response","INNATE IMMUNE RESPONSE","Infection only"
"677","CLEC10A","Infection",7,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"678","CLEC6A","Infection",2,"Adaptive Immune response","ADAPTIVE IMMUNE RESPONSE","Infection only"
"679","CLEC6A","Infection",2,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Infection only"
"680","CLEC6A","Infection",2,"Antifungal innate immune response","ANTIFUNGAL INNATE IMMUNE RESPONSE","Infection only"
"681","CLEC6A","Infection",2,"Antigen recognition processing and presentation","ARPP","Infection only"
"682","CLEC6A","Infection",2,"Immune system, Process","IMMUNE SYSTEM PROCESS","Infection only"
"683","CLEC6A","Infection",2,"Innate immune response","INNATE IMMUNE RESPONSE","Infection only"
"684","CLEC6A","Infection",2,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"685","CLEC6A","Infection",2,"C-type lectin receptor, PRR","STIMULATORY C-TYPE LECTIN RECEPTOR SIGNALING PATHWAY","Infection only"
"686","CLNK","Infection",6,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"687","CLNK","Infection",6,"Mast cell","MAST CELL","Infection only"
"688","CLNK","Infection",6,"Degranulation, Mast cell","MAST CELL DEGRANULATION","Infection only"
"689","CLU","Infection",2,"Activation, Complement","COMPLEMENT ACTIVATION","Infection only"
"690","CLU","Infection",2,"Complement, Classical pathway","COMPLEMENT ACTIVATION, CLASSICAL PATHWAY","Infection only"
"691","CLU","Infection",2,"Complement immune system","COMPLEMENT IMMUNE SYSTEM","Infection only"
"692","CLU","Infection",2,"Clearance, Immune complex","IMMUNE COMPLEX CLEARANCE","Infection only"
"693","CLU","Infection",2,"Immune system, Process","IMMUNE SYSTEM PROCESS","Infection only"
"694","CLU","Infection",2,"Innate immune response","INNATE IMMUNE RESPONSE","Infection only"
"695","CLU","Infection",2,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"696","CLU","Infection",2,"Activation, Microglial cell","MICROGLIAL CELL ACTIVATION","Infection only"
"697","CNR2","Infection",4,"Immune response","IMMUNE RESPONSE","Infection only"
"698","CNR2","Infection",4,"Chemotaxis, Leukocyte","LEUKOCYTE CHEMOTAXIS","Infection only"
"699","CORO1A","Infection",1,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Infection only"
"700","CORO1A","Infection",1,"Cellular adaptive immune system","CELLULAR ADAPTIVE IMMUNE SYSTEM","Infection only"
"701","CORO1A","Infection",1,"Innate immune response","INNATE IMMUNE RESPONSE","Infection only"
"702","CORO1A","Infection",1,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"703","CORO1A","Infection",1,"Chemotaxis, Leukocyte","LEUKOCYTE CHEMOTAXIS","Infection only"
"704","CORO1A","Infection",1,"Degranulation, NK cell","NATURAL KILLER CELL DEGRANULATION","Infection only"
"705","CORO1A","Infection",1,"NK cell","NK CELL","Infection only"
"706","CORO1A","Infection",1,"Activation, T cell","T CELL ACTIVATION","Infection only"
"707","CORO1A","Infection",1,"Homeostasis, T cell","T CELL HOMEOSTASIS","Infection only"
"708","CORO1A","Infection",1,"Migration, T cell","T CELL MIGRATION","Infection only"
"709","CORO1A","Infection",1,"Proliferation, T cell","T CELL PROLIFERATION","Infection only"
"710","CORO1A","Infection",1,"T cells","T CELLS","Infection only"
"711","CORO1A","Infection",1,"Migration, Thymocyte","THYMOCYTE MIGRATION","Infection only"
"712","CR1","Infection",9,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Infection only"
"713","CR1","Infection",9,"Cellular adaptive immune system","CELLULAR ADAPTIVE IMMUNE SYSTEM","Infection only"
"714","CR1","Infection",9,"Complement, Alternative pathway","COMPLEMENT ACTIVATION, ALTERNATIVE PATHWAY","Infection only"
"715","CR1","Infection",9,"Complement, Classical pathway","COMPLEMENT ACTIVATION, CLASSICAL PATHWAY","Infection only"
"716","CR1","Infection",9,"Complement immune system","COMPLEMENT IMMUNE SYSTEM","Infection only"
"717","CR1","Infection",9,"Complement, Pathway","COMPLEMENT RECEPTOR MEDIATED SIGNALING PATHWAY","Infection only"
"718","CR1","Infection",9,"Immune system, Process","IMMUNE SYSTEM PROCESS","Infection only"
"719","CR1","Infection",9,"Innate immune response","INNATE IMMUNE RESPONSE","Infection only"
"720","CR1","Infection",9,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"721","CR1","Infection",9,"T cell-mediated immunity","T CELL MEDIATED IMMUNITY","Infection only"
"722","CR1","Infection",9,"T cells","T CELLS","Infection only"
"723","CR2","Infection",7,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Infection only"
"724","CR2","Infection",7,"Differentiation, B cell","B CELL DIFFERENTIATION","Infection only"
"725","CR2","Infection",7,"Proliferation, B cell","B CELL PROLIFERATION","Infection only"
"726","CR2","Infection",7,"B cells","B CELLS","Infection only"
"727","CR2","Infection",7,"Cellular adaptive immune system","CELLULAR ADAPTIVE IMMUNE SYSTEM","Infection only"
"728","CR2","Infection",7,"Complement, Alternative pathway","COMPLEMENT ACTIVATION, ALTERNATIVE PATHWAY","Infection only"
"729","CR2","Infection",7,"Complement, Classical pathway","COMPLEMENT ACTIVATION, CLASSICAL PATHWAY","Infection only"
"730","CR2","Infection",7,"Complement immune system","COMPLEMENT IMMUNE SYSTEM","Infection only"
"731","CR2","Infection",7,"Complement, Pathway","COMPLEMENT RECEPTOR MEDIATED SIGNALING PATHWAY","Infection only"
"732","CR2","Infection",7,"Immune response","IMMUNE RESPONSE","Infection only"
"733","CR2","Infection",7,"Immune system, Process","IMMUNE SYSTEM PROCESS","Infection only"
"734","CR2","Infection",7,"Innate immune response","INNATE IMMUNE RESPONSE","Infection only"
"735","CR2","Infection",7,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"736","CR2","Infection",7,"T cell-mediated immunity","T CELL MEDIATED IMMUNITY","Infection only"
"737","CR2","Infection",7,"T cells","T CELLS","Infection only"
"738","CRIP1","Infection",3,"Immune response","IMMUNE RESPONSE","Infection only"
"739","CRISP3","Infection",10,"Innate immune response","INNATE IMMUNE RESPONSE","Infection only"
"740","CRISP3","Infection",10,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"741","CRTAM","Infection",6,"Adaptive Immune response","ADAPTIVE IMMUNE RESPONSE","Infection only"
"742","CRTAM","Infection",6,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Infection only"
"743","CRTAM","Infection",6,"Cellular adaptive immune system","CELLULAR ADAPTIVE IMMUNE SYSTEM","Infection only"
"744","CRTAM","Infection",6,"Establishment of T cell polarity","ESTABLISHMENT OF T CELL POLARITY","Infection only"
"745","CRTAM","Infection",6,"Immune system, Process","IMMUNE SYSTEM PROCESS","Infection only"
"746","CRTAM","Infection",6,"Migration, Lymphoid organs, Lymphocyte","LYMPHOCYTE MIGRATION INTO LYMPHOID ORGANS","Infection only"
"747","CRTAM","Infection",6,"T cells","T CELLS","Infection only"
"748","CRTC3","Infection",1,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"749","CRTC3","Infection",1,"Activation, Macrophage","MACROPHAGE ACTIVATION","Infection only"
"750","CSF1","Infection",1,"Immune system, Process","IMMUNE SYSTEM PROCESS","Infection only"
"751","CSF1","Infection",1,"Innate immune response","INNATE IMMUNE RESPONSE","Infection only"
"752","CSF1","Infection",1,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"753","CSF1","Infection",1,"Homeostasis, Macrophage","MACROPHAGE HOMEOSTASIS","Infection only"
"754","CSF1","Infection",1,"Activation, Monocyte","MONOCYTE ACTIVATION","Infection only"
"755","CSF1","Infection",1,"Homeostasis, Monocyte","MONOCYTE HOMEOSTASIS","Infection only"
"756","CSF1","Infection",1,"Monocytes","MONOCYTES","Infection only"
"757","CSF1","Infection",1,"Migration, Myeloid leukocyte","MYELOID LEUKOCYTE MIGRATION","Infection only"
"758","CSF1","Infection",1,"Neutrophil","NEUTROPHIL","Infection only"
"759","CSF1","Infection",1,"Homeostasis, Neutrophil","NEUTROPHIL HOMEOSTASIS","Infection only"
"760","CSK","Infection",1,"Adaptive Immune response","ADAPTIVE IMMUNE RESPONSE","Infection only"
"761","CSK","Infection",1,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Infection only"
"762","CSK","Infection",1,"Cellular adaptive immune system","CELLULAR ADAPTIVE IMMUNE SYSTEM","Infection only"
"763","CSK","Infection",1,"Immune system, Process","IMMUNE SYSTEM PROCESS","Infection only"
"764","CSK","Infection",1,"Costimulation, T cell","T CELL COSTIMULATION","Infection only"
"765","CSK","Infection",1,"Signaling, T cell","T CELL RECEPTOR SIGNALING PATHWAY","Infection only"
"766","CSK","Infection",1,"T cells","T CELLS","Infection only"
"767","CTLA4","Infection",3,"Adaptive Immune response","ADAPTIVE IMMUNE RESPONSE","Infection only"
"768","CTLA4","Infection",3,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Infection only"
"769","CTLA4","Infection",3,"Signaling, BCR, B cell","B CELL RECEPTOR SIGNALING PATHWAY","Infection only"
"770","CTLA4","Infection",3,"B cells","B CELLS","Infection only"
"771","CTLA4","Infection",3,"Cellular adaptive immune system","CELLULAR ADAPTIVE IMMUNE SYSTEM","Infection only"
"772","CTLA4","Infection",3,"Immune response","IMMUNE RESPONSE","Infection only"
"773","CTLA4","Infection",3,"Immune system, Process","IMMUNE SYSTEM PROCESS","Infection only"
"774","CTLA4","Infection",3,"Signaling, T cell","T CELL RECEPTOR SIGNALING PATHWAY","Infection only"
"775","CTLA4","Infection",3,"T cells","T CELLS","Infection only"
"776","CTNNB1","Infection",1,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Infection only"
"777","CTNNB1","Infection",1,"Cellular adaptive immune system","CELLULAR ADAPTIVE IMMUNE SYSTEM","Infection only"
"778","CTNNB1","Infection",1,"Differentiation, T cell","T CELL DIFFERENTIATION","Infection only"
"779","CTNNB1","Infection",1,"Differentiation, T cell, Thymus","T CELL DIFFERENTIATION IN THYMUS","Infection only"
"780","CTNNB1","Infection",1,"T cells","T CELLS","Infection only"
"781","CTNNB1","Infection",1,"Development, Thymocyte","THYMUS DEVELOPMENT","Infection only"
"782","CTSG","Infection",4,"Antibacterial humoral response","ANTIBACTERIAL HUMORAL RESPONSE","Infection only"
"783","CTSG","Infection",4,"Immune response","IMMUNE RESPONSE","Infection only"
"784","CTSG","Infection",4,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"785","CTSG","Infection",4,"Chemotaxis, Monocyte","MONOCYTE CHEMOTAXIS","Infection only"
"786","CTSG","Infection",4,"Monocytes","MONOCYTES","Infection only"
"787","CTSG","Infection",4,"Neutrophil","NEUTROPHIL","Infection only"
"788","CTSG","Infection",4,"Activation, Neutrophil","NEUTROPHIL ACTIVATION","Infection only"
"789","CTSG","Infection",4,"killing of Gram+ bacterium, Neutrophil","NEUTROPHIL-MEDIATED KILLING OF GRAM-POSITIVE BACTERIUM","Infection only"
"790","CTSH","Infection",1,"Adaptive Immune response","ADAPTIVE IMMUNE RESPONSE","Infection only"
"791","CTSH","Infection",1,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Infection only"
"792","CTSH","Infection",1,"APP","ANTIGEN PROCESSING AND PRESENTATION","Infection only"
"793","CTSH","Infection",1,"Antigen recognition processing and presentation","ARPP","Infection only"
"794","CTSH","Infection",1,"Cellular adaptive immune system","CELLULAR ADAPTIVE IMMUNE SYSTEM","Infection only"
"795","CTSH","Infection",1,"Immune response","IMMUNE RESPONSE","Infection only"
"796","CTSH","Infection",1,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"797","CTSH","Infection",1,"T cell-mediated cytotoxicity","T CELL MEDIATED CYTOTOXICITY","Infection only"
"798","CTSH","Infection",1,"T cells","T CELLS","Infection only"
"799","CTSK","Infection",6,"Immune response","IMMUNE RESPONSE","Infection only"
"800","CTSW","Infection",5,"Immune response","IMMUNE RESPONSE","Infection only"
"801","CX3CR1","Infection",4,"Adaptive Immune response","ADAPTIVE IMMUNE RESPONSE","Infection only"
"802","CX3CR1","Infection",4,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Infection only"
"803","CX3CR1","Infection",4,"Antifungal innate immune response","ANTIFUNGAL INNATE IMMUNE RESPONSE","Infection only"
"804","CX3CR1","Infection",4,"Immune response","IMMUNE RESPONSE","Infection only"
"805","CX3CR1","Infection",4,"Immune system, Process","IMMUNE SYSTEM PROCESS","Infection only"
"806","CX3CR1","Infection",4,"Innate immune response","INNATE IMMUNE RESPONSE","Infection only"
"807","CX3CR1","Infection",4,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"808","CX3CR1","Infection",4,"Chemotaxis, Leukocyte","LEUKOCYTE CHEMOTAXIS","Infection only"
"809","CX3CR1","Infection",4,"Tethering or roling, Leukocyte","LEUKOCYTE TETHERING OR ROLLING","Infection only"
"810","CX3CR1","Infection",4,"Activation, Immune response, Microglial cell","MICROGLIAL CELL ACTIVATION INVOLVED IN IMMUNE RESPONSE","Infection only"
"811","CXCL17","Infection",1,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"812","CXCL17","Infection",1,"Chemotaxis, Macrophage","MACROPHAGE CHEMOTAXIS","Infection only"
"813","CXCL2","Infection",8,"Antimicrobial peptide-mediated immune response","ANTIMICROBIAL HUMORAL IMMUNE RESPONSE MEDIATED BY ANTIMICROBIAL PEPTIDE","Infection only"
"814","CXCL2","Infection",8,"Immune response","IMMUNE RESPONSE","Infection only"
"815","CXCL2","Infection",8,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"816","CXCL2","Infection",8,"Neutrophil","NEUTROPHIL","Infection only"
"817","CXCL2","Infection",8,"Chemotaxis, Neutrophil","NEUTROPHIL CHEMOTAXIS","Infection only"
"818","CXCL3","Infection",6,"Antimicrobial peptide-mediated immune response","ANTIMICROBIAL HUMORAL IMMUNE RESPONSE MEDIATED BY ANTIMICROBIAL PEPTIDE","Infection only"
"819","CXCL3","Infection",6,"Immune response","IMMUNE RESPONSE","Infection only"
"820","CXCL3","Infection",6,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"821","CXCL3","Infection",6,"Neutrophil","NEUTROPHIL","Infection only"
"822","CXCL3","Infection",6,"Chemotaxis, Neutrophil","NEUTROPHIL CHEMOTAXIS","Infection only"
"823","CXCL5","Infection",2,"Antimicrobial peptide-mediated immune response","ANTIMICROBIAL HUMORAL IMMUNE RESPONSE MEDIATED BY ANTIMICROBIAL PEPTIDE","Infection only"
"824","CXCL5","Infection",2,"Immune response","IMMUNE RESPONSE","Infection only"
"825","CXCL5","Infection",2,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"826","CXCL5","Infection",2,"Neutrophil","NEUTROPHIL","Infection only"
"827","CXCL5","Infection",2,"Chemotaxis, Neutrophil","NEUTROPHIL CHEMOTAXIS","Infection only"
"828","CXCL8","Infection",3,"Antimicrobial peptide-mediated immune response","ANTIMICROBIAL HUMORAL IMMUNE RESPONSE MEDIATED BY ANTIMICROBIAL PEPTIDE","Infection only"
"829","CXCL8","Infection",3,"Immune response","IMMUNE RESPONSE","Infection only"
"830","CXCL8","Infection",3,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"831","CXCL8","Infection",3,"Neutrophil","NEUTROPHIL","Infection only"
"832","CXCL8","Infection",3,"Activation, Neutrophil","NEUTROPHIL ACTIVATION","Infection only"
"833","CXCL8","Infection",3,"Chemotaxis, Neutrophil","NEUTROPHIL CHEMOTAXIS","Infection only"
"834","CXCR3","Infection",5,"Immune response","IMMUNE RESPONSE","Infection only"
"835","CXCR4","Infection",3,"Chemotaxis, Dendritic cell","DENDRITIC CELL CHEMOTAXIS","Infection only"
"836","CXCR4","Infection",3,"Dendritic cells","DENDRITIC CELLS","Infection only"
"837","CXCR4","Infection",3,"Immune response","IMMUNE RESPONSE","Infection only"
"838","CXCR4","Infection",3,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"839","CXCR5","Infection",7,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Infection only"
"840","CXCR5","Infection",7,"Activation, B cell","B CELL ACTIVATION","Infection only"
"841","CXCR5","Infection",7,"B cells","B CELLS","Infection only"
"842","CXCR5","Infection",7,"Immune response","IMMUNE RESPONSE","Infection only"
"843","CXCR5","Infection",7,"Chemotaxis, Leukocyte","LEUKOCYTE CHEMOTAXIS","Infection only"
"844","CXCR5","Infection",7,"Development, Lymph node","LYMPH NODE DEVELOPMENT","Infection only"
"845","CYBA","Infection",1,"Innate immune response","INNATE IMMUNE RESPONSE","Infection only"
"846","CYBA","Infection",1,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"847","CYP11B1","Infection",1,"Immune response","IMMUNE RESPONSE","Infection only"
"848","DBH","Infection",6,"Immunity, Leukocyte","LEUKOCYTE MEDIATED IMMUNITY","Infection only"
"849","DBH","Infection",6,"Migration, Leukocyte","LEUKOCYTE MIGRATION","Infection only"
"850","DDX60","Infection",3,"Immune system, Process","IMMUNE SYSTEM PROCESS","Infection only"
"851","DDX60","Infection",3,"Innate immune response","INNATE IMMUNE RESPONSE","Infection only"
"852","DDX60","Infection",3,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"853","DEFA4","Infection",9,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Infection only"
"854","DEFA4","Infection",9,"Antibacterial humoral response","ANTIBACTERIAL HUMORAL RESPONSE","Infection only"
"855","DEFA4","Infection",9,"Antifungal humoral response","ANTIFUNGAL HUMORAL RESPONSE","Infection only"
"856","DEFA4","Infection",9,"Antimicrobial peptide-mediated immune response","ANTIMICROBIAL HUMORAL IMMUNE RESPONSE MEDIATED BY ANTIMICROBIAL PEPTIDE","Infection only"
"857","DEFA4","Infection",9,"Antimicrobial humoral response","ANTIMICROBIAL HUMORAL RESPONSE","Infection only"
"858","DEFA4","Infection",9,"Cellular adaptive immune system","CELLULAR ADAPTIVE IMMUNE SYSTEM","Infection only"
"859","DEFA4","Infection",9,"Innate immune response","INNATE IMMUNE RESPONSE","Infection only"
"860","DEFA4","Infection",9,"Innate immune response, mucosa","INNATE IMMUNE RESPONSE IN MUCOSA","Infection only"
"861","DEFA4","Infection",9,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"862","DEFA4","Infection",9,"Chemotaxis, T cell","T CELL CHEMOTAXIS","Infection only"
"863","DEFA4","Infection",9,"T cells","T CELLS","Infection only"
"864","DNASE1","Infection",2,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"865","DNASE1","Infection",2,"Neutrophil","NEUTROPHIL","Infection only"
"866","DNASE1","Infection",2,"Activation, Immune response, Neutrophil","NEUTROPHIL ACTIVATION INVOLVED IN IMMUNE RESPONSE","Infection only"
"867","DPP4","Infection",4,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Infection only"
"868","DPP4","Infection",4,"Cellular adaptive immune system","CELLULAR ADAPTIVE IMMUNE SYSTEM","Infection only"
"869","DPP4","Infection",4,"Activation, T cell","T CELL ACTIVATION","Infection only"
"870","DPP4","Infection",4,"Costimulation, T cell","T CELL COSTIMULATION","Infection only"
"871","DPP4","Infection",4,"T cells","T CELLS","Infection only"
"872","DTX1","Infection",5,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Infection only"
"873","DTX1","Infection",5,"Cellular adaptive immune system","CELLULAR ADAPTIVE IMMUNE SYSTEM","Infection only"
"874","DTX1","Infection",5,"Differentiation, T cell","T CELL DIFFERENTIATION","Infection only"
"875","DTX1","Infection",5,"T cells","T CELLS","Infection only"
"876","EDN3","Infection",1,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"877","EDN3","Infection",1,"Neutrophil","NEUTROPHIL","Infection only"
"878","EDN3","Infection",1,"Chemotaxis, Neutrophil","NEUTROPHIL CHEMOTAXIS","Infection only"
"879","EDNRB","Infection",4,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"880","EDNRB","Infection",4,"Chemotaxis, Macrophage","MACROPHAGE CHEMOTAXIS","Infection only"
"881","EFNB1","Infection",2,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Infection only"
"882","EFNB1","Infection",2,"Cellular adaptive immune system","CELLULAR ADAPTIVE IMMUNE SYSTEM","Infection only"
"883","EFNB1","Infection",2,"Costimulation, T cell","T CELL COSTIMULATION","Infection only"
"884","EFNB1","Infection",2,"Proliferation, T cell","T CELL PROLIFERATION","Infection only"
"885","EFNB1","Infection",2,"T cells","T CELLS","Infection only"
"886","EIF2AK2","Infection",6,"Antiviral and inteferon","ANTIVIRAL AND INTERFERON","Infection only"
"887","EIF2AK2","Infection",6,"Antiviral innate immune response","ANTIVIRAL INNATE IMMUNE RESPONSE","Infection only"
"888","EIF2AK2","Infection",6,"Immune system, Process","IMMUNE SYSTEM PROCESS","Infection only"
"889","EIF2AK2","Infection",6,"Innate immune response","INNATE IMMUNE RESPONSE","Infection only"
"890","EIF2AK2","Infection",6,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"891","ELANE","Infection",4,"Acute inflammatory response to antigenic stimulus","ACUTE INFLAMMATORY RESPONSE TO ANTIGENIC STIMULUS","Infection only"
"892","ELANE","Infection",4,"Biosynthesis, Antibacterial peptides against Gram-","BIOSYNTHETIC PROCESS OF ANTIBACTERIAL PEPTIDES ACTIVE AGAINST GRAM-NEGATIVE BACTERIA","Infection only"
"893","ELANE","Infection",4,"Inflammation","INFLAMMATION","Infection only"
"894","ELANE","Infection",4,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"895","ELANE","Infection",4,"Migration, Leukocyte","LEUKOCYTE MIGRATION","Infection only"
"896","ELANE","Infection",4,"Migration, Inflammatory response, Leukocyte","LEUKOCYTE MIGRATION INVOLVED IN INFLAMMATORY RESPONSE","Infection only"
"897","ELANE","Infection",4,"Neutrophil","NEUTROPHIL","Infection only"
"898","ELANE","Infection",4,"Killing of fungus, Neutrophil","NEUTROPHIL-MEDIATED KILLING OF FUNGUS","Infection only"
"899","ELANE","Infection",4,"killing of Gram- bacterium, Neutrophil","NEUTROPHIL-MEDIATED KILLING OF GRAM-NEGATIVE BACTERIUM","Infection only"
"900","ENDOU","Infection",1,"Immune response","IMMUNE RESPONSE","Infection only"
"901","ENPP1","Infection",1,"Immune response","IMMUNE RESPONSE","Infection only"
"902","EOMES","Infection",7,"Adaptive Immune response","ADAPTIVE IMMUNE RESPONSE","Infection only"
"903","EOMES","Infection",7,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Infection only"
"904","EOMES","Infection",7,"Differentiation, Immune response, CD8+, abT cell","CD8-POSITIVE, ALPHA-BETA T CELL DIFFERENTIATION INVOLVED IN IMMUNE RESPONSE","Infection only"
"905","EOMES","Infection",7,"Cellular adaptive immune system","CELLULAR ADAPTIVE IMMUNE SYSTEM","Infection only"
"906","EOMES","Infection",7,"Immune system, Process","IMMUNE SYSTEM PROCESS","Infection only"
"907","EOMES","Infection",7,"T cells","T CELLS","Infection only"
"908","EP300","Infection",1,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Infection only"
"909","EP300","Infection",1,"Antigen recognition processing and presentation","ARPP","Infection only"
"910","EP300","Infection",1,"Differentiation, B cell","B CELL DIFFERENTIATION","Infection only"
"911","EP300","Infection",1,"B cells","B CELLS","Infection only"
"912","EP300","Infection",1,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"913","EP300","Infection",1,"C-type lectin receptor, PRR","STIMULATORY C-TYPE LECTIN RECEPTOR SIGNALING PATHWAY","Infection only"
"914","EPB42","Infection",3,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Infection only"
"915","EPB42","Infection",3,"Humoral adaptive immune system","HUMORAL ADAPTIVE IMMUNE SYSTEM","Infection only"
"916","EPB42","Infection",3,"Development, Spleen","SPLEEN DEVELOPMENT","Infection only"
"917","EPHB2","Infection",4,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Infection only"
"918","EPHB2","Infection",4,"Activation, B cell","B CELL ACTIVATION","Infection only"
"919","EPHB2","Infection",4,"B cells","B CELLS","Infection only"
"920","EPHB3","Infection",2,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Infection only"
"921","EPHB3","Infection",2,"Cellular adaptive immune system","CELLULAR ADAPTIVE IMMUNE SYSTEM","Infection only"
"922","EPHB3","Infection",2,"Development, Thymocyte","THYMUS DEVELOPMENT","Infection only"
"923","EPS8","Infection",2,"Migration, Dendritic cell","DENDRITIC CELL MIGRATION","Infection only"
"924","EPS8","Infection",2,"Dendritic cells","DENDRITIC CELLS","Infection only"
"925","EPS8","Infection",2,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"926","ETS1","Infection",8,"Immune response","IMMUNE RESPONSE","Infection only"
"927","ETS1","Infection",8,"Immune system, Process","IMMUNE SYSTEM PROCESS","Infection only"
"928","F12","Infection",10,"Innate immune response","INNATE IMMUNE RESPONSE","Infection only"
"929","F12","Infection",10,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"930","F2","Infection",1,"Antimicrobial peptide-mediated immune response","ANTIMICROBIAL HUMORAL IMMUNE RESPONSE MEDIATED BY ANTIMICROBIAL PEPTIDE","Infection only"
"931","F2","Infection",1,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"932","F2","Infection",1,"Neutrophil","NEUTROPHIL","Infection only"
"933","F2","Infection",1,"killing of Gram- bacterium, Neutrophil","NEUTROPHIL-MEDIATED KILLING OF GRAM-NEGATIVE BACTERIUM","Infection only"
"934","F2RL1","Infection",1,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Infection only"
"935","F2RL1","Infection",1,"Cellular adaptive immune system","CELLULAR ADAPTIVE IMMUNE SYSTEM","Infection only"
"936","F2RL1","Infection",1,"Immune system, Process","IMMUNE SYSTEM PROCESS","Infection only"
"937","F2RL1","Infection",1,"Innate immune response","INNATE IMMUNE RESPONSE","Infection only"
"938","F2RL1","Infection",1,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"939","F2RL1","Infection",1,"Migration, Leukocyte","LEUKOCYTE MIGRATION","Infection only"
"940","F2RL1","Infection",1,"Neutrophil","NEUTROPHIL","Infection only"
"941","F2RL1","Infection",1,"Activation, Neutrophil","NEUTROPHIL ACTIVATION","Infection only"
