Source,Target,Type,Id,Label,Weight,value
HLA-F,Cellular,Undirected,5449,NA,3,
TNFRSF13C,CELLULAR ADAPTIVE IMMUNE SYSTEM,Undirected,5450,NA,2,
PMAIP1,ADAPTIVE IMMUNE SYSTEM,Undirected,5451,NA,2,
Immune system,FCRL1,Undirected,5452,NA,3,1
IL6,Cellular,Undirected,5453,NA,3,
MONOV INFLUENZA A (D1),DPEP3,Undirected,5454,NA,2,-1
Metabolism,IL6ST,Undirected,5455,NA,3,1
Immune system,FCRL4,Undirected,5456,NA,2,1
PANDEMRIX (D1),CD40,Undirected,5457,NA,2,1
T CELLS,KDELR1,Undirected,5458,NA,2,1
NEDD8,FLUARIX FLUVIRIN (D3),Undirected,5459,NA,2,
TICAM2,Reg. of BP,Undirected,5460,NA,3,
NFAM1,ADAPTIVE IMMUNE SYSTEM,Undirected,5461,NA,2,
KIR3DL2,"ChAd (V2, D1)",Undirected,5462,NA,2,
"BNT-MO (V3, D1)",AMHR2,Undirected,5463,NA,2,1
CXCL10,"BNT-MO (V3, D1)",Undirected,5464,NA,2,
WETVAX (D5-7),IL1RN,Undirected,5465,NA,2,1
PLA2G12A,FLUARIX FLUVIRIN (D3),Undirected,5466,NA,2,
MONOV INFLUENZA A (D1),KPTN,Undirected,5467,NA,2,1
ZDHHC1,Cellular,Undirected,5468,NA,2,
IFI27,"BNT (V3, D1)",Undirected,5469,NA,2,
"ZF2001 (V3, D07)",IZUMO1,Undirected,5470,NA,2,1
IL18R1,ADAPTIVE IMMUNE SYSTEM,Undirected,5471,NA,2,
WETVAX (D2-4),CD3D,Undirected,5472,NA,2,-1
TNFAIP3,Metabolism,Undirected,5473,NA,3,
UCP2,FLUMIST (D3),Undirected,5474,NA,2,
PRF1,Cellular,Undirected,5475,NA,3,
"ZF2001 (V3, D07)",UNC5A,Undirected,5476,NA,2,1
FLUARIX FLUVIRIN (D3),ASXL2,Undirected,5477,NA,2,1
"ZF2001 (V3, D07)",UNC5C,Undirected,5478,NA,2,1
Metabolism,KAT5,Undirected,5479,NA,3,1
Metabolism,KAT7,Undirected,5480,NA,3,1
NUB1,Metabolism,Undirected,5481,NA,2,
GABRB2,"BNT (V2, D1)",Undirected,5482,NA,2,
"ZF2001 (V3, D07)",DDIT3,Undirected,5483,NA,2,-1
FLUARIX FLUVIRIN (D3),ASXL1,Undirected,5484,NA,2,1
"ZF2001 (V3, D07)",DDIT4,Undirected,5485,NA,2,-1
STAMARIL (D3),PPM1F,Undirected,5486,NA,2,-1
Interspecies interaction,IL31RA,Undirected,5487,NA,2,1
Cellular,CKLF,Undirected,5488,NA,2,1
"ZF2001 (V3, D07)",TMPRSS12,Undirected,5489,NA,2,1
WNT5A,Metabolism,Undirected,5490,NA,2,
"ChAd (V1, D3)",CD300C,Undirected,5491,NA,2,1
"ZF2001 (V3, D07)",TMPRSS15,Undirected,5492,NA,2,1
"ChAd-BNT (V3, D1)",AGRN,Undirected,5493,NA,2,1
TCF12,Cellular,Undirected,5494,NA,2,
T CELLS,ITK,Undirected,5495,NA,2,1
MYH10,BNT-I (D1),Undirected,5496,NA,2,
DTL,"ChAd-BNT (V2, D7)",Undirected,5497,NA,2,
SFPQ,Cellular,Undirected,5498,NA,2,
INPP5D,ADAPTIVE IMMUNE SYSTEM,Undirected,5499,NA,2,
LCP2,INNATE IMMUNE SYSTEM,Undirected,5500,NA,2,
"ZF2001 (V3, D07)",YAP1,Undirected,5501,NA,2,1
SSB,MONOV INFLUENZA A (D1),Undirected,5502,NA,2,
"ZF2001 (V3, D07)",FRK,Undirected,5503,NA,2,1
TAP1,"BNT (V3, D1)",Undirected,5504,NA,2,
ZFX,FLUMIST (D3),Undirected,5505,NA,2,
STAMARIL (D10),MYADM,Undirected,5506,NA,2,-1
Cellular,BPI,Undirected,5507,NA,3,1
SYVN1,HUMORAL ADAPTIVE IMMUNE SYSTEM,Undirected,5508,NA,2,
LYAR,INNATE IMMUNE SYSTEM,Undirected,5509,NA,2,
LAX1,BNT-I (D1),Undirected,5510,NA,2,
RAB10,Cellular,Undirected,5511,NA,2,
FLUARIX FLUVIRIN (D3),CORO1C,Undirected,5512,NA,2,1
FLUARIX FLUVIRIN (D3),CORO1B,Undirected,5513,NA,2,1
FLUARIX FLUVIRIN (D3),CORO1A,Undirected,5514,NA,2,1
IL6R,ADAPTIVE IMMUNE SYSTEM,Undirected,5515,NA,2,
"ZF2001 (V3, D07)",FST,Undirected,5516,NA,2,1
"ZF2001 (V3, D07)",FSIP2,Undirected,5517,NA,2,1
TRIM21,"BNT-MO (V3, D1)",Undirected,5518,NA,2,
TPI1,FLUMIST (D3),Undirected,5519,NA,2,
Reg. of BP,RAP1GAP2,Undirected,5520,NA,3,1
PANDEMRIX (D1),CD72,Undirected,5521,NA,2,1
RC3H1,B CELLS,Undirected,5522,NA,2,
DEFA1,"BNT-MO (V3, D1)",Undirected,5523,NA,2,
COMPLEMENT IMMUNE SYSTEM,C3AR1,Undirected,5524,NA,2,1
MORC1,"ChAd-BNT (V2, D7)",Undirected,5525,NA,2,
Immune system,GPAM,Undirected,5526,NA,3,1
RGS1,MONOV INFLUENZA A (D1),Undirected,5527,NA,2,
SNORA74A,"BNT-MO (V3, D1)",Undirected,5528,NA,2,
NK CELL,KLRK1,Undirected,5529,NA,2,1
PHB2,Metabolism,Undirected,5530,NA,2,
FGF10,ADAPTIVE IMMUNE SYSTEM,Undirected,5531,NA,2,
FLUARIX FLUVIRIN (D3),CSF2RB,Undirected,5532,NA,2,1
TLR10,LVS F TULARENSIS (H192),Undirected,5533,NA,2,
OTHER,IL27RA,Undirected,5534,NA,2,1
MYH10,BNT-I (D3),Undirected,5535,NA,2,
KDELR1,FLUARIX FLUVIRIN (D3),Undirected,5536,NA,2,
SOCS1,HPV-VLP (M2),Undirected,5537,NA,2,
GK,"BNT (V2, D1)",Undirected,5538,NA,2,
I-BNT-I (D2),COL5A3,Undirected,5539,NA,2,-1
Immune system,CD68,Undirected,5540,NA,3,1
ZNF22,FLUARIX FLUVIRIN (D3),Undirected,5541,NA,2,
MT1M,"ChAd (V1, D3)",Undirected,5542,NA,2,
IRF9,"ChAd (V2, D1)",Undirected,5543,NA,2,
"ZF2001 (V3, D07)",TMEM88B,Undirected,5544,NA,2,1
FCGR1BP,Cellular,Undirected,5545,NA,2,
Immune system,IFI16,Undirected,5546,NA,3,1
TNIP1,INNATE IMMUNE SYSTEM,Undirected,5547,NA,2,
MONOV INFLUENZA A (D1),ATF5,Undirected,5548,NA,2,1
Immune system,IFI35,Undirected,5549,NA,3,1
PLA2G3,Immune system,Undirected,5550,NA,3,
Interspecies interaction,CLNK,Undirected,5551,NA,3,1
"BNT (V2, D1)",BATF2,Undirected,5552,NA,2,1
CLEC7A,ADAPTIVE IMMUNE SYSTEM,Undirected,5553,NA,2,
Metabolism,IGKV1D-8,Undirected,5554,NA,3,1
PANDEMRIX (D1),C8G,Undirected,5555,NA,2,1
Immune system,IFI30,Undirected,5556,NA,3,1
TREM2,Cellular,Undirected,5557,NA,3,
Immune system,CD74,Undirected,5558,NA,3,1
MIR222,BNT-I (D3),Undirected,5559,NA,2,
TGFBR2,Reg. of BP,Undirected,5560,NA,3,
MSRB1,FLUARIX FLUVIRIN (D3),Undirected,5561,NA,2,
MONOV INFLUENZA A (D1),ATF3,Undirected,5562,NA,2,1
SSBP1,FLUARIX FLUVIRIN (D3),Undirected,5563,NA,2,
Immune system,CD70,Undirected,5564,NA,2,1
PHACTR3,"ChAd-BNT (V2, D3)",Undirected,5565,NA,2,
PTK2,Immune system,Undirected,5566,NA,3,
MONOV INFLUENZA A (D1),MICALL1,Undirected,5567,NA,2,1
FLUMIST (D3),CORO1C,Undirected,5568,NA,2,1
RPS19,MONOCYTES,Undirected,5569,NA,2,
Immune system,IFI27,Undirected,5570,NA,3,1
GNRHR2,BNT-I (D4),Undirected,5571,NA,2,
FLUARIX FLUVIRIN (D3),CEBPZ,Undirected,5572,NA,2,1
RNASET2,INNATE IMMUNE SYSTEM,Undirected,5573,NA,2,
XCL1,INNATE IMMUNE SYSTEM,Undirected,5574,NA,2,
TMSB15A,HPV-VLP (M2),Undirected,5575,NA,2,
LTF,Immune system,Undirected,5576,NA,3,
SLA2,Metabolism,Undirected,5577,NA,3,
LVS F TULARENSIS (H192),DCP1B,Undirected,5578,NA,2,1
Immune system,CD83,Undirected,5579,NA,3,1
DISC1,"ChAd-BNT (V2, D3)",Undirected,5580,NA,2,
Immune system,CD84,Undirected,5581,NA,3,1
PANDEMRIX (D1),CD19,Undirected,5582,NA,2,1
Immune system,CD86,Undirected,5583,NA,3,1
SERPING1,"BNT (V3, D1)",Undirected,5584,NA,2,
Immune system,CD80,Undirected,5585,NA,3,1
Immune system,CD81,Undirected,5586,NA,3,1
PANDEMRIX (D1),CD22,Undirected,5587,NA,2,1
INHBB,BNT-I (D1),Undirected,5588,NA,2,
RIPK4,"ChAd (V2, D1)",Undirected,5589,NA,2,
POLL,ADAPTIVE IMMUNE SYSTEM,Undirected,5590,NA,2,
SIT1,ADAPTIVE IMMUNE SYSTEM,Undirected,5591,NA,2,
UNG,ADAPTIVE IMMUNE SYSTEM,Undirected,5592,NA,2,
MONOV INFLUENZA A (D1),FOXO6,Undirected,5593,NA,2,-1
Immune system,ARID5A,Undirected,5594,NA,2,1
SLAMF6,BNT-I (D1),Undirected,5595,NA,2,
LMOD2,"ChAd-BNT (V2, D3)",Undirected,5596,NA,2,
Immune system,CD8A,Undirected,5597,NA,3,1
H2BC7,Cellular,Undirected,5598,NA,3,
EFNA1,"BNT-MO (V3, D1)",Undirected,5599,NA,2,
MFSD2B,"ChAd-BNT (V2, D7)",Undirected,5600,NA,2,
Immune system,CD8B,Undirected,5601,NA,3,1
"ZF2001 (V3, D07)",BMPER,Undirected,5602,NA,2,1
FSCN1,BNT-I (D1),Undirected,5603,NA,2,
Reg. of BP,ADAM10,Undirected,5604,NA,2,1
PTGDR,Metabolism,Undirected,5605,NA,3,
Reg. of BP,ADAM15,Undirected,5606,NA,2,1
FLUMIST (D3),APLP2,Undirected,5607,NA,2,1
WETVAX (D2-4),CD63,Undirected,5608,NA,2,1
Immune system,CD96,Undirected,5609,NA,3,1
USP36,FLUARIX FLUVIRIN (D3),Undirected,5610,NA,2,
"ZF2001 (V3, D07)",FER1L6,Undirected,5611,NA,2,1
"ZF2001 (V3, D07)",FER1L4,Undirected,5612,NA,2,1
Immune system,CD93,Undirected,5613,NA,3,1
STAMARIL (D7),JUP,Undirected,5614,NA,2,1
MAD2L2,Cellular,Undirected,5615,NA,2,
TNFRSF17,ADAPTIVE IMMUNE SYSTEM,Undirected,5616,NA,2,
STAMARIL (D7),PABPC4,Undirected,5617,NA,2,-1
MIR222,BNT-I (D1),Undirected,5618,NA,2,
Immune system,CD99,Undirected,5619,NA,3,1
STAMARIL (D7),PABPC1,Undirected,5620,NA,2,-1
TRIB1,"BNT-MO (V3, D1)",Undirected,5621,NA,2,
SIGLEC10,INNATE IMMUNE SYSTEM,Undirected,5622,NA,2,
STAMARIL (D10),MYOF,Undirected,5623,NA,2,1
Immune system,CD1D,Undirected,5624,NA,3,1
MARCKS,"ChAd-BNT (V2, D7)",Undirected,5625,NA,2,
Immune system,CD1E,Undirected,5626,NA,3,1
MMP15,"ChAd (V2, D1)",Undirected,5627,NA,2,
Cellular,C8G,Undirected,5628,NA,2,1
SOX12,MONOV INFLUENZA A (D1),Undirected,5629,NA,3,
AICDA,ADAPTIVE IMMUNE SYSTEM,Undirected,5630,NA,2,
Immune system,CD1A,Undirected,5631,NA,3,1
Immune system,CD1B,Undirected,5632,NA,3,1
Immune system,CD1C,Undirected,5633,NA,3,1
Reg. of BP,LRRC19,Undirected,5634,NA,2,1
PRKCD,FLUARIX FLUVIRIN (D3),Undirected,5635,NA,2,
ID1,BNT-I (D1),Undirected,5636,NA,2,
"ZF2001 (V3, D07)",PGM5,Undirected,5637,NA,2,1
VAT1,HPV-VLP (M2),Undirected,5638,NA,2,
TMEM126A,Reg. of BP,Undirected,5639,NA,2,
"ZF2001 (V3, D14)",TAS2R30,Undirected,5640,NA,2,1
BTNL9,ADAPTIVE IMMUNE SYSTEM,Undirected,5641,NA,2,
TYRO3,Reg. of BP,Undirected,5642,NA,3,
STAMARIL (D3),CAMK1,Undirected,5643,NA,2,1
Immune system,CD27,Undirected,5644,NA,3,1
RPS4Y1,"ChAd-BNT (V2, D7)",Undirected,5645,NA,2,
Immune system,CD28,Undirected,5646,NA,3,1
WETVAX (D5-7),MTHFD2,Undirected,5647,NA,2,1
ZEB1,FLUMIST (D3),Undirected,5648,NA,2,
Immune system,CD22,Undirected,5649,NA,3,1
Reg. of BP,FTH1,Undirected,5650,NA,3,1
MSH2,B CELLS,Undirected,5651,NA,2,
Immune system,CD24,Undirected,5652,NA,3,1
PTGDS,INNATE IMMUNE SYSTEM,Undirected,5653,NA,2,
TNFRSF21,CELLULAR ADAPTIVE IMMUNE SYSTEM,Undirected,5654,NA,2,
Reg. of BP,ADAM17,Undirected,5655,NA,3,1
Reg. of BP,KAT5,Undirected,5656,NA,3,1
CDC42EP3,BNT-I (D1),Undirected,5657,NA,2,
Metabolism,IL31RA,Undirected,5658,NA,2,1
SHMT2,Metabolism,Undirected,5659,NA,3,
Reg. of BP,KAT7,Undirected,5660,NA,3,1
NCK2,ADAPTIVE IMMUNE SYSTEM,Undirected,5661,NA,2,
WFDC10A,Interspecies interaction,Undirected,5662,NA,2,
ZAP70,Cellular,Undirected,5663,NA,3,
Reg. of BP,MEF2C,Undirected,5664,NA,2,1
ANTIVIRAL AND INTERFERON,ACOD1,Undirected,5665,NA,2,1
PDXDC1,FLUMIST (D3),Undirected,5666,NA,2,
SC5D,FLUMIST (D3),Undirected,5667,NA,2,
PGAM4,BNT-I (D1),Undirected,5668,NA,2,
Immune system,CCR1,Undirected,5669,NA,3,1
TNR,MENACTRA (D3),Undirected,5670,NA,2,
"ZF2001 (V3, D07)",DDI1,Undirected,5671,NA,2,1
LAMP3,"ChAd (V1, D3)",Undirected,5672,NA,2,
Immune system,CCR6,Undirected,5673,NA,3,1
Immune system,CCR7,Undirected,5674,NA,3,1
KDM1B,FLUARIX FLUVIRIN (D3),Undirected,5675,NA,2,
Immune system,CD38,Undirected,5676,NA,2,1
Immune system,CCR8,Undirected,5677,NA,3,1
Immune system,CCR9,Undirected,5678,NA,2,1
NES,"ChAd-BNT (V2, D7)",Undirected,5679,NA,2,
Immune system,CCR2,Undirected,5680,NA,3,1
Immune system,CCR3,Undirected,5681,NA,3,1
PGLYRP4,"ChAd-BNT (V2, D7)",Undirected,5682,NA,2,
Immune system,CCR4,Undirected,5683,NA,3,1
Immune system,CD34,Undirected,5684,NA,3,1
WSB2,FLUARIX FLUVIRIN (D3),Undirected,5685,NA,2,
Immune system,CCR5,Undirected,5686,NA,3,1
PSMB8,ARPP,Undirected,5687,NA,2,
"ZF2001 (V3, D14)",SLC1A2,Undirected,5688,NA,2,1
DDX3X,Cellular,Undirected,5689,NA,3,
LVS F TULARENSIS (H192),FAS,Undirected,5690,NA,2,-1
Immune system,IFI44,Undirected,5691,NA,3,1
Immune system,CD3G,Undirected,5692,NA,3,1
HSPA6,"ChAd-BNT (V2, D7)",Undirected,5693,NA,2,
STK39,Metabolism,Undirected,5694,NA,3,
SAMHD1,Immune system,Undirected,5695,NA,2,
C4BPB,"BNT-MO (V3, D1)",Undirected,5696,NA,2,
Immune system,CD3D,Undirected,5697,NA,3,1
Immune system,CD3E,Undirected,5698,NA,3,1
SIGLEC8,"ChAd (V1, D3)",Undirected,5699,NA,2,
Immune system,CD40,Undirected,5700,NA,3,1
MAPK1,Immune system,Undirected,5701,NA,2,
TAP2,T CELLS,Undirected,5702,NA,2,
Immune system,CD47,Undirected,5703,NA,3,1
INFLUENZA (D1),EBP,Undirected,5704,NA,2,-1
KCTD19,BNT-I (D1),Undirected,5705,NA,2,
DNASE1L3,Cellular,Undirected,5706,NA,2,
Immune system,CD44,Undirected,5707,NA,3,1
Immune system,CD46,Undirected,5708,NA,3,1
TYK2,Immune system,Undirected,5709,NA,2,
STAMARIL (D3),KLHDC2,Undirected,5710,NA,2,-1
VPREB3,Immune system,Undirected,5711,NA,3,
TLR4,HUMORAL ADAPTIVE IMMUNE SYSTEM,Undirected,5712,NA,2,
HAUS1,FLUARIX FLUVIRIN (D3),Undirected,5713,NA,2,
YBX3,BNT-I (D1),Undirected,5714,NA,2,
KYNU,INNATE IMMUNE SYSTEM,Undirected,5715,NA,2,
FLUMIST (D3),DCTD,Undirected,5716,NA,2,1
POLK,FLUMIST (D3),Undirected,5717,NA,2,
SLAMF6,Cellular,Undirected,5718,NA,3,
SEMA3C,Cellular,Undirected,5719,NA,2,
SLA2,Immune system,Undirected,5720,NA,3,
"ZF2001 (V3, D07)",DCDC2C,Undirected,5721,NA,2,1
T CELLS,BCAR1,Undirected,5722,NA,2,1
IP6K2,FLUARIX FLUVIRIN (D3),Undirected,5723,NA,2,
PPEF1,HPV-VLP (M2),Undirected,5724,NA,2,
RAP1GAP2,Cellular,Undirected,5725,NA,3,
Immune system,CD58,Undirected,5726,NA,3,1
JSRP1,"ChAd-BNT (V2, D7)",Undirected,5727,NA,2,
STAT1,FLUMIST (D3),Undirected,5728,NA,2,
TRIM6,"BNT (V2, D1)",Undirected,5729,NA,2,
MONOV INFLUENZA A (D1),LTBR,Undirected,5730,NA,2,1
Immune system,CD55,Undirected,5731,NA,2,1
RNASE2,Cellular,Undirected,5732,NA,3,
"ZF2001 (V3, D14)",PMAIP1,Undirected,5733,NA,2,-1
VRK2,FLUARIX FLUVIRIN (D3),Undirected,5734,NA,2,
PARP9,"ChAd (V1, D3)",Undirected,5735,NA,2,
IRS2,BNT-I (D1),Undirected,5736,NA,2,
SIGLEC10,Immune system,Undirected,5737,NA,3,
TNFRSF4,Interspecies interaction,Undirected,5738,NA,3,
Metabolism,DCLRE1C,Undirected,5739,NA,3,1
UBE2N,CELLULAR ADAPTIVE IMMUNE SYSTEM,Undirected,5740,NA,2,
Metabolism,LEF1,Undirected,5741,NA,3,1
Metabolism,FOSL1,Undirected,5742,NA,3,1
"ZF2001 (V3, D07)",PCDH11Y,Undirected,5743,NA,2,1
Metabolism,FOSL2,Undirected,5744,NA,3,1
TRBJ2-3,Immune system,Undirected,5745,NA,2,
MONOV INFLUENZA A (D1),LMNB1,Undirected,5746,NA,2,1
RBP4,"ChAd (V1, D3)",Undirected,5747,NA,2,
"ChAd (V2, D3)",CCDC85B,Undirected,5748,NA,2,1
PIGF,FLUARIX FLUVIRIN (D3),Undirected,5749,NA,2,
IL4R,HUMORAL ADAPTIVE IMMUNE SYSTEM,Undirected,5750,NA,2,
PPP3CA,ADAPTIVE IMMUNE SYSTEM,Undirected,5751,NA,2,
OSBPL10,"ChAd (V1, D3)",Undirected,5752,NA,2,
Immune system,GPR65,Undirected,5753,NA,2,1
PRKCD,HUMORAL ADAPTIVE IMMUNE SYSTEM,Undirected,5754,NA,2,
MYD88,IMMUNOGLOBULIN MEDIATED IMMUNE RESPONSE,Undirected,5755,NA,2,
Cellular,CD6,Undirected,5756,NA,3,1
Cellular,CD5,Undirected,5757,NA,3,1
Cellular,CD4,Undirected,5758,NA,3,1
Cellular,CD7,Undirected,5759,NA,3,1
"ChAd-BNT (V3, D1)",CNTN2,Undirected,5760,NA,2,1
SIN3A,Immune system,Undirected,5761,NA,2,
OTHER,CXCL14,Undirected,5762,NA,2,1
DDOST,ADAPTIVE IMMUNE SYSTEM,Undirected,5763,NA,2,
JCHAIN,Cellular,Undirected,5764,NA,2,
MVA85A (D2),MARCO,Undirected,5765,NA,2,1
T CELLS,ABL1,Undirected,5766,NA,2,1
INNATE IMMUNE SYSTEM,EP300,Undirected,5767,NA,2,1
MALT1,Immune system,Undirected,5768,NA,3,
Reg. of BP,B4GALT1,Undirected,5769,NA,3,1
TRBV7-3,Reg. of BP,Undirected,5770,NA,2,
IL36RN,Cellular,Undirected,5771,NA,2,
WETVAX (D5-7),NUP62,Undirected,5772,NA,2,1
"ZF2001 (V3, D14)",CERS1,Undirected,5773,NA,2,1
RSAD2,"ChAd-BNT (V2, D7)",Undirected,5774,NA,2,
FOSB,BNT-I (D1),Undirected,5775,NA,2,
"ChAd (V1, D7)",CDC20,Undirected,5776,NA,2,1
"ZF2001 (V3, D07)",ESPNL,Undirected,5777,NA,2,1
NCKAP1L,Metabolism,Undirected,5778,NA,3,
SLC6A12,"ChAd-BNT (V2, D3)",Undirected,5779,NA,2,
NFKBIZ,"ChAd-BNT (V2, D3)",Undirected,5780,NA,2,
NCR3LG1,COMPLEMENT IMMUNE SYSTEM,Undirected,5781,NA,2,
Cellular,BANK1,Undirected,5782,NA,3,1
TNFSF4,Reg. of BP,Undirected,5783,NA,3,
FLUARIX FLUVIRIN (D3),AKR1A1,Undirected,5784,NA,2,1
CD276,ADAPTIVE IMMUNE SYSTEM,Undirected,5785,NA,2,
STAMARIL (D7),SEPTIN4,Undirected,5786,NA,2,1
MCM10,"ChAd (V1, D7)",Undirected,5787,NA,2,
TMSB15A,"ChAd-BNT (V2, D7)",Undirected,5788,NA,2,
EXO1,"ChAd (V1, D7)",Undirected,5789,NA,2,
FLUARIX FLUVIRIN (D3),AHCYL1,Undirected,5790,NA,2,1
MAPK8,FLUARIX FLUVIRIN (D3),Undirected,5791,NA,2,
VCAM1,Metabolism,Undirected,5792,NA,3,
CDKN2D,BNT-I (D1),Undirected,5793,NA,2,
MAOB,"ChAd-BNT (V2, D7)",Undirected,5794,NA,2,
CXCL17,"BNT (V2, D1)",Undirected,5795,NA,2,
HSH2D,"ChAd (V2, D1)",Undirected,5796,NA,2,
CCR7,ADAPTIVE IMMUNE SYSTEM,Undirected,5797,NA,2,
RALGAPA1,FLUARIX FLUVIRIN (D3),Undirected,5798,NA,2,
UBE2L6,"ChAd-BNT (V3, D1)",Undirected,5799,NA,2,
"ZF2001 (V3, D07)",ADAMTSL3,Undirected,5800,NA,2,1
CHRNA7,CELLULAR ADAPTIVE IMMUNE SYSTEM,Undirected,5801,NA,2,
"ZF2001 (V3, D07)",ADAMTSL2,Undirected,5802,NA,2,1
SHLD2,Reg. of BP,Undirected,5803,NA,2,
WETVAX (D5-7),ALDH3B1,Undirected,5804,NA,2,1
"ZF2001 (V3, D07)",TSPAN10,Undirected,5805,NA,2,1
TRIM38,INNATE IMMUNE SYSTEM,Undirected,5806,NA,2,
Cellular,CFH,Undirected,5807,NA,3,1
MUC16,"ChAd (V1, D3)",Undirected,5808,NA,2,
SIRPA,ANTIVIRAL AND INTERFERON,Undirected,5809,NA,2,
Reg. of BP,LMBR1L,Undirected,5810,NA,3,1
FOSB,BNT-I (D3),Undirected,5811,NA,2,
Cellular,CFP,Undirected,5812,NA,3,1
Immune system,IGKJ1,Undirected,5813,NA,2,1
SH2B3,Immune system,Undirected,5814,NA,3,
FLUARIX FLUVIRIN (D3),FASTKD3,Undirected,5815,NA,2,1
USP18,"BNT-MO (V3, D1)",Undirected,5816,NA,2,
FLUARIX FLUVIRIN (D3),FASTKD2,Undirected,5817,NA,2,1
MASP2,INNATE IMMUNE SYSTEM,Undirected,5818,NA,2,
KCND3,"ChAd-BNT (V2, D3)",Undirected,5819,NA,2,
Reg. of BP,NKG7,Undirected,5820,NA,3,1
STAMARIL (D7),STAB1,Undirected,5821,NA,2,1
ZAP70,Reg. of BP,Undirected,5822,NA,3,
HLA-DOA,Cellular,Undirected,5823,NA,3,
MYD88,FLUMIST (D3),Undirected,5824,NA,2,
C5AR1,BNT-I (D1),Undirected,5825,NA,2,
STAMARIL (D10),RGL1,Undirected,5826,NA,2,1
SPP1,"ChAd-BNT (V2, D7)",Undirected,5827,NA,2,
TRIM59,FLUMIST (D3),Undirected,5828,NA,2,
SAMSN1,BNT-I (D3),Undirected,5829,NA,2,
Reg. of BP,FCHO1,Undirected,5830,NA,3,1
PPID,FLUMIST (D3),Undirected,5831,NA,2,
LYL1,ADAPTIVE IMMUNE SYSTEM,Undirected,5832,NA,2,
NEUTROPHIL,CAMP,Undirected,5833,NA,2,1
UBE2N,ANTIVIRAL AND INTERFERON,Undirected,5834,NA,2,
Immune system,CDK6,Undirected,5835,NA,3,1
NRARP,Immune system,Undirected,5836,NA,2,
CDKN2D,BNT-I (D3),Undirected,5837,NA,2,
MARCHF6,FLUARIX FLUVIRIN (D3),Undirected,5838,NA,2,
RSAD2,"ChAd-BNT (V2, D3)",Undirected,5839,NA,2,
MONOV INFLUENZA A (D1),CSGALNACT1,Undirected,5840,NA,2,-1
"ZF2001 (V3, D07)",FAP,Undirected,5841,NA,2,1
ZIC2,"ZF2001 (V3, D07)",Undirected,5842,NA,2,
Reg. of BP,IFNA16,Undirected,5843,NA,3,1
LTA4H,FLUARIX FLUVIRIN (D3),Undirected,5844,NA,2,
Reg. of BP,IFNA17,Undirected,5845,NA,3,1
STAT2,Cellular,Undirected,5846,NA,3,
"ChAd (V2, D3)",A2M,Undirected,5847,NA,2,1
MAP3K7,Immune system,Undirected,5848,NA,2,
NCF2,INNATE IMMUNE SYSTEM,Undirected,5849,NA,2,
PLPP3,HPV-VLP (M2),Undirected,5850,NA,2,
SAMSN1,BNT-I (D4),Undirected,5851,NA,2,
INSYN2B,"BNT-MO (V3, D1)",Undirected,5852,NA,2,
RAB8B,HPV-VLP (M2),Undirected,5853,NA,2,
INNATE IMMUNE SYSTEM,DDX60,Undirected,5854,NA,2,1
TIPRL,FLUARIX FLUVIRIN (D3),Undirected,5855,NA,2,
RAB39A,"ChAd (V1, D3)",Undirected,5856,NA,2,
"ZF2001 (V3, D07)",CPT1C,Undirected,5857,NA,2,1
STAMARIL (D7),MPZL1,Undirected,5858,NA,2,-1
ERRFI1,"ChAd-BNT (V2, D3)",Undirected,5859,NA,2,
Reg. of BP,IFNA21,Undirected,5860,NA,3,1
LRP1,FLUARIX FLUVIRIN (D3),Undirected,5861,NA,2,
UBA7,INNATE IMMUNE SYSTEM,Undirected,5862,NA,2,
DMC1,"ChAd-BNT (V2, D7)",Undirected,5863,NA,2,
ZRANB1,FLUMIST (D3),Undirected,5864,NA,2,
TRIM29,Reg. of BP,Undirected,5865,NA,2,
TLR9,Reg. of BP,Undirected,5866,NA,2,
ISCA1,FLUMIST (D3),Undirected,5867,NA,2,
Reg. of BP,DNM2,Undirected,5868,NA,2,1
RASSF5,Cellular,Undirected,5869,NA,3,
TPRA1,HPV-VLP (M2),Undirected,5870,NA,2,
Metabolism,ADORA2B,Undirected,5871,NA,2,1
HPV-VLP (M2),EBNA1BP2,Undirected,5872,NA,2,1
TTK,"ChAd (V1, D7)",Undirected,5873,NA,2,
"ZF2001 (V3, D07)",SLIT3,Undirected,5874,NA,2,1
"ZF2001 (V3, D07)",SLIT2,Undirected,5875,NA,2,1
STAMARIL (D7),RGL1,Undirected,5876,NA,2,1
PSMB8,MONOV INFLUENZA A (D1),Undirected,5877,NA,2,
Reg. of BP,IFNA14,Undirected,5878,NA,3,1
MACROPHAGES,LGALS3,Undirected,5879,NA,2,1
ZDHHC1,INNATE IMMUNE SYSTEM,Undirected,5880,NA,2,
Cellular,CD2,Undirected,5881,NA,3,1
RAB11FIP2,Cellular,Undirected,5882,NA,3,
Reg. of BP,IFNA10,Undirected,5883,NA,3,1
TMEM132A,BNT-I (D1),Undirected,5884,NA,2,
ID1,"BNT-MO (V3, D1)",Undirected,5885,NA,2,
TMEM8B,HPV-VLP (M2),Undirected,5886,NA,2,
PYCR1,"ChAd (V1, D7)",Undirected,5887,NA,2,
RORA,FLUMIST (D3),Undirected,5888,NA,2,
PTS,BNT-I (D1),Undirected,5889,NA,2,
TNFRSF13B,Reg. of BP,Undirected,5890,NA,2,
