"","BBIBP (V3 D14)","BNT (V1 D6)","BNT (V2 D1)","BNT (V3 D1)","BNT-I (D1)","BNT-I (D10 mild)","BNT-I (D10 severe)","BNT-I (D26 mild)","BNT-I (D26 severe)","BNT-I-BNT (D51 mild)","BNT-MO (V3 D1)","ChAd (V1 D3)","ChAd (V1 D7)","ChAd (V2 D1)","ChAd-BNT (V2 D3)","ChAd-BNT (V2 D7)","I (D10 moderate)","I (D10 severe)","I (D26 moderate)","I (D26 severe)","I (D51 severe)","ZF2001 (V3 D07)","ZF2001 (V3 D14)","ZF2001 (V3 D28)"
"Response to Interferon II",NA,NA," 2.032072"," 1.837172",NA,NA,NA,NA,NA,NA," 1.880150"," 1.875532","-1.639569"," 1.946606",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Selection- T cell Thymic",NA,NA,NA,NA,NA,"-1.747837","-1.870849",NA,"-1.472041",NA,NA,NA,NA,NA,NA,NA,"-1.813004",NA,"-1.722323","-1.683946",NA,NA,NA,NA
"Signaling BCR B cell",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.625859",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.311852","-1.266148"
"Signaling Interferon I Pathway",NA,"1.284615","2.053570","1.932977",NA,"2.349314","2.184962",NA,NA,NA,"1.916485","2.293473",NA,"1.934702","1.937994",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Signaling Interferon II Pathway",NA,NA," 1.678712",NA,NA,NA,NA,NA,NA,NA,NA," 1.683190",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.412258",NA,NA
"Signaling PRR",NA,NA,"1.607196",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Signaling T cell",NA,NA,NA,NA,NA,"-2.205793","-2.124735",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-2.049458",NA,"-2.223265",NA,NA,NA,NA,NA
"T cell-mediated cytotoxicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.554248","-1.720991",NA,NA,NA,NA
"T cell-mediated immunity",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.318341",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T cells",NA,NA,NA,NA,NA,"-1.744457","-1.714894",NA,NA,NA,NA," 1.519701",NA,NA,NA,NA,"-1.926125","-1.522446","-2.002278",NA,NA,NA,NA,"-1.496959"
"Tolerance Induction LPS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 1.313924","-1.309168",NA,NA
"killing of Gram+ bacterium Neutrophil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.32951",NA,NA,NA,NA,NA
"killing of Gram- bacterium Neutrophil",NA,NA,NA,NA,NA,NA,"1.323015",NA,NA,NA,NA,NA,"1.311423",NA,NA,NA,NA,NA,"1.325698",NA,NA,NA,NA,NA
