"","genes","process","gene_set_short","go_term","immune_system","immune_sub_system","immune_tissue","set_size"
"62","IGBP1,IGLC1,IGLC3,IGLC7,IGLC6,IGHV1-2,IGHV1-3,IGHV3-74,IGLC2,IGHV4-61,IGHV4-30-2,IGHV3-21,IGHV3-38-3,IGHV8-51-1,IGHV3-16,IGHV3-66,IGHV3-30-3,IGHV3-73,IGHV3-72,IGHV1-24,IGHV1-8,IGHV1-58,IGHV3-35,IGHV3-30-5,IGHV1-45,IGHV3-64,IGHV4-28,IGHV3-64D,IGHV7-81,IGHV2-70D,IGHV3-38,IGHV3-15,IGHV3-49,IGHV4-30-4,IGHV4-38-2,IGHV3-43D,IGHV1-18,IGHV5-10-1,IGHV7-4-1,IGLL5,IGHV3-43,IGHV2-26,IGHV4-31,IGHV3-20,IGHV1-69D,IGHV5-51,IGLL1,IGHV1-69-2,IGHV6-1,IGHV1-38-4,IGHV4-4,IGKV6D-41,IGKV1D-37,IGKV2D-29,IGKV6D-21,IGKV2-29,IGLJ1,IGLV3-21,IGLV3-10,IGHJ1,IGKV2D-26,IGKV3D-11,IGLV3-16,IGKV1D-42,IGKV1D-43,IGLV1-36,IGKV2-28,IGLV5-37,IGKJ1,IGKV1-27,IGKV3D-20,IGLV9-49,IGLV1-50,IGKV3D-7,IGKV1-8,IGKV1-6,IGLV3-12,IGLV3-32,IGLV3-9,IGKV1-37,IGLV10-54,IGHD1-1,IGKV2-40,IGKV2D-24,IGKV6-21,IGKV1-13,IGKV1D-17,IGLV5-48,IGKV1-12,IGKV3-7,IGLV5-52,IGLV11-55,IGLV5-39,IGKV1-9,IGLV2-33,IGLV3-22,IGLV5-45,IGKV3D-15,IGLV7-46,IGKV2-24,IGKV1D-13,IGLV4-3,IGLV2-18,IGKV2D-30,IGLV4-60,IGLV4-69,IGLV8-61,IGKV1D-8,IGHV1-2,IGHV1-3,IGHV3-74,IGLC2,IGHV4-61,IGHV4-30-2,IGHV3-21,IGLC1,IGHV3-38-3,IGHV8-51-1,IGHV3-16,IGHV3-66,IGHV3-30-3,IGHV3-73,IGHV3-72,IGLC3,IGHV1-24,IGHV1-8,IGHV1-58,IGHV3-35,IGHV3-30-5,IGHV1-45,IGHV3-64,IGHV4-28,IGHV3-64D,IGHV7-81,IGHV2-70D,IGHV3-38,IGHV3-15,IGLC7,IGHV3-49,IGHV4-30-4,IGHV4-38-2,IGHV3-43D,IGHV1-18,IGLC6,IGHV5-10-1,IGHV7-4-1,IGLL5,IGHV3-43,IGHV2-26,IGHV4-31,IGHV3-20,IGHV1-69D,IGHV5-51,IGLL1,IGHV1-69-2,IGHV6-1,IGHV1-38-4,IGHV4-4","BCR REPERTOIRE","BCR REPERTOIRE","Manual","Adaptive","Humoral","B cell",NA
"63","ZAP70,SYK,RHOA","BETA SELECTION","Selection, Beta","GO:0043366","Adaptive","Cellular","T cell",3
"64","ELANE","BIOSYNTHETIC PROCESS OF ANTIBACTERIAL PEPTIDES ACTIVE AGAINST GRAM-NEGATIVE BACTERIA","Biosynthesis, Antibacterial peptides against Gram-","GO:0002812","Undefined","Undefined","Undefined",1
"65","LRRC17,ASXL1,LIPA,HOXB4,PTPRC","BONE MARROW DEVELOPMENT","Development, Bone marrow","GO:0048539","Adaptive","Organ","Bone marrow",5
"66","BRAF","CD4-POSITIVE OR CD8-POSITIVE, ALPHA-BETA T CELL LINEAGE COMMITMENT","Lineage commitment, CD4+ OR CD8+, abT cell","GO:0043369","Adaptive","Cellular","T cell",1
"67","CDH26","CD4-POSITIVE, ALPHA-BETA T CELL ACTIVATION","Activation, CD4+, abT cell","GO:0035710","Adaptive","Cellular","T cell",1
"68","CD81","CD4-POSITIVE, ALPHA-BETA T CELL COSTIMULATION","Costimulation, CD4+, abT cell","GO:0035783","Adaptive","Cellular","T cell",1
"69","CD83,BRAF","CD4-POSITIVE, ALPHA-BETA T CELL DIFFERENTIATION","Differentiation, CD4+ T cell","GO:0043367","Adaptive","Cellular","T cell",2
"70","TOX","CD4-POSITIVE, ALPHA-BETA T CELL LINEAGE COMMITMENT","Lineage commitment, CD4+, abT cell","GO:0043373","Adaptive","Cellular","T cell",1
"71","PRKCQ,CD28","CD4-POSITIVE, ALPHA-BETA T CELL PROLIFERATION","Proliferation, CD4+, abT cell","GO:0035739","Adaptive","Cellular","T cell",2
"72","FUT7,IL2RG","CD4-POSITIVE, CD25-POSITIVE, ALPHA-BETA REGULATORY T CELL DIFFERENTIATION","Differentiation, CD4+, CD25+, abTreg","GO:0002361","Adaptive","Cellular","T cell",2
"73","TOX","CD4-POSITIVE, CD25-POSITIVE, ALPHA-BETA REGULATORY T CELL LINEAGE COMMITMENT","Lineage commitment, CD4+, CD25+, abTreg","GO:0002362","Adaptive","Cellular","T cell",1
"74","HLA-E,WDFY4","CD8-POSITIVE, ALPHA-BETA T CELL ACTIVATION","Activation, CD8+, abT cell","GO:0036037","Adaptive","Cellular","T cell",2
"75","PSMB11,IRF1,TNFSF8","CD8-POSITIVE, ALPHA-BETA T CELL DIFFERENTIATION","Differentiation, CD8+, abT cell","GO:0043374","Adaptive","Cellular","T cell",3
"76","EOMES","CD8-POSITIVE, ALPHA-BETA T CELL DIFFERENTIATION INVOLVED IN IMMUNE RESPONSE","Differentiation, Immune response, CD8+, abT cell","GO:0002302","Adaptive","Cellular","T cell",1
"77","TOX,BCL2","CD8-POSITIVE, ALPHA-BETA T CELL LINEAGE COMMITMENT","Lineage commitment, CD8+, abT cell","GO:0043375","Adaptive","Cellular","T cell",2
"78","KLRC1","CD8-POSITIVE, GAMMA-DELTA INTRAEPITHELIAL T CELL DIFFERENTIATION","Differentiation, CD8+, gdT cell, Intraepithelial","GO:0002305","Adaptive","Cellular","T cell",1
"79","MBL2,LBP,CD14","CELL SURFACE PATTERN RECOGNITION RECEPTOR SIGNALING PATHWAY","PRR, Cell surface, Pathway","GO:0002752","Innate","PRR","All",3
"80","RHOA,BRAF,CDH26,CD81,TOX,EOMES,KLRC1,RAB27A,ABL1,IL15,CCL2,TNFSF4,ITGAL,DOCK8,THEMIS,CCR7,CD28,FCER1G,BAX,MYO1G,CD1D,CCR2,ZFPM1,CLEC4G,PTPRC,CD83,PRKCQ,FUT7,IL2RG,HLA-E,WDFY4,BCL2,CRKL,CRK,APBB1IP,XG,CD99,LIG4,PRKDC,GPR183,RC3H1,HMGB1,CEBPB,RORC,RORA,CCL20,CORO1A,STAT5B,IL2,FAS,RPS6,AKT1,CD247,CD3G,ZAP70,SYK,PSMB11,IRF1,TNFSF8,RAG2,CRTAM,MYH9,LILRB1,SLC11A1,RELB,IL4R,SPN,STAT6,MTOR,STAT3,NOTCH1,PHB1,PTGER4,ATP7A,IL12B,ITPKB,GATA3,TCF7,IL7,IL6R,IL6ST,JAK1,BCL6,FCER1A,IL10,IL33,SRF,TLR4,IL18BP,BCL3,RPL22,GLI3,ADA,ITK,CXADR,JAML,CXCL12,CCL3,DEFA4,SLC12A2,PIK3CG,DEFA1,MYB,MEN1,KMT2A,IFNE,MDK,F2RL1,LCP1,PSEN1,IFNA8,CD1C,CD46,JAG1,CR2,BTN3A2,CD70,GNL1,CR1,GPR15,S1PR1,MSN,ITGB7,GZMM,CTSH,TAP2,PPP3CB,PRF1,EMP2,CTSC,HPRT1,IL7R,B2M,PPP2CA,CHST3,SPNS2,JAK3,ZC3H8,NCKAP1L,PPP2R1A,RAG1,IL20RB,GPR15LG,CASP3,CCNB2,PRDX2,CD86,PTPN6,CAV1,SRC,PTPN11,DPP4,LGALS1,MAP3K8,KLRK1,CD160,CD24,CD80,PIK3CA,EFNB1,EFNB2,VAV1,CSK,CD40LG,NKAP,CTNNB1,ZFP36L2,NCAPH2,ZFP36L1,ADAM17,WNT4,CDK6,JMJD6,TESPA1,ASXL1,MAP2K1,HAND2,MAP2K2,FOXI3,SOD1,CACNB4,TGFBR1,MAPK3,EPHB3,LMO4,PBX1,MAPK1,TYR,PSMB10,FKBP1B,LIPA,KITLG,LMBR1L,RASGRP1,CTPS1,TNFRSF4,IDO1,CD151,SCGB1A1,CCND3,KDELR1,DTX1,KIT,FOSL2,SOX4,PTPN2,LFNG,LEPR,GPR89A,LEP,EGR1,PKNOX1,PIK3R1,NRARP,SP3,GPR89B,WAS,CHRNA7,HSPD1,RBX1,NCK1,SMAD3,PPP3CA,LAG3,NLRC3,FKBP1A,MFAP3,TNFAIP8L2,CD7,CD276,CD44,DCAF12,CD8B,DDOST,SKAP1,THEMIS2,KHDRBS1,CACNB3,BTK,PDE4B,PDE4D,UBE2N,NFKBID,PLCG2,DENND1B,TXK,VTCN1,FYB2,CTLA4,BTNL8,BCL10,BTNL10P,TEC,ZNF683,PLCG1,EIF2B2,BCAR1,BTNL9,BTNL3,BTN2A1,HLA-DRB3,PTPRJ","CELLULAR ADAPTIVE IMMUNE SYSTEM","Cellular adaptive immune system","Manual","Adaptive","Cellular","General",267
"81","ITGA1,AZU1,JAM2","CELLULAR EXTRAVASATION","Cellular extravasation","GO:0045123","General","General","Leukocyte",3
"82","IFIT1","CELLULAR RESPONSE TO TYPE I INTERFERON","Cellular response to Interferon I","GO:0071357","Innate","Interferon","Undefined",1
"83","DAPK1,WAS,CCL5,CCL4,STXBP1,NOS2,AQP4,CCL8,STXBP4,CD47,STX4,STAT1,CLDN1,GBP6,CCL1,GBP2,CCL3,GBP1,CCL4L1,CCL3L1,ACTG1,RAB43,CCL18,CCL2,FCAR,IL12RB1,RPS6KB1,MRC1,CX3CL1,XCL1,TDGF1,TLR4,IRF8,CDC42,RPL13A,CCL20,LGALS9,STXBP3,MYO1C,ACTR2,CCL24,ACTR3,CASP1,FASLG,SIRPA,CCL7,CCL23,KIF5B,VIM,CD58,CALM1,GBP7,IL12B,WNT5A,HLA-DPA1,PDE12,ACOD1,ADAMTS13,AIF1","CELLULAR RESPONSE TO TYPE II INTERFERON","Cellular response to Interferon II","GO:0071346","Innate","Interferon","Undefined",59
"84","IL10","CHRONIC INFLAMMATORY RESPONSE TO ANTIGENIC STIMULUS","Antigen, Chronic, Inflammatory response","GO:0002439","Innate","Inflammation","Undefined",1
"85","C4B,CFHR2,C7,CFH,C4A,C6,CFD,CFHR3,MASP1,CFHR1,C1S,CLU,C1R,MASP2,CFP,CFB","COMPLEMENT ACTIVATION","Activation, Complement","GO:0006956","Complement","Complement","Undefined",16
"86","CFD,CR1,CFP,CFB,CR2,CFH,C7","COMPLEMENT ACTIVATION, ALTERNATIVE PATHWAY","Complement, Alternative pathway","GO:0006957","Complement","Complement","Undefined",7
"87","SUSD4,C1QBP,C6,CD46,MBL2,C4BPB,C1R,CD55,C1S,NCR3LG1,CR1,C4A,C7,C4B,CR2,CLU,MASP2","COMPLEMENT ACTIVATION, CLASSICAL PATHWAY","Complement, Classical pathway","GO:0006958","Complement","Complement","Undefined",17
"88","MASP1,MBL2,MASP2","COMPLEMENT ACTIVATION, LECTIN PATHWAY","Complement, Lectin pathway","GO:0001867","Complement","Complement","Undefined",3
"89","C5AR1","COMPLEMENT COMPONENT C5A SIGNALING PATHWAY","Complement, C5a pathway","GO:0038178","Complement","Complement","Undefined",1
"90","C5AR1,MASP1,MBL2,MASP2,CFD,CR1,CFP,CFB,CR2,CFH,C7,FPR1,GPLD1,GPR32P1,FPR2,FPR3,C4B,CFHR2,C4A,C6,CFHR3,CFHR1,C1S,CLU,C1R,SUSD4,C1QBP,CD46,C4BPB,CD55,NCR3LG1","COMPLEMENT IMMUNE SYSTEM","Complement immune system","Manual","Complement","General","General",31
"91","C5AR1,FPR1,GPLD1,GPR32P1,CR1,FPR2,FPR3,CR2","COMPLEMENT RECEPTOR MEDIATED SIGNALING PATHWAY","Complement, Pathway","GO:0002430","Complement","Complement","Undefined",8
"92","MAVS,RIGI,CGAS,STING1","CYTOSOLIC PATTERN RECOGNITION RECEPTOR SIGNALING PATHWAY","PRR, Cytosolic, Pathway","GO:0002753","Innate","PRR","Undefined",4
"93","RAB27A","CYTOTOXIC T CELL DEGRANULATION","Degranulation, Cytotoxic T cell","GO:0043316","Adaptive","Cellular","T cell",1
"94","CCR2,CXCR2,CCR1,CXCR4,CXCR1,CCR7,HMGB1,GPR183,PIK3CG,CCL5","DENDRITIC CELL CHEMOTAXIS","Chemotaxis, Dendritic cell","GO:0002407","Innate","APC","Dendritic cell",10
"95","GPR183,F2R","DENDRITIC CELL HOMEOSTASIS","Homeostasis, Dendritic cell","GO:0036145","Innate","APC","Dendritic cell",2
"96","ALOX5,CDC42,EPS8,DOCK8,NLRP12","DENDRITIC CELL MIGRATION","Migration, Dendritic cell","GO:0036336","Innate","APC","Dendritic cell",5
"97","HMGB1,HLA-DRB3,LAG3,GPR183,F2R,CCR7,ARHGEF5,ZBTB46,IRF8,ALOX5,CDC42,EPS8,DOCK8,NLRP12,SPI1,BATF2,TGFBR2,NOTCH2,LTBR,PSEN1,RELB,RBPJ,CCR2,CXCR2,CCR1,CXCR4,CXCR1,CCR7,HMGB1,GPR183,PIK3CG,CCL5","DENDRITIC CELLS","Dendritic cells","Manual","Innate","APC","Dendritic cell",NA
"98","FER,ITGA4,PECAM1","DIAPEDESIS","Diapedesis","GO:0050904","General","General","Leukocyte",3
"99","LIG4,PTPRC,RAG2","DN2 THYMOCYTE DIFFERENTIATION","Differentiation , DN2 thymocyte","GO:1904155","Adaptive","Cellular","T cell",3
"100","ABL1","DN4 THYMOCYTE DIFFERENTIATION","Differentiation , DN4 thymocyte","GO:1904157","Adaptive","Cellular","T cell",1
"101","SCG2,CCL5,CCL4,CCL18,CCL3,LGALS3,CCL23,CCL1,CCL8,CCL4L1,CCL2,CCL7,CX3CL1,CCL3L1,XCL1,CCL24,VAMP2,VAMP7,FCER1A,BTK,MPL,EPX,SCG2,CCL5,CCL4,CCL18,CCL3,LGALS3,CCL23,CCL1,CCL8,CCL4L1,CCL2,CCL7,CX3CL1,CCL3L1,XCL1,CCL24,VAMP2,VAMP7,FCER1A,BTK,MPL,EPX,SCG2,CCL5,CCL4,CCL18,CCL3,LGALS3,CCL23,CCL1,CCL8,CCL4L1,CCL2,CCL7,CX3CL1,CCL3L1,XCL1,CCL24,VAMP2,VAMP7,FCER1A,BTK,MPL,EPX,SCG2,CCL5,CCL4,CCL18,CCL3,LGALS3,CCL23,CCL1,CCL8,CCL4L1,CCL2,CCL7,CX3CL1,CCL3L1,XCL1,CCL24,VAMP2,VAMP7,FCER1A,BTK,MPL,EPX","EOSINOPHIL","Eosinophil","Manual","Innate","Cell","Eosinophil",22
"102","SCG2,CCL5,CCL4,CCL18,CCL3,LGALS3,CCL23,CCL1,CCL8,CCL4L1,CCL2,CCL7,CX3CL1,CCL3L1,XCL1,CCL24","EOSINOPHIL CHEMOTAXIS","Chemotaxis, Eosinophil","GO:0048245","Innate","Eosinophil","Eosinophil",16
"103","VAMP2,VAMP7,CCL3,FCER1A","EOSINOPHIL DEGRANULATION","Degranulation, Eosinophil","GO:0043308","Innate","Eosinophil","Eosinophil",4
"104","BTK,MPL","EOSINOPHIL HOMEOSTASIS","Homeostasis, Eosinophil","GO:1990959","Innate","Eosinophil","Eosinophil",2
"105","EPX","EOSINOPHIL MIGRATION","Migration, Eosinophil","GO:0072677","Innate","Eosinophil","Eosinophil",1
"106","CCR7,CRTAM,MYH9","ESTABLISHMENT OF T CELL POLARITY","Establishment of T cell polarity","GO:0001768","Adaptive","Cellular","T cell",3
"107","IL15","EXTRATHYMIC T CELL SELECTION","Selection, T cell, Extrathymic","GO:0045062","Adaptive","Cellular","T cell",1
"108","FCER1G","FC RECEPTOR MEDIATED STIMULATORY SIGNALING PATHWAY","Fc receptor, Pathway","GO:0002431","Adaptive","Tolerance","Undefined",1
"109","LIMK1,VAV2,SRC,VAV1,SYK,ABL1,PRKCE,MYO1G,HCK,PTK2,PRKCD,FGR,PLPP4,FCGR2B","FC-GAMMA RECEPTOR SIGNALING PATHWAY INVOLVED IN PHAGOCYTOSIS","Fc-gR signaling, phagocytosis","GO:0038096","Adaptive","Humoral","B cell",14
"110","FCGR2B,IRF8,SPI1,PLCG2","FOLLICULAR B CELL DIFFERENTIATION","Differentiation, folicular B cell","GO:0002316","Adaptive","Humoral","B cell",4
"111","ITK,CXADR,JAML,CD3G,CD247","GAMMA-DELTA T CELL ACTIVATION","Activation, gdT cell","GO:0046629","Adaptive","Cellular","T cell",7
"112","SYK,STAT5B,TCF7,PTPRC","GAMMA-DELTA T CELL DIFFERENTIATION","Differentiation, gdT cell","GO:0042492","Adaptive","Cellular","T cell",4
"113","CDH17,SPI1,IRF8","GERMINAL CENTER B CELL DIFFERENTIATION","Differentiation, Germinal center, B cell","GO:0002314","Adaptive","Humoral","B cell",3
"114","MEF2C,UNC13D,BCL6,ADAM17,NFKB2,BCL3","GERMINAL CENTER FORMATION","Formation, Germinal center","GO:0002467","Adaptive","Germinal center","Germinal center",6
"115","CCL3,IL17RC","GRANULOCYTE CHEMOTAXIS","Chemotaxis, Granulocyte","GO:0071621","Innate","Granulocyte","Granulocyte",2
"116","UNC13D,CEBPB","GRANULOMA FORMATION","Formation, Granuloma","GO:0002432","Innate","Innate","Undefined",2
"117","CRKL,CRK","HELPER T CELL DIAPEDESIS","Diapedesis, Th cell","GO:0035685","Adaptive","Cellular","T cell",2
"118","CCL2","HELPER T CELL EXTRAVASATION","Extravasation, Th cell","GO:0035684","Adaptive","Cellular","T cell",1
"119","ASXL1,LTBR","HEMATOPOIETIC OR LYMPHOID ORGAN DEVELOPMENT","Organ development, Hematopoietic or lymphoid","GO:0048534","General","Organ","Undefined",2
"120","IL6R","HEPATIC IMMUNE RESPONSE","Immune response, Hepatic","GO:0002384","General","Organ","Undefined",1
"121","BTK,SNAP23,SLC18A2,RAB44","HISTAMINE SECRETION BY MAST CELL","Secretion, Histamine, Mast cell","GO:0002553","Innate","Cells","Mast cell",4
"122","RAB44","HISTAMINE SECRETION MEDIATED BY IGE IMMUNOGLOBULIN","Secretion, Histamine, IgE","GO:0097279","Innate","Cells","Mast cell",1
"123","YY1,HSPD1,IL2RG,ST3GAL1,HLA-G,LRRC8A,ABL1,FCER1A,WNT4,CLEC4G,BCL6,STAT6,LGALS1,RAG1,RAG2,GATA3,SPI1,MLH1,MSH2,CDH17,IRF8,BCL3,ZP3,CD81,TCF3,PRKDC,LIG4,SHLD3,SHLD1,SHLD2,FCGR2B,PLCG2,LFNG,NOTCH2,GPR183,C17orf99,IRF2BP2,KIT,SYVN1,PTX3,SFTPA1,LBP,C4B,MBL2,UNG,MSH6,PMS2,CD6,DOCK8,MSN,PRF1,EPHB1,MSH3,ERCC1,CD40LG,RNF168,SANBR,LIMK1,VAV2,SRC,VAV1,SYK,PRKCE,MYO1G,HCK,PTK2,PRKCD,FGR,PLPP4,HOXB4,NKX2-5,LIPA,EPB42,ADAM17,CDKN2B,PBX1,NKX3-2,RC3H1,NFKB2,NKX2-3,CACNB4,BCL2,KMT2A,IL4R,IL9R,CD19,MPL,IL9,BCL10,FCER1G,IL2RB,CD27,CSF2RB","HUMORAL ADAPTIVE IMMUNE SYSTEM","Humoral adaptive immune system","Manual","Adaptive","Humoral","General",143
"124","IFNA8,CCR2,IL7,NOTCH2,GATA3,IFNE,BMI1,CD83,CD28,ALOX5,MS4A1,BCL2,PSMB10,CCL2,TFEB,MEF2C,GPR183,BST1,TFE3,ST6GAL1,POU2F2,RBPJ,NOTCH1","HUMORAL IMMUNE RESPONSE","Humoral immune response","GO:0006959","General","Humoral","Undefined",23
"125","BCL3,ZP3,CD81","HUMORAL IMMUNE RESPONSE MEDIATED BY CIRCULATING IMMUNOGLOBULIN","Ig, Humoral immune response","GO:0002455","Adaptive","Humoral","B cell",3
"126","SPI1,PRKDC,IRF2BP2,KIT,SYVN1","IMMATURE B CELL DIFFERENTIATION","Differentiation, B cell, Immature","GO:0002327","Adaptive","Humoral","B cell",5
"127","WNT4,CLEC4G","IMMATURE T CELL PROLIFERATION IN THYMUS","Proliferation, thymus, T cell, immature","GO:0033080","Adaptive","Humoral","B cell",2
"128","CLU","IMMUNE COMPLEX CLEARANCE","Clearance, Immune complex","GO:0002434","Innate","Innate","Undefined",1
"129","FCGR2B","IMMUNE COMPLEX CLEARANCE BY MONOCYTES AND MACROPHAGES","Clearance, Immune complex, Monocytes, Macrophages","GO:0002436","Innate","Innate","APC",1
"130","HLA-C,CCL1,RAG1,CXCL14,VAV1,IL2RG,CCL20,HLA-DOB,LILRB2,CD1C,ITGB8,HLA-DPA1,CCR7,TNFSF15,CCL2,PTAFR,CEACAM8,CD1E,SCAP,C7,CX3CR1,KIR3DL1,HLA-DMA,IL12A,ETS1,CXCL6,CCR1,IL10,HLA-E,CCR2,CCL4L1,C1R,PNP,GPR183,IL1RL1,FCGR1A,XCL1,CXCL12,LAX1,CXCL1,CD1D,DPP8,TNFSF8,ENPP1,CRHR1,GTPBP1,IL3,EXOSC9,NRROS,KIR2DL1,LY86,IL18RAP,LIF,IGSF6,HAMP,CCL24,TGFBR3,SERPINB9,CEBPG,CR2,ADGRE5,CIITA,CCL4,IGF1R,IFITM2,IL1RN,CRIP1,XBP1,GPR65,TCF7,TNFSF4,S1PR4,LTB,IL15,PKHD1L1,RGS1,CCL23,CD96,IL10RB,HLA-DMB,IL7,CTSK,WAS,ACKR3,CTSS,IL13,PIK3R1,CD28,IL32,VPREB1,THBS1,CNIH1,CXCL2,FASLG,CXCR5,DEFA1,ENDOU,OPRD1,CXCR1,ZAP70,RFX1,CTSG,CCR10,GEM,PIK3CG,SP2,HLA-DRB3,MAP4K2,CCL7,CHST4,IFI6,TNFRSF1B,TYK2,TNFSF10,IL27RA,FCGR3A,IL7R,CCL3L1,KIR2DL3,CXCL3,HRH2,TRIM22,SPN,CSF3,CCL5,CXCR4,PF4V1,LTBR,BMPR1A,CXCL5,CD79B,TLR4,FAS,C6,CTLA4,FCAR,CD70,SMAD3,PRG2,FCGR2B,RAET1L,FCGR2C,CCL3,IRF8,CD80,CTSW,GBP6,CNR2,CXCR2,IL1R1,XCR1,GBP2,HLA-F,RAET1G,C5AR1,NOTCH1,IL1R2,DEFB1,CCL8,CD8B,IL9,CTSH,IFITM3,CD7,PTGER4,CD1B,CX3CL1,ITGB6,B2M,CXCR3,OSM,BMP6,KIR2DS2,OPRK1,CEBPB,AZGP1,HLA-G,HLA-DRB4,CXCL8,IL2,CD40LG,CCL18,MS4A2,CLEC4G,GZMA,IRAK1BP1,TNFRSF4,FCGRT,CTSC,CD164,CXCL9,IL4R,CD86,CFP,C1QBP,TNFSF9,PIK3R6,CYP11B1","IMMUNE RESPONSE","Immune response","GO:0006955","General","General","Undefined",262
"131","ITGA4,ITGB7","IMMUNE RESPONSE IN GUT-ASSOCIATED LYMPHOID TISSUE","Immune response, Gut","GO:0002387","General","General","Undefined",2
"132","TTLL1","IMMUNE RESPONSE IN NASOPHARYNGEAL-ASSOCIATED LYMPHOID TISSUE","Immune response, Nasopharyngeal","GO:0002395","General","General","Undefined",1
"133","PRF1","IMMUNE RESPONSE TO TUMOR CELL","Immune response, Tumor cell","GO:0002418","General","General","Undefined",1
"134","BAG6","IMMUNE RESPONSE-ACTIVATING CELL SURFACE RECEPTOR SIGNALING PATHWAY","Immune response, Cell-surface receptor pathway","GO:0002429","General","General","Undefined",1
"135","SMAD3,BCL2,RO60,GATA3","IMMUNE SYSTEM DEVELOPMENT","Immune system, Development","GO:0002520","General","General","Undefined",4
"136","TXK,P0DOX8,STMP1,GZMM,EIF2AK2,LILRA5,FBXO38,LGALS9,P0DOX7,LILRA3,P0DOX3,CEACAM20,THEMIS,CD55,GBP2,FGR,CLEC6A,RNF135,HK1,JAGN1,TMEM33,C6,ADSS2,IFIT2,IFITM2,CD40,BTN3A2,BPI,LILRA6,MYO1G,CD1D,TRIM23,HLA-E,LGALS3,SPIRE1,ENDOD1,CAMP,PRKDC,CFD,HLA-G,PRKCE,CASP4,C1S,SLC15A4,IFI6,HLA-F,CD81,OLR1,TEC,CFB,XRCC6,XRCC5,CD19,GBP1,CFH,ADAR,TAP1,F2RL1,HLA-DMB,ACOD1,SFTPD,CTPS1,RIGI,SARM1,TRIM26,MBL2,PSMB8,KLRC2,LCN2,RNF213,C7,PRKCQ,NMB,P0DOX4,NLRC5,S100A12,BPIFC,LILRB2,TAP2,HLA-DPA1,TRIM65,HMGB1,LAIR1,CSK,ITGAM,TREML4,PTMS,PSMA1,CSF1,USP14,APOBEC3H,FCGR2A,TAX1BP1,CD160,CLU,BCL6,P0DOX5,PELI3,HP,HEXIM1,TNFAIP8L2,OTUD7B,CD79A,CD14,SFPQ,DEFA5,PLD3,HMGB2,APOBEC3F,BTK,PRG2,KLRC1,CD177,CR1,KLRK1,RNF19B,NLRP2B,MST1R,MASP2,IDO2,C4A,PIK3CG,MAVS,HLA-DOB,CLEC10A,TIRAP,LBP,SIRT2,DAB2IP,MIF,PARP9,STING1,PSMB9,PLPP6,IL4R,IL34,IRGM,ZAP70,ADARB1,SSC5D,NLRP10,IL27,C1R,DHX9,P0DOX6,C1QBP,CD300C,SYK,CD46,CD300LB,MASP1,SUSD4,ARID5A,TRIL,FCGR1A,IL31RA,NLRP9,IRF2,CD1C,GBP6,MMP3,HLA-DRB4,C4B,IRF1,C17orf99,MATR3,JAML,IL23R,IFI30,PML,GPR183,HMHB1,CD7,ITK,SLFN11,LACC1,NLRX1,IL2,OAS2,IFIT1,SLC15A3,CD1E,P0DOX2,ZNF683,TICAM2,OTUD4,HLA-DRB3,IRF9,IFITM1,ETS1,MX2,CD8B,BTLA,B2M,APOBEC3A,ARG2,CD300LD,IRF8,JAK3,RAET1L,CD247,ZC3HAV1,IFITM3,TARM1,CD3G,CX3CR1,CD86,PARP1,THEMIS2,CFP,CD8B2,MAP4K2,HCK,MCOLN2,GBP7,USP27X,NLRP6,METTL3,GP2,CD1B,EOMES,LY86,SERINC5,BST2,IL31,MX1,IRAG2,GATA3,BAG6,HLA-C,MYSM1,CTLA4,VSTM1,CD300LG,SKAP1,FCER1G,VTCN1,SRC,C4BPB,TTC4,FCGR3A,DEFA6,FGL1,TLR4,CGAS,TBKBP1,IDO1,HLA-DMA,CRTAM,DDX60,CR2,TFE3,BCL10,GSDMD,LILRA4,TNFRSF17,TFEB,ERAP2,LILRB4,MAP3K8,RAET1G,TICAM1,AXL,LAG3,CD6,LILRA2,IFI27,DCAF15,ADSS1,LAX1,IFI35,LILRB1,CD79B,BTNL8","IMMUNE SYSTEM PROCESS","Immune system, Process","GO:0002376","General","General","Undefined",509
"137","YY1","IMMUNOGLOBULIN HEAVY CHAIN V-D-J RECOMBINATION","V(D)J, Ig Heavy chain","GO:0071707","Adaptive","Humoral","B cell",1
"138","IL4R,IL9R,CD19,PRKCD,MPL,FCGR2B,IL9,BCL10,FCER1G,IL2RB,CD27,CSF2RB","IMMUNOGLOBULIN MEDIATED IMMUNE RESPONSE","IMMUNOGLOBULIN MEDIATED IMMUNE RESPONSE","Manual","Adaptive","Humoral","B cell",NA
"139","IL4R,IL9R,CD19,PRKCD,MPL,FCGR2B,IL9,BCL10,FCER1G,IL2RB,CD27,CSF2RB","IMMUNOGLOBULIN MEDIATED IMMUNE RESPONSE","Ig, Immune response","GO:0016064","Adaptive","Humoral","B cell",62
"140","TCF3,PRKDC,LIG4","IMMUNOGLOBULIN V(D)J RECOMBINATION","V(D)J, Ig","GO:0033152","Adaptive","Humoral","B cell",3
"141","CD6,DOCK8,MSN,CD81,PRF1,EPHB1","IMMUNOLOGICAL SYNAPSE FORMATION","Formation, Immunological synapse","GO:0001771","Adaptive","Cellular","T cell",6
"142","RNASE3","INDUCTION OF BACTERIAL AGGLUTINATION","Induction of Bacterial agglutination","GO:0043152","Undefined","Undefined","Undefined",1
