"","process","genes","go_term","immune_system","immune_sub_system","gene_set_short","immune_tissue","set_size"
"59","B CELLS","GPR183,BTK,CH25H,BAX,BAX,CD19,YY1,HSPD1,IL2RG,ST3GAL1,HLA-G,LRRC8A,ABL1,BAX,RAG2,TNFAIP3,ABL1,WNT4,CLEC4G,BCL6,STAT6,RAG1,RAG2,GATA3,SPI1,MLH1,MSH2,CDH17,SPI1,IRF8,BCL3,ZP3,CD81,TCF3,PRKDC,LIG4,SHLD3,SHLD1,SHLD2,TCF3,BCL2,RAG2,PRKDC,CD40,MSH2,CD70,CD19,ABL1,CD19,TLR4,GAPT,FCGR2B,IRF8,SPI1,PLCG2,CDH17,BCL3,LFNG,NOTCH2,RAG2,GPR183,C17orf99,FCGR2B,SPI1,PRKDC,IRF2BP2,KIT,SYVN1,PTX3,SFTPA1,LBP,C4B,MBL2,UNG,MLH1,MSH2,MSH6,PMS2,MSH2,MSH6,MLH1,UNG,PMS2,MSH3,LIG4,MSH2,MLH1,ERCC1,CD40LG,UNG,RNF168,SANBR,MSH6,SPNS2,BAX,BCL2,GAPT,CAMLG,MEF2C,IL7R,RC3H1,SOS2,SOS1,NCKAP1L,CASP3,LIMK1,VAV2,SRC,VAV1,SYK,ABL1,PRKCE,MYO1G,HCK,PTK2,PRKCD,FGR,PLPP4,FCGR2B,TICAM1,BANK1,CXCR5,TBC1D10C,CD79A,CHRNA4,CD40,GAPT,PHB1,CHRNA7,MS4A1,LAX1,RASGRP1,HSPD1,BTK,ZAP70,CD86,CD22,CHRNB2,TXLNA,BST2,AKAP17A,EPHB2,HDAC4,TICAM1,BCL2,MEF2C,CD70,TLR4,IL9,CD40,BCL6,RASGRP1,PTPRC,MS4A1,CD79A,HSPD1,CD40LG,IFNA8,IL10,ABL1,IL7,CR2,PRKCD,CTPS1,IL7R,CD38,IFNE,FOSL2,WNT3A,CD79A,BTK,ABL1,BCAR1,BCL2,CTLA4,CD79B,SYK,GRB2,CD19,MEF2C,MNDA,PLCG2,PTPRC,NCKAP1L,SOS1,ITK,MAPK1,BMX,NFKBIA,PTPN6,MS4A1,TEC,CD38,NFAM1,NFKB1,BANK1,PLCG2,PTPRC,PAX5,TOP2B,IFNA8,PIK3R1,RAG1,MSH2,RAG2,IL2RG,ADGRG3,FZD9,MS4A1,EP300,PTPRJ,YY1,STAT5B,PTPN2,LYL1,SYK,CEBPG,JAK3,CD79B,CD79A,CR2,BCL6,KIT,SP3,ZBTB7A,NFAM1,ITGA4,CD40LG,IL10,IL11,BCL2,HDAC4,TPD52,TCF3,RBPJ,FOSL2,IFNE,HHEX,FLT3,VCAM1,ADAM17,IL9,CDH17,IL4R,IL9R,CD19,PRKCD,MPL,FCGR2B,IL9,BCL10,FCER1G,IL2RB,CD27,CSF2RB","Manual","Adaptive","Humoral","B cells","B cell",NA
"60","B-1 B CELL DIFFERENTIATION","CD19","GO:0001923","Adaptive","Humoral","Differentiation, B-1 B cell","B cell",1
"61","B-1 B CELL HOMEOSTASIS","TNFAIP3,ABL1","GO:0001922","Adaptive","Humoral","Homeostasis, B-1 B cell","B cell",2
"62","BASOPHIL CHEMOTAXIS","VEGFA","GO:0002575","Innate","Innate","Chemotaxis, Basophil","Basophil",1
"63","BASOPHIL HOMEOSTASIS","MPL","GO:1990960","Innate","Innate","Homeostasis, Basophil","Basophil",1
"64","BCR REPERTOIRE","IGBP1,IGLC1,IGLC3,IGLC7,IGLC6,IGHV1-2,IGHV1-3,IGHV3-74,IGLC2,IGHV4-61,IGHV4-30-2,IGHV3-21,IGHV3-38-3,IGHV8-51-1,IGHV3-16,IGHV3-66,IGHV3-30-3,IGHV3-73,IGHV3-72,IGHV1-24,IGHV1-8,IGHV1-58,IGHV3-35,IGHV3-30-5,IGHV1-45,IGHV3-64,IGHV4-28,IGHV3-64D,IGHV7-81,IGHV2-70D,IGHV3-38,IGHV3-15,IGHV3-49,IGHV4-30-4,IGHV4-38-2,IGHV3-43D,IGHV1-18,IGHV5-10-1,IGHV7-4-1,IGLL5,IGHV3-43,IGHV2-26,IGHV4-31,IGHV3-20,IGHV1-69D,IGHV5-51,IGLL1,IGHV1-69-2,IGHV6-1,IGHV1-38-4,IGHV4-4,IGKV6D-41,IGKV1D-37,IGKV2D-29,IGKV6D-21,IGKV2-29,IGLJ1,IGLV3-21,IGLV3-10,IGHJ1,IGKV2D-26,IGKV3D-11,IGLV3-16,IGKV1D-42,IGKV1D-43,IGLV1-36,IGKV2-28,IGLV5-37,IGKJ1,IGKV1-27,IGKV3D-20,IGLV9-49,IGLV1-50,IGKV3D-7,IGKV1-8,IGKV1-6,IGLV3-12,IGLV3-32,IGLV3-9,IGKV1-37,IGLV10-54,IGHD1-1,IGKV2-40,IGKV2D-24,IGKV6-21,IGKV1-13,IGKV1D-17,IGLV5-48,IGKV1-12,IGKV3-7,IGLV5-52,IGLV11-55,IGLV5-39,IGKV1-9,IGLV2-33,IGLV3-22,IGLV5-45,IGKV3D-15,IGLV7-46,IGKV2-24,IGKV1D-13,IGLV4-3,IGLV2-18,IGKV2D-30,IGLV4-60,IGLV4-69,IGLV8-61,IGKV1D-8,IGHV1-2,IGHV1-3,IGHV3-74,IGLC2,IGHV4-61,IGHV4-30-2,IGHV3-21,IGLC1,IGHV3-38-3,IGHV8-51-1,IGHV3-16,IGHV3-66,IGHV3-30-3,IGHV3-73,IGHV3-72,IGLC3,IGHV1-24,IGHV1-8,IGHV1-58,IGHV3-35,IGHV3-30-5,IGHV1-45,IGHV3-64,IGHV4-28,IGHV3-64D,IGHV7-81,IGHV2-70D,IGHV3-38,IGHV3-15,IGLC7,IGHV3-49,IGHV4-30-4,IGHV4-38-2,IGHV3-43D,IGHV1-18,IGLC6,IGHV5-10-1,IGHV7-4-1,IGLL5,IGHV3-43,IGHV2-26,IGHV4-31,IGHV3-20,IGHV1-69D,IGHV5-51,IGLL1,IGHV1-69-2,IGHV6-1,IGHV1-38-4,IGHV4-4","Manual","Adaptive","Humoral","BCR REPERTOIRE","B cell",NA
"65","BETA SELECTION","ZAP70,SYK,RHOA","GO:0043366","Adaptive","Cellular","Selection, Beta","T cell",3
"66","BIOSYNTHETIC PROCESS OF ANTIBACTERIAL PEPTIDES ACTIVE AGAINST GRAM-NEGATIVE BACTERIA","ELANE","GO:0002812","Undefined","Undefined","Biosynthesis, Antibacterial peptides against Gram-","Undefined",1
"67","BONE MARROW DEVELOPMENT","LRRC17,ASXL1,LIPA,HOXB4,PTPRC","GO:0048539","Adaptive","Organ","Development, Bone marrow","Bone marrow",5
"68","CD4-POSITIVE OR CD8-POSITIVE, ALPHA-BETA T CELL LINEAGE COMMITMENT","BRAF","GO:0043369","Adaptive","Cellular","Lineage commitment, CD4+ OR CD8+, abT cell","T cell",1
"69","CD4-POSITIVE, ALPHA-BETA T CELL ACTIVATION","CDH26","GO:0035710","Adaptive","Cellular","Activation, CD4+, abT cell","T cell",1
"70","CD4-POSITIVE, ALPHA-BETA T CELL COSTIMULATION","CD81","GO:0035783","Adaptive","Cellular","Costimulation, CD4+, abT cell","T cell",1
"71","CD4-POSITIVE, ALPHA-BETA T CELL DIFFERENTIATION","CD83,BRAF","GO:0043367","Adaptive","Cellular","Differentiation, CD4+ T cell","T cell",2
"72","CD4-POSITIVE, ALPHA-BETA T CELL LINEAGE COMMITMENT","TOX","GO:0043373","Adaptive","Cellular","Lineage commitment, CD4+, abT cell","T cell",1
"73","CD4-POSITIVE, ALPHA-BETA T CELL PROLIFERATION","PRKCQ,CD28","GO:0035739","Adaptive","Cellular","Proliferation, CD4+, abT cell","T cell",2
"74","CD4-POSITIVE, CD25-POSITIVE, ALPHA-BETA REGULATORY T CELL DIFFERENTIATION","FUT7,IL2RG","GO:0002361","Adaptive","Cellular","Differentiation, CD4+, CD25+, abTreg","T cell",2
"75","CD4-POSITIVE, CD25-POSITIVE, ALPHA-BETA REGULATORY T CELL LINEAGE COMMITMENT","TOX","GO:0002362","Adaptive","Cellular","Lineage commitment, CD4+, CD25+, abTreg","T cell",1
"76","CD8-POSITIVE, ALPHA-BETA T CELL ACTIVATION","HLA-E,WDFY4","GO:0036037","Adaptive","Cellular","Activation, CD8+, abT cell","T cell",2
"77","CD8-POSITIVE, ALPHA-BETA T CELL DIFFERENTIATION","PSMB11,IRF1,TNFSF8","GO:0043374","Adaptive","Cellular","Differentiation, CD8+, abT cell","T cell",3
"78","CD8-POSITIVE, ALPHA-BETA T CELL DIFFERENTIATION INVOLVED IN IMMUNE RESPONSE","EOMES","GO:0002302","Adaptive","Cellular","Differentiation, Immune response, CD8+, abT cell","T cell",1
"79","CD8-POSITIVE, ALPHA-BETA T CELL LINEAGE COMMITMENT","TOX,BCL2","GO:0043375","Adaptive","Cellular","Lineage commitment, CD8+, abT cell","T cell",2
"80","CD8-POSITIVE, GAMMA-DELTA INTRAEPITHELIAL T CELL DIFFERENTIATION","KLRC1","GO:0002305","Adaptive","Cellular","Differentiation, CD8+, gdT cell, Intraepithelial","T cell",1
"81","CELL SURFACE PATTERN RECOGNITION RECEPTOR SIGNALING PATHWAY","MBL2,LBP,CD14","GO:0002752","Innate","PRR","PRR, Cell surface, Pathway","All",3
"82","CELLULAR ADAPTIVE IMMUNE SYSTEM","RHOA,BRAF,CDH26,CD81,TOX,EOMES,KLRC1,RAB27A,ABL1,IL15,CCL2,TNFSF4,ITGAL,DOCK8,THEMIS,CCR7,CD28,FCER1G,BAX,MYO1G,CD1D,CCR2,ZFPM1,CLEC4G,PTPRC,CD83,PRKCQ,FUT7,IL2RG,HLA-E,WDFY4,BCL2,CRKL,CRK,APBB1IP,XG,CD99,LIG4,PRKDC,GPR183,RC3H1,HMGB1,CEBPB,RORC,RORA,CCL20,CORO1A,STAT5B,IL2,FAS,RPS6,AKT1,CD247,CD3G,ZAP70,SYK,PSMB11,IRF1,TNFSF8,RAG2,CRTAM,MYH9,LILRB1,SLC11A1,RELB,IL4R,SPN,STAT6,MTOR,STAT3,NOTCH1,PHB1,PTGER4,ATP7A,IL12B,ITPKB,GATA3,TCF7,IL7,IL6R,IL6ST,JAK1,BCL6,FCER1A,IL10,IL33,SRF,TLR4,IL18BP,BCL3,RPL22,GLI3,ADA,ITK,CXADR,JAML,CXCL12,CCL3,DEFA4,SLC12A2,PIK3CG,DEFA1,MYB,MEN1,KMT2A,IFNE,MDK,F2RL1,LCP1,PSEN1,IFNA8,CD1C,CD46,JAG1,CR2,BTN3A2,CD70,GNL1,CR1,GPR15,S1PR1,MSN,ITGB7,GZMM,CTSH,TAP2,PPP3CB,PRF1,EMP2,CTSC,HPRT1,IL7R,B2M,PPP2CA,CHST3,SPNS2,JAK3,ZC3H8,NCKAP1L,PPP2R1A,RAG1,IL20RB,GPR15LG,CASP3,CCNB2,PRDX2,CD86,PTPN6,CAV1,SRC,PTPN11,DPP4,LGALS1,MAP3K8,KLRK1,CD160,CD24,CD80,PIK3CA,EFNB1,EFNB2,VAV1,CSK,CD40LG,NKAP,CTNNB1,ZFP36L2,NCAPH2,ZFP36L1,ADAM17,WNT4,CDK6,JMJD6,TESPA1,ASXL1,MAP2K1,HAND2,MAP2K2,FOXI3,SOD1,CACNB4,TGFBR1,MAPK3,EPHB3,LMO4,PBX1,MAPK1,TYR,PSMB10,FKBP1B,LIPA,KITLG,LMBR1L,RASGRP1,CTPS1,TNFRSF4,IDO1,CD151,SCGB1A1,CCND3,KDELR1,DTX1,KIT,FOSL2,SOX4,PTPN2,LFNG,LEPR,GPR89A,LEP,EGR1,PKNOX1,PIK3R1,NRARP,SP3,GPR89B,WAS,CHRNA7,HSPD1,RBX1,NCK1,SMAD3,PPP3CA,LAG3,NLRC3,FKBP1A,MFAP3,TNFAIP8L2,CD7,CD276,CD44,DCAF12,CD8B,DDOST,SKAP1,THEMIS2,KHDRBS1,CACNB3,BTK,PDE4B,PDE4D,UBE2N,NFKBID,PLCG2,DENND1B,TXK,VTCN1,FYB2,CTLA4,BTNL8,BCL10,BTNL10P,TEC,ZNF683,PLCG1,EIF2B2,BCAR1,BTNL9,BTNL3,BTN2A1,HLA-DRB3,PTPRJ","Manual","Adaptive","Cellular","Cellular adaptive immune system","General",267
"83","CELLULAR EXTRAVASATION","ITGA1,AZU1,JAM2","GO:0045123","General","General","Cellular extravasation","Leukocyte",3
"84","CELLULAR RESPONSE TO TYPE I INTERFERON","IFIT1","GO:0071357","Innate","Interferon","Cellular response to Interferon I","Undefined",1
"85","CELLULAR RESPONSE TO TYPE II INTERFERON","DAPK1,WAS,CCL5,CCL4,STXBP1,NOS2,AQP4,CCL8,STXBP4,CD47,STX4,STAT1,CLDN1,GBP6,CCL1,GBP2,CCL3,GBP1,CCL4L1,CCL3L1,ACTG1,RAB43,CCL18,CCL2,FCAR,IL12RB1,RPS6KB1,MRC1,CX3CL1,XCL1,TDGF1,TLR4,IRF8,CDC42,RPL13A,CCL20,LGALS9,STXBP3,MYO1C,ACTR2,CCL24,ACTR3,CASP1,FASLG,SIRPA,CCL7,CCL23,KIF5B,VIM,CD58,CALM1,GBP7,IL12B,WNT5A,HLA-DPA1,PDE12,ACOD1,ADAMTS13,AIF1","GO:0071346","Innate","Interferon","Cellular response to Interferon II","Undefined",59
"86","CHRONIC INFLAMMATORY RESPONSE TO ANTIGENIC STIMULUS","IL10","GO:0002439","Innate","Inflammation","Antigen, Chronic, Inflammatory response","Undefined",1
"87","COMPLEMENT ACTIVATION","C4B,CFHR2,C7,CFH,C4A,C6,CFD,CFHR3,MASP1,CFHR1,C1S,CLU,C1R,MASP2,CFP,CFB","GO:0006956","Complement","Complement","Activation, Complement","Undefined",16
"88","COMPLEMENT ACTIVATION, ALTERNATIVE PATHWAY","CFD,CR1,CFP,CFB,CR2,CFH,C7","GO:0006957","Complement","Complement","Complement, Alternative pathway","Undefined",7
"89","COMPLEMENT ACTIVATION, CLASSICAL PATHWAY","SUSD4,C1QBP,C6,CD46,MBL2,C4BPB,C1R,CD55,C1S,NCR3LG1,CR1,C4A,C7,C4B,CR2,CLU,MASP2","GO:0006958","Complement","Complement","Complement, Classical pathway","Undefined",17
"90","COMPLEMENT ACTIVATION, LECTIN PATHWAY","MASP1,MBL2,MASP2","GO:0001867","Complement","Complement","Complement, Lectin pathway","Undefined",3
"91","COMPLEMENT COMPONENT C5A SIGNALING PATHWAY","C5AR1","GO:0038178","Complement","Complement","Complement, C5a pathway","Undefined",1
"92","COMPLEMENT IMMUNE SYSTEM","C5AR1,MASP1,MBL2,MASP2,CFD,CR1,CFP,CFB,CR2,CFH,C7,FPR1,GPLD1,GPR32P1,FPR2,FPR3,C4B,CFHR2,C4A,C6,CFHR3,CFHR1,C1S,CLU,C1R,SUSD4,C1QBP,CD46,C4BPB,CD55,NCR3LG1","Manual","Complement","General","Complement immune system","General",31
"93","COMPLEMENT RECEPTOR MEDIATED SIGNALING PATHWAY","C5AR1,FPR1,GPLD1,GPR32P1,CR1,FPR2,FPR3,CR2","GO:0002430","Complement","Complement","Complement, Pathway","Undefined",8
"94","CYTOSOLIC PATTERN RECOGNITION RECEPTOR SIGNALING PATHWAY","MAVS,RIGI,CGAS,STING1","GO:0002753","Innate","PRR","PRR, Cytosolic, Pathway","Undefined",4
"95","CYTOTOXIC T CELL DEGRANULATION","RAB27A","GO:0043316","Adaptive","Cellular","Degranulation, Cytotoxic T cell","T cell",1
"96","DENDRITIC CELL CHEMOTAXIS","CCR2,CXCR2,CCR1,CXCR4,CXCR1,CCR7,HMGB1,GPR183,PIK3CG,CCL5","GO:0002407","Innate","APC","Chemotaxis, Dendritic cell","Dendritic cell",10
"97","DENDRITIC CELL HOMEOSTASIS","GPR183,F2R","GO:0036145","Innate","APC","Homeostasis, Dendritic cell","Dendritic cell",2
"98","DENDRITIC CELL MIGRATION","ALOX5,CDC42,EPS8,DOCK8,NLRP12","GO:0036336","Innate","APC","Migration, Dendritic cell","Dendritic cell",5
"99","DENDRITIC CELLS","HMGB1,HLA-DRB3,LAG3,GPR183,F2R,CCR7,ARHGEF5,ZBTB46,IRF8,ALOX5,CDC42,EPS8,DOCK8,NLRP12,SPI1,BATF2,TGFBR2,NOTCH2,LTBR,PSEN1,RELB,RBPJ,CCR2,CXCR2,CCR1,CXCR4,CXCR1,CCR7,HMGB1,GPR183,PIK3CG,CCL5","Manual","Innate","APC","Dendritic cells","Dendritic cell",NA
"100","DIAPEDESIS","FER,ITGA4,PECAM1","GO:0050904","General","General","Diapedesis","Leukocyte",3
"101","DN2 THYMOCYTE DIFFERENTIATION","LIG4,PTPRC,RAG2","GO:1904155","Adaptive","Cellular","Differentiation , DN2 thymocyte","T cell",3
"102","DN4 THYMOCYTE DIFFERENTIATION","ABL1","GO:1904157","Adaptive","Cellular","Differentiation , DN4 thymocyte","T cell",1
"103","EOSINOPHIL","SCG2,CCL5,CCL4,CCL18,CCL3,LGALS3,CCL23,CCL1,CCL8,CCL4L1,CCL2,CCL7,CX3CL1,CCL3L1,XCL1,CCL24,VAMP2,VAMP7,FCER1A,BTK,MPL,EPX,SCG2,CCL5,CCL4,CCL18,CCL3,LGALS3,CCL23,CCL1,CCL8,CCL4L1,CCL2,CCL7,CX3CL1,CCL3L1,XCL1,CCL24,VAMP2,VAMP7,FCER1A,BTK,MPL,EPX,SCG2,CCL5,CCL4,CCL18,CCL3,LGALS3,CCL23,CCL1,CCL8,CCL4L1,CCL2,CCL7,CX3CL1,CCL3L1,XCL1,CCL24,VAMP2,VAMP7,FCER1A,BTK,MPL,EPX,SCG2,CCL5,CCL4,CCL18,CCL3,LGALS3,CCL23,CCL1,CCL8,CCL4L1,CCL2,CCL7,CX3CL1,CCL3L1,XCL1,CCL24,VAMP2,VAMP7,FCER1A,BTK,MPL,EPX","Manual","Innate","Cell","Eosinophil","Eosinophil",22
"104","EOSINOPHIL CHEMOTAXIS","SCG2,CCL5,CCL4,CCL18,CCL3,LGALS3,CCL23,CCL1,CCL8,CCL4L1,CCL2,CCL7,CX3CL1,CCL3L1,XCL1,CCL24","GO:0048245","Innate","Eosinophil","Chemotaxis, Eosinophil","Eosinophil",16
"105","EOSINOPHIL DEGRANULATION","VAMP2,VAMP7,CCL3,FCER1A","GO:0043308","Innate","Eosinophil","Degranulation, Eosinophil","Eosinophil",4
"106","EOSINOPHIL HOMEOSTASIS","BTK,MPL","GO:1990959","Innate","Eosinophil","Homeostasis, Eosinophil","Eosinophil",2
"107","EOSINOPHIL MIGRATION","EPX","GO:0072677","Innate","Eosinophil","Migration, Eosinophil","Eosinophil",1
"108","ESTABLISHMENT OF T CELL POLARITY","CCR7,CRTAM,MYH9","GO:0001768","Adaptive","Cellular","Establishment of T cell polarity","T cell",3
"109","EXTRATHYMIC T CELL SELECTION","IL15","GO:0045062","Adaptive","Cellular","Selection, T cell, Extrathymic","T cell",1
"110","FC RECEPTOR MEDIATED STIMULATORY SIGNALING PATHWAY","FCER1G","GO:0002431","Adaptive","Tolerance","Fc receptor, Pathway","Undefined",1
"111","FC-GAMMA RECEPTOR SIGNALING PATHWAY INVOLVED IN PHAGOCYTOSIS","LIMK1,VAV2,SRC,VAV1,SYK,ABL1,PRKCE,MYO1G,HCK,PTK2,PRKCD,FGR,PLPP4,FCGR2B","GO:0038096","Adaptive","Humoral","Fc-gR signaling, phagocytosis","B cell",14
"112","FOLLICULAR B CELL DIFFERENTIATION","FCGR2B,IRF8,SPI1,PLCG2","GO:0002316","Adaptive","Humoral","Differentiation, folicular B cell","B cell",4
"113","GAMMA-DELTA T CELL ACTIVATION","ITK,CXADR,JAML,CD3G,CD247","GO:0046629","Adaptive","Cellular","Activation, gdT cell","T cell",7
"114","GAMMA-DELTA T CELL DIFFERENTIATION","SYK,STAT5B,TCF7,PTPRC","GO:0042492","Adaptive","Cellular","Differentiation, gdT cell","T cell",4
"115","GERMINAL CENTER B CELL DIFFERENTIATION","CDH17,SPI1,IRF8","GO:0002314","Adaptive","Humoral","Differentiation, Germinal center, B cell","B cell",3
"116","GERMINAL CENTER FORMATION","MEF2C,UNC13D,BCL6,ADAM17,NFKB2,BCL3","GO:0002467","Adaptive","Germinal center","Formation, Germinal center","Germinal center",6
"117","GRANULOCYTE CHEMOTAXIS","CCL3,IL17RC","GO:0071621","Innate","Granulocyte","Chemotaxis, Granulocyte","Granulocyte",2
"118","GRANULOMA FORMATION","UNC13D,CEBPB","GO:0002432","Innate","Innate","Formation, Granuloma","Undefined",2
"119","HELPER T CELL DIAPEDESIS","CRKL,CRK","GO:0035685","Adaptive","Cellular","Diapedesis, Th cell","T cell",2
"120","HELPER T CELL EXTRAVASATION","CCL2","GO:0035684","Adaptive","Cellular","Extravasation, Th cell","T cell",1
"121","HEMATOPOIETIC OR LYMPHOID ORGAN DEVELOPMENT","ASXL1,LTBR","GO:0048534","General","Organ","Organ development, Hematopoietic or lymphoid","Undefined",2
"122","HEPATIC IMMUNE RESPONSE","IL6R","GO:0002384","General","Organ","Immune response, Hepatic","Undefined",1
"123","HISTAMINE SECRETION BY MAST CELL","BTK,SNAP23,SLC18A2,RAB44","GO:0002553","Innate","Cells","Secretion, Histamine, Mast cell","Mast cell",4
"124","HISTAMINE SECRETION MEDIATED BY IGE IMMUNOGLOBULIN","RAB44","GO:0097279","Innate","Cells","Secretion, Histamine, IgE","Mast cell",1
"125","HUMORAL ADAPTIVE IMMUNE SYSTEM","YY1,HSPD1,IL2RG,ST3GAL1,HLA-G,LRRC8A,ABL1,FCER1A,WNT4,CLEC4G,BCL6,STAT6,LGALS1,RAG1,RAG2,GATA3,SPI1,MLH1,MSH2,CDH17,IRF8,BCL3,ZP3,CD81,TCF3,PRKDC,LIG4,SHLD3,SHLD1,SHLD2,FCGR2B,PLCG2,LFNG,NOTCH2,GPR183,C17orf99,IRF2BP2,KIT,SYVN1,PTX3,SFTPA1,LBP,C4B,MBL2,UNG,MSH6,PMS2,CD6,DOCK8,MSN,PRF1,EPHB1,MSH3,ERCC1,CD40LG,RNF168,SANBR,LIMK1,VAV2,SRC,VAV1,SYK,PRKCE,MYO1G,HCK,PTK2,PRKCD,FGR,PLPP4,HOXB4,NKX2-5,LIPA,EPB42,ADAM17,CDKN2B,PBX1,NKX3-2,RC3H1,NFKB2,NKX2-3,CACNB4,BCL2,KMT2A,IL4R,IL9R,CD19,MPL,IL9,BCL10,FCER1G,IL2RB,CD27,CSF2RB","Manual","Adaptive","Humoral","Humoral adaptive immune system","General",143
"126","HUMORAL IMMUNE RESPONSE","IFNA8,CCR2,IL7,NOTCH2,GATA3,IFNE,BMI1,CD83,CD28,ALOX5,MS4A1,BCL2,PSMB10,CCL2,TFEB,MEF2C,GPR183,BST1,TFE3,ST6GAL1,POU2F2,RBPJ,NOTCH1","GO:0006959","General","Humoral","Humoral immune response","Undefined",23
"127","HUMORAL IMMUNE RESPONSE MEDIATED BY CIRCULATING IMMUNOGLOBULIN","BCL3,ZP3,CD81","GO:0002455","Adaptive","Humoral","Ig, Humoral immune response","B cell",3
"128","IMMATURE B CELL DIFFERENTIATION","SPI1,PRKDC,IRF2BP2,KIT,SYVN1","GO:0002327","Adaptive","Humoral","Differentiation, B cell, Immature","B cell",5
"129","IMMATURE T CELL PROLIFERATION IN THYMUS","WNT4,CLEC4G","GO:0033080","Adaptive","Humoral","Proliferation, thymus, T cell, immature","B cell",2
"130","IMMUNE COMPLEX CLEARANCE","CLU","GO:0002434","Innate","Innate","Clearance, Immune complex","Undefined",1
"131","IMMUNE COMPLEX CLEARANCE BY MONOCYTES AND MACROPHAGES","FCGR2B","GO:0002436","Innate","Innate","Clearance, Immune complex, Monocytes, Macrophages","APC",1
"132","IMMUNE RESPONSE","HLA-C,CCL1,RAG1,CXCL14,VAV1,IL2RG,CCL20,HLA-DOB,LILRB2,CD1C,ITGB8,HLA-DPA1,CCR7,TNFSF15,CCL2,PTAFR,CEACAM8,CD1E,SCAP,C7,CX3CR1,KIR3DL1,HLA-DMA,IL12A,ETS1,CXCL6,CCR1,IL10,HLA-E,CCR2,CCL4L1,C1R,PNP,GPR183,IL1RL1,FCGR1A,XCL1,CXCL12,LAX1,CXCL1,CD1D,DPP8,TNFSF8,ENPP1,CRHR1,GTPBP1,IL3,EXOSC9,NRROS,KIR2DL1,LY86,IL18RAP,LIF,IGSF6,HAMP,CCL24,TGFBR3,SERPINB9,CEBPG,CR2,ADGRE5,CIITA,CCL4,IGF1R,IFITM2,IL1RN,CRIP1,XBP1,GPR65,TCF7,TNFSF4,S1PR4,LTB,IL15,PKHD1L1,RGS1,CCL23,CD96,IL10RB,HLA-DMB,IL7,CTSK,WAS,ACKR3,CTSS,IL13,PIK3R1,CD28,IL32,VPREB1,THBS1,CNIH1,CXCL2,FASLG,CXCR5,DEFA1,ENDOU,OPRD1,CXCR1,ZAP70,RFX1,CTSG,CCR10,GEM,PIK3CG,SP2,HLA-DRB3,MAP4K2,CCL7,CHST4,IFI6,TNFRSF1B,TYK2,TNFSF10,IL27RA,FCGR3A,IL7R,CCL3L1,KIR2DL3,CXCL3,HRH2,TRIM22,SPN,CSF3,CCL5,CXCR4,PF4V1,LTBR,BMPR1A,CXCL5,CD79B,TLR4,FAS,C6,CTLA4,FCAR,CD70,SMAD3,PRG2,FCGR2B,RAET1L,FCGR2C,CCL3,IRF8,CD80,CTSW,GBP6,CNR2,CXCR2,IL1R1,XCR1,GBP2,HLA-F,RAET1G,C5AR1,NOTCH1,IL1R2,DEFB1,CCL8,CD8B,IL9,CTSH,IFITM3,CD7,PTGER4,CD1B,CX3CL1,ITGB6,B2M,CXCR3,OSM,BMP6,KIR2DS2,OPRK1,CEBPB,AZGP1,HLA-G,HLA-DRB4,CXCL8,IL2,CD40LG,CCL18,MS4A2,CLEC4G,GZMA,IRAK1BP1,TNFRSF4,FCGRT,CTSC,CD164,CXCL9,IL4R,CD86,CFP,C1QBP,TNFSF9,PIK3R6,CYP11B1","GO:0006955","General","General","Immune response","Undefined",262
"133","IMMUNE RESPONSE IN GUT-ASSOCIATED LYMPHOID TISSUE","ITGA4,ITGB7","GO:0002387","General","General","Immune response, Gut","Undefined",2
"134","IMMUNE RESPONSE IN NASOPHARYNGEAL-ASSOCIATED LYMPHOID TISSUE","TTLL1","GO:0002395","General","General","Immune response, Nasopharyngeal","Undefined",1
"135","IMMUNE RESPONSE TO TUMOR CELL","PRF1","GO:0002418","General","General","Immune response, Tumor cell","Undefined",1
"136","IMMUNE RESPONSE-ACTIVATING CELL SURFACE RECEPTOR SIGNALING PATHWAY","BAG6","GO:0002429","General","General","Immune response, Cell-surface receptor pathway","Undefined",1
"137","IMMUNE SYSTEM DEVELOPMENT","SMAD3,BCL2,RO60,GATA3","GO:0002520","General","General","Immune system, Development","Undefined",4
