process,genes,immune_set,set_size,immune_system,immune_subsystem,cells
"Proliferation, NK T cell",IL15,ImmuneGO by Modules,1,Innate,Cellular,NK T cell
"NLRP3, Inflammasome complex",SIRT2,ImmuneGO by Modules,1,Innate,Inflammation,Undefined
"NLRP6, Inflammasome complex",NLRP6,ImmuneGO by Modules,1,Innate,Inflammation,Undefined
"PRR, NOD1",NFKBIA,ImmuneGO by Modules,3,Innate,PRR,All
"PRR, NOD1",TLR4,ImmuneGO by Modules,3,Innate,PRR,All
"PRR, NOD1",XIAP,ImmuneGO by Modules,3,Innate,PRR,All
"PRR, NOD2",TLR4,ImmuneGO by Modules,6,Innate,PRR,All
"PRR, NOD2",LACC1,ImmuneGO by Modules,6,Innate,PRR,All
"PRR, NOD2",IRGM,ImmuneGO by Modules,6,Innate,PRR,All
"PRR, NOD2",XIAP,ImmuneGO by Modules,6,Innate,PRR,All
"PRR, NOD2",NFKBIA,ImmuneGO by Modules,6,Innate,PRR,All
"PRR, NOD2",RELA,ImmuneGO by Modules,6,Innate,PRR,All
"PRR, NOD",MAP2K6,ImmuneGO by Modules,2,Innate,PRR,All
"PRR, NOD",TNFAIP3,ImmuneGO by Modules,2,Innate,PRR,All
Opsonization,PTX3,ImmuneGO by Modules,5,Adaptive,Humoral,B cell
Opsonization,SFTPA1,ImmuneGO by Modules,5,Adaptive,Humoral,B cell
Opsonization,LBP,ImmuneGO by Modules,5,Adaptive,Humoral,B cell
Opsonization,C4B,ImmuneGO by Modules,5,Adaptive,Humoral,B cell
Opsonization,MBL2,ImmuneGO by Modules,5,Adaptive,Humoral,B cell
"Signaling, PRR",CASP1,ImmuneGO by Modules,4,Innate,PRR,All
"Signaling, PRR",LACC1,ImmuneGO by Modules,4,Innate,PRR,All
"Signaling, PRR",CGAS,ImmuneGO by Modules,4,Innate,PRR,All
"Signaling, PRR",STING1,ImmuneGO by Modules,4,Innate,PRR,All
"MHCII, Peptide complex",CALR,ImmuneGO by Modules,2,Innate,APP,APC
"MHCII, Peptide complex",PDIA3,ImmuneGO by Modules,2,Innate,APP,APC
"MHCII, Peptide complex",HLA-DRB3,ImmuneGO by Modules,7,Innate,APP,APC
"MHCII, Peptide complex",HLA-DMB,ImmuneGO by Modules,7,Innate,APP,APC
"MHCII, Peptide complex",HLA-DMA,ImmuneGO by Modules,7,Innate,APP,APC
"MHCII, Peptide complex",B2M,ImmuneGO by Modules,7,Innate,APP,APC
"MHCII, Peptide complex",HLA-DRB4,ImmuneGO by Modules,7,Innate,APP,APC
"MHCII, Peptide complex",HLA-DPA1,ImmuneGO by Modules,7,Innate,APP,APC
"MHCII, Peptide complex",HLA-DOB,ImmuneGO by Modules,7,Innate,APP,APC
"Transport, Peptide antigen",TAP2,ImmuneGO by Modules,1,Innate,APP,All
"Tolerance, B cell, Peripheral",HLA-G,ImmuneGO by Modules,1,Adaptive,Humoral,B cell
"Differentiation, Plasma cell",BCL6,ImmuneGO by Modules,2,Adaptive,Humoral,Plasma cell
"Differentiation, Plasma cell",LGALS1,ImmuneGO by Modules,2,Adaptive,Humoral,Plasma cell
"Activation, Dendritic cell, Plasmacytoid",LAG3,ImmuneGO by Modules,1,Innate,APC,Dendritic cell
"Differentiation, Dendritic cell, Plasmacytoid",ZBTB46,ImmuneGO by Modules,2,Innate,APC,Dendritic cell
"Differentiation, Dendritic cell, Plasmacytoid",IRF8,ImmuneGO by Modules,2,Innate,APC,Dendritic cell
"Regulation+, glyProtein, Immunological synapse",CCR7,ImmuneGO by Modules,1,Adaptive,Cellular,T cell
"Selection+, T cell",THEMIS,ImmuneGO by Modules,2,Adaptive,Cellular,T cell
"Selection+, T cell",BRAF,ImmuneGO by Modules,2,Adaptive,Cellular,T cell
"Selection+, Thymic, T cell",SRF,ImmuneGO by Modules,5,Adaptive,Cellular,T cell
"Selection+, Thymic, T cell",ZAP70,ImmuneGO by Modules,5,Adaptive,Cellular,T cell
"Selection+, Thymic, T cell",ITPKB,ImmuneGO by Modules,5,Adaptive,Cellular,T cell
"Selection+, Thymic, T cell",PTPRC,ImmuneGO by Modules,5,Adaptive,Cellular,T cell
"Selection+, Thymic, T cell",CD3G,ImmuneGO by Modules,5,Adaptive,Cellular,T cell
"Allelic exclusion, pre-B cell",RAG1,ImmuneGO by Modules,2,Adaptive,Humoral,B cell
"Allelic exclusion, pre-B cell",RAG2,ImmuneGO by Modules,2,Adaptive,Humoral,B cell
"Differentiation, pre-B cell",LRRC8A,ImmuneGO by Modules,1,Adaptive,Humoral,B cell
"Differentiation, pro-T cell",GATA3,ImmuneGO by Modules,2,Adaptive,Humoral,B cell
"Differentiation, pro-T cell",SPI1,ImmuneGO by Modules,2,Adaptive,Humoral,B cell
"Differentiation, Treg cell",CD28,ImmuneGO by Modules,1,Adaptive,Cellular,T cell
"Respiratory burst, Phagocytosis",HCK,ImmuneGO by Modules,1,Innate,APC,APC
"Respiratory burst, Defense",PIK3CG,ImmuneGO by Modules,1,Innate,Undefined,Undefined
"Respiratory burst, Inflammation",PRDX2,ImmuneGO by Modules,2,Innate,Inflammation,Undefined
"Respiratory burst, Inflammation",LIPA,ImmuneGO by Modules,2,Innate,Inflammation,Undefined
Response to Interferon I,SP100,ImmuneGO by Modules,5,Innate,Innate,Interferon 1
Response to Interferon I,SHMT2,ImmuneGO by Modules,5,Innate,Innate,Interferon 1
Response to Interferon I,CH25H,ImmuneGO by Modules,5,Innate,Innate,Interferon 1
Response to Interferon I,SMPD1,ImmuneGO by Modules,5,Innate,Innate,Interferon 1
Response to Interferon I,MX1,ImmuneGO by Modules,5,Innate,Innate,Interferon 1
Response to Interferon II,GCH1,ImmuneGO by Modules,16,Innate,Innate,Interferon 2
Response to Interferon II,SLC30A8,ImmuneGO by Modules,16,Innate,Innate,Interferon 2
Response to Interferon II,CD40,ImmuneGO by Modules,16,Innate,Innate,Interferon 2
Response to Interferon II,IFITM2,ImmuneGO by Modules,16,Innate,Innate,Interferon 2
Response to Interferon II,C9JQL5,ImmuneGO by Modules,16,Innate,Innate,Interferon 2
Response to Interferon II,IFITM1,ImmuneGO by Modules,16,Innate,Innate,Interferon 2
Response to Interferon II,BST2,ImmuneGO by Modules,16,Innate,Innate,Interferon 2
Response to Interferon II,IFITM3,ImmuneGO by Modules,16,Innate,Innate,Interferon 2
Response to Interferon II,TRIM21,ImmuneGO by Modules,16,Innate,Innate,Interferon 2
Response to Interferon II,SLC11A1,ImmuneGO by Modules,16,Innate,Innate,Interferon 2
Response to Interferon II,IL23R,ImmuneGO by Modules,16,Innate,Innate,Interferon 2
Response to Interferon II,CIITA,ImmuneGO by Modules,16,Innate,Innate,Interferon 2
Response to Interferon II,SP100,ImmuneGO by Modules,16,Innate,Innate,Interferon 2
Response to Interferon II,SNCA,ImmuneGO by Modules,16,Innate,Innate,Interferon 2
Response to Interferon II,STAT1,ImmuneGO by Modules,16,Innate,Innate,Interferon 2
Response to Interferon II,ADAMTS13,ImmuneGO by Modules,16,Innate,Innate,Interferon 2
Response to Interferon III,IFNLR1,ImmuneGO by Modules,1,Innate,Innate,Interferon 3
"PRR, RIG-I, Pathway",RNF135,ImmuneGO by Modules,4,Innate,PRR,All
"PRR, RIG-I, Pathway",PHB1,ImmuneGO by Modules,4,Innate,PRR,All
"PRR, RIG-I, Pathway",RIGI,ImmuneGO by Modules,4,Innate,PRR,All
"PRR, RIG-I, Pathway",LSM14A,ImmuneGO by Modules,4,Innate,PRR,All
"Secretion, Serotonin, Mast cell",SLC18A2,ImmuneGO by Modules,1,Innate,Innate,Mast cell
"Somatic mutation, Immune receptors",ADAR,ImmuneGO by Modules,1,Adaptive,General,Lymphocyte
"Somatic mutation, Ig",SHLD3,ImmuneGO by Modules,3,Adaptive,Humoral,B cell
"Somatic mutation, Ig",SHLD1,ImmuneGO by Modules,3,Adaptive,Humoral,B cell
"Somatic mutation, Ig",SHLD2,ImmuneGO by Modules,3,Adaptive,Humoral,B cell
"Somatic mutation, Ig genes",UNG,ImmuneGO by Modules,5,Adaptive,Humoral,B cell
"Somatic mutation, Ig genes",MLH1,ImmuneGO by Modules,5,Adaptive,Humoral,B cell
"Somatic mutation, Ig genes",MSH2,ImmuneGO by Modules,5,Adaptive,Humoral,B cell
"Somatic mutation, Ig genes",MSH6,ImmuneGO by Modules,5,Adaptive,Humoral,B cell
"Somatic mutation, Ig genes",PMS2,ImmuneGO by Modules,5,Adaptive,Humoral,B cell
"Somatic mutation, Ig gene segments",MSH2,ImmuneGO by Modules,6,Adaptive,Humoral,B cell
"Somatic mutation, Ig gene segments",MSH6,ImmuneGO by Modules,6,Adaptive,Humoral,B cell
"Somatic mutation, Ig gene segments",MLH1,ImmuneGO by Modules,6,Adaptive,Humoral,B cell
"Somatic mutation, Ig gene segments",UNG,ImmuneGO by Modules,6,Adaptive,Humoral,B cell
"Somatic mutation, Ig gene segments",PMS2,ImmuneGO by Modules,6,Adaptive,Humoral,B cell
"Somatic mutation, Ig gene segments",MSH3,ImmuneGO by Modules,6,Adaptive,Humoral,B cell
"Somatic mutation, Ig genes involved in immune response",MLH1,ImmuneGO by Modules,2,Adaptive,Humoral,B cell
"Somatic mutation, Ig genes involved in immune response",MSH2,ImmuneGO by Modules,2,Adaptive,Humoral,B cell
"Development, Spleen",HOXB4,ImmuneGO by Modules,17,Adaptive,Humoral,Spleen
"Development, Spleen",NKX2-5,ImmuneGO by Modules,17,Adaptive,Humoral,Spleen
"Development, Spleen",BCL3,ImmuneGO by Modules,17,Adaptive,Humoral,Spleen
"Development, Spleen",LIPA,ImmuneGO by Modules,17,Adaptive,Humoral,Spleen
"Development, Spleen",EPB42,ImmuneGO by Modules,17,Adaptive,Humoral,Spleen
"Development, Spleen",ADAM17,ImmuneGO by Modules,17,Adaptive,Humoral,Spleen
"Development, Spleen",CDKN2B,ImmuneGO by Modules,17,Adaptive,Humoral,Spleen
"Development, Spleen",PBX1,ImmuneGO by Modules,17,Adaptive,Humoral,Spleen
"Development, Spleen",NKX3-2,ImmuneGO by Modules,17,Adaptive,Humoral,Spleen
"Development, Spleen",RC3H1,ImmuneGO by Modules,17,Adaptive,Humoral,Spleen
"Development, Spleen",NFKB2,ImmuneGO by Modules,17,Adaptive,Humoral,Spleen
"Development, Spleen",NKX2-3,ImmuneGO by Modules,17,Adaptive,Humoral,Spleen
"Development, Spleen",CDH17,ImmuneGO by Modules,17,Adaptive,Humoral,Spleen
"Development, Spleen",ABL1,ImmuneGO by Modules,17,Adaptive,Humoral,Spleen
"Development, Spleen",CACNB4,ImmuneGO by Modules,17,Adaptive,Humoral,Spleen
"Development, Spleen",BCL2,ImmuneGO by Modules,17,Adaptive,Humoral,Spleen
"Development, Spleen",KMT2A,ImmuneGO by Modules,17,Adaptive,Humoral,Spleen
"C-type lectin receptor, PRR",SYK,ImmuneGO by Modules,9,Innate,PRR,All
"C-type lectin receptor, PRR",PLCG2,ImmuneGO by Modules,9,Innate,PRR,All
"C-type lectin receptor, PRR",KLRC1,ImmuneGO by Modules,9,Innate,PRR,All
"C-type lectin receptor, PRR",EP300,ImmuneGO by Modules,9,Innate,PRR,All
"C-type lectin receptor, PRR",CLEC6A,ImmuneGO by Modules,9,Innate,PRR,All
"C-type lectin receptor, PRR",KLRC2,ImmuneGO by Modules,9,Innate,PRR,All
"C-type lectin receptor, PRR",KLRC3,ImmuneGO by Modules,9,Innate,PRR,All
"C-type lectin receptor, PRR",SRC,ImmuneGO by Modules,9,Innate,PRR,All
"C-type lectin receptor, PRR",KLRK1,ImmuneGO by Modules,9,Innate,PRR,All
"Ig-like receptor, Pathway, Killer cell",KIR2DS2,ImmuneGO by Modules,1,Undefined,Undefined,Undefined
"Activation, T cell",CD86,ImmuneGO by Modules,33,Adaptive,Cellular,T cell
"Activation, T cell",PRKCQ,ImmuneGO by Modules,33,Adaptive,Cellular,T cell
"Activation, T cell",WAS,ImmuneGO by Modules,33,Adaptive,Cellular,T cell
"Activation, T cell",CHRNA7,ImmuneGO by Modules,33,Adaptive,Cellular,T cell
"Activation, T cell",CD28,ImmuneGO by Modules,33,Adaptive,Cellular,T cell
"Activation, T cell",CORO1A,ImmuneGO by Modules,33,Adaptive,Cellular,T cell
"Activation, T cell",HSPD1,ImmuneGO by Modules,33,Adaptive,Cellular,T cell
"Activation, T cell",RBX1,ImmuneGO by Modules,33,Adaptive,Cellular,T cell
"Activation, T cell",NCK1,ImmuneGO by Modules,33,Adaptive,Cellular,T cell
"Activation, T cell",SMAD3,ImmuneGO by Modules,33,Adaptive,Cellular,T cell
"Activation, T cell",PPP3CA,ImmuneGO by Modules,33,Adaptive,Cellular,T cell
"Activation, T cell",LAG3,ImmuneGO by Modules,33,Adaptive,Cellular,T cell
"Activation, T cell",NLRC3,ImmuneGO by Modules,33,Adaptive,Cellular,T cell
"Activation, T cell",PPP3CB,ImmuneGO by Modules,33,Adaptive,Cellular,T cell
"Activation, T cell",FKBP1A,ImmuneGO by Modules,33,Adaptive,Cellular,T cell
"Activation, T cell",MFAP3,ImmuneGO by Modules,33,Adaptive,Cellular,T cell
"Activation, T cell",PIK3CG,ImmuneGO by Modules,33,Adaptive,Cellular,T cell
"Activation, T cell",DPP4,ImmuneGO by Modules,33,Adaptive,Cellular,T cell
"Activation, T cell",TNFAIP8L2,ImmuneGO by Modules,33,Adaptive,Cellular,T cell
"Activation, T cell",CD7,ImmuneGO by Modules,33,Adaptive,Cellular,T cell
"Activation, T cell",CD276,ImmuneGO by Modules,33,Adaptive,Cellular,T cell
"Activation, T cell",VAV1,ImmuneGO by Modules,33,Adaptive,Cellular,T cell
"Activation, T cell",PTPRC,ImmuneGO by Modules,33,Adaptive,Cellular,T cell
"Activation, T cell",CD44,ImmuneGO by Modules,33,Adaptive,Cellular,T cell
"Activation, T cell",ITK,ImmuneGO by Modules,33,Adaptive,Cellular,T cell
"Activation, T cell",RASGRP1,ImmuneGO by Modules,33,Adaptive,Cellular,T cell
"Activation, T cell",CD80,ImmuneGO by Modules,33,Adaptive,Cellular,T cell
"Activation, T cell",DCAF12,ImmuneGO by Modules,33,Adaptive,Cellular,T cell
"Activation, T cell",CD3G,ImmuneGO by Modules,33,Adaptive,Cellular,T cell
"Activation, T cell",CD8B,ImmuneGO by Modules,33,Adaptive,Cellular,T cell
"Activation, T cell",ADA,ImmuneGO by Modules,33,Adaptive,Cellular,T cell
"Activation, T cell",ZAP70,ImmuneGO by Modules,33,Adaptive,Cellular,T cell
"Activation, T cell",DDOST,ImmuneGO by Modules,33,Adaptive,Cellular,T cell
"Activation, Immune response, T cell",IFNE,ImmuneGO by Modules,9,Adaptive,Cellular,T cell
"Activation, Immune response, T cell",MDK,ImmuneGO by Modules,9,Adaptive,Cellular,T cell
"Activation, Immune response, T cell",F2RL1,ImmuneGO by Modules,9,Adaptive,Cellular,T cell
"Activation, Immune response, T cell",LCP1,ImmuneGO by Modules,9,Adaptive,Cellular,T cell
"Activation, Immune response, T cell",PSEN1,ImmuneGO by Modules,9,Adaptive,Cellular,T cell
"Activation, Immune response, T cell",IFNA8,ImmuneGO by Modules,9,Adaptive,Cellular,T cell
"Activation, Immune response, T cell",CD1C,ImmuneGO by Modules,9,Adaptive,Cellular,T cell
NA,APBB1IP,ImmuneGO by Modules,2,Adaptive,Cellular,T cell
NA,ITGAL,ImmuneGO by Modules,2,Adaptive,Cellular,T cell
"Chemotaxis, T cell",CXCL12,ImmuneGO by Modules,7,Adaptive,Cellular,T cell
"Chemotaxis, T cell",CCL3,ImmuneGO by Modules,7,Adaptive,Cellular,T cell
"Chemotaxis, T cell",DEFA4,ImmuneGO by Modules,7,Adaptive,Cellular,T cell
"Chemotaxis, T cell",GPR183,ImmuneGO by Modules,7,Adaptive,Cellular,T cell
"Chemotaxis, T cell",SLC12A2,ImmuneGO by Modules,7,Adaptive,Cellular,T cell
"Chemotaxis, T cell",PIK3CG,ImmuneGO by Modules,7,Adaptive,Cellular,T cell
"Chemotaxis, T cell",DEFA1,ImmuneGO by Modules,7,Adaptive,Cellular,T cell
"Costimulation, T cell",CD86,ImmuneGO by Modules,22,Adaptive,Cellular,T cell
"Costimulation, T cell",PTPN6,ImmuneGO by Modules,22,Adaptive,Cellular,T cell
"Costimulation, T cell",CAV1,ImmuneGO by Modules,22,Adaptive,Cellular,T cell
"Costimulation, T cell",SRC,ImmuneGO by Modules,22,Adaptive,Cellular,T cell
"Costimulation, T cell",PTPN11,ImmuneGO by Modules,22,Adaptive,Cellular,T cell
"Costimulation, T cell",DPP4,ImmuneGO by Modules,22,Adaptive,Cellular,T cell
"Costimulation, T cell",SPN,ImmuneGO by Modules,22,Adaptive,Cellular,T cell
"Costimulation, T cell",LGALS1,ImmuneGO by Modules,22,Adaptive,Cellular,T cell
"Costimulation, T cell",MAP3K8,ImmuneGO by Modules,22,Adaptive,Cellular,T cell
"Costimulation, T cell",KLRK1,ImmuneGO by Modules,22,Adaptive,Cellular,T cell
"Costimulation, T cell",CD160,ImmuneGO by Modules,22,Adaptive,Cellular,T cell
"Costimulation, T cell",CD24,ImmuneGO by Modules,22,Adaptive,Cellular,T cell
"Costimulation, T cell",AKT1,ImmuneGO by Modules,22,Adaptive,Cellular,T cell
"Costimulation, T cell",CD28,ImmuneGO by Modules,22,Adaptive,Cellular,T cell
"Costimulation, T cell",CD80,ImmuneGO by Modules,22,Adaptive,Cellular,T cell
"Costimulation, T cell",PIK3CA,ImmuneGO by Modules,22,Adaptive,Cellular,T cell
"Costimulation, T cell",EFNB1,ImmuneGO by Modules,22,Adaptive,Cellular,T cell
"Costimulation, T cell",EFNB2,ImmuneGO by Modules,22,Adaptive,Cellular,T cell
"Costimulation, T cell",VAV1,ImmuneGO by Modules,22,Adaptive,Cellular,T cell
"Costimulation, T cell",CSK,ImmuneGO by Modules,22,Adaptive,Cellular,T cell
"Costimulation, T cell",MTOR,ImmuneGO by Modules,22,Adaptive,Cellular,T cell
"Costimulation, T cell",CD40LG,ImmuneGO by Modules,22,Adaptive,Cellular,T cell
"Differentiation, T cell",KDELR1,ImmuneGO by Modules,29,Adaptive,Cellular,T cell
"Differentiation, T cell",DTX1,ImmuneGO by Modules,29,Adaptive,Cellular,T cell
"Differentiation, T cell",GATA3,ImmuneGO by Modules,29,Adaptive,Cellular,T cell
"Differentiation, T cell",ITPKB,ImmuneGO by Modules,29,Adaptive,Cellular,T cell
"Differentiation, T cell",KIT,ImmuneGO by Modules,29,Adaptive,Cellular,T cell
"Differentiation, T cell",CTNNB1,ImmuneGO by Modules,29,Adaptive,Cellular,T cell
"Differentiation, T cell",IL2,ImmuneGO by Modules,29,Adaptive,Cellular,T cell
"Differentiation, T cell",FOSL2,ImmuneGO by Modules,29,Adaptive,Cellular,T cell
"Differentiation, T cell",PTPRC,ImmuneGO by Modules,29,Adaptive,Cellular,T cell
"Differentiation, T cell",ZAP70,ImmuneGO by Modules,29,Adaptive,Cellular,T cell
"Differentiation, T cell",VAV1,ImmuneGO by Modules,29,Adaptive,Cellular,T cell
"Differentiation, T cell",PPP3CB,ImmuneGO by Modules,29,Adaptive,Cellular,T cell
"Differentiation, T cell",SOX4,ImmuneGO by Modules,29,Adaptive,Cellular,T cell
"Differentiation, T cell",PTPN2,ImmuneGO by Modules,29,Adaptive,Cellular,T cell
"Differentiation, T cell",LIPA,ImmuneGO by Modules,29,Adaptive,Cellular,T cell
"Differentiation, T cell",LMBR1L,ImmuneGO by Modules,29,Adaptive,Cellular,T cell
"Differentiation, T cell",LFNG,ImmuneGO by Modules,29,Adaptive,Cellular,T cell
"Differentiation, T cell",LEPR,ImmuneGO by Modules,29,Adaptive,Cellular,T cell
"Differentiation, T cell",BCL2,ImmuneGO by Modules,29,Adaptive,Cellular,T cell
"Differentiation, T cell",GPR89A,ImmuneGO by Modules,29,Adaptive,Cellular,T cell
"Differentiation, T cell",LEP,ImmuneGO by Modules,29,Adaptive,Cellular,T cell
"Differentiation, T cell",EGR1,ImmuneGO by Modules,29,Adaptive,Cellular,T cell
"Differentiation, T cell",PKNOX1,ImmuneGO by Modules,29,Adaptive,Cellular,T cell
"Differentiation, T cell",IL7R,ImmuneGO by Modules,29,Adaptive,Cellular,T cell
"Differentiation, T cell",PIK3R1,ImmuneGO by Modules,29,Adaptive,Cellular,T cell
"Differentiation, T cell",NRARP,ImmuneGO by Modules,29,Adaptive,Cellular,T cell
"Differentiation, T cell",SP3,ImmuneGO by Modules,29,Adaptive,Cellular,T cell
"Differentiation, T cell",RAG2,ImmuneGO by Modules,29,Adaptive,Cellular,T cell
"Differentiation, T cell",GPR89B,ImmuneGO by Modules,29,Adaptive,Cellular,T cell
"Differentiation, T cell, Thymus",RAG2,ImmuneGO by Modules,24,Adaptive,Cellular,T cell
"Differentiation, T cell, Thymus",NKAP,ImmuneGO by Modules,24,Adaptive,Cellular,T cell
"Differentiation, T cell, Thymus",STAT5B,ImmuneGO by Modules,24,Adaptive,Cellular,T cell
"Differentiation, T cell, Thymus",IL2RG,ImmuneGO by Modules,24,Adaptive,Cellular,T cell
"Differentiation, T cell, Thymus",IL7R,ImmuneGO by Modules,24,Adaptive,Cellular,T cell
"Differentiation, T cell, Thymus",CTNNB1,ImmuneGO by Modules,24,Adaptive,Cellular,T cell
"Differentiation, T cell, Thymus",RAG1,ImmuneGO by Modules,24,Adaptive,Cellular,T cell
"Differentiation, T cell, Thymus",GLI3,ImmuneGO by Modules,24,Adaptive,Cellular,T cell
"Differentiation, T cell, Thymus",ZFP36L2,ImmuneGO by Modules,24,Adaptive,Cellular,T cell
"Differentiation, T cell, Thymus",NCAPH2,ImmuneGO by Modules,24,Adaptive,Cellular,T cell
"Differentiation, T cell, Thymus",ZFP36L1,ImmuneGO by Modules,24,Adaptive,Cellular,T cell
"Differentiation, T cell, Thymus",BCL2,ImmuneGO by Modules,24,Adaptive,Cellular,T cell
"Differentiation, T cell, Thymus",ADAM17,ImmuneGO by Modules,24,Adaptive,Cellular,T cell
"Differentiation, T cell, Thymus",PRKDC,ImmuneGO by Modules,24,Adaptive,Cellular,T cell
"Differentiation, T cell, Thymus",GATA3,ImmuneGO by Modules,24,Adaptive,Cellular,T cell
"Differentiation, T cell, Thymus",WNT4,ImmuneGO by Modules,24,Adaptive,Cellular,T cell
"Differentiation, T cell, Thymus",RPS6,ImmuneGO by Modules,24,Adaptive,Cellular,T cell
"Differentiation, T cell, Thymus",LIG4,ImmuneGO by Modules,24,Adaptive,Cellular,T cell
"Differentiation, T cell, Thymus",CDK6,ImmuneGO by Modules,24,Adaptive,Cellular,T cell
"Differentiation, T cell, Thymus",BRAF,ImmuneGO by Modules,24,Adaptive,Cellular,T cell
"Differentiation, T cell, Thymus",B2M,ImmuneGO by Modules,24,Adaptive,Cellular,T cell
"Differentiation, T cell, Thymus",JMJD6,ImmuneGO by Modules,24,Adaptive,Cellular,T cell
"Differentiation, T cell, Thymus",PSMB11,ImmuneGO by Modules,24,Adaptive,Cellular,T cell
"Differentiation, T cell, Thymus",TESPA1,ImmuneGO by Modules,24,Adaptive,Cellular,T cell
"Differentiation, T cell, Immune response",FCER1G,ImmuneGO by Modules,1,Adaptive,Cellular,T cell
"Extravasation, T cell",XG,ImmuneGO by Modules,2,Adaptive,Cellular,T cell
"Extravasation, T cell",CD99,ImmuneGO by Modules,2,Adaptive,Cellular,T cell
"Homeostasis, T cell",PPP2CA,ImmuneGO by Modules,19,Adaptive,Cellular,T cell
"Homeostasis, T cell",CHST3,ImmuneGO by Modules,19,Adaptive,Cellular,T cell
"Homeostasis, T cell",BCL2,ImmuneGO by Modules,19,Adaptive,Cellular,T cell
"Homeostasis, T cell",SPNS2,ImmuneGO by Modules,19,Adaptive,Cellular,T cell
"Homeostasis, T cell",JAK3,ImmuneGO by Modules,19,Adaptive,Cellular,T cell
"Homeostasis, T cell",STAT5B,ImmuneGO by Modules,19,Adaptive,Cellular,T cell
"Homeostasis, T cell",ZC3H8,ImmuneGO by Modules,19,Adaptive,Cellular,T cell
"Homeostasis, T cell",NCKAP1L,ImmuneGO by Modules,19,Adaptive,Cellular,T cell
"Homeostasis, T cell",PPP2R1A,ImmuneGO by Modules,19,Adaptive,Cellular,T cell
"Homeostasis, T cell",RC3H1,ImmuneGO by Modules,19,Adaptive,Cellular,T cell
"Homeostasis, T cell",IL7R,ImmuneGO by Modules,19,Adaptive,Cellular,T cell
"Homeostasis, T cell",CORO1A,ImmuneGO by Modules,19,Adaptive,Cellular,T cell
"Homeostasis, T cell",RAG1,ImmuneGO by Modules,19,Adaptive,Cellular,T cell
"Homeostasis, T cell",PPP3CB,ImmuneGO by Modules,19,Adaptive,Cellular,T cell
"Homeostasis, T cell",IL20RB,ImmuneGO by Modules,19,Adaptive,Cellular,T cell
"Homeostasis, T cell",GPR15LG,ImmuneGO by Modules,19,Adaptive,Cellular,T cell
"Homeostasis, T cell",CASP3,ImmuneGO by Modules,19,Adaptive,Cellular,T cell
"Homeostasis, T cell",CCNB2,ImmuneGO by Modules,19,Adaptive,Cellular,T cell
"Homeostasis, T cell",PRDX2,ImmuneGO by Modules,19,Adaptive,Cellular,T cell
"Homeostasis, Proliferation, T cell",BAX,ImmuneGO by Modules,1,Adaptive,Cellular,T cell
"Lineage commitment, T cell",IL7,ImmuneGO by Modules,4,Adaptive,Cellular,T cell
"Lineage commitment, T cell",BCL2,ImmuneGO by Modules,4,Adaptive,Cellular,T cell
"Lineage commitment, T cell",RAG2,ImmuneGO by Modules,4,Adaptive,Cellular,T cell
"Lineage commitment, T cell",PRKDC,ImmuneGO by Modules,4,Adaptive,Cellular,T cell
"Migration, Meandering, T cell",MYO1G,ImmuneGO by Modules,1,Adaptive,Cellular,T cell
T cell-mediated cytotoxicity,GZMM,ImmuneGO by Modules,10,Adaptive,Cellular,T cell
T cell-mediated cytotoxicity,CTSH,ImmuneGO by Modules,10,Adaptive,Cellular,T cell
T cell-mediated cytotoxicity,TAP2,ImmuneGO by Modules,10,Adaptive,Cellular,T cell
T cell-mediated cytotoxicity,PPP3CB,ImmuneGO by Modules,10,Adaptive,Cellular,T cell
T cell-mediated cytotoxicity,PRF1,ImmuneGO by Modules,10,Adaptive,Cellular,T cell
T cell-mediated cytotoxicity,EMP2,ImmuneGO by Modules,10,Adaptive,Cellular,T cell
T cell-mediated cytotoxicity,CTSC,ImmuneGO by Modules,10,Adaptive,Cellular,T cell
T cell-mediated cytotoxicity,HPRT1,ImmuneGO by Modules,10,Adaptive,Cellular,T cell
T cell-mediated cytotoxicity,IL7R,ImmuneGO by Modules,10,Adaptive,Cellular,T cell
T cell-mediated cytotoxicity,B2M,ImmuneGO by Modules,10,Adaptive,Cellular,T cell
T cell-mediated immunity,CD46,ImmuneGO by Modules,9,Adaptive,Cellular,T cell
T cell-mediated immunity,CLEC4G,ImmuneGO by Modules,9,Adaptive,Cellular,T cell
T cell-mediated immunity,JAG1,ImmuneGO by Modules,9,Adaptive,Cellular,T cell
T cell-mediated immunity,MYO1G,ImmuneGO by Modules,9,Adaptive,Cellular,T cell
T cell-mediated immunity,CR2,ImmuneGO by Modules,9,Adaptive,Cellular,T cell
T cell-mediated immunity,BTN3A2,ImmuneGO by Modules,9,Adaptive,Cellular,T cell
T cell-mediated immunity,CD70,ImmuneGO by Modules,9,Adaptive,Cellular,T cell
T cell-mediated immunity,GNL1,ImmuneGO by Modules,9,Adaptive,Cellular,T cell
T cell-mediated immunity,CR1,ImmuneGO by Modules,9,Adaptive,Cellular,T cell
"Migration, T cell",GPR15,ImmuneGO by Modules,9,Adaptive,Cellular,T cell
"Migration, T cell",MYO1G,ImmuneGO by Modules,9,Adaptive,Cellular,T cell
"Migration, T cell",CORO1A,ImmuneGO by Modules,9,Adaptive,Cellular,T cell
"Migration, T cell",FUT7,ImmuneGO by Modules,9,Adaptive,Cellular,T cell
