process,immune_system,immune_subsystem,cells,set_size,genes,immune_set
Resting dendritic cell surface signature (S10),Innate,Cells,DCs,75,"CLEC10A,CD1E,CD1B,CD1C,SLC7A8,CD1A,SERINC5,IGSF6,TREM2,TSPAN15,CCRL2,CD151,ADAM12,TM7SF4,SLC36A1,LRFN4,GPR137B,STAB1,CD86,IL1R2,IL1R1,IFNGR1,FZD1,FCER1A,FZD5,DIRC2,PSEN2,CSF1R,GPNMB,ABHD12,PTGFRN,KMO,EMP1,HLA-DQB1,LHFPL2,SLC1A3,CCDC90A,LPCAT2,JAG1,PLXDC2,SUCNR1,TMEM51,SFXN3,SPINT2,SLC38A6,ITPRIPL2,ENG,MFSD1,TTYH3,SRD5A3,TACSTD2,TMEM144,FAM70A,ABCC3,PLXND1,DENND1B,ATP1B1,P2RY6,NRP1,SLC27A3,SLCO2B1,ITGAX,SLC26A11,CRIM1,CLDN23,PLD3,SLC7A11,CD9,ADAM9,ABCA6,ACE,SLAMF8,HLA-DMA,AGPAT9,CH25H",BTM by Modules
Activated (LPS) dendritic cell surface signature (S11),Innate,Cells,DCs,37,"CSF2RB,ANTXR2,IFI27,SLC31A2,TNFSF13B,TGFA,LY75,CD80,CD58,TMCC3,SLCO5A1,F11R,TTYH2,ITGB8,RNF144B,SGPP2,CALCRL,NINJ1,CD40,IL3RA,LAMP2,TMEM140,PDCD1LG2,KITLG,SLC43A2,NRP2,PRRG4,IL13RA1,SLC41A2,GPR157,IFI6,CD274,LRRC32,ELOVL7,COLEC12,EREG,SIGLEC1",BTM by Modules
innate antiviral response (M150),Innate,General,Generic,12,"TAP1,IRF7,PLSCR1,EIF2AK2,APOBEC3A,OASL,RXRA,OAS1,OAS3,RSAD2,IFIT1,SP100",BTM by Modules
inflammatory response (M33),Innate,Inflammation,Inflammation,11,"TBC1D8,TNFSF13,FCER1G,STAB1,TYROBP,GPX1,CARD9,ARRB2,TLR4,APOB48R,AIF1",BTM by Modules
inflammasome receptors and signaling (M53),Innate,Inflammation,Inflammation,12,"NLRP3,NFKBIA,BIRC3,BIRC2,TNFAIP3,RXRA,CARD9,RIPK2,TLR4,NOD2,NLRC4,PAK1",BTM by Modules
"proinflammatory dendritic cell, myeloid cell response (M86.1)",Innate,Inflammation,"DCs, Myeloid",13,"ADORA2A /// CYTSA,STAT4,CCL4,TNFAIP6,IFNG,CD80,GCH1,SERPINB9,TNF,HS3ST3B1,CCL20,IL1B,PDE4B",BTM by Modules
antiviral IFN signature (M75),Innate,Signaling,Interferon,22,"IFIH1,ELANE,SERPING1,IL1B,RSAD2,IFIT1,RARA,DDX58,FCER1A,DHX58,PTX3,CARD9,OAS1,OAS3,PML,ANXA3,HERC5,DDX60,CXCL10,IRF7,C1QB,BCL3",BTM by Modules
type I interferon response (M127),Innate,Signaling,Interferon,12,"TAP1,IFIH1,IRF7,PARP9,STAT1,PLSCR1,IFITM1,HERC5,DDX60,USP18,RSAD2,IFIT1",BTM by Modules
interferon alpha response (I) (M158.0),Innate,Signaling,Interferon,16,"LHCGR,COL8A1,IMPG2,ITGB4,MMP12,TNR,IFNA7,IFNA4,SFN,LAMC2,ST14,ADAMTS20,FGF5,IFNA10,IFNA16,IFNA14",BTM by Modules
interferon alpha response (II) (M158.1),Innate,Signaling,Interferon,13,"LHCGR,FAM123A,IFNA8,IFNA2,IFNA7,IFNA5,IFNA4,IFNA21,PRL,ADAMTS20,IFNA10,IFNA16,IFNA14",BTM by Modules
enriched in monocytes (I) (M4.15),Innate,Cells,Monocyte,11,"TNFSF13,MYCL1,EPB41L3,DPYSL2,RTN1,SLC31A2,FES,LGALS3,HCK,APLP2,LGALS1",BTM by Modules
enriched in monocytes (II) (M11.0),Innate,Cells,Monocyte,189,"FXYD6,KCNE3,FAM198B,HSPA6,LAT2,CD33,TIMP2,CD36,TNFSF12-TNFSF13,C5AR1,MARCH1,FCGR1B,FCGR1A,SLC15A3,S100A11,MS4A7,MAFB,S100A12,CPPED1,TYROBP,FGR,PLA2G7,IRAK3,LYN,PYGL,SIRPA,FCAR,CRISPLD2,RNASE2,TBXAS1,PLBD1,HK3,FPR2,NOD2,IFI30,AQP9,IMPA2,LRP1,TMEM176A,CSF3R,RBP7,CACNA2D3,MS4A4A,HPSE,KCTD12,SMPDL3A,LST1,RBM47,SYK,SECTM1,PLXDC2,TLR2,CD163,BST1,TLR4,GLT1D1,TREM1,TLR8,FBP1,TNFSF13,CD1D,CSF2RA,SLC7A7,EMR2,RASSF4,SLC31A2,MGST1,IFNGR2,RIN2,LY86,PLXNB2,LILRB3,LILRB2,LILRB1,CLEC7A,QPCT,RNF130,PILRA,NFE2,TNS3,HNMT,GCA,FCN1,TFEC,VNN2,VNN3,TLR5,RTN1,NCF1C,GAS2L1,GRN,BLVRB,ITGAX,MS4A6A,IL13RA1,CD93,TNFAIP2,CD14,ITGAM,SIRPB1,SORT1,AIF1,BTK,NCF2,NCF1,MYCL1,CCR1,CD302,PTAFR,HCK,STAB1,P2RY13,FCER1G,SPI1,CYP1B1,NLRP3,CSF1R,CD86,SCPEP1,ADAP2,S100A9,S100A8,CST3,KIAA0513,EPB41L3,MTMR11,CSTA,RXRA,ASGR1,ASGR2,FES,LGALS2,PRAM1,KIAA1598,CDA,SGK1,LMO2,ALDH2,FGL2,CLEC4E,CTSH,CYFIP1,MPEG1,PLAUR,IGSF6,NLRP12,MEGF9,APOB48R,F13A1,ALDH1A1,SERPINA1,CEBPA,KYNU,RAB32,RAB31,CEBPD,SEPX1,SIGLEC7,SULF2,MYOF,KLF4,FPR1,MNDA,FCGRT,ALOX5,ANPEP,PDGFC,NRGN,PRKCD,FCGR2A,CYBB,PADI2,CPVL,DMXL2,AOAH,CHST15,CFD,SLC11A1,CLEC4A,ZNF467,TYMP,SIGLEC9,LILRA6,TGFBI,LILRA5,LILRA2,LILRA3,CFP,LILRA1",BTM by Modules
"RA, WNT, CSF receptors network (monocyte) (M23)",Innate,Cells,Monocyte,12,"RARA,FZD1,CEBPA,CSF2RA,FOS,CSF1R,FZD2,RXRA,SPI1,PTGS2,CSF3R,IL8",BTM by Modules
enriched in activated dendritic cells/monocytes (M64),Innate,Cells,Monocyte,17,"CXCL1,DRAM1,G0S2,SOD2,SIRPA,IL1RN,NINJ1,IL13RA1,TNFAIP2,SLC31A2,BASP1,MARCKS,FAM129A,ANPEP,SLC15A3,IL1B,IL8",BTM by Modules
enriched in monocytes (III) (M73),Innate,Cells,Monocyte,12,"CEBPB,DUSP6,MAML3,TFEC,FOS,IER3,CCR1,RIN2,GPR109B,BCL6,PLXDC2,TIMP2",BTM by Modules
enriched in monocytes (IV) (M118.0),Innate,Cells,Monocyte,57,"PTGS2,EMR1,AMICA1,DOCK5,CD4,LY96,ARHGEF10L,TNFSF13B,LTBR,PGD,TNFRSF1B,LRRK2,DPYD,MGAM,PTX3,LYZ,IL1R2,DOK3,CARD9,EVI5,GPR109B,DUSP6,MYO1F,FGD4,HHEX,HAL,ST3GAL6,DYSF,RNASE6,SLC24A4,VNN1,NAIP,RHOU,CD68,CXCR2,NACC2,SMARCD3,PADI4,TMEM176B,LGALS3,SAMHD1,CTSS,EMILIN2,ACPP,F5,STEAP4,C19orf59,ACSL1,PAK1,C1orf162,MOSC1,TLR1,PID1,BCL6,HLA-DMB,MPP1,AGPAT9",BTM by Modules
enriched in monocytes (surface) (M118.1),Innate,Cells,Monocyte,17,"LTBR,CD4,TNFRSF1B,MCTP1,S1PR3,EMR1,C19orf59,SLC24A4,STEAP4,C1orf162,SLC16A3,NFAM1,TMEM176B,HLA-DMB,IL1R2,AGPAT9,TNFSF13B",BTM by Modules
Monocyte surface signature (S4),Innate,Cells,Monocyte,94,"FXYD6,KCNE3,AMICA1,CD33,CD36,C5AR1,FCGR1B,APCDD1,LTBR,PECAM1,CYBRD1,GPR109B,PLXND1,FCAR,DYSF,FPR1,FPR2,HLA-DRB4,CSF3R,CCR1,C19orf59,TLR2,CD163,TLR1,TLR4,TLR5,TREM1,TNFSF12,CLEC12B,CLEC12A,EMR1,EMR2,LPPR2,IL1R2,MARCO,LILRB3,LILRB2,LILRB1,SLC11A1,MGAM,C10orf54,TMEM71,SLC46A2,VNN2,KCNQ1,FCGR2A,TNFRSF1B,MBOAT7,CD93,ITGAM,SIRPB1,GPER,CD4,TNFRSF10B,CCR2,CD302,PTAFR,MCTP1,FCER1A,S1PR3,P2RY13,SLC7A7,AGTRAP,CECR6,IL6R,ASGR1,ASGR2,TMEM154,LRP1,LRRC33,C1orf162,TMTC2,ABCA1,STEAP4,SPNS1,P2RX1,VSTM1,BRI3,NFAM1,TMEM55A,PYCARD,FCGRT,GLIPR1,MFSD1,SLC24A4,PTGIR,MS4A6A,P2RY2,SLC40A1,SLC16A3,ANO10,PTPRE,SIGLEC9,GPR133",BTM by Modules
"myeloid cell cytokines, metallopeptidases and laminins (M78)",Innate,Cells,Myeloid cell,11,"IL1RN,IL23A,IL10,MMP19,IL6,LAMC2,MMP9,EDN1,SFN,LAMB3,GSN",BTM by Modules
enriched in myeloid cells and monocytes (M81),Innate,Cells,Myeloid cell,35,"LIN7A,MYH10,PTGS1,EHD3,PCSK6,CCR2,CHI3L1,EGF,CLEC5A,FCER1G,NLRP3,ITGA2B,MMRN1,CSF1R,THBS1,SPARC,MARCKS,SLC8A1,PDGFA,ITGB3,HHEX,PROS1,TF,CLU,CXCL12,PRAM1,ACTN1,F5,CD14,FKBP1B,TLR7,TLR4,SNCA,BCL6,SELP",BTM by Modules
enriched in neutrophils (I) (M37.1),Innate,Cells,Neutrophil,52,"LIN7A,NCF4,EMR3,FCGR3A,S100P,FCGR3B,TNFRSF10C,C5AR1,MGC31957,CHI3L1,NLRP12,CYP4F3,MXD1,SEPX1,MGAM,DGAT2,RGL4,REPS2,VNN2,CXCR1,NFE2,KRT23,GPR109B,PYGL,FPR2,G0S2,KCNJ15,LRRC4,FPR1,CREB5,FCGR2A,CMTM2,MANSC1,CSF3R,FFAR2,RNF24,LRG1,ST6GALNAC2,ORM1,MME,CDA,PROK2,PFKFB4,VNN3,SLC22A4,BASP1,TREM1,GLT1D1,GPR97,PTAFR,STEAP4,ALPL",BTM by Modules
recruitment of neutrophils (M132),Innate,Cells,Neutrophil,11,"PROK2,FPR1,FPR2,GNG10,C5AR1,GPR109B,CXCR1,CCR3,PTAFR,FFAR2,F2RL1",BTM by Modules
enriched in neutrophils (II) (M163),Innate,Cells,Neutrophil,14,"NPL,ARAP3,HSPA6,TYROBP,CFD,IMPA2,DENND3,BTNL8,FRAT2,MBOAT7,TSPAN2,BEST1,FLJ10357,SLC40A1",BTM by Modules
enriched in NK cells (I) (M7.2),Innate,Cells,NK,49,"TGFBR3,KLRB1,KLRD1,CCL5,TBX21,FCGR3B,PTGDR,CD247,NLRC3,GPR56,MYBL1,ARL4C,KLRF1,STAT4,PLEKHF1,IL18RAP,RORA,EOMES,XCL2,XCL1,FGFBP2,SAMD3,CTSW,CST7,ZAP70,KLRC1,PRKCH,S1PR5,CLIC3,TRD@,GNLY,SH2D2A,FASLG,PRF1,PRKCQ,GIMAP7,GZMA,IL2RB,HOPX,ITK,GZMB,NKG7,CD96,GZMM,GZMH,KLRK1,SLAMF7,TRA@,TARP",BTM by Modules
enriched in NK cells (II) (M61.0),Innate,Cells,NK,24,"KLRB1,CD7,GPR56,NKG7,KIR2DL2,KIR2DS4,KIR2DS5,KIR2DS2,KIR2DS3,S1PR5,KIR2DS1,KLRF1,TGFBR3,KIR3DL1,KIR2DL5A,KIR3DL3,IL2RB,KLRK1,KIR2DL3,CD96,KIR2DL1,CD247,PVRIG,TARP",BTM by Modules
enriched in NK cells (KIR cluster) (M61.1),Innate,Cells,NK,13,"KIR2DS4,KIR2DS5,KIR2DS2,KIR2DS3,KIR2DS1,KIR2DL3,KIR2DL2,KIR2DL1,KIR2DL4,KIR3DS1,KIR3DL1,KIR2DL5A,KIR3DL3",BTM by Modules
enriched in NK cells (receptor activation) (M61.2),Innate,Cells,NK,16,"KIR2DL3,ITK,CD96,CARD11,KIR2DS2,KIR2DS1,CD244,KIR2DL2,KIR2DL1,CD247,KLRK1,ZAP70,KIR2DL4,PRKCQ,KIR3DL1,KLRD1",BTM by Modules
enriched in NK cells (III) (M157),Innate,Cells,NK,14,"KLRC3,PPP1R16B,RASGRP1,CCL4,CX3CR1,GPR18,TIGIT,CD7,C1orf21,PVRIG,GIMAP6,TRGC2,MATK,PTPN4",BTM by Modules
NK cell surface signature (S1),Innate,Cells,NK,48,"PDGFRB,TNFSF11,IL12RB2,TNFSF14,SLC7A5,ADRB2,S1PR5,ATP9A,TIE1,PTGDR,NCAM1,KLRF1,ELOVL6,IL18RAP,KIR2DS4,KIR2DS5,KIR2DS2,KIR2DS3,PTGER2,KIR2DS1,SLCO4C1,GPR82,TGFBR3,KLRC3,ENPP5,IL18R1,NCR1,DLL1,FASLG,KIR3DL1,KIR2DL5A,KIR3DL3,IL2RB,TMEM64,CX3CR1,KLRK1,CD97,SYNGR3,RARRES3,KIT,KIR2DL3,KIR2DL2,KIR2DL1,ATP8B4,SLAMF7,PVRIG,GPR114,HAVCR2",BTM by Modules
innate activation by cytosolic DNA sensing (M13),Innate,PRR,Generic,11,"DDX58,IRF7,CCL4,CCL5,ZBP1,NFKBIA,AIM2,IL6,PYCARD,CXCL10,IL1B",BTM by Modules
TLR and inflammatory signaling (M16),Innate,PRR,Generic,45,"FCGR1A /// FCGR1C,HSPA6,NCF4,TLR6,C5AR1,FCGR1B,APOB48R,LILRB3,KCNJ15,LILRB1,PILRA,TYROBP,MGAM,FGR,P2RY13,CXCR2,NFE2,IRAK3,MYD88,FPR2,SIGLEC9,FCAR,DYSF,NPL,FPR1,ALOX5,FCGR2C,AQP9,FES,CSF3R,TLR7,LY96,LILRB2,ITGAX,KCNJ2,WDFY3,TLR2,TLR1,BST1,ANPEP,TLR4,TLR5,LILRA6,TLR8,PADI4",BTM by Modules
TLR8-BAFF network (M25),Innate,PRR,Generic,10,"SLC40A1,TNFSF13B,ASGR1,ASGR2,PCTP,AP1S2,TLR8,BCL6,IL1R2,TBXAS1",BTM by Modules
RIG-1 like receptor signaling (M68),Innate,PRR,Generic,10,"DDX58,IRF7,DHX58,TRIM25,NFKBIA,IFIH1,TNF,ISG15,CXCL10,IL8",BTM by Modules
viral sensing & immunity; IRF2 targets network (I) (M111.0),Innate,PRR,Generic,17,"TAP1,KYNU,TLR7,ZBP1,IFI35,LY86,THBS1,TNFSF13B,PSMB8,EREG,FES,BST2,USP18,CTSS,RIPK2,AIF1,CXCL16",BTM by Modules
viral sensing & immunity; IRF2 targets network (II) (M111.1),Innate,PRR,Generic,11,"TAP1,DDX58,PSMB10,ZBP1,CASP1,PSMB8,BST2,CXCL10,USP18,IFIT2,TNFSF13B",BTM by Modules
"cell activation (IL15, IL23, TNF) (M24)",Innate,Signaling,Generic,15,"SBNO2,MAP3K8,IL23A,FN1,CD83,PDGFRA,IL15,TNFAIP3,SERPING1,TNF,TF,COL3A1,NFKB2,A2M,BCL3",BTM by Modules
proinflammatory cytokines and chemokines (M29),Innate,Signaling,Generic,10,"PTX3,CCRL2,IL6,CCL3 /// CCL3L1 /// CCL3L3,TNF,IL1A,C3,CCL20,IL1B,IL8",BTM by Modules
"CCR1, 7 and cell signaling (M59)",Innate,Signaling,Generic,10,"DUSP6,ZNF423,TIMP2,SOCS2,MAPK14,CCR1,CISH,CCR7,BCL6,TRIB1",BTM by Modules
chemokines and inflammatory molecules in myeloid cells (M86.0),Innate,Signaling,Generic,19,"CXCL1,TRAF1,ADORA2A /// CYTSA,CXCL2,NFKBIA,CCL4,BCL2A1,GCH1,G0S2,TNFAIP3,TNFAIP6,TNF,HS3ST3B1,NFKB1,SLAMF7,CCL20,IL1B,DUSP1,PDE4B",BTM by Modules
myeloid cell enriched receptors and transporters (M4.3),Innate,Cells,Myeloid cell,31,"CD1D,SLC7A7,AMICA1,CCR1,LRRC25,GPBAR1,MYOF,MARCO,SULF2,CD86,SLC1A3,SLC8A1,IGSF6,MPEG1,MTMR11,RNASE6,SLC24A4,SIGLEC16,ASGR1,SLC15A3,KCTD12,CHST15,SLC2A6,SECTM1,CLEC4A,CD14,TLR5,TLR8,SIGLEC7,MS4A14,LILRA1",BTM by Modules
"Proliferation, T cell, Activated",Adaptive,Cellular,T cell,3,"ABL1,STAT5B,IL2",ImmuneGO by Modules
"Activation, Immune response",General,Immune,Undefined,1,HMSD,ImmuneGO by Modules
"Activation, Innate immune response",Innate,General,Undefined,16,"STING1,MAVS,NLRP10,XRCC5,MNDA,CGAS,TLR4,CASP6,XRCC6,SFPQ,PYHIN1,MATR3,HEXIM1,GBP2,PRKDC,HMGB1",ImmuneGO by Modules
"Cell death, Activation-induced, T cell",Adaptive,Cellular,T cell,3,"FAS,RPS6,AKT1",ImmuneGO by Modules
Acute inflammatory response to antigenic stimulus,Innate,Inflammation,Undefined,5,"NLRP6,ELANE,IL31RA,CD6,CXCR2",ImmuneGO by Modules
Adaptive Immune response,Adaptive,General,Lymphocyte,330,"TAP2,HLA-DOB,FBXO38,P0DOX7,MYO1G,BTN3A2,HLA-E,CD19,OTUD7B,HLA-C,CLEC6A,CD1B,LILRB2,RAG1,JAK3,EOMES,THEMIS,HLA-DMB,CD1C,NLRP10,P0DOX6,LAG3,HLA-DRB3,P0DOX8,SYK,CTSS,RAPGEF3,CSK,CD247,ITK,CX3CR1,LILRA6,BCL10,BTLA,LILRB4,VTCN1,KLRC1,TEC,KLRC2,RAP1GAP2,ZNF683,TAP1,C17orf99,CD3G,CD8B,LAIR1,RAP1GAP,CD7,ARG2,ZAP70,CD160,CTSH,ERAP2,BTK,MCOLN2,LILRA3,GPR183,RNF19B,CD1E,P0DOX5,BTNL8,CD6,HLA-DRB4,IFNA8,CTLA4,LILRB1,BMX,CD46,IL2,TXK,P0DOX2,HMGB1,LAX1,CD79B,CD8B2,CLEC10A,CD86,TFEB,C1QBP,HLA-DPA1,TARM1,P0DOX4,HMHB1,CD81,HLA-DMA,CRTAM,SKAP1,PIK3CG,KLRK1,P0DOX3,FGL1,TFE3,IFNE,CD79A,TNFRSF17",ImmuneGO by Modules
"Activation, abT cell",Adaptive,Cellular,T cell,3,"CD247,CD3G",ImmuneGO by Modules
"Differentiation, abT cell",Adaptive,Cellular,T cell,6,"RPL22,BRAF,GLI3,ADA,ABL1,ZAP70",ImmuneGO by Modules
"Lineage commitment, abT cell",Adaptive,Cellular,T cell,1,RHOA,ImmuneGO by Modules
"Proliferation, abT cell",Adaptive,Cellular,T cell,2,"CLEC4G,PTPRC",ImmuneGO by Modules
Antibacterial humoral response,General,Humoral,Undefined,28,"HLA-E,TAC1,DEFA4,B2M,DEFB1,SEMG2,CAMP,DEFA1,H2BC10,DEFA3,BPI,RNASE3,RNASE4,WFDC13,CTSG,DEFA6,WFDC11,H2BC12L,RPL39,WFDC3,PI3,FAU,DEFA5,ADM,WFDC9,SPRR2A,WFDC10B,NCR3LG1",ImmuneGO by Modules
Antibacterial innate immune response,Innate,Innate,Undefined,1,TFEB,ImmuneGO by Modules
"Biosynthetic process, Antibacterial peptide",Innate,Innate,Undefined,1,LGALS4,ImmuneGO by Modules
ADCC,General,ADCC,Undefined,2,"FCGR3A,FCGR1A",ImmuneGO by Modules
Antifungal humoral response,General,Humoral,Antimicrobial,4,"FAM3A,TAC1,DEFA4,CAMP",ImmuneGO by Modules
Antifungal innate immune response,Innate,Antifungal,Undefined,6,"CX3CR1,CLEC6A,PLCG2,BCL10,DEFB119,DEFB106A",ImmuneGO by Modules
APP,Innate,APP,All,20,"HLA-DRB4,RAB27A,HLA-DRB3,HLA-DMA,HLA-DOB,CTSH,RELB,AP3B1,CTSS,HLA-DMB,HLA-DPA1,RAB4A,HLA-E,PSMB8,RAB5B,HLA-C,WDFY4,RAB3B,RAB10,RAB6A",ImmuneGO by Modules
"APP, MHC I, endogenous peptide",Innate,APP,All,5,"TAP2,TAP1,ERAP2,B2M,IDE",ImmuneGO by Modules
"APP, MHC I, endogenous peptide, TAP-dependent",Innate,APP,All,1,TAP2,ImmuneGO by Modules
"APP, MHC I, endogenous peptide, TAP-independent",Innate,APP,All,6,"HLA-E,RAET1L,RAET1G,HLA-C,HLA-G,HLA-F",ImmuneGO by Modules
"APP, MHC IB, endogenous peptide",Innate,APP,All,6,"HLA-C,HLA-F,RAET1G,HLA-G,RAET1L,HLA-E",ImmuneGO by Modules
"APP, MHC IB, endogenous peptide, TAP-dependent",Innate,APP,All,1,TAP2,ImmuneGO by Modules
"APP, Exogenous antigen",Innate,APP,APC,2,"PSME1,FCGR1A",ImmuneGO by Modules
"APP, MHC I, exogenous peptide",Innate,APP,All,4,"FCGR1A,FCER1G,IFI30,MFSD6",ImmuneGO by Modules
"APP, MHC IB, exogenous peptide",Innate,APP,All,2,"HLA-F,HLA-E",ImmuneGO by Modules
"APP, MHC II, exogenous peptide",Innate,APP,APC,13,"IFI30,HLA-DOB,DNM2,HLA-DMB,HLA-DPA1,CTSE,FCGR2B,CTSS,HLA-DMA,HLA-DRB3,FCER1G,HLA-DRB4,B2M",ImmuneGO by Modules
"APP, MHC IB, exogenous peptide, TAP-dependent",Innate,APP,All,2,"B2M,TAP2",ImmuneGO by Modules
"APP, Peptide antigen",Innate,APP,All,2,"SLC11A1,CTSS",ImmuneGO by Modules
"APP, MHC I, Peptide antigen",Innate,APP,All,7,"HLA-G,HLA-E,B2M,HLA-F,HLA-C,ACE,ERAP2",ImmuneGO by Modules
"APP, MHC II, polysacharide or peptide",Innate,APP,APC,6,"HLA-DRB3,HLA-DMB,HLA-DRB4,HLA-DMA,HLA-DOB,HLA-DPA1",ImmuneGO by Modules
"APP, MHC IB, Endogenous lipid antigen",Innate,APP,All,4,"CD1D,CD1B,CD1E,CD1C",ImmuneGO by Modules
"APP, MHC IB, Exogenous lipid antigen",Innate,APP,All,5,"CD1B,AP3B1,CD1E,CD1D,CD1C",ImmuneGO by Modules
"Signaling, Antigen receptor, Pathway",General,Undefined,Undefined,3,"CD19,BCAR1,LAX1",ImmuneGO by Modules
"Antigen transcytosis, M cells, Mucosa, Lymphoid tissue",Innate,M cells,M cells,1,GP2,ImmuneGO by Modules
Antimicrobial peptide-mediated immune response,General,Humoral,Antimicrobial,55,"CXCL14,CXCL12,CAMP,DEFA1,FAU,CCL20,DEFB130A,TOR2A,CXCL1,DEFA3,DEFB131A,REG1B,H2BC10,ROMO1,TAC1,NTS,CXCL2,HAMP,S100A12,DEFA4,CXCL8,CXCL9,REG3A,GNLY,RNASE3,RPS19,BPI,REG3G,RPL30,DEFB1,LGALS3,PF4V1,H2BC12L,SPAG11A,CCL1,HTN1,DEFB103A,DEFA5,DEFA6,B2M,SPAG11B,CXCL6,CXCL3,NPPB,CXCL5,XCL1,CCL8,RPL39,HTN3,S100A7,DCD,F2,FAM3A,ADM,CCL18",ImmuneGO by Modules
Antimicrobial humoral response,General,Humoral,Antimicrobial,9,"PRTN3,BCL3,DEFA4,LYZ,CST9LP1,CST9,SLC11A1,PRSS3,AZU1",ImmuneGO by Modules
Antiviral innate immune response,Innate,Antiviral,Undefined,17,"RNF135,PHB1,TRIM65,UBE2N,MAVS,NMB,RIGI,NMBR,IFIT1,EIF2AK2,STING1,MBL2,NCK1,IFIT2,NLRP6,MX1,PDE12",ImmuneGO by Modules
"Activation, Astrocyte",Innate,Innate,Astrocyte,3,"PSEN1,LRP1,GRN",ImmuneGO by Modules
"Activation, B cell",Adaptive,Humoral,B cell,25,"TICAM1,BANK1,CXCR5,TBC1D10C,CD79A,CHRNA4,CD40,GAPT,PHB1,CHRNA7,MS4A1,LAX1,RASGRP1,HSPD1,BTK,ZAP70,CD86,CD22,CHRNB2,TXLNA,BST2,AKAP17A,EPHB2,HDAC4",ImmuneGO by Modules
"Activation, Immune response, B cell",Adaptive,Humoral,B cell,1,GPR183,ImmuneGO by Modules
"Affinity maturation, B cell",Adaptive,Humoral,B cell,1,BTK,ImmuneGO by Modules
"Chemotaxis, B cell",Adaptive,Humoral,B cell,1,CH25H,ImmuneGO by Modules
"Differentiation, B cell",Adaptive,Humoral,B cell,47,"PLCG2,PTPRC,PAX5,TOP2B,IFNA8,PIK3R1,RAG1,MSH2,RAG2,IL2RG,ADGRG3,FZD9,MS4A1,EP300,PTPRJ,YY1,STAT5B,PTPN2,LYL1,SYK,CEBPG,JAK3,CD79B,CD79A,CR2,BCL6,KIT,SP3,ZBTB7A,NFAM1,ITGA4,CD40LG,IL10,IL11,BCL2,HDAC4,TPD52,TCF3,RBPJ,FOSL2,IFNE,HHEX,FLT3,VCAM1,ADAM17,IL9,CDH17",ImmuneGO by Modules
"Homeostasis, B cell",Adaptive,Humoral,B cell,12,"SPNS2,BAX,BCL2,GAPT,CAMLG,MEF2C,IL7R,RC3H1,SOS2,SOS1,NCKAP1L,CASP3",ImmuneGO by Modules
"Homeostatic proliferation, B cell",Adaptive,Humoral,B cell,2,"BAX,RAG2",ImmuneGO by Modules
"Lineage commitment, B cell",Adaptive,Humoral,B cell,4,"TCF3,BCL2,RAG2,PRKDC",ImmuneGO by Modules
"Immunity, B cell",Adaptive,Humoral,B cell,4,"CD40,MSH2,CD70,CD19",ImmuneGO by Modules
"Negative selection, B cell",Adaptive,Humoral,B cell,1,BAX,ImmuneGO by Modules
"Proliferation, B cell",Adaptive,Humoral,B cell,26,"TICAM1,BCL2,MEF2C,CD70,TLR4,IL9,CD40,BCL6,RASGRP1,PTPRC,MS4A1,CD79A,HSPD1,CD40LG,IFNA8,IL10,ABL1,IL7,CR2,PRKCD,CTPS1,IL7R,CD38,IFNE,FOSL2,WNT3A",ImmuneGO by Modules
"Proliferation, Immune response, B cell",Adaptive,Humoral,B cell,4,"ABL1,CD19,TLR4,GAPT",ImmuneGO by Modules
"Apoptotic signaling, BCR, B cell",Adaptive,Humoral,B cell,1,BAX,ImmuneGO by Modules
"Signaling, BCR, B cell",Adaptive,Humoral,B cell,31,"CD79A,BTK,ABL1,BCAR1,BCL2,CTLA4,CD79B,SYK,GRB2,CD19,MEF2C,MNDA,PLCG2,PTPRC,NCKAP1L,SOS1,ITK,MAPK1,BMX,NFKBIA,PTPN6,MS4A1,TEC,CD38,NFAM1,NFKB1,BANK1",ImmuneGO by Modules
"Differentiation, B-1 B cell",Adaptive,Humoral,B cell,1,CD19,ImmuneGO by Modules
"Homeostasis, B-1 B cell",Adaptive,Humoral,B cell,2,"TNFAIP3,ABL1",ImmuneGO by Modules
"Chemotaxis, Basophil",Innate,Innate,Basophil,1,VEGFA,ImmuneGO by Modules
"Homeostasis, Basophil",Innate,Innate,Basophil,1,MPL,ImmuneGO by Modules
"Selection, Beta",Adaptive,Cellular,T cell,3,"ZAP70,SYK,RHOA",ImmuneGO by Modules
"Biosynthesis, Antibacterial peptides against Gram-",Undefined,Undefined,Undefined,1,ELANE,ImmuneGO by Modules
"Development, Bone marrow",Adaptive,Organ,Bone marrow,5,"LRRC17,ASXL1,LIPA,HOXB4,PTPRC",ImmuneGO by Modules
"Lineage commitment, CD4+ OR CD8+, abT cell",Adaptive,Cellular,T cell,1,BRAF,ImmuneGO by Modules
"Activation, CD4+, abT cell",Adaptive,Cellular,T cell,1,CDH26,ImmuneGO by Modules
"Costimulation, CD4+, abT cell",Adaptive,Cellular,T cell,1,CD81,ImmuneGO by Modules
"Differentiation, CD4+ T cell",Adaptive,Cellular,T cell,2,"CD83,BRAF",ImmuneGO by Modules
"Lineage commitment, CD4+, abT cell",Adaptive,Cellular,T cell,1,TOX,ImmuneGO by Modules
"Proliferation, CD4+, abT cell",Adaptive,Cellular,T cell,2,"PRKCQ,CD28",ImmuneGO by Modules
