id,immune_system,immune_subsystem,cells,module_title,composite_name,module_size_4,module_category,annotation_level,web_link,module_member_genes,top_matched_pathway_in_kegg_pid_and_biocarta,jaccard_index_10,enrichment_p_value_11,pathway_size,overlap_size_13,top_matched_chaussabel_module,jaccard_index_15,enrichment_p_value_16,module_size_17,overlap_size_18,top_matched_transcription_factor,jaccard_index_20,enrichment_p_value_21,gene_set_size,overlap_size_23,top_matched_gene_ontology_terms_number_of_matched_genes
S8,Adaptive,Humoral,B cell,Naive B cell surface signature,Naive B cell surface signature (S8),54,immune,complete,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/S8.htm,"LGR4,KCNE4,TSPAN13,UGT2A3,CD37,TRHR,CNTNAP3,PPAPDC1B,CCR6,CD200,GABBR1,EDNRB,GHSR,CLCA4,CNR1,CD72,P2RY14,BTLA,HRH4,PCDHB4,SLC38A11,C4orf34,PCDHB16,CXCR4,TMEM56,GRM5,PCDH20,CDH5,KCNJ16,JAM2,ITGB6,CHRNB4,PCDHB14,SLC24A1,SLC26A3,HTR1E,MUC15,OR1G1,IL13RA2,KCNMB3,FCRL3,IMPG2,GPR6,HHLA2,TAS2R7,HVCN1,NRXN3,FAM26F,HLA-DOA,BTC,SELE,GABRE,GPR116,HLA-DMA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"integral to membrane (48), plasma membrane (38), protein binding (29)"
S9,Adaptive,Humoral,B cell,Memory B cell surface signature,Memory B cell surface signature (S9),37,immune,complete,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/S9.htm,"SSPN,CD52,CLDN17,SORCS3,EPHA3,OR11A1,TNFRSF17,CSMD1,NOX4,CHL1,CCR9,NCAM2,LINGO1,TACR3,JAM3,NKAIN4,CADM2,PCDHA3,TRHDE,NLGN1,FCGR2B,NLGN4Y,TAS2R10,ASTN1,GRAMD1C,GYPA,TNFRSF13B,CXADR,ADAM2,PTPRR,NPY1R,GJC1,ITM2C,FREM2,ABCA8,SCN1A,GLP2R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"integral to membrane (28), plasma membrane (27), protein binding (19)"
M112.0,Complement,Complement,Complement,complement activation (I),complement activation (I) (M112.0),17,immune,complete,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M112.0.htm,"CR1,CFH,CFI,SERPING1,C3AR1,CFD,C1QC,C1QB,C1QA,C3,CFB,C5AR1,C2,C1S,C1R,C7,A2M",KEGG_COMPLEMENT_AND_COAGULATION_CASCADES,0.25,2.73e-44,69,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"extracellular region (14), innate immune response (13), protein binding (12)"
M112.1,Complement,Complement,Complement,complement activation (II),complement activation (II) (M112.1),10,immune,complete,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M112.1.htm,"CFH,CFI,PROS1,CFB,C3,IL33,CLU,C1S,C1R,C7",KEGG_COMPLEMENT_AND_COAGULATION_CASCADES,0.11,2.55e-19,69,8,NA,NA,NA,NA,NA,STAT5B_01,0.02,7.290000000000001e-5,192,3,"extracellular region (10), protein binding (9), innate immune response (7)"
M37.0,General,General,Generic,immune activation - generic cluster,immune activation - generic cluster (M37.0),347,immune,complete,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M37.0.htm,"ELANE,SAMD13,CAMK4,GPR109B,BANK1,DYSF,MACROD2,MS4A4A,PRRG4,ORM1,C19orf59,ERI2,LAT,PPIL4,CSRP2,MAL,CD1B,RASGRP4,MGST1,PRG2,VPREB1,VPREB3,ENG,GRAP2,NCAPD2,NCAPD3,BLM,TCN1,SLC22A4,ANPEP,SIRPB1,CD19,RETN,MBOAT2,CLEC5A,PLA2G7,CIITA,PTX3,SMC4,P2RY13,S100A8,RNF150,KIAA0513,C10orf10,MANSC1,LTF,PRAM1,SLC27A2,ACPP,F5,HMGB2,CHAF1A,CHAF1B,HLA-DRA,SULF2,CDK14,CXCR2,KLF5,DEFA4,DEFA1,JAG1,FPR2,SLC24A4,CTSG,TCL1A,C3AR1,NUP37,CA4,OGN,CMTM2,LILRA5,LILRA3,LIN7A,HNRPLL,DKFZp451A211,MARCH1,CHI3L2,CHI3L1,CYP4F2,CYP4F3,B3GNT5,ORC6L,ROPN1L,CRISPLD2,CENPL,CRISP3,BARD1,FAM69B,CCDC150,RBBP8,LY96,ACCN2,GH1,AZU1,DBF4,CD300C,LOC90925,EMR1,VANGL1,ARHGEF10L,OSCAR,MGAM,CCNE1,CEACAM1,CEACAM6,TACSTD2,BMX,PLXDC2,G0S2,JAM3,VNN2,VNN1,IGFBP7,BLVRB,GALNT6,STK32B,C15orf23,MEF2C,DTYMK,GPR97,BTK,CD72,CXorf50B,RFC2,PRKAR2B,TREM1,MCTP1,GAS2L1,NLRP3,ADAP2,RANBP1,FGD4,ACPL2,LOC81691,CLC,GXYLT2,UNG,GAB1,TM6SF1,FAM43A,LOC284757,SLC22A15,BASP1,PTK2,SVIL,LCN2,BPI,MSH2,MEGF9,F13A1,VSTM1,IQGAP3,ARAP3,RAD54B,C13orf34,RGL1,CAMP,RGL4,LOC100130458,ST3GAL6,FCGR2C,MGC5566,PADI2,EBF1,DHCR24,CLEC4D,PFKFB4,ZNF467,TUBG1,MOSC1,MMP8,MMP9,SAC3D1,FKBP14,PTGS2,AMICA1,LOC643332,CLEC14A,TXNDC3,FAM46A,PSD3,INHBA,PRTN3,FCAR,BRCA2,HAL,LRRC4,CREB5,AQP9,TMEM176A,TMEM176B,CTSS,CXCL1,PSRC1,SMPDL3A,ADCY9,RUNX2,BST1,PID1,CD3E,CD3G,CSF2RB,MARCH3,DOCK5,LARGE,TSHR,ICOSLG,QPCT,JUP,NFE2,PAX5,CORO2A,CR1,PROK2,PEX5L,PRTFDC1,LOC100289612,SH2D1A,CD177,CD7,CD2,OLFM4,CCR9,CD9,SLC8A1,GPR84,KIF16B,ABCA13,LGALS3,BCL11B,RAD51C,SLPI,LRP1,CDA,SGK1,STX11,HLA-DOA,AGPAT9,CYFIP1,CDKN2C,FCGR3A,S100P,FCGR3B,FOXO1,NLRC4,ALDH1A1,MLLT4,CHIT1,SLCO4C1,LOC728606,LPCAT2,HK3,ITGAM,ANXA3,ANXA5,NRGN,MCM7,MCM3,IL18RAP,UPP1,SAMHD1,CEBPE,OLR1,IMPA2,KCNK5,CKAP2,BCL6,KCNE3,LAT2,PKMYT1,FBP1,MS4A7,MS4A3,GSN,VSIG10,NDST3,LYZ,NAV1,LYN,MYB,PYGL,RNASE3,RNASE2,ENTPD1,RNASE6,CD22,TSPAN2,RBP7,CACNA2D3,ACSL1,TLR1,TLR7,ATP8B4,SLC19A2,GGTA1,CLEC12A,HP,GPBAR1,IL1R2,FLJ10357,BEX1,LRRK2,SCD,PCBP3,SERPINB10,TLR5,RHOU,SLC26A8,ARG1,TNFAIP6,ELOVL4,FAM105A,FAM150B,NCF4,GAS2L3,GNAI1,LGALS12,SLA2,C11orf75,DUSP6,FAM49A,EMILIN2,CTGF,CSE1L,STEAP4,MYCL1,TFF3,APOB48R,UBASH3A,RAB32,ESCO2,TRAT1,DOK3,IL1R1,NACC2,LRP12,PDGFC,KCNJ15,DACH1,LRG1,ACTN1,SLC40A1,SIGLEC9,SIGLEC5,FOLR3,ZNF608,MYO7B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein binding (183), plasma membrane (99), integral to membrane (99)"
M27.0,General,Signaling,Generic,chemokine cluster (I),chemokine cluster (I) (M27.0),26,immune,complete,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M27.0.htm,"CCL2,CCL1,CCL7,CCL4,CCL5,CCL8,PF4,XCL1,PPBP,CCL20,CCL23,IFNG,CXCL2,CXCL11,CXCL10,CXCL13,CXCL12,CXCL1,CXCL3,CCL13,CXCL5,CXCL6,CCL18,CCL19,CXCL9,IL8",KEGG_CHEMOKINE_SIGNALING_PATHWAY,0.13,1.01e-51,190,25,NA,NA,NA,NA,NA,NFKAPPAB_01,0.03,1.99e-9,194,7,"immune response (26), extracellular space (26), extracellular region (26)"
M27.1,General,Signaling,Generic,chemokine cluster (II),chemokine cluster (II) (M27.1),15,immune,complete,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M27.1.htm,"ANXA1,CCL2,CXCL5,CCL7,CCL4,CCL5,CXCL9,CXCL6,CCR1,XCL1,CCR5,CXCL10,CXCL11,CCL20,CXCL13",KEGG_CHEMOKINE_SIGNALING_PATHWAY,0.07,1.03e-28,190,14,NA,NA,NA,NA,NA,NFKAPPAB_01,0.03,1.92e-9,194,6,"immune response (14), chemotaxis (14), extracellular space (13)"
M38,General,Signaling,Generic,chemokines and receptors,chemokines and receptors (M38),11,immune,complete,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M38.htm,"CCL2,CCL4,CCL5,DOCK2,TNF,CXCR6,ICAM1,CXCR4,HCK,IL8,CCR5",KEGG_CHEMOKINE_SIGNALING_PATHWAY,0.05,1.1000000000000002e-17,190,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein binding (8), inflammatory response (7), immune response (6)"
M115,General,Signaling,Generic,cytokines - recepters cluster,cytokines - recepters cluster (M115),11,immune,complete,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M115.htm,"IL7R,IL2RA,LIF,IL23A,IFNG,IL15,CSF2,CSF3,IL6,IL10,IL15RA",KEGG_JAK_STAT_SIGNALING_PATHWAY,0.07,1.3299999999999999e-24,155,11,NA,NA,NA,NA,NA,AML_Q6,0.02,1.92e-6,198,4,"immune response (10), extracellular region (10), extracellular space (8)"
M5.0,Innate,APP,All,regulation of antigen presentation and immune response,regulation of antigen presentation and immune response (M5.0),81,immune,complete,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M5.0.htm,"NCKAP1L,THEMIS,HLA-DPB1,JUN,NFKBIA,PTPN6,TLR5,HLA-DRA,CD4,PRKCQ,PLCG1,CD247,TRBC1,FCGR1B,CCR7,TLR6,TLR10,FYB,TLR2,FCER1G,TRAT1,LILRB2,LILRB1,CLEC7A,BTLA,FYN,FGR,CD86,GRAP2,HLA-DQB1,ZAP70,PAG1,MNDA,IRAK3,LCK,DUSP6,PTPN22,PAK1,CTSH,CTLA4,LCP2,TLR4,CSK,FOS,LAT2,CARD11,HLA-DRB1,CHUK,CD24,UBASH3A,MAP2K6,TLR7,LY96,HCK,VASP,LYN,LIME1,MAPK14,MYD88,INPP5D,ITK,TRAC,SLA2,KLRK1,HLA-DMB,RPS6KA1,HLA-DQA1,MEF2C,SYK,MEF2A,TLR1,PTPRC,HLA-DOA,HLA-DOB,HLA-DMA,HLA-DPA1,CD19,CD3D,CD3E,BTK,CD3G",KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,0.14,3.9e-35,108,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein binding (72), plasma membrane (57), T cell receptor signaling pathway (36)"
M28,Innate,APP,All,antigen presentation (lipids and proteins),antigen presentation (lipids and proteins) (M28),11,immune,complete,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M28.htm,"CD1D,CD1E,CD1B,CD1C,CD1A,HLA-DRB1,HLA-DRA,CD36,HLA-DRB4,CCR7,CD8A",KEGG_HEMATOPOIETIC_CELL_LINEAGE,0.11,6.15e-24,88,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"plasma membrane (10), protein binding (9), immune response (9)"
M71,Innate,APP,All,enriched in antigen presentation (I),enriched in antigen presentation (I) (M71),18,immune,partial,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M71.htm,"CD74,HLA-DPB1,HLA-DRA,CYP1B1,PLAUR,PTGS2,HMOX1,HLA-DRB1,ASPH,RTN1,HLA-DRB4,HLA-DQB1,FAR2,HLA-DPA1,ITPR3,HLA-DQA1,AGPAT9,SLC27A2",KEGG_ASTHMA,0.17,1.21e-16,30,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"endoplasmic reticulum membrane (18), endoplasmic reticulum (17), membrane (16)"
M95.0,Innate,APP,All,enriched in antigen presentation (II),enriched in antigen presentation (II) (M95.0),24,immune,complete,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M95.0.htm,"CD53,IL10RA,ITGA4,FYB,HLA-DRA,HLA-DRB1 /// HLA-DRB4,HLA-DRB1 /// HLA-DRB4 /// HLA-DRB5,HLA-DRB1 /// HLA-DRB3 /// HLA-DRB4,HCLS1,PTPRC,HLA-DPB1,ITGB2,HLA-DRB1,GIMAP6,EVI2B,PLEK,SLA,SELL,IRF8,FGL2,ITGAL,ITGAM,AIF1,HLA-DMA",KEGG_CELL_ADHESION_MOLECULES_CAMS,0.07,8.27e-17,134,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein binding (17), plasma membrane (14), integral to membrane (10)"
M95.1,Innate,APP,All,enriched in antigen presentation (III),enriched in antigen presentation (III) (M95.1),15,immune,complete,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M95.1.htm,"FYB,CD53,HLA-DRA,ITGB2,ICAM1,PLEK,HLA-DRB1,LAPTM5,HLA-DRB1 /// HLA-DRB4 /// HLA-DRB5,PTPRC,HLA-DRB1 /// HLA-DRB3 /// HLA-DRB4,EVI2B,HLA-DMB,AIF1,HLA-DMA",BIOCARTA_BLYMPHOCYTE_PATHWAY,0.24,3.07e-14,11,5,[Chaussabel.v2]M5.1,0.02,1.6000000000000003e-5,238,4,NA,NA,NA,NA,NA,"protein binding (10), plasma membrane (9), integral to membrane (7)"
M146,Innate,APP,All,MHC-TLR7-TLR8 cluster,MHC-TLR7-TLR8 cluster (M146),17,immune,complete,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M146.htm,"CD74,HLA-DPB1,HLA-DRA,HLA-C,HLA-B,HLA-A,HLA-DRB1,HLA-G,HLA-F,HLA-DRB4,CD4,HLA-DQB1,HLA-E,HLA-DPA1,TLR8,HLA-DQA1,TLR7",KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,0.16,4.28e-35,89,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein binding (17), plasma membrane (16), membrane (15)"
M200,Innate,APP,All,antigen processing and presentation,antigen processing and presentation (M200),11,immune,complete,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M200.htm,"HLA-DPB1,CD1D,LOC100294224,WDFY4,LOC100294318,HLA-DPA1,LOC100294317,HLA-DMB,METTL7A,HLA-DQA2,HLA-DMA",KEGG_ASTHMA,0.14,1.4499999999999999e-12,30,5,[Chaussabel.v2]M8.83,0.16,1.49e-8,11,3,NA,NA,NA,NA,NA,"protein binding (7), membrane (7), plasma membrane (6)"
M40,Innate,DCs,DCs,complement and other receptors in DCs,complement and other receptors in DCs (M40),13,immune,complete,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M40.htm,"ITGAX,SIRPA,OLR1,TYROBP,CD58,C1QC,C1QB,C1QA,CD86,HLA-DQB1,LY96,TLR8,HLA-DQA1",KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS,0.04,9.31e-11,140,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein binding (12), plasma membrane (9), membrane (5)"
M43.0,Innate,Cells,DCs,"myeloid, dendritic cell activation via NFkB (I)","myeloid, dendritic cell activation via NFkB (I) (M43.0)",15,immune,complete,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M43.0.htm,"MAP3K8,IL23A,CCL5,CD83,NFKBID,FUT7,CTGF,TNF,VCAM1,ICAM1,SAMSN1,RELB,NFKB2,EBI3,BCL3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NFKAPPAB_01,0.07,1.3900000000000002e-28,194,14,"protein binding (13), plasma membrane (6), extracellular space (6)"
M43.1,Innate,Cells,DCs,"myeloid, dendritic cell activation via NFkB (II)","myeloid, dendritic cell activation via NFkB (II) (M43.1)",14,immune,complete,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M43.1.htm,"IL1RN,IL23A,CCL5,NFKBIA,BIRC3,PRKCD,FUT7,LTB,TNIP3,ICAM1,RELB,NFKB2,EBI3,BCL3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NFKB_Q6_01,0.08,2.27e-30,176,14,"protein binding (11), nucleus (7), cytoplasm (7)"
M50,Innate,Cells,DCs,CD1 and other DC receptors,CD1 and other DC receptors (M50),10,immune,complete,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M50.htm,"CD1E,CD1B,CD1C,CD1A,CSF1R,IL1R2,CSF2RA,ANPEP,CD9,IL1R1",KEGG_HEMATOPOIETIC_CELL_LINEAGE,0.11,5.610000000000001e-25,88,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein binding (9), plasma membrane (9), integral to plasma membrane (8)"
M67,Innate,Cells,DCs,activated dendritic cells,activated dendritic cells (M67),12,immune,partial,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M67.htm,"CD38,DDX58,IRF7,PLSCR1,BIRC3,C1QC,IFIH1,SERPING1,DDX60,C2,IGKC,RSAD2",KEGG_COMPLEMENT_AND_COAGULATION_CASCADES,0.04,6.179999999999999e-6,69,3,[Chaussabel.v2]M3.4,0.07,1.4100000000000002e-8,53,4,NA,NA,NA,NA,NA,"protein binding (9), innate immune response (7), nucleus (4)"
M119,Innate,Cells,DCs,enriched in activated dendritic cells (I),enriched in activated dendritic cells (I) (M119),11,immune,partial,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M119.htm,"IL1RN,CXCL2,RGL1,CD83,PRKCD,CD86,RIN2,SLAMF8,IL4I1,ATP1B1,PLXDC2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NFKB_Q6,0.05,2.52e-23,201,11,"protein binding (8), plasma membrane (5), signal transduction (4)"
M165,Innate,Cells,DCs,enriched in activated dendritic cells (II),enriched in activated dendritic cells (II) (M165),35,immune,complete,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M165.htm,"CSF2RB,IFIH1,CSF2RA,TNFAIP6,HESX1,CCL8,MX2,DOCK4,PDGFRL,MGST1,IFNGR2,IFIT3,IFIT2,IFIT1,HLX,SERPING1,RSAD2,CCL20,ST3GAL6,RBM47,IFI27,DAPK1,PRRG4,PDGFC,PARP9,LAMP3,CXCL11,DSE,IL18,BCL2A1,FAM20C,PRKAR2B,HERC5,SIGLEC1,ATF3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein binding (21), extracellular region (11), cytoplasm (10)"
M168,Innate,Cells,DCs,enriched in dendritic cells,enriched in dendritic cells (M168),19,immune,complete,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M168.htm,"CLEC10A,B3GNT5,PGD,JAG1,FCER1A,EMILIN2,CLEC5A,CA2,CTSB,FAM20C,ADAM9,RRAGD,TACSTD2,CTSL1,IL1R1,GGTA1,DAB2,CAPG,AGPAT9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein binding (11), membrane (8), cytoplasm (7)"
S5,Innate,Cells,DCs,DC surface signature,DC surface signature (S5),82,immune,complete,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/S5.htm,"CSF2RB,TM2D2,CD1E,CD1B,PPAP2B,SLC7A8,CD1A,KMO,CD58,LRFN4,CCRL2,SIGLEC1,CD151,ADAM12,TM7SF4,SLC36A1,PDCD1LG2,PSEN2,GPR137B,C19orf28,TMEM158,PTGFRN,IL1R1,SLC6A6,SPINT2,LRP11,FZD5,TSPAN33,DIRC2,ALCAM,CD83,GJB2,GPNMB,ABHD12,CD9,EMP1,TFRC,HLA-DQB1,LHFPL2,TACSTD2,COLEC12,JAG1,SUCNR1,TMEM51,TGFA,SLC38A6,ITPRIPL2,CALCRL,CLDN23,ATP1B2,GRINA,FPR3,RAMP1,ATP1B1,TREM2,SRD5A3,SLC41A2,FAM70A,LAMP2,ABCC3,DENND1B,P2RY6,NRP1,NRP2,CXCL16,PRRG4,CRIM1,GPR157,OLR1,CD274,SDC2,SLCO2B1,SLC7A11,ADAM9,ABCA6,MSR1,ACE,AGPAT3,SLAMF8,SLC1A3,HLA-DQA1,TNFRSF11A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"integral to membrane (68), plasma membrane (53), membrane (52)"
S10,Innate,Cells,DCs,Resting dendritic cell surface signature,Resting dendritic cell surface signature (S10),75,immune,complete,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/S10.htm,"CLEC10A,CD1E,CD1B,CD1C,SLC7A8,CD1A,SERINC5,IGSF6,TREM2,TSPAN15,CCRL2,CD151,ADAM12,TM7SF4,SLC36A1,LRFN4,GPR137B,STAB1,CD86,IL1R2,IL1R1,IFNGR1,FZD1,FCER1A,FZD5,DIRC2,PSEN2,CSF1R,GPNMB,ABHD12,PTGFRN,KMO,EMP1,HLA-DQB1,LHFPL2,SLC1A3,CCDC90A,LPCAT2,JAG1,PLXDC2,SUCNR1,TMEM51,SFXN3,SPINT2,SLC38A6,ITPRIPL2,ENG,MFSD1,TTYH3,SRD5A3,TACSTD2,TMEM144,FAM70A,ABCC3,PLXND1,DENND1B,ATP1B1,P2RY6,NRP1,SLC27A3,SLCO2B1,ITGAX,SLC26A11,CRIM1,CLDN23,PLD3,SLC7A11,CD9,ADAM9,ABCA6,ACE,SLAMF8,HLA-DMA,AGPAT9,CH25H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"integral to membrane (64), membrane (52), plasma membrane (42)"
S11,Innate,Cells,DCs,Activated (LPS) dendritic cell surface signature,Activated (LPS) dendritic cell surface signature (S11),37,immune,complete,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/S11.htm,"CSF2RB,ANTXR2,IFI27,SLC31A2,TNFSF13B,TGFA,LY75,CD80,CD58,TMCC3,SLCO5A1,F11R,TTYH2,ITGB8,RNF144B,SGPP2,CALCRL,NINJ1,CD40,IL3RA,LAMP2,TMEM140,PDCD1LG2,KITLG,SLC43A2,NRP2,PRRG4,IL13RA1,SLC41A2,GPR157,IFI6,CD274,LRRC32,ELOVL7,COLEC12,EREG,SIGLEC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"integral to membrane (32), plasma membrane (24), protein binding (23)"
M150,Innate,General,Generic,innate antiviral response,innate antiviral response (M150),12,immune,complete,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M150.htm,"TAP1,IRF7,PLSCR1,EIF2AK2,APOBEC3A,OASL,RXRA,OAS1,OAS3,RSAD2,IFIT1,SP100",NA,NA,NA,NA,NA,[Chaussabel.v2]M1.2,0.15,1.41e-12,27,5,NA,NA,NA,NA,NA,"protein binding (8), type I interferon-mediated signaling pathway (6), cytokine-mediated signaling pathway (6)"
M33,Innate,Inflammation,Inflammation,inflammatory response,inflammatory response (M33),11,immune,partial,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M33.htm,"TBC1D8,TNFSF13,FCER1G,STAB1,TYROBP,GPX1,CARD9,ARRB2,TLR4,APOB48R,AIF1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ELF1_Q6,0.06,8.22e-24,182,11,"protein binding (8), plasma membrane (5), cytoplasm (5)"
M53,Innate,Inflammation,Inflammation,inflammasome receptors and signaling,inflammasome receptors and signaling (M53),12,immune,complete,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M53.htm,"NLRP3,NFKBIA,BIRC3,BIRC2,TNFAIP3,RXRA,CARD9,RIPK2,TLR4,NOD2,NLRC4,PAK1",KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.14,1.22e-21,62,9,[Chaussabel.v2]M6.13,0.05,2.05e-6,48,3,NA,NA,NA,NA,NA,"protein binding (12), cytoplasm (11), regulation of apoptosis (6)"
M86.1,Innate,Inflammation,"DCs, Myeloid","proinflammatory dendritic cell, myeloid cell response","proinflammatory dendritic cell, myeloid cell response (M86.1)",13,immune,complete,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M86.1.htm,"ADORA2A /// CYTSA,STAT4,CCL4,TNFAIP6,IFNG,CD80,GCH1,SERPINB9,TNF,HS3ST3B1,CCL20,IL1B,PDE4B",[PID]IL27-mediated signaling events,0.15,2.15e-10,18,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"signal transduction (7), protein binding (7), immune response (6)"
M75,Innate,Signaling,Interferon,antiviral IFN signature,antiviral IFN signature (M75),22,immune,complete,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M75.htm,"IFIH1,ELANE,SERPING1,IL1B,RSAD2,IFIT1,RARA,DDX58,FCER1A,DHX58,PTX3,CARD9,OAS1,OAS3,PML,ANXA3,HERC5,DDX60,CXCL10,IRF7,C1QB,BCL3",NA,NA,NA,NA,NA,[Chaussabel.v2]M1.2,0.17,2.83e-16,27,7,NA,NA,NA,NA,NA,"protein binding (15), cytoplasm (13), innate immune response (7)"
M127,Innate,Signaling,Interferon,type I interferon response,type I interferon response (M127),12,immune,complete,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M127.htm,"TAP1,IFIH1,IRF7,PARP9,STAT1,PLSCR1,IFITM1,HERC5,DDX60,USP18,RSAD2,IFIT1",NA,NA,NA,NA,NA,[Chaussabel.v2]M3.4,0.1,1.26e-13,53,6,NA,NA,NA,NA,NA,"protein binding (9), cytosol (7), response to virus (6)"
M158.0,Innate,Signaling,Interferon,interferon alpha response (I),interferon alpha response (I) (M158.0),16,immune,partial,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M158.0.htm,"LHCGR,COL8A1,IMPG2,ITGB4,MMP12,TNR,IFNA7,IFNA4,SFN,LAMC2,ST14,ADAMTS20,FGF5,IFNA10,IFNA16,IFNA14",KEGG_REGULATION_OF_AUTOPHAGY,0.11,3.1099999999999995e-11,35,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"extracellular region (12), extracellular space (11), protein binding (7)"
M158.1,Innate,Signaling,Interferon,interferon alpha response (II),interferon alpha response (II) (M158.1),13,immune,complete,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M158.1.htm,"LHCGR,FAM123A,IFNA8,IFNA2,IFNA7,IFNA5,IFNA4,IFNA21,PRL,ADAMTS20,IFNA10,IFNA16,IFNA14",KEGG_REGULATION_OF_AUTOPHAGY,0.23,1.39e-23,35,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"extracellular space (11), extracellular region (11), type I interferon-mediated signaling pathway (9)"
M4.15,Innate,Cells,Monocyte,enriched in monocytes (I),enriched in monocytes (I) (M4.15),11,immune,partial,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M4.15.htm,"TNFSF13,MYCL1,EPB41L3,DPYSL2,RTN1,SLC31A2,FES,LGALS3,HCK,APLP2,LGALS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GTGGGTGK_UNKNOWN,0.01,1.59e-4,225,3,"protein binding (9), cytoplasm (5), signal transduction (4)"
