"process","genes","go_term","immune_system","immune_sub_system","gene_set_short","immune_tissue","set_size"
"EOSINOPHIL CHEMOTAXIS","SCG2,CCL5,CCL4,CCL18,CCL3,LGALS3,CCL23,CCL1,CCL8,CCL4L1,CCL2,CCL7,CX3CL1,CCL3L1,XCL1,CCL24,HRH1,CCL11,CCL13,CCL14,CCL15,CCL16,CCL22,CCL25,XCL2,CCL26,CCL3L3",NA,NA,NA,NA,NA,NA
"EOSINOPHIL DEGRANULATION","VAMP2,VAMP7,CCL3,FCER1A","GO:0043308","Innate","Eosinophil","Degranulation, Eosinophil","Eosinophil",4
"EOSINOPHIL HOMEOSTASIS","BTK,MPL,TRAF3IP2","GO:1990959","Innate","Eosinophil","Homeostasis, Eosinophil","Eosinophil",2
"EOSINOPHIL HOMEOSTASIS","BTK,MPL,TRAF3IP2",NA,NA,NA,NA,NA,NA
"EOSINOPHIL MEDIATED IMMUNITY","TRAF3IP2",NA,NA,NA,NA,NA,NA
"EOSINOPHIL MIGRATION","EPX","GO:0072677","Innate","Eosinophil","Migration, Eosinophil","Eosinophil",1
"ERYTHROCYTE DEVELOPMENT","ALAS1,ALAS2,BCL6,BPGM,DMTN,GATA1,NCKAP1L,SLC11A2,MED1,ARID4A,RHAG,RPS6,SLC4A1,SRF,SH2B3,CITED2,JMJD6,ABCB10,TMOD3,LYAR,SLC25A40,ADGRF5",NA,NA,NA,NA,NA,NA
"ERYTHROCYTE DIFFERENTIATION","ADAR,ALAS2,SLC25A5,BMP4,CASP3,EPAS1,EPO,ETV2,FECH,GATA1,GATA3,HCLS1,HSPA9,INHA,INHBA,JAK2,KCNQ1,KIT,LYN,SMAD5,MYB,PKNOX1,PTPN2,RPS14,RPS19,SPI1,STAT5B,TAL1,THRA,DYRK3,CFLAR,MFHAS1,TRIM10,IKZF1,KLF1,ACIN1,RCOR1,UFL1,FLVCR1,HIPK2,RACGAP1,AHSP,TMEM14C,NCAPG2,SLC25A38,KMT2E,UBA5,MPIG6B,CDIN1,ATP5IF1,SFXN1,ZFPM1",NA,NA,NA,NA,NA,NA
"ERYTHROCYTE HOMEOSTASIS","AXL,GPI,NCKAP1L,HMOX1,HOXB6,IREB2,PRDX1,RPS17,RPS24,SCNN1B",NA,NA,NA,NA,NA,NA
"ERYTHROCYTE MATURATION","EPB42,EPO,ERCC2,G6PD,TAL1,BAP1,PLA2G10,PTBP3,MAEA,KLF2,BRD1,FLVCR1,ZBTB7A,L3MBTL3,FAM210B,RHEX",NA,NA,NA,NA,NA,NA
"ESTABLISHMENT OF NATURAL KILLER CELL POLARITY","SNX27",NA,NA,NA,NA,NA,NA
"ESTABLISHMENT OF T CELL POLARITY","CCR7,CRTAM,MYH9,DOCK2,CCL19,CCL21,TRAF3IP2,SCRIB,CYP26B1","GO:0001768","Adaptive","Cellular","Establishment of T cell polarity","T cell",3
"ESTABLISHMENT OF T CELL POLARITY","CCR7,CRTAM,MYH9,DOCK2,CCL19,CCL21,TRAF3IP2,SCRIB,CYP26B1",NA,NA,NA,NA,NA,NA
"EXTRATHYMIC T CELL SELECTION","IL15","GO:0045062","Adaptive","Cellular","Selection, T cell, Extrathymic","T cell",1
"FC RECEPTOR MEDIATED INHIBITORY SIGNALING PATHWAY","LYN,PSG9,LILRB2,LILRB1,LILRB4",NA,NA,NA,NA,NA,NA
"FC RECEPTOR MEDIATED STIMULATORY SIGNALING PATHWAY","FCER1G,LYN","GO:0002431","Adaptive","Tolerance","Fc receptor, Pathway","Undefined",1
"FC RECEPTOR MEDIATED STIMULATORY SIGNALING PATHWAY","FCER1G,LYN",NA,NA,NA,NA,NA,NA
"FC RECEPTOR SIGNALING PATHWAY","FCGR1BP,KIT,PIGR,CD200R1",NA,NA,NA,NA,NA,NA
"FC-EPSILON RECEPTOR SIGNALING PATHWAY","BTK,FCER1G,FER,IKBKB,LYN,MAP3K1,PLCG1,PLCG2,PRKCQ,MAPK8,MAPK9,MAPK10,MAP2K7,MAP2K4,SOS1,SYK,MAP3K7,TRAF6,VAV1,VAV2,VAV3,LILRA4",NA,NA,NA,NA,NA,NA
"FC-GAMMA RECEPTOR SIGNALING PATHWAY","CD247,FCER1G,FCGR1A,FCGR3A,LCK,CLEC4E,CLEC4D",NA,NA,NA,NA,NA,NA
"FC-GAMMA RECEPTOR SIGNALING PATHWAY INVOLVED IN PHAGOCYTOSIS","LIMK1,VAV2,SRC,VAV1,SYK,ABL1,PRKCE,MYO1G,HCK,PTK2,PRKCD,FGR,PLPP4,FCGR2B,FYN,LYN,PAK1,PLD2,YES1,PLA2G6,VAV3","GO:0038096","Adaptive","Humoral","Fc-gR signaling, phagocytosis","B cell",14
"FC-GAMMA RECEPTOR SIGNALING PATHWAY INVOLVED IN PHAGOCYTOSIS","LIMK1,VAV2,SRC,VAV1,SYK,ABL1,PRKCE,MYO1G,HCK,PTK2,PRKCD,FGR,PLPP4,FCGR2B,FYN,LYN,PAK1,PLD2,YES1,PLA2G6,VAV3",NA,NA,NA,NA,NA,NA
"FOLLICULAR B CELL DIFFERENTIATION","FCGR2B,IRF8,SPI1,PLCG2","GO:0002316","Adaptive","Humoral","Differentiation, folicular B cell","B cell",4
"GAMMA-DELTA T CELL ACTIVATION","ITK,CXADR,JAML,CD3G,CD247,CD3E,MICB,TRGC1,TRGC2,TRDC,MICA","GO:0046629","Adaptive","Cellular","Activation, gdT cell","T cell",7
"GAMMA-DELTA T CELL ACTIVATION","ITK,CXADR,JAML,CD3G,CD247,CD3E,MICB,TRGC1,TRGC2,TRDC,MICA",NA,NA,NA,NA,NA,NA
"GAMMA-DELTA T CELL DIFFERENTIATION","SYK,STAT5B,TCF7,PTPRC,JAG2,SOX13","GO:0042492","Adaptive","Cellular","Differentiation, gdT cell","T cell",4
"GAMMA-DELTA T CELL DIFFERENTIATION","SYK,STAT5B,TCF7,PTPRC,JAG2,SOX13",NA,NA,NA,NA,NA,NA
"GERMINAL CENTER B CELL DIFFERENTIATION","CDH17,SPI1,IRF8,ADA,IL6,POU2AF1,PHF14,ITFG2,IL21","GO:0002314","Adaptive","Humoral","Differentiation, Germinal center, B cell","B cell",3
"GERMINAL CENTER B CELL DIFFERENTIATION","CDH17,SPI1,IRF8,ADA,IL6,POU2AF1,PHF14,ITFG2,IL21",NA,NA,NA,NA,NA,NA
"GERMINAL CENTER FORMATION","MEF2C,UNC13D,BCL6,ADAM17,NFKB2,BCL3,ADA,CXCL13,TNFSF13B,KLHL6","GO:0002467","Adaptive","Germinal center","Formation, Germinal center","Germinal center",6
"GERMINAL CENTER FORMATION","MEF2C,UNC13D,BCL6,ADAM17,NFKB2,BCL3,ADA,CXCL13,TNFSF13B,KLHL6",NA,NA,NA,NA,NA,NA
"GRANULOCYTE CHEMOTAXIS","CCL3,IL17RC,ANXA1,IL17RA,ADGRE2","GO:0071621","Innate","Granulocyte","Chemotaxis, Granulocyte","Granulocyte",2
"GRANULOCYTE CHEMOTAXIS","CCL3,IL17RC,ANXA1,IL17RA,ADGRE2",NA,NA,NA,NA,NA,NA
"GRANULOCYTE MIGRATION","IL17A,JAM3",NA,NA,NA,NA,NA,NA
"GRANULOMA FORMATION","UNC13D,CEBPB","GO:0002432","Innate","Innate","Formation, Granuloma","Undefined",2
"HELPER T CELL DIAPEDESIS","CRKL,CRK","GO:0035685","Adaptive","Cellular","Diapedesis, Th cell","T cell",2
"HELPER T CELL ENHANCEMENT OF ADAPTIVE IMMUNE RESPONSE","CD4",NA,NA,NA,NA,NA,NA
"HELPER T CELL EXTRAVASATION","CCL2","GO:0035684","Adaptive","Cellular","Extravasation, Th cell","T cell",1
"HEMATOPOIETIC OR LYMPHOID ORGAN DEVELOPMENT","ASXL1,LTBR","GO:0048534","General","Organ","Organ development, Hematopoietic or lymphoid","Undefined",2
"HEPATIC IMMUNE RESPONSE","IL6R,IL6","GO:0002384","General","Organ","Immune response, Hepatic","Undefined",1
"HEPATIC IMMUNE RESPONSE","IL6R,IL6",NA,NA,NA,NA,NA,NA
"HISTAMINE SECRETION BY MAST CELL","BTK,SNAP23,SLC18A2,RAB44,LYN","GO:0002553","Innate","Cells","Secretion, Histamine, Mast cell","Mast cell",4
"HISTAMINE SECRETION BY MAST CELL","BTK,SNAP23,SLC18A2,RAB44,LYN",NA,NA,NA,NA,NA,NA
"HISTAMINE SECRETION MEDIATED BY IGE IMMUNOGLOBULIN","RAB44","GO:0097279","Innate","Cells","Secretion, Histamine, IgE","Mast cell",1
"HUMORAL ADAPTIVE IMMUNE SYSTEM","YY1,HSPD1,IL2RG,ST3GAL1,HLA-G,LRRC8A,ABL1,FCER1A,WNT4,CLEC4G,BCL6,STAT6,LGALS1,RAG1,RAG2,GATA3,SPI1,MLH1,MSH2,CDH17,IRF8,BCL3,ZP3,CD81,TCF3,PRKDC,LIG4,SHLD3,SHLD1,SHLD2,FCGR2B,PLCG2,LFNG,NOTCH2,GPR183,C17orf99,IRF2BP2,KIT,SYVN1,PTX3,SFTPA1,LBP,C4B,MBL2,UNG,MSH6,PMS2,CD6,DOCK8,MSN,PRF1,EPHB1,MSH3,ERCC1,CD40LG,RNF168,SANBR,LIMK1,VAV2,SRC,VAV1,SYK,PRKCE,MYO1G,HCK,PTK2,PRKCD,FGR,PLPP4,HOXB4,NKX2-5,LIPA,EPB42,ADAM17,CDKN2B,PBX1,NKX3-2,RC3H1,NFKB2,NKX2-3,CACNB4,BCL2,KMT2A,IL4R,IL9R,CD19,MPL,IL9,BCL10,FCER1G,IL2RB,CD27,CSF2RB","Manual","Adaptive","Humoral","Humoral adaptive immune system","General",143
"HUMORAL IMMUNE RESPONSE","IFNA8,CCR2,IL7,NOTCH2,GATA3,IFNE,BMI1,CD83,CD28,ALOX5,MS4A1,BCL2,PSMB10,CCL2,TFEB,MEF2C,GPR183,BST1,TFE3,ST6GAL1,POU2F2,RBPJ,NOTCH1,AIRE,CCR6,FOXJ1,GPI,HLA-DQB1,HLA-DRB1,IFNA1,IFNA2,IFNA4,IFNA5,IFNA6,IFNA7,IFNA10,IFNA13,IFNA14,IFNA16,IFNA17,IFNA21,IFNB1,IFNG,IFNW1,JCHAIN,IL6,LTA,LTF,SH2D1A,PDCD1,POU2AF1,TNF,EBI3,TRAF3IP2,TNFRSF21,BLNK,YTHDF2,TREM2,TREM1,IFNK","GO:0006959","General","Humoral","Humoral immune response","Undefined",23
"HUMORAL IMMUNE RESPONSE","IFNA8,CCR2,IL7,NOTCH2,GATA3,IFNE,BMI1,CD83,CD28,ALOX5,MS4A1,BCL2,PSMB10,CCL2,TFEB,MEF2C,GPR183,BST1,TFE3,ST6GAL1,POU2F2,RBPJ,NOTCH1,AIRE,CCR6,FOXJ1,GPI,HLA-DQB1,HLA-DRB1,IFNA1,IFNA2,IFNA4,IFNA5,IFNA6,IFNA7,IFNA10,IFNA13,IFNA14,IFNA16,IFNA17,IFNA21,IFNB1,IFNG,IFNW1,JCHAIN,IL6,LTA,LTF,SH2D1A,PDCD1,POU2AF1,TNF,EBI3,TRAF3IP2,TNFRSF21,BLNK,YTHDF2,TREM2,TREM1,IFNK",NA,NA,NA,NA,NA,NA
"HUMORAL IMMUNE RESPONSE MEDIATED BY CIRCULATING IMMUNOGLOBULIN","BCL3,ZP3,CD81,EXO1","GO:0002455","Adaptive","Humoral","Ig, Humoral immune response","B cell",3
"HUMORAL IMMUNE RESPONSE MEDIATED BY CIRCULATING IMMUNOGLOBULIN","BCL3,ZP3,CD81,EXO1",NA,NA,NA,NA,NA,NA
"HYPERSENSITIVITY","EXT1",NA,NA,NA,NA,NA,NA
"IMMATURE B CELL DIFFERENTIATION","SPI1,PRKDC,IRF2BP2,KIT,SYVN1,FNIP1","GO:0002327","Adaptive","Humoral","Differentiation, B cell, Immature","B cell",5
"IMMATURE B CELL DIFFERENTIATION","SPI1,PRKDC,IRF2BP2,KIT,SYVN1,FNIP1",NA,NA,NA,NA,NA,NA
"IMMATURE T CELL PROLIFERATION IN THYMUS","WNT4,CLEC4G,ERBB2,RIPK2,FOXP3","GO:0033080","Adaptive","Humoral","Proliferation, thymus, T cell, immature","B cell",2
"IMMATURE T CELL PROLIFERATION IN THYMUS","WNT4,CLEC4G,ERBB2,RIPK2,FOXP3",NA,NA,NA,NA,NA,NA
"IMMUNE COMPLEX CLEARANCE","CLU","GO:0002434","Innate","Innate","Clearance, Immune complex","Undefined",1
"IMMUNE COMPLEX CLEARANCE BY ERYTHROCYTES","CR1",NA,NA,NA,NA,NA,NA
"IMMUNE COMPLEX CLEARANCE BY MONOCYTES AND MACROPHAGES","FCGR2B","GO:0002436","Innate","Innate","Clearance, Immune complex, Monocytes, Macrophages","APC",1
"IMMUNE COMPLEX FORMATION","TREX1",NA,NA,NA,NA,NA,NA
"IMMUNE RESPONSE","HLA-C,CCL1,RAG1,CXCL14,VAV1,IL2RG,CCL20,HLA-DOB,LILRB2,CD1C,ITGB8,HLA-DPA1,CCR7,TNFSF15,CCL2,PTAFR,CEACAM8,CD1E,SCAP,C7,CX3CR1,KIR3DL1,HLA-DMA,IL12A,ETS1,CXCL6,CCR1,IL10,HLA-E,CCR2,CCL4L1,C1R,PNP,GPR183,IL1RL1,FCGR1A,XCL1,CXCL12,LAX1,CXCL1,CD1D,DPP8,TNFSF8,ENPP1,CRHR1,GTPBP1,IL3,EXOSC9,NRROS,KIR2DL1,LY86,IL18RAP,LIF,IGSF6,HAMP,CCL24,TGFBR3,SERPINB9,CEBPG,CR2,ADGRE5,CIITA,CCL4,IGF1R,IFITM2,IL1RN,CRIP1,XBP1,GPR65,TCF7,TNFSF4,S1PR4,LTB,IL15,PKHD1L1,RGS1,CCL23,CD96,IL10RB,HLA-DMB,IL7,CTSK,WAS,ACKR3,CTSS,IL13,PIK3R1,CD28,IL32,VPREB1,THBS1,CNIH1,CXCL2,FASLG,CXCR5,DEFA1,ENDOU,OPRD1,CXCR1,ZAP70,RFX1,CTSG,CCR10,GEM,PIK3CG,SP2,HLA-DRB3,MAP4K2,CCL7,CHST4,IFI6,TNFRSF1B,TYK2,TNFSF10,IL27RA,FCGR3A,IL7R,CCL3L1,KIR2DL3,CXCL3,HRH2,TRIM22,SPN,CSF3,CCL5,CXCR4,PF4V1,LTBR,BMPR1A,CXCL5,CD79B,TLR4,FAS,C6,CTLA4,FCAR,CD70,SMAD3,PRG2,FCGR2B,RAET1L,FCGR2C,CCL3,IRF8,CD80,CTSW,GBP6,CNR2,CXCR2,IL1R1,XCR1,GBP2,HLA-F,RAET1G,C5AR1,NOTCH1,IL1R2,DEFB1,CCL8,CD8B,IL9,CTSH,IFITM3,CD7,PTGER4,CD1B,CX3CL1,ITGB6,B2M,CXCR3,OSM,BMP6,KIR2DS2,OPRK1,CEBPB,AZGP1,HLA-G,HLA-DRB4,CXCL8,IL2,CD40LG,CCL18,MS4A2,CLEC4G,GZMA,IRAK1BP1,TNFRSF4,FCGRT,CTSC,CD164,CXCL9,IL4R,CD86,CFP,C1QBP,TNFSF9,PIK3R6,CYP11B1,AIRE,C1QC,C3,C8A,C8B,CBLB,CD1A,CD4,CD8A,CHIT1,CHUK,CCR3,CCR4,CCR5,CCR6,CCR8,ACKR2,CMKLR1,LTB4R,CSF2,CTSL,CTSV,DEFB4A,EDA,FCER2,FCGR1BP,FCGR3B,FTH1,FYB1,HLA-A,HLA-B,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DQB2,HLA-DRA,HLA-DRB1,HLA-H,MR1,IGHA1,IGHA2,IGHD,IGHE,JCHAIN,IGKC,IGLC1,IGLL1,IL1A,IL1B,IL1RAP,IL2RA,IL4,IL5,IL16,IL17A,ITGAD,JAK2,KIR2DS1,KIR2DS5,KIR3DS1,LCP2,LY75,SMAD6,MBP,MICB,NFIL3,ENPP2,PIK3CD,PIK3R2,NECTIN1,CCL19,CCL21,CCL22,CCL25,SECTM1,SLPI,TAPBP,TCF12,TRGC2,TRGV3,TLR1,TLR2,TNFAIP1,VTN,PXDN,LST1,MADCAM1,SEMA7A,PIK3R3,IKBKG,CST7,PRKRA,TNFSF11,TNFSF14,TNFSF13,TNFSF12,TNFRSF14,IL18R1,APLN,MAP3K14,CCRL2,AIM2,IKBKE,CERT1,TENM1,PRG4,CLEC4M,TLR6,PRG3,SEMA4D,SEMA3C,IFI44,CXCL13,CXCR6,CCR9,CCL27,IFI44L,PTGDR2,PIK3R5,ATP6V0A2,SAMHD1,LAT,IL36B,IL37,IL36A,IL17B,ADAMDEC1,IGKV1-5,IGHV4-59,IGHV4-39,IGHV4-34,IGHV3-53,IGHV3-48,IGHV3-33,IGHV3-30,IGHV3-23,IGHV3-13,IGHV3-11,IGHV3-9,IGHV3-7,IGHV2-70,IGHV2-5,IGHV1-69,TRDV3,TRDV1,TRBV12-3,TRBV7-9,TRBC1,TRAV38-2DV8,TRAV38-1,TRAV29DV5,TRAV27,TRAV19,TRAV14DV4,TRAV8-4,TRAV2,IGLV11-55,IGLV10-54,IGLV9-49,IGLV8-61,IGLV7-46,IGLV7-43,IGLV6-57,IGLV5-52,IGLV5-48,IGLV5-45,IGLV5-39,IGLV5-37,IGLV4-69,IGLV4-60,IGLV4-3,IGLV3-32,IGLV3-27,IGLV3-25,IGLV3-22,IGLV3-21,IGLV3-19,IGLV3-16,IGLV3-12,IGLV3-10,IGLV3-9,IGLV3-1,IGLV2-33,IGLV2-23,IGLV2-18,IGLV2-14,IGLV2-11,IGLV2-8,IGLV1-51,IGLV1-50,IGLV1-47,IGLV1-44,IGLV1-40,IGLV1-36,IGKV6D-41,IGKV6D-21,IGKV3D-20,IGKV3D-15,IGKV3D-11,IGKV3D-7,IGKV2D-30,IGKV2D-29,IGKV2D-28,IGKV2D-26,IGKV2D-24,IGKV1D-43,IGKV1D-42,IGKV1D-39,IGKV1D-37,IGKV1D-33,IGKV1D-17,IGKV1D-13,IGKV1D-12,IGKV1D-8,IGKV6-21,IGKV5-2,IGKV4-1,IGKV3-20,IGKV3-15,IGKV3-7,IGKV2-40,IGKV2-30,IGKV2-29,IGKV2-28,IGKV2-24,IGKV1-39,IGKV1-37,IGKV1-27,IGKV1-17,IGKV1-16,IGKV1-13,IGKV1-12,IGKV1-9,IGKV1-8,IGKV1-6,CD274,VPREB3,ICOS,MYL11,IL19,CD209,ACKR4,MARCHF1,CCL28,CYSLTR2,ULBP3,ULBP2,ULBP1,PDCD1LG2,TLR10,RAET1E,MARCHF8,NCR3,KAAG1,DEFA1B,MICA","GO:0006955","General","General","Immune response","Undefined",262
"IMMUNE RESPONSE","HLA-C,CCL1,RAG1,CXCL14,VAV1,IL2RG,CCL20,HLA-DOB,LILRB2,CD1C,ITGB8,HLA-DPA1,CCR7,TNFSF15,CCL2,PTAFR,CEACAM8,CD1E,SCAP,C7,CX3CR1,KIR3DL1,HLA-DMA,IL12A,ETS1,CXCL6,CCR1,IL10,HLA-E,CCR2,CCL4L1,C1R,PNP,GPR183,IL1RL1,FCGR1A,XCL1,CXCL12,LAX1,CXCL1,CD1D,DPP8,TNFSF8,ENPP1,CRHR1,GTPBP1,IL3,EXOSC9,NRROS,KIR2DL1,LY86,IL18RAP,LIF,IGSF6,HAMP,CCL24,TGFBR3,SERPINB9,CEBPG,CR2,ADGRE5,CIITA,CCL4,IGF1R,IFITM2,IL1RN,CRIP1,XBP1,GPR65,TCF7,TNFSF4,S1PR4,LTB,IL15,PKHD1L1,RGS1,CCL23,CD96,IL10RB,HLA-DMB,IL7,CTSK,WAS,ACKR3,CTSS,IL13,PIK3R1,CD28,IL32,VPREB1,THBS1,CNIH1,CXCL2,FASLG,CXCR5,DEFA1,ENDOU,OPRD1,CXCR1,ZAP70,RFX1,CTSG,CCR10,GEM,PIK3CG,SP2,HLA-DRB3,MAP4K2,CCL7,CHST4,IFI6,TNFRSF1B,TYK2,TNFSF10,IL27RA,FCGR3A,IL7R,CCL3L1,KIR2DL3,CXCL3,HRH2,TRIM22,SPN,CSF3,CCL5,CXCR4,PF4V1,LTBR,BMPR1A,CXCL5,CD79B,TLR4,FAS,C6,CTLA4,FCAR,CD70,SMAD3,PRG2,FCGR2B,RAET1L,FCGR2C,CCL3,IRF8,CD80,CTSW,GBP6,CNR2,CXCR2,IL1R1,XCR1,GBP2,HLA-F,RAET1G,C5AR1,NOTCH1,IL1R2,DEFB1,CCL8,CD8B,IL9,CTSH,IFITM3,CD7,PTGER4,CD1B,CX3CL1,ITGB6,B2M,CXCR3,OSM,BMP6,KIR2DS2,OPRK1,CEBPB,AZGP1,HLA-G,HLA-DRB4,CXCL8,IL2,CD40LG,CCL18,MS4A2,CLEC4G,GZMA,IRAK1BP1,TNFRSF4,FCGRT,CTSC,CD164,CXCL9,IL4R,CD86,CFP,C1QBP,TNFSF9,PIK3R6,CYP11B1,AIRE,C1QC,C3,C8A,C8B,CBLB,CD1A,CD4,CD8A,CHIT1,CHUK,CCR3,CCR4,CCR5,CCR6,CCR8,ACKR2,CMKLR1,LTB4R,CSF2,CTSL,CTSV,DEFB4A,EDA,FCER2,FCGR1BP,FCGR3B,FTH1,FYB1,HLA-A,HLA-B,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DQB2,HLA-DRA,HLA-DRB1,HLA-H,MR1,IGHA1,IGHA2,IGHD,IGHE,JCHAIN,IGKC,IGLC1,IGLL1,IL1A,IL1B,IL1RAP,IL2RA,IL4,IL5,IL16,IL17A,ITGAD,JAK2,KIR2DS1,KIR2DS5,KIR3DS1,LCP2,LY75,SMAD6,MBP,MICB,NFIL3,ENPP2,PIK3CD,PIK3R2,NECTIN1,CCL19,CCL21,CCL22,CCL25,SECTM1,SLPI,TAPBP,TCF12,TRGC2,TRGV3,TLR1,TLR2,TNFAIP1,VTN,PXDN,LST1,MADCAM1,SEMA7A,PIK3R3,IKBKG,CST7,PRKRA,TNFSF11,TNFSF14,TNFSF13,TNFSF12,TNFRSF14,IL18R1,APLN,MAP3K14,CCRL2,AIM2,IKBKE,CERT1,TENM1,PRG4,CLEC4M,TLR6,PRG3,SEMA4D,SEMA3C,IFI44,CXCL13,CXCR6,CCR9,CCL27,IFI44L,PTGDR2,PIK3R5,ATP6V0A2,SAMHD1,LAT,IL36B,IL37,IL36A,IL17B,ADAMDEC1,IGKV1-5,IGHV4-59,IGHV4-39,IGHV4-34,IGHV3-53,IGHV3-48,IGHV3-33,IGHV3-30,IGHV3-23,IGHV3-13,IGHV3-11,IGHV3-9,IGHV3-7,IGHV2-70,IGHV2-5,IGHV1-69,TRDV3,TRDV1,TRBV12-3,TRBV7-9,TRBC1,TRAV38-2DV8,TRAV38-1,TRAV29DV5,TRAV27,TRAV19,TRAV14DV4,TRAV8-4,TRAV2,IGLV11-55,IGLV10-54,IGLV9-49,IGLV8-61,IGLV7-46,IGLV7-43,IGLV6-57,IGLV5-52,IGLV5-48,IGLV5-45,IGLV5-39,IGLV5-37,IGLV4-69,IGLV4-60,IGLV4-3,IGLV3-32,IGLV3-27,IGLV3-25,IGLV3-22,IGLV3-21,IGLV3-19,IGLV3-16,IGLV3-12,IGLV3-10,IGLV3-9,IGLV3-1,IGLV2-33,IGLV2-23,IGLV2-18,IGLV2-14,IGLV2-11,IGLV2-8,IGLV1-51,IGLV1-50,IGLV1-47,IGLV1-44,IGLV1-40,IGLV1-36,IGKV6D-41,IGKV6D-21,IGKV3D-20,IGKV3D-15,IGKV3D-11,IGKV3D-7,IGKV2D-30,IGKV2D-29,IGKV2D-28,IGKV2D-26,IGKV2D-24,IGKV1D-43,IGKV1D-42,IGKV1D-39,IGKV1D-37,IGKV1D-33,IGKV1D-17,IGKV1D-13,IGKV1D-12,IGKV1D-8,IGKV6-21,IGKV5-2,IGKV4-1,IGKV3-20,IGKV3-15,IGKV3-7,IGKV2-40,IGKV2-30,IGKV2-29,IGKV2-28,IGKV2-24,IGKV1-39,IGKV1-37,IGKV1-27,IGKV1-17,IGKV1-16,IGKV1-13,IGKV1-12,IGKV1-9,IGKV1-8,IGKV1-6,CD274,VPREB3,ICOS,MYL11,IL19,CD209,ACKR4,MARCHF1,CCL28,CYSLTR2,ULBP3,ULBP2,ULBP1,PDCD1LG2,TLR10,RAET1E,MARCHF8,NCR3,KAAG1,DEFA1B,MICA",NA,NA,NA,NA,NA,NA
"IMMUNE RESPONSE IN BRAIN OR NERVOUS SYSTEM","TREX1",NA,NA,NA,NA,NA,NA
"IMMUNE RESPONSE IN GUT-ASSOCIATED LYMPHOID TISSUE","ITGA4,ITGB7","GO:0002387","General","General","Immune response, Gut","Undefined",2
"IMMUNE RESPONSE IN NASOPHARYNGEAL-ASSOCIATED LYMPHOID TISSUE","TTLL1,BPIFA1","GO:0002395","General","General","Immune response, Nasopharyngeal","Undefined",1
"IMMUNE RESPONSE IN NASOPHARYNGEAL-ASSOCIATED LYMPHOID TISSUE","TTLL1,BPIFA1",NA,NA,NA,NA,NA,NA
"IMMUNE RESPONSE TO TUMOR CELL","PRF1,ADAM15,MICA","GO:0002418","General","General","Immune response, Tumor cell","Undefined",1
"IMMUNE RESPONSE TO TUMOR CELL","PRF1,ADAM15,MICA",NA,NA,NA,NA,NA,NA
"IMMUNE RESPONSE-ACTIVATING CELL SURFACE RECEPTOR SIGNALING PATHWAY","BAG6,MICB,NCR3","GO:0002429","General","General","Immune response, Cell-surface receptor pathway","Undefined",1
"IMMUNE RESPONSE-ACTIVATING CELL SURFACE RECEPTOR SIGNALING PATHWAY","BAG6,MICB,NCR3",NA,NA,NA,NA,NA,NA
"IMMUNE RESPONSE-ACTIVATING SIGNALING PATHWAY","ZC3H12A",NA,NA,NA,NA,NA,NA
"IMMUNE RESPONSE-INHIBITING CELL SURFACE RECEPTOR SIGNALING PATHWAY","HLA-G,LILRB2,LILRB1",NA,NA,NA,NA,NA,NA
"IMMUNE RESPONSE-INHIBITING SIGNAL TRANSDUCTION","CD33,IL20RB",NA,NA,NA,NA,NA,NA
"IMMUNE RESPONSE-REGULATING CELL SURFACE RECEPTOR SIGNALING PATHWAY","CD40,FGR,FPR2,LYN,BTLA,CD24",NA,NA,NA,NA,NA,NA
"IMMUNE RESPONSE-REGULATING SIGNALING PATHWAY","CTSH",NA,NA,NA,NA,NA,NA
"IMMUNE SYSTEM DEVELOPMENT","SMAD3,BCL2,RO60,GATA3,CACNA1C","GO:0002520","General","General","Immune system, Development","Undefined",4
"IMMUNE SYSTEM DEVELOPMENT","SMAD3,BCL2,RO60,GATA3,CACNA1C",NA,NA,NA,NA,NA,NA
