...1	Cond1	Cond2	Shared	NotShared_cond1	NotShared_cond2	Total_Genes_Cond1	Total_Genes_Cond2	Genes_Names	Percentage_Shared_Cond1	Percentage_Shared_Cond2	pvalue	qvalue
3175	HIV-1 GAG-POL NEF (D1)	PANDEMRIX (D3)	2	616	3	4241	70	CCL5,TLR7	0.05	2.86	2.51754540330196e-7	6.44504823005761e-8
3176	HIV-1 GAG-POL NEF (D1)	PANDEMRIX (D30)	2	616	4	4241	87	CCL5,TLR7	0.05	2.3	2.42850038903727e-9	6.96014409824147e-10
3177	HIV-1 GAG-POL NEF (D1)	FLUAD (D7)	16	602	50	4241	291	CTSW,FOXP1,PPIA,PRKCA,ST6GAL1,ZFP36L2,ADGRE5,AXL,CD151,CD36,LILRA6,LILRB1,LILRB3,MIA3,TLR8,TRIM14	0.38	5.5	9.84667835557636e-62	2.0562893935753803e-61
3178	HIV-1 GAG-POL NEF (D1)	FLUARIX FLUVIRIN (D7)	113	505	290	4241	2412	AQP3,ATM,BCL2,CASP6,CBLB,CD22,CD247,CD27,CD44,CD6,CD79A,CD79B,CXCR4,DLG1,DPP4,EPRS1,FYN,IGHD,IGHM,ITGA6,KMT2A,MID2,MS4A1,PCID2,PLCB1,PPIA,PRDX2,PRKCA,PRKDC,PTPN22,NA,SIRPG,SIT1,SLAMF6,SRPK2,ST6GAL1,STK39,TCF7,UBASH3A,VNN1,ZBTB25,ZFP36L2,ATP1B1,AZI2,BCL6,C5AR1,CALCOCO2,CCL3,CCR2,CD33,CD36,CD38,CD40,CD86,CDKN1A,CFP,CXCL16,DDX60,FAS,FCAR,FGR,FPR3,HAVCR2,HHEX,ICAM1,IFI44,IFIT1,IL15RA,ISG15,ISG20,KYNU,LAIR1,LDLR,LILRA1,LILRA5,LILRB4,LYN,LYST,MAFB,MERTK,MILR1,MNDA,N4BP1,NAIP,NFIL3,NLRP3,NUB1,OAS3,PAK1,PRKCD,RAB20,RARA,RIPK2,RNASE2,RNF19B,SEC14L1,SLAMF7,SNX27,SOCS1,SP100,STING1,TAPBPL,TBK1,TLR6,TLR8,TMEM131L,TNFSF10,TNFSF13,TRIB1,TRIM5,UBA7,XRCC4,ZFP36	2.66	4.68	1.05038733443723e-143	1.0191486800063899e-141
3179	HIV-1 GAG-POL NEF (D1)	INFLUENZA (D7)	36	582	62	4241	521	AQP3,BTLA,CARD11,CD2,DPP4,IGHM,KLRB1,NCR1,PRKCH,NA,SIRPG,TRAV38-1,TRBC2,ADM,BATF2,C2,CD40,CDKN1A,CYSLTR2,GBP5,HAVCR2,IDO1,IFI44,IFI44L,IFI6,IFITM3,ISG15,LIMK1,OAS1,OAS2,OAS3,RAB20,RSAD2,S100A9,SERPING1,SLAMF7	0.85	6.91	1.08181568602463e-62	2.3365326248077e-62
3180	HIV-1 GAG-POL NEF (D1)	INACTIVATED INFLUENZA (D0)	1	617	1	4241	7	GBP5	0.02	14.29	0.00323101777059774	6.4833040923787e-4
3181	HIV-1 GAG-POL NEF (D1)	FLUZONE (D1)	4	614	3	4241	44	BATF2,IDO1,IFIT3,SERPING1	0.09	9.09	8.81140891155688e-7	2.18395822761306e-7
3182	HIV-1 GAG-POL NEF (D1)	FLUZONE (D30)	2	616	1	4241	11	TMEM106A,TMEM229B	0.05	18.18	0.00484652665589661	9.6042536193305e-4
3183	HIV-1 GAG-POL NEF (D1)	FLUZONE (D7)	4	614	8	4241	174	CXCR4,CCL2,FCAR,LRRK2	0.09	2.3	8.85185746305773e-16	3.45564305435234e-16
3184	HIV-1 GAG-POL NEF (D1)	FLUMIST (D3)	86	532	142	4241	1510	BACH2,CAMK4,CD28,CD44,FOXP1,IGF1R,IGHM,IKZF3,ITM2A,PRKCH,NA,RGCC,RHOH,RNF125,RORA,S1PR1,SFXN1,ZEB1,BST2,BTK,CASP1,CASP3,CD14,CD36,CD86,CEBPB,CFP,CYBB,DDX60,DTX3L,FCER1G,FCN1,FGL2,FGR,GRN,GTPBP1,HCK,HHEX,HLA-DMB,HLA-DRB1,IFI16,IFI30,IFI35,IRF5,IRF7,JAK2,KYNU,LAIR1,LILRA1,LILRB1,MARCO,MX1,MX2,MYD88,NAIP,NOTCH2,NUB1,OAS1,OAS2,OAS3,PARP14,PIK3AP1,PLSCR1,POLB,PRELID1,PSMB10,PSMB9,PYCARD,RAB10,RARA,RB1,RNF135,RNF19B,SNX27,STAT1,STAT2,TLR7,TLR8,TNFSF10,TNFSF13,TNFSF13B,TREX1,TRIM14,TRIM22,TRIM5,UNC93B1	2.03	5.7	6.627965954081279e-94	4.03869768711192e-93
3185	HIV-1 GAG-POL NEF (D1)	FLUMIST (D7)	241	377	588	4241	5101	ACVR2A,ATM,BANK1,BCL2,CASP6,CCL28,CCL5,CCR6,CCR7,CD160,CD1C,CD2,CD200,CD22,CD244,CD247,CD27,CD28,CD44,CD79B,CRTAM,CRTC3,CXCR4,CXCR5,DLG1,DPP4,EOMES,EPRS1,ETS1,FCER1A,FCRL3,FLNB,FOXP1,FYN,GPR171,GZMA,H2BC8,H4C8,HLA-DOA,HLA-DOB,IGHD,IGHM,IL16,IL18RAP,IL7R,ITGA6,ITK,ITPKB,KLRD1,KLRG1,KMT2A,LAT,LCK,LY9,MSH2,KAT6B,NCK2,NFATC2,NLRC3,PACS1,PAX5,PCID2,PLCB1,PPIA,PRKCA,PRKDC,PTGDR,PTPN22,NA,PYHIN1,RASGRP1,RGCC,RORA,RPS6,RPS6KA3,SERINC5,SFXN1,SKAP1,SLAMF6,SRPK2,ST3GAL1,ST6GAL1,STK39,TRAC,TRGC2,TXK,UBASH3A,ZBTB16,ZBTB25,ZEB1,ZFP36L2,ADAM9,AKIRIN2,ALOX5,ATP1B1,AZI2,BCL6,BST2,BTK,C3AR1,C5AR1,CASP1,CASP3,CASP4,CCL3,CCR1,CCR2,CD300A,CD300C,CD33,CD86,CEACAM1,CEBPB,CLEC7A,CMKLR1,CSF1R,CXCL10,RIGI,DDX60,DUSP3,ELF4,EPHB2,FCAR,FCN1,FGR,FPR1,FPR2,FPR3,GBP1,GTPBP1,HAVCR2,HLA-DRB1,HLA-DRB5,ICAM1,IFI16,IFI30,IFI44,IFI6,IFIH1,IFIT3,IFIT5,IFITM1,IFITM2,IL15,IL1RN,IRF2,IRF5,IRF7,ISG20,JAK2,KYNU,LAIR1,LDLR,LILRA1,LILRA2,LILRA3,LILRB1,LILRB2,LIMK1,LYN,LYST,MIA3,MICB,MNDA,MOSPD2,MR1,MX1,N4BP1,NAIP,NBN,NCF2,NCSTN,NFIL3,NINJ1,NLRC4,NLRP3,NOD1,NOTCH2,NUB1,OAS1,OAS2,OAS3,OASL,P2RX7,PAK1,PELI1,PLA2G7,PLSCR1,PML,PRKCD,PSMB8,NECTIN2,RAB10,RAB20,RARA,RB1,RBCK1,RIPK2,RNASE2,RNF19B,RNF213,SAMD9,SEC14L1,SIRPA,SKAP2,SLAMF7,SLC11A1,SNCA,SNX27,SOCS1,SP100,STAT1,STAT3,STING1,TANK,TAPBP,TAPBPL,TASL,TBK1,TCIRG1,TFE3,TIFA,TLR6,TLR7,TLR8,TMEM131L,TNFAIP6,TNFAIP8L2,TNFSF10,TNFSF13,TRAFD1,TRIB1,TRIM14,TRIM38,UBA7,USP15,VAMP3,WDR41,XKR8,XRCC4,ZNFX1	5.68	4.72	1.8570130915224797e-146	2.60257874258021e-144
3186	HIV-1 GAG-POL NEF (D1)	FLUMIST (D1)	1	617	1	4241	9	RORA	0.02	11.11	0.00323101777059774	6.4833040923787e-4
3187	HIV-1 GAG-POL NEF (D1)	FLUENZ (D3-4)	3	615	2	4241	59	CD3G,CD8A,TLR1	0.07	5.08	5.21131898483506e-5	1.16732974503733e-5
3188	HIV-1 GAG-POL NEF (D1)	FLUMIST (D30)	1	617	2	4241	13	NA	0.02	7.69	1.56339569545052e-5	3.61696650457e-6
3189	HIV-1 GAG-POL NEF (D1)	FLUENZ (D6-7)	4	614	5	4241	160	MS4A1,MICB,RIPK2,SOCS1	0.09	2.5	1.63719127350826e-10	5.0337983330089897e-11
3190	HIV-1 GAG-POL NEF (D1)	MENACTRA (D3)	9	609	23	4241	371	C1QB,C1QC,C2,C3AR1,C5AR1,CFB,CFD,SERPING1,TLR4	0.21	2.43	2.9931591220061497e-35	2.43416172801067e-35
3191	HIV-1 GAG-POL NEF (D1)	MENACTRA (D7)	2	616	8	4241	57	IGHD,NA	0.05	3.51	8.04714314823427e-17	3.32030294365015e-17
3192	HIV-1 GAG-POL NEF (D1)	WETVAX (D2-4)	30	588	13	4241	383	CCL5,CD3D,KLRB1,ADM,BCL6,C2,CEACAM1,CEBPB,CXCL10,DYSF,FGL2,FPR1,GBP2,GCH1,HERC5,HLX,ICAM1,IFI44,IFI44L,IFIT1,IFIT3,IL15,IL15RA,IRF1,MX1,NFIL3,RSAD2,SERPING1,STAT1,ZNFX1	0.71	7.83	1.0260004397914e-16	4.2140448426157103e-17
3193	HIV-1 GAG-POL NEF (D1)	WETVAX (D5-7)	149	469	49	4241	1724	CBLB,CCL5,CCR7,CD1C,CD2,CD3D,CD3G,CD79B,CD8A,CD8B,FLNB,GZMA,HLA-DOA,IL16,IL18RAP,IL7R,ITM2A,ITPKB,KLRB1,KLRC2,KMT2A,LAT,LCK,LTB,MS4A1,NKG7,NR1D1,PRDX2,PRKCH,PRKCQ,NA,PYHIN1,RHOH,SH2D1A,SKAP1,SRPK2,TCF7,TXK,ZAP70,ADM,AIM2,ALPK1,APOL1,BCL6,BST1,C1QB,C2,C3AR1,CALCOCO2,CASP1,CASP4,CCR1,CD36,CD40,CEBPB,CTSL,CXCL10,CYBB,DTX3L,DYSF,ELF4,FAS,FCN1,FGL2,FPR1,FPR2,GBP1,GBP2,GCH1,GRN,GSDMD,HCK,HERC5,HLA-DPA1,HLA-DRA,HLA-DRB1,HP,ICAM1,IDO1,IFI27,IFI30,IFI35,IFI44,IFI44L,IFI6,IFIT1,IFIT2,IFIT3,IFIT5,IFITM1,IFITM2,IFITM3,IFNGR2,IGSF6,IL15,IL15RA,IL1RN,IRF1,IRF2,IRF7,IRF9,ISG15,JAK2,LGALS9,LILRA2,LILRA3,LILRB1,LILRB3,LST1,LTBR,LYN,MARCO,MNDA,MX1,MX2,MYD88,NCF2,NLRP3,OAS1,OAS2,PLSCR1,PSMB10,PSMB9,PSME1,RIPK2,RSAD2,S100A9,SERPING1,SH2B3,SIRPA,SIRPB1,SLAMF8,STAT1,STAT2,TAP1,TAP2,THEMIS2,TLR1,TLR2,TLR8,TNFRSF1B,TNFSF10,TNFSF13,TRAFD1,TRIM21,TRIM22,USP18,WDFY1,ZNFX1	3.51	8.64	1.3152703641217399e-28	8.6137085701621e-29
3194	HIV-1 GAG-POL NEF (D1)	WETVAX (D50-60)	32	586	53	4241	702	ATM,CBLB,CD1C,CD79B,CD8B,CRTAM,CXCR4,LAT,PRKCH,PRKDC,PTPN22,NA,TGFBR3,ZFP36L2,ADM,C3AR1,CASP3,CCR2,CD300LF,CSF1R,FES,FGL2,FGR,GBA1,HCK,LAIR1,OAS1,RIPK2,TLR8,TNFSF10,TNFSF13,TRIM21	0.75	4.56	1.34723347797944e-56	2.3278308977749097e-56
3195	HIV-1 GAG-POL NEF (D1)	BCG (D7)	1	617	4	4241	14	NA	0.02	7.14	8.09500129679089e-10	2.3968383549578e-10
3196	HIV-1 GAG-POL NEF (D1)	MVA85A (D2)	47	571	12	4241	551	NA,BID,BST2,C3AR1,CASP1,CCL2,CCL3,CCL8,CD68,CFD,CTSL,CXCL10,EIF2AK2,FPR2,FPR3,ICAM1,IFI27,IFI35,IFI44,IFI44L,IFI6,IFIH1,IFIT1,IFIT2,IFIT3,IFITM2,IFITM3,IL4I1,IRF9,ISG15,LGALS9,MARCO,MX1,PARP9,PSMB9,PYCARD,RNASE2,RSAD2,S100A9,SERPING1,SLC15A3,SRC,STAT1,TLR1,TLR6,TLR8,TNFSF10	1.11	8.53	1.5242154466547599e-13	5.42174452393508e-14
3197	HIV-1 GAG-POL NEF (D1)	ZOSTAVAX (D1)	1	617	0	4241	34	CCL5	0.02	2.94	1	0.173737993497139
3198	HIV-1 GAG-POL NEF (D1)	ZOSTAVAX (D3)	2	616	2	4241	26	IFI44L,MX1	0.05	7.69	3.12679139090104e-5	7.11774097921522e-6
3199	HIV-1 GAG-POL NEF (D1)	YF17D (D3)	35	583	0	4241	235	C3AR1,CD38,CXCL10,RIGI,DDX60,DHX58,EIF2AK2,HERC5,IFI27,IFI44,IFI44L,IFI6,IFIH1,IFIT1,IFIT2,IFIT3,IL10,IRF7,ISG15,LAMP3,MX1,MX2,OAS1,OAS2,OAS3,OASL,PARP9,PLSCR1,RSAD2,SAMD9,SERPING1,STAT1,TLR7,TRIM22,TRIM5	0.83	14.89	1	0.173737993497139
3200	HIV-1 GAG-POL NEF (D1)	YF VAX (D4-7)	72	546	72	4241	941	CD244,CD3D,HMGB1,ITGA6,KLRB1,LTB,NKG7,PYHIN1,RPL22,RPS14,RPS3,RPS6,TOP2B,ZAP70,ZFP36L2,ALAS1,CCL8,CD86,CEBPB,CSF1R,RIGI,DHX58,EIF2AK2,FGR,FPR2,GBP5,HERC5,HMOX1,HSH2D,IFI27,IFI30,IFI44,IFI44L,IFI6,IFIT1,IFIT2,IFIT3,IFIT5,IFITM1,IFITM2,IFITM3,IL1RN,IRF9,ISG15,ISG20,LILRB2,MAFB,MX1,MX2,NBN,NMI,NOTCH2,OAS1,OAS2,OAS3,OASL,PARP9,PLSCR1,PSMB9,PSME1,SAMD9,SERPING1,SRC,TAP1,TMEM106A,TNFSF10,TNFSF13B,TRIM21,TRIM22,TYROBP,USP18,ZMIZ1	1.7	7.65	1.68889865818912e-57	3.00038277932521e-57
3201	HIV-1 GAG-POL NEF (D1)	STAMARIL (D10)	83	535	27	4241	857	CAMK1D,DDX3X,FCER1A,PACS1,PRDX2,PRKDC,NA,RPL22,RPS3,ADAR,AIM2,BATF2,BST2,CASP1,CCR1,CD38,CEACAM1,CTSL,CYBB,RIGI,DDX60,DHX58,EIF2AK2,GBP1,GBP2,GBP5,GCH1,HAVCR2,HERC5,IFI16,IFI27,IFI30,IFI35,IFI44,IFI44L,IFI6,IFIH1,IFIT1,IFIT2,IFIT3,IFIT5,IFITM1,IFITM3,IL15,IL1RN,IRF7,IRF9,ISG15,LGALS9,LST1,MICB,MX1,NMI,NUB1,OAS1,OAS2,OAS3,OASL,PARP14,PARP9,PLSCR1,PML,RIPK3,RNF135,RSAD2,SERPING1,SHFL,SNCA,SOCS1,SRC,STAT1,STAT2,TAP1,TAP2,TLR7,TNFSF10,TRAFD1,TRIM21,TRIM22,TRIM38,TRIM5,UBA7,ZBP1	1.96	9.68	9.690417018073779e-23	5.1638739334182697e-23
3202	HIV-1 GAG-POL NEF (D1)	STAMARIL (D14)	4	614	13	4241	137	ATM,CD38,RBM47,TRIM26	0.09	2.92	6.67602915234197e-24	3.7177607693831e-24
3203	HIV-1 GAG-POL NEF (D1)	STAMARIL (D28)	14	604	1	4241	154	ATM,IL7R,ITM2A,RPL22,FCER1G,IL1RN,IRF9,LGALS9,MX1,MYD88,OASL,RIPK3,RNF135,RNF31	0.33	9.09	0.024232633279483	0.00451618456612283
3204	HIV-1 GAG-POL NEF (D1)	STAMARIL (D3)	101	517	20	4241	997	BANK1,CAMK1D,DDX3X,H4C3,PRKDC,RPL22,RPL30,RPS14,RPS3,RPS6,ADAR,AIM2,BCL6,BST2,C1QB,C3AR1,CASP1,CCR1,CD300C,CD68,CD86,CDKN1A,CEACAM1,CSF1R,CTSL,CYBB,RIGI,DDX60,DHX58,EIF2AK2,FCER1G,FCN1,FFAR2,GBP1,GRN,HAVCR2,HERC5,HMOX1,IFI16,IFI27,IFI30,IFI35,IFI44,IFI44L,IFI6,IFIH1,IFIT1,IFIT2,IFIT3,IFIT5,IFITM1,IFITM3,IL1RN,IRF7,IRF9,ISG15,LGALS9,LILRB1,MAFB,MARCO,MICB,MX1,MX2,MYD88,NRROS,NUB1,OAS1,OAS2,OAS3,OASL,PARP14,PARP9,PLSCR1,PSME1,RBCK1,RBM47,RHBDF2,RIPK3,RNF135,RNF31,RSAD2,SCIMP,SERPING1,SHFL,SRC,STAT1,STAT2,TAP1,TAP2,TLR7,TNFSF10,TNFSF13B,TRAFD1,TRIM21,TRIM22,TRIM26,TRIM38,TRIM5,UBA7,ZBP1,ZNFX1	2.38	10.13	9.29210571076593e-16	3.62302456855206e-16
3205	HIV-1 GAG-POL NEF (D1)	STAMARIL (D60)	18	600	4	4241	238	PRDX2,CD86,CYBB,DHX58,FCN1,HAVCR2,IFI30,IL15,KYNU,LGALS9,MICB,NLRP3,NOD2,NUB1,SCIMP,STAT2,TAP1,TLR7	0.42	7.56	1.1842986897205e-6	2.91757957552184e-7
3206	HIV-1 GAG-POL NEF (D1)	STAMARIL (D7)	132	486	44	4241	1374	ATM,BANK1,CAMK1D,DDX3X,GNLY,H4C3,IL7R,ITM2A,KLRB1,PRDX2,PRKDC,NA,RGCC,RPL22,RPL30,RPS14,RPS3,RPS6,ADAR,AIM2,BATF2,BCL6,BST2,C1QB,C3AR1,CCL8,CCR1,CD300C,CD36,CD38,CD68,CD86,CDKN1A,CEACAM1,CSF1R,CTSL,CXCL10,CYBB,RIGI,DDX60,DHX58,EIF2AK2,FCER1G,FCN1,FFAR2,GBP1,GBP2,GBP4,GBP5,GCH1,GRN,HAVCR2,HERC5,HMOX1,HSH2D,IDO1,IFI16,IFI27,IFI30,IFI35,IFI44,IFI44L,IFI6,IFIH1,IFIT1,IFIT2,IFIT3,IFIT5,IFITM1,IFITM3,IL15,IL1RN,IRF7,IRF9,ISG15,ISG20,KIR2DL4,KYNU,LAMP3,LDLR,LGALS9,LILRB1,MAFB,MARCO,MICB,MX1,MX2,MYD88,NLRP3,NMI,NOD2,NRROS,NUB1,OAS1,OAS2,OAS3,OASL,PARP14,PARP9,PIK3AP1,PLSCR1,PML,PSME1,RBCK1,RHBDF2,RIPK3,RNF135,RNF31,RSAD2,SCIMP,SERPING1,SHFL,SOCS1,SRC,STAT1,STAT2,TAP1,TAP2,TLR7,TNFAIP6,TNFSF10,TNFSF13B,TRAFD1,TRIM21,TRIM22,TRIM26,TRIM38,TRIM5,UBA7,UNC93B1,ZBP1,ZNFX1	3.11	9.61	5.8187429445950796e-28	3.73506392635785e-28
3207	HIV-1 GAG-POL NEF (D1)	HPV-VLP (D0)	79	539	69	4241	1025	BCL11B,CD8B,CD96,CDK6,NA,UBASH3A,ADGRE5,ALAS1,APOL1,AXL,BATF3,BST2,C2,CCL2,CCL3,CCL8,CD38,CDKN1A,CFB,CSF2RB,CXCL10,CXCL11,RIGI,EIF2AK2,FAS,FFAR2,FGL2,FPR2,GBP1,GCH1,HERC5,HLX,IDO1,IFI27,IFI44,IFI44L,IFI6,IFIH1,IFIT1,IFIT3,IFIT5,IFITM1,IFITM2,IFITM3,IL15,IL15RA,IRF1,IRF7,ISG15,ISG20,JAK2,LAMP3,MARCO,MMP8,MNDA,MX1,MX2,NMI,OAS1,OAS2,OAS3,OASL,PLSCR1,PML,PSMB9,NECTIN2,RBCK1,SEMA4A,SERPING1,SNCA,SOCS1,SRC,TAP2,TNFAIP6,TNFSF10,TRAFD1,TRIM21,USP18,ZBP1	1.86	7.71	1.74147961443002e-53	2.66253833055974e-53
3208	HIV-1 GAG-POL NEF (D1)	MMR II (Y7)	212	406	260	4241	3035	AQP3,CD1C,CD200,CD27,CD40LG,CTSF,FCER1A,GZMA,H4C8,HLA-DOB,IL16,KLRB1,PAX5,PTGDR,NA,RGCC,RNF125,RPL22,S1PR1,SIRPG,TOP2B,VNN1,ADM,AIM2,ALOX5,APOL1,AXL,BAK1,BATF2,BATF3,BST1,BST2,C1QC,C2,CASP1,CASP3,CASP4,CCL2,CCL3,CCL8,CCR1,CCR2,CCRL2,CD14,CD274,CD300C,CD300LB,CD300LF,CD33,CD36,CD38,CD40,CDC42EP2,CDKN1A,CEACAM1,CEACAM3,CFB,CGAS,CLEC5A,CLEC7A,CSF1R,CTSL,CXCL10,CXCL11,CYBB,RIGI,DDX60,DHX58,DTX3L,DYSF,EIF2AK2,ELF4,FAS,FCGR2A,FCN1,FES,FFAR2,FPR1,GBP1,GBP2,GBP4,GBP5,GCH1,GCNT1,GTPBP1,HCAR2,HERC5,HHEX,HLA-DMA,HLA-DMB,HLX,HRH2,HSH2D,ICAM1,IDO1,IFI27,IFI35,IFI44,IFI44L,IFI6,IFIH1,IFIT1,IFIT2,IFIT3,IFIT5,IFITM1,IFITM2,IFITM3,IL15,IL15RA,IL1RN,IL27,IL4I1,IRF1,IRF2,IRF7,ISG15,ISG20,JAK2,KIR2DL4,LAMP3,LAT2,LGALS9,LGALS9B,LILRA1,LILRA2,LILRA3,LILRA5,LILRA6,LILRB2,LILRB4,LOXL3,LST1,LYN,MEFV,MICB,MX1,MX2,N4BP1,NAIP,NBN,NFAM1,NINJ1,NLRC4,NMI,NOD1,NOD2,NR1H3,NUB1,OAS1,OAS2,OAS3,OASL,P2RX4,P2RX7,PARP14,PARP9,PDCD1LG2,PLSCR1,PML,PSMB9,NECTIN2,RAB20,RBCK1,RHBDF2,RIPK2,RNASE2,RNF19B,RNF213,RSAD2,S100A9,SAMD9,SECTM1,SEMA4A,SERPINB9,SERPING1,SH2B2,SHFL,SKAP2,SLAMF7,SLAMF8,SLC11A1,SNCA,SOCS1,SP100,SRC,STAT1,STAT2,TANK,TAP1,TAP2,TLR2,TLR6,TMEM106A,TMEM229B,TNFAIP6,TNFAIP8L2,TNFSF10,TNFSF13B,TRAFD1,TREX1,TRIM14,TRIM21,TRIM22,TRIM25,TRIM26,TRIM38,TRIM5,USP18,WDFY1,ZBP1,ZNFX1	5	6.99	2.9464875495562e-91	1.60194664659382e-90
3209	HIV-1 GAG-POL NEF (D1)	PREVNAR (M8)	7	611	13	4241	130	GNLY,H2BC7,CD274,FGL2,GBP4,GBP5,SERPING1	0.17	5.38	2.17447806676281e-22	1.14376624361064e-22
3210	HIV-1 GAG-POL NEF (D1)	PREVNAR (M9)	12	606	23	4241	214	CTSW,GZMA,H4C13,H4C6,H4C9,CD14,CD274,FGL2,GBP4,GBP5,MERTK,SERPING1	0.28	5.61	8.90464838796812e-34	6.89488637165735e-34
3211	HIV-1 GAG-POL NEF (D1)	DRYVAX (M48)	7	611	16	4241	158	H2BC8,H4C3,H4C5,H4C8,CD14,PDCD1LG2,S100A9	0.17	4.43	9.1099249012953e-27	5.6161744535055995e-27
3212	HIV-1 GAG-POL NEF (D1)	DRYVAX (M9-M34)	3	615	3	4241	80	CD160,H4C5,HERC5	0.07	3.75	5.03509080660393e-7	1.26917476536746e-7
3213	HIV-1 GAG-POL NEF (D1)	BCG (W10)	65	553	79	4241	1065	CXCR5,RGCC,VNN1,APOL1,BATF3,C3AR1,C5AR1,CCL3,CCR1,CD151,CD300C,CD300LB,CD33,CD36,CD38,CD86,CEBPB,CLEC5A,CSF1R,CTSD,CXCL10,CXCL16,CYBB,FGL2,FGR,FPR3,G6PD,GBP1,GBP2,GBP4,GBP5,HAVCR2,HMOX1,IDO1,IFI30,IFI44L,IFIH1,IFIT3,IGSF6,IL1RN,IRF1,IRF9,ISG15,LAMP3,LILRA2,LTBR,MNDA,MX1,NLRC4,NRROS,OAS3,PARP9,PLA2G7,PSMB9,RIPK2,SIRPA,SLAMF8,SOCS1,SPI1,STAT1,THEMIS2,TNFAIP6,TRIM22,TYROBP,ZMIZ1	1.53	6.1	1.61720676101454e-64	3.85603794160714e-64
3214	HIV-1 GAG-POL NEF (D1)	PPD (W10)	37	581	64	4241	724	CXCR5,RGCC,C5AR1,CCL3,CCR1,CD151,CD33,CD36,CD86,CSF1R,CTSD,FCN1,FGL2,FPR3,G6PD,GBP1,GBP2,GBP4,GBP5,GRN,HAVCR2,HMOX1,IDO1,IFI30,IGSF6,IL1RN,LAMP3,MNDA,NLRC4,NRROS,PARP9,RIPK2,SIRPA,SLAMF8,THEMIS2,TNFAIP6,ZMIZ1	0.87	5.11	6.29472312113689e-64	1.43576354785227e-63
3215	HIV-1 GAG-POL NEF (D1)	TC-83 (D14)	49	569	73	4241	779	AQP3,ATM,BCL11B,BMI1,CAMK4,CBLB,CD28,CD3D,CRTAM,FYN,GZMA,HMGB1,IGHM,IL7R,ITK,KLRC2,KLRK1,LEF1,MS4A1,PLEKHA1,NA,RASGRP1,RORA,SH2D1A,STK39,TGFBR3,THEMIS,TRAT1,DDX60,GBP1,GCH1,HERC5,IFI27,IFI44,IFI44L,IFI6,IFIH1,IFIT1,IFIT5,ISG15,OAS1,OAS2,OAS3,OASL,RSAD2,SAMD9,SLAMF7,TIFA,TRIM22	1.16	6.29	4.3776358155399e-66	1.12001575503319e-65
3216	HIV-1 GAG-POL NEF (D1)	TC-83 (D2)	67	551	7	4241	490	CAMK1D,FCER1A,IGF1R,ITM2A,NA,BATF2,BST2,CCL2,CCL8,CD274,CEACAM1,CXCL10,RIGI,DDX60,EIF2AK2,GBP1,GBP4,GBP5,GCH1,HERC5,IFI16,IFI27,IFI35,IFI44,IFI44L,IFI6,IFIH1,IFIT1,IFIT2,IFIT3,IFIT5,IFITM1,IFITM2,IL1RN,IRF7,ISG15,ISG20,LAMP3,LGALS9,MAFB,MX1,MX2,NUB1,OAS1,OAS2,OAS3,OASL,PARP14,PARP9,PLSCR1,PML,RNF213,RSAD2,SAMD9,SERPING1,SHFL,SOCS1,STAT1,STAT2,TNFAIP6,TNFSF10,TNFSF13B,TREX1,TRIM22,TRIM5,USP18,ZBP1	1.58	13.67	2.51816678595639e-7	6.44533083685077e-8
3217	HIV-1 GAG-POL NEF (D1)	TC-83 (D7)	46	572	4	4241	273	IGF1R,CCR1,CXCL10,RIGI,DDX60,EIF2AK2,GBP1,HERC5,IFI27,IFI35,IFI44,IFI44L,IFI6,IFIH1,IFIT1,IFIT2,IFIT3,IFIT5,IFITM1,IFITM2,IL1RN,IRF7,ISG15,LAMP3,MAFB,MX1,MX2,OAS1,OAS2,OAS3,OASL,PARP14,PARP9,PLSCR1,RNF213,RSAD2,SAMD9,SERPING1,STAT2,TNFAIP6,TNFSF10,TRIM14,TRIM22,TRIM5,USP18,ZBP1	1.08	16.85	3.72855759730188e-5	8.44642736927186e-6
3218	HIV-1 GAG-POL NEF (D1)	MVA85A (D1)	7	611	2	4241	52	NA,CASP1,CASP4,CXCL10,GBP5,IDO1,PARP9	0.17	13.46	1.8760748345406e-4	4.05894368087458e-5
3219	HIV-1 GAG-POL NEF (D1)	MVA85A (D28)	7	611	1	4241	75	CCL8,CXCL10,GBP1,GBP4,IFI35,PARP9,STAT1	0.17	9.33	0.012924071082391	0.0024654597413607
3220	HIV-1 GAG-POL NEF (D1)	BBIBP (V3, D14)	2	616	5	4241	57	CCL3,FFAR2	0.05	3.51	2.7286521225137798e-11	8.71991931757603e-12
3222	HIV-1 GAG-POL NEF (D1)	BNT (V1, D6)	1	617	1	4241	13	IFI27	0.02	7.69	0.00323101777059774	6.4833040923787e-4
