"condition","direction","term_ancestor","n_genes","n_genes_total","n_genes_perc","type","disease_vac"
"ChAd (V1, D6)","UP","No annotation",19,154,12.3,"VV","V"
"ChAd (V1, D7)","DOWN","interspecies interaction BP",5,57,8.8,"VV","V"
"ChAd (V1, D7)","DOWN","biological regulation",22,57,38.6,"VV","V"
"ChAd (V1, D7)","DOWN","cellular process",34,57,59.6,"VV","V"
"ChAd (V1, D7)","DOWN","immune system process",9,57,15.8,"VV","V"
"ChAd (V1, D7)","DOWN","locomotion",5,57,8.8,"VV","V"
"ChAd (V1, D7)","DOWN","positive regulation of biological process",13,57,22.8,"VV","V"
"ChAd (V1, D7)","DOWN","regulation of biological process",21,57,36.8,"VV","V"
"ChAd (V1, D7)","DOWN","No annotation",20,57,35.1,"VV","V"
"ChAd (V1, D7)","UP","interspecies interaction BP",17,201,8.5,"VV","V"
"ChAd (V1, D7)","UP","biological regulation",130,201,64.7,"VV","V"
"ChAd (V1, D7)","UP","cellular process",165,201,82.1,"VV","V"
"ChAd (V1, D7)","UP","immune system process",29,201,14.4,"VV","V"
"ChAd (V1, D7)","UP","locomotion",14,201,7,"VV","V"
"ChAd (V1, D7)","UP","positive regulation of biological process",71,201,35.3,"VV","V"
"ChAd (V1, D7)","UP","regulation of biological process",126,201,62.7,"VV","V"
"ChAd (V1, D7)","UP","reproductive process",29,201,14.4,"VV","V"
"ChAd (V1, D7)","UP","rhythmic process",6,201,3,"VV","V"
"ChAd (V1, D7)","UP","No annotation",33,201,16.4,"VV","V"
"ChAd (V2, D1)","DOWN","interspecies interaction BP",8,249,3.2,"VV","V"
"ChAd (V2, D1)","DOWN","biological regulation",66,249,26.5,"VV","V"
"ChAd (V2, D1)","DOWN","cellular process",131,249,52.6,"VV","V"
"ChAd (V2, D1)","DOWN","immune system process",27,249,10.8,"VV","V"
"ChAd (V2, D1)","DOWN","locomotion",8,249,3.2,"VV","V"
"ChAd (V2, D1)","DOWN","positive regulation of biological process",30,249,12,"VV","V"
"ChAd (V2, D1)","DOWN","regulation of biological process",65,249,26.1,"VV","V"
"ChAd (V2, D1)","DOWN","reproductive process",7,249,2.8,"VV","V"
"ChAd (V2, D1)","DOWN","rhythmic process",1,249,0.4,"VV","V"
"ChAd (V2, D1)","DOWN","No annotation",111,249,44.6,"VV","V"
"ChAd (V2, D1)","UP","interspecies interaction BP",115,452,25.4,"VV","V"
"ChAd (V2, D1)","UP","biological regulation",204,452,45.1,"VV","V"
"ChAd (V2, D1)","UP","cellular process",239,452,52.9,"VV","V"
"ChAd (V2, D1)","UP","immune system process",116,452,25.7,"VV","V"
"ChAd (V2, D1)","UP","locomotion",29,452,6.4,"VV","V"
"ChAd (V2, D1)","UP","positive regulation of biological process",120,452,26.5,"VV","V"
"ChAd (V2, D1)","UP","regulation of biological process",201,452,44.5,"VV","V"
"ChAd (V2, D1)","UP","reproductive process",21,452,4.6,"VV","V"
"ChAd (V2, D1)","UP","rhythmic process",4,452,0.9,"VV","V"
"ChAd (V2, D1)","UP","No annotation",195,452,43.1,"VV","V"
"ChAd (V2, D3)","DOWN","interspecies interaction BP",1,19,5.3,"VV","V"
"ChAd (V2, D3)","DOWN","biological regulation",12,19,63.2,"VV","V"
"ChAd (V2, D3)","DOWN","cellular process",15,19,78.9,"VV","V"
"ChAd (V2, D3)","DOWN","immune system process",2,19,10.5,"VV","V"
"ChAd (V2, D3)","DOWN","locomotion",4,19,21.1,"VV","V"
"ChAd (V2, D3)","DOWN","positive regulation of biological process",7,19,36.8,"VV","V"
"ChAd (V2, D3)","DOWN","regulation of biological process",12,19,63.2,"VV","V"
"ChAd (V2, D3)","DOWN","reproductive process",2,19,10.5,"VV","V"
"ChAd (V2, D3)","DOWN","rhythmic process",3,19,15.8,"VV","V"
"ChAd (V2, D3)","DOWN","No annotation",3,19,15.8,"VV","V"
"ChAd (V2, D3)","UP","interspecies interaction BP",9,169,5.3,"VV","V"
"ChAd (V2, D3)","UP","biological regulation",55,169,32.5,"VV","V"
"ChAd (V2, D3)","UP","cellular process",78,169,46.2,"VV","V"
"ChAd (V2, D3)","UP","immune system process",9,169,5.3,"VV","V"
"ChAd (V2, D3)","UP","locomotion",7,169,4.1,"VV","V"
"ChAd (V2, D3)","UP","pigmentation",1,169,0.6,"VV","V"
"ChAd (V2, D3)","UP","positive regulation of biological process",27,169,16,"VV","V"
"ChAd (V2, D3)","UP","regulation of biological process",54,169,32,"VV","V"
"ChAd (V2, D3)","UP","reproductive process",8,169,4.7,"VV","V"
"ChAd (V2, D3)","UP","rhythmic process",2,169,1.2,"VV","V"
"ChAd (V2, D3)","UP","No annotation",89,169,52.7,"VV","V"
"ChAd (V2, D7)","DOWN","interspecies interaction BP",1,5,20,"VV","V"
"ChAd (V2, D7)","DOWN","biological regulation",3,5,60,"VV","V"
"ChAd (V2, D7)","DOWN","cellular process",5,5,100,"VV","V"
"ChAd (V2, D7)","DOWN","immune system process",1,5,20,"VV","V"
"ChAd (V2, D7)","DOWN","locomotion",1,5,20,"VV","V"
"ChAd (V2, D7)","DOWN","positive regulation of biological process",1,5,20,"VV","V"
"ChAd (V2, D7)","DOWN","regulation of biological process",3,5,60,"VV","V"
"ChAd (V2, D7)","UP","biological regulation",1,3,33.3,"VV","V"
"ChAd (V2, D7)","UP","cellular process",2,3,66.7,"VV","V"
"ChAd (V2, D7)","UP","positive regulation of biological process",1,3,33.3,"VV","V"
"ChAd (V2, D7)","UP","regulation of biological process",1,3,33.3,"VV","V"
"ChAd (V2, D7)","UP","No annotation",1,3,33.3,"VV","V"
"ChAd-BNT (V2, D3)","DOWN","interspecies interaction BP",25,254,9.8,"RNA","V"
"ChAd-BNT (V2, D3)","DOWN","biological regulation",124,254,48.8,"RNA","V"
"ChAd-BNT (V2, D3)","DOWN","cellular process",161,254,63.4,"RNA","V"
"ChAd-BNT (V2, D3)","DOWN","immune system process",36,254,14.2,"RNA","V"
"ChAd-BNT (V2, D3)","DOWN","locomotion",32,254,12.6,"RNA","V"
"ChAd-BNT (V2, D3)","DOWN","pigmentation",1,254,0.4,"RNA","V"
"ChAd-BNT (V2, D3)","DOWN","positive regulation of biological process",68,254,26.8,"RNA","V"
"ChAd-BNT (V2, D3)","DOWN","regulation of biological process",121,254,47.6,"RNA","V"
"ChAd-BNT (V2, D3)","DOWN","reproductive process",16,254,6.3,"RNA","V"
"ChAd-BNT (V2, D3)","DOWN","rhythmic process",5,254,2,"RNA","V"
"ChAd-BNT (V2, D3)","DOWN","No annotation",85,254,33.5,"RNA","V"
"ChAd-BNT (V2, D3)","UP","interspecies interaction BP",124,597,20.8,"RNA","V"
"ChAd-BNT (V2, D3)","UP","biological regulation",334,597,55.9,"RNA","V"
"ChAd-BNT (V2, D3)","UP","cellular process",404,597,67.7,"RNA","V"
"ChAd-BNT (V2, D3)","UP","immune system process",146,597,24.5,"RNA","V"
"ChAd-BNT (V2, D3)","UP","locomotion",52,597,8.7,"RNA","V"
"ChAd-BNT (V2, D3)","UP","pigmentation",3,597,0.5,"RNA","V"
"ChAd-BNT (V2, D3)","UP","positive regulation of biological process",203,597,34,"RNA","V"
"ChAd-BNT (V2, D3)","UP","regulation of biological process",323,597,54.1,"RNA","V"
"ChAd-BNT (V2, D3)","UP","reproductive process",30,597,5,"RNA","V"
"ChAd-BNT (V2, D3)","UP","rhythmic process",5,597,0.8,"RNA","V"
"ChAd-BNT (V2, D3)","UP","No annotation",171,597,28.6,"RNA","V"
"ChAd-BNT (V2, D7)","DOWN","interspecies interaction BP",75,464,16.2,"RNA","V"
"ChAd-BNT (V2, D7)","DOWN","biological regulation",267,464,57.5,"RNA","V"
"ChAd-BNT (V2, D7)","DOWN","cellular process",327,464,70.5,"RNA","V"
"ChAd-BNT (V2, D7)","DOWN","immune system process",98,464,21.1,"RNA","V"
"ChAd-BNT (V2, D7)","DOWN","locomotion",63,464,13.6,"RNA","V"
"ChAd-BNT (V2, D7)","DOWN","pigmentation",1,464,0.2,"RNA","V"
"ChAd-BNT (V2, D7)","DOWN","positive regulation of biological process",150,464,32.3,"RNA","V"
"ChAd-BNT (V2, D7)","DOWN","regulation of biological process",261,464,56.2,"RNA","V"
"ChAd-BNT (V2, D7)","DOWN","reproductive process",40,464,8.6,"RNA","V"
"ChAd-BNT (V2, D7)","DOWN","rhythmic process",11,464,2.4,"RNA","V"
"ChAd-BNT (V2, D7)","DOWN","No annotation",127,464,27.4,"RNA","V"
"ChAd-BNT (V2, D7)","UP","interspecies interaction BP",10,276,3.6,"RNA","V"
"ChAd-BNT (V2, D7)","UP","biological regulation",125,276,45.3,"RNA","V"
"ChAd-BNT (V2, D7)","UP","cellular process",172,276,62.3,"RNA","V"
"ChAd-BNT (V2, D7)","UP","immune system process",19,276,6.9,"RNA","V"
"ChAd-BNT (V2, D7)","UP","locomotion",7,276,2.5,"RNA","V"
"ChAd-BNT (V2, D7)","UP","positive regulation of biological process",65,276,23.6,"RNA","V"
"ChAd-BNT (V2, D7)","UP","regulation of biological process",121,276,43.8,"RNA","V"
"ChAd-BNT (V2, D7)","UP","reproductive process",26,276,9.4,"RNA","V"
"ChAd-BNT (V2, D7)","UP","rhythmic process",4,276,1.4,"RNA","V"
"ChAd-BNT (V2, D7)","UP","No annotation",103,276,37.3,"RNA","V"
"ChAd-BNT (V3, D1)","DOWN","interspecies interaction BP",18,163,11,"RNA","V"
"ChAd-BNT (V3, D1)","DOWN","biological regulation",63,163,38.7,"RNA","V"
"ChAd-BNT (V3, D1)","DOWN","cellular process",113,163,69.3,"RNA","V"
"ChAd-BNT (V3, D1)","DOWN","immune system process",44,163,27,"RNA","V"
"ChAd-BNT (V3, D1)","DOWN","locomotion",8,163,4.9,"RNA","V"
"ChAd-BNT (V3, D1)","DOWN","positive regulation of biological process",32,163,19.6,"RNA","V"
"ChAd-BNT (V3, D1)","DOWN","regulation of biological process",62,163,38,"RNA","V"
"ChAd-BNT (V3, D1)","DOWN","reproductive process",9,163,5.5,"RNA","V"
"ChAd-BNT (V3, D1)","DOWN","rhythmic process",2,163,1.2,"RNA","V"
"ChAd-BNT (V3, D1)","DOWN","No annotation",42,163,25.8,"RNA","V"
"ChAd-BNT (V3, D1)","UP","interspecies interaction BP",169,813,20.8,"RNA","V"
"ChAd-BNT (V3, D1)","UP","biological regulation",413,813,50.8,"RNA","V"
"ChAd-BNT (V3, D1)","UP","cellular process",512,813,63,"RNA","V"
"ChAd-BNT (V3, D1)","UP","immune system process",196,813,24.1,"RNA","V"
"ChAd-BNT (V3, D1)","UP","locomotion",69,813,8.5,"RNA","V"
"ChAd-BNT (V3, D1)","UP","positive regulation of biological process",258,813,31.7,"RNA","V"
"ChAd-BNT (V3, D1)","UP","regulation of biological process",404,813,49.7,"RNA","V"
"ChAd-BNT (V3, D1)","UP","reproductive process",43,813,5.3,"RNA","V"
"ChAd-BNT (V3, D1)","UP","rhythmic process",11,813,1.4,"RNA","V"
"ChAd-BNT (V3, D1)","UP","No annotation",282,813,34.7,"RNA","V"
"I (D10, moderate)","DOWN","interspecies interaction BP",121,1264,9.6,"I","I"
"I (D10, moderate)","DOWN","biological regulation",766,1264,60.6,"I","I"
"I (D10, moderate)","DOWN","cellular process",978,1264,77.4,"I","I"
"I (D10, moderate)","DOWN","immune system process",203,1264,16.1,"I","I"
"I (D10, moderate)","DOWN","locomotion",108,1264,8.5,"I","I"
"I (D10, moderate)","DOWN","pigmentation",6,1264,0.5,"I","I"
"I (D10, moderate)","DOWN","positive regulation of biological process",413,1264,32.7,"I","I"
"I (D10, moderate)","DOWN","regulation of biological process",742,1264,58.7,"I","I"
"I (D10, moderate)","DOWN","reproductive process",80,1264,6.3,"I","I"
"I (D10, moderate)","DOWN","rhythmic process",17,1264,1.3,"I","I"
"I (D10, moderate)","DOWN","No annotation",251,1264,19.9,"I","I"
"I (D10, moderate)","UP","interspecies interaction BP",241,1687,14.3,"I","I"
"I (D10, moderate)","UP","biological regulation",955,1687,56.6,"I","I"
"I (D10, moderate)","UP","cellular process",1235,1687,73.2,"I","I"
"I (D10, moderate)","UP","immune system process",282,1687,16.7,"I","I"
"I (D10, moderate)","UP","locomotion",145,1687,8.6,"I","I"
"I (D10, moderate)","UP","pigmentation",9,1687,0.5,"I","I"
"I (D10, moderate)","UP","positive regulation of biological process",566,1687,33.6,"I","I"
"I (D10, moderate)","UP","regulation of biological process",928,1687,55,"I","I"
"I (D10, moderate)","UP","reproductive process",157,1687,9.3,"I","I"
"I (D10, moderate)","UP","rhythmic process",24,1687,1.4,"I","I"
"I (D10, moderate)","UP","No annotation",407,1687,24.1,"I","I"
"I (D10, severe)","DOWN","interspecies interaction BP",144,1725,8.3,"I","I"
"I (D10, severe)","DOWN","biological regulation",1004,1725,58.2,"I","I"
"I (D10, severe)","DOWN","cellular process",1341,1725,77.7,"I","I"
"I (D10, severe)","DOWN","immune system process",234,1725,13.6,"I","I"
"I (D10, severe)","DOWN","locomotion",115,1725,6.7,"I","I"
"I (D10, severe)","DOWN","pigmentation",5,1725,0.3,"I","I"
"I (D10, severe)","DOWN","positive regulation of biological process",522,1725,30.3,"I","I"
"I (D10, severe)","DOWN","regulation of biological process",975,1725,56.5,"I","I"
"I (D10, severe)","DOWN","reproductive process",95,1725,5.5,"I","I"
"I (D10, severe)","DOWN","rhythmic process",21,1725,1.2,"I","I"
"I (D10, severe)","DOWN","No annotation",348,1725,20.2,"I","I"
"I (D10, severe)","UP","interspecies interaction BP",234,2146,10.9,"I","I"
"I (D10, severe)","UP","biological regulation",1173,2146,54.7,"I","I"
"I (D10, severe)","UP","cellular process",1542,2146,71.9,"I","I"
"I (D10, severe)","UP","immune system process",301,2146,14,"I","I"
"I (D10, severe)","UP","locomotion",165,2146,7.7,"I","I"
"I (D10, severe)","UP","pigmentation",13,2146,0.6,"I","I"
"I (D10, severe)","UP","positive regulation of biological process",683,2146,31.8,"I","I"
"I (D10, severe)","UP","regulation of biological process",1140,2146,53.1,"I","I"
"I (D10, severe)","UP","reproductive process",156,2146,7.3,"I","I"
"I (D10, severe)","UP","rhythmic process",26,2146,1.2,"I","I"
"I (D10, severe)","UP","No annotation",550,2146,25.6,"I","I"
"I (D26, moderate)","DOWN","interspecies interaction BP",75,843,8.9,"I","I"
"I (D26, moderate)","DOWN","biological regulation",510,843,60.5,"I","I"
"I (D26, moderate)","DOWN","cellular process",622,843,73.8,"I","I"
"I (D26, moderate)","DOWN","immune system process",143,843,17,"I","I"
"I (D26, moderate)","DOWN","locomotion",64,843,7.6,"I","I"
"I (D26, moderate)","DOWN","pigmentation",1,843,0.1,"I","I"
"I (D26, moderate)","DOWN","positive regulation of biological process",276,843,32.7,"I","I"
"I (D26, moderate)","DOWN","regulation of biological process",494,843,58.6,"I","I"
"I (D26, moderate)","DOWN","reproductive process",51,843,6,"I","I"
"I (D26, moderate)","DOWN","rhythmic process",12,843,1.4,"I","I"
"I (D26, moderate)","DOWN","No annotation",199,843,23.6,"I","I"
"I (D26, moderate)","UP","interspecies interaction BP",127,1075,11.8,"I","I"
"I (D26, moderate)","UP","biological regulation",620,1075,57.7,"I","I"
"I (D26, moderate)","UP","cellular process",815,1075,75.8,"I","I"
"I (D26, moderate)","UP","immune system process",174,1075,16.2,"I","I"
"I (D26, moderate)","UP","locomotion",103,1075,9.6,"I","I"
"I (D26, moderate)","UP","pigmentation",7,1075,0.7,"I","I"
"I (D26, moderate)","UP","positive regulation of biological process",363,1075,33.8,"I","I"
"I (D26, moderate)","UP","regulation of biological process",603,1075,56.1,"I","I"
"I (D26, moderate)","UP","reproductive process",120,1075,11.2,"I","I"
"I (D26, moderate)","UP","rhythmic process",13,1075,1.2,"I","I"
"I (D26, moderate)","UP","No annotation",238,1075,22.1,"I","I"
"I (D26, severe)","DOWN","interspecies interaction BP",173,1953,8.9,"I","I"
"I (D26, severe)","DOWN","biological regulation",1149,1953,58.8,"I","I"
"I (D26, severe)","DOWN","cellular process",1556,1953,79.7,"I","I"
"I (D26, severe)","DOWN","immune system process",288,1953,14.7,"I","I"
"I (D26, severe)","DOWN","locomotion",138,1953,7.1,"I","I"
"I (D26, severe)","DOWN","pigmentation",6,1953,0.3,"I","I"
"I (D26, severe)","DOWN","positive regulation of biological process",613,1953,31.4,"I","I"
"I (D26, severe)","DOWN","regulation of biological process",1102,1953,56.4,"I","I"
"I (D26, severe)","DOWN","reproductive process",109,1953,5.6,"I","I"
"I (D26, severe)","DOWN","rhythmic process",23,1953,1.2,"I","I"
"I (D26, severe)","DOWN","No annotation",349,1953,17.9,"I","I"
"I (D26, severe)","UP","interspecies interaction BP",185,1812,10.2,"I","I"
"I (D26, severe)","UP","biological regulation",985,1812,54.4,"I","I"
"I (D26, severe)","UP","cellular process",1301,1812,71.8,"I","I"
"I (D26, severe)","UP","immune system process",241,1812,13.3,"I","I"
"I (D26, severe)","UP","locomotion",139,1812,7.7,"I","I"
"I (D26, severe)","UP","pigmentation",9,1812,0.5,"I","I"
"I (D26, severe)","UP","positive regulation of biological process",557,1812,30.7,"I","I"
"I (D26, severe)","UP","regulation of biological process",957,1812,52.8,"I","I"
"I (D26, severe)","UP","reproductive process",153,1812,8.4,"I","I"
"I (D26, severe)","UP","rhythmic process",26,1812,1.4,"I","I"
"I (D26, severe)","UP","No annotation",460,1812,25.4,"I","I"
"I (D51, moderate)","DOWN","biological regulation",5,14,35.7,"I","I"
"I (D51, moderate)","DOWN","cellular process",8,14,57.1,"I","I"
"I (D51, moderate)","DOWN","immune system process",3,14,21.4,"I","I"
"I (D51, moderate)","DOWN","locomotion",1,14,7.1,"I","I"
"I (D51, moderate)","DOWN","positive regulation of biological process",4,14,28.6,"I","I"
"I (D51, moderate)","DOWN","regulation of biological process",5,14,35.7,"I","I"
"I (D51, moderate)","DOWN","reproductive process",1,14,7.1,"I","I"
"I (D51, moderate)","DOWN","No annotation",6,14,42.9,"I","I"
"I (D51, moderate)","UP","interspecies interaction BP",7,36,19.4,"I","I"
"I (D51, moderate)","UP","biological regulation",18,36,50,"I","I"
"I (D51, moderate)","UP","cellular process",27,36,75,"I","I"
"I (D51, moderate)","UP","immune system process",9,36,25,"I","I"
"I (D51, moderate)","UP","locomotion",1,36,2.8,"I","I"
"I (D51, moderate)","UP","positive regulation of biological process",11,36,30.6,"I","I"
"I (D51, moderate)","UP","regulation of biological process",17,36,47.2,"I","I"
"I (D51, moderate)","UP","reproductive process",1,36,2.8,"I","I"
"I (D51, moderate)","UP","No annotation",5,36,13.9,"I","I"
"I (D51, severe)","DOWN","interspecies interaction BP",44,611,7.2,"I","I"
"I (D51, severe)","DOWN","biological regulation",357,611,58.4,"I","I"
"I (D51, severe)","DOWN","cellular process",450,611,73.6,"I","I"
"I (D51, severe)","DOWN","immune system process",69,611,11.3,"I","I"
"I (D51, severe)","DOWN","locomotion",53,611,8.7,"I","I"
"I (D51, severe)","DOWN","pigmentation",1,611,0.2,"I","I"
"I (D51, severe)","DOWN","positive regulation of biological process",169,611,27.7,"I","I"
"I (D51, severe)","DOWN","regulation of biological process",340,611,55.6,"I","I"
"I (D51, severe)","DOWN","reproductive process",33,611,5.4,"I","I"
"I (D51, severe)","DOWN","rhythmic process",10,611,1.6,"I","I"
"I (D51, severe)","DOWN","No annotation",158,611,25.9,"I","I"
"I (D51, severe)","UP","interspecies interaction BP",235,1569,15,"I","I"
"I (D51, severe)","UP","biological regulation",971,1569,61.9,"I","I"
"I (D51, severe)","UP","cellular process",1207,1569,76.9,"I","I"
"I (D51, severe)","UP","immune system process",308,1569,19.6,"I","I"
"I (D51, severe)","UP","locomotion",138,1569,8.8,"I","I"
"I (D51, severe)","UP","pigmentation",8,1569,0.5,"I","I"
"I (D51, severe)","UP","positive regulation of biological process",596,1569,38,"I","I"
"I (D51, severe)","UP","regulation of biological process",953,1569,60.7,"I","I"
"I (D51, severe)","UP","reproductive process",124,1569,7.9,"I","I"
"I (D51, severe)","UP","rhythmic process",28,1569,1.8,"I","I"
"I (D51, severe)","UP","No annotation",328,1569,20.9,"I","I"
"I-BNT-I (D2)","DOWN","biological regulation",1,2,50,"I","I"
"I-BNT-I (D2)","DOWN","cellular process",2,2,100,"I","I"
"I-BNT-I (D2)","DOWN","positive regulation of biological process",1,2,50,"I","I"
"I-BNT-I (D2)","DOWN","regulation of biological process",1,2,50,"I","I"
"I-BNT-I (D2)","UP","interspecies interaction BP",1,3,33.3,"I","I"
"I-BNT-I (D2)","UP","biological regulation",2,3,66.7,"I","I"
"I-BNT-I (D2)","UP","cellular process",2,3,66.7,"I","I"
"I-BNT-I (D2)","UP","immune system process",1,3,33.3,"I","I"
"I-BNT-I (D2)","UP","positive regulation of biological process",2,3,66.7,"I","I"
"I-BNT-I (D2)","UP","regulation of biological process",2,3,66.7,"I","I"
"I-BNT-I (D2)","UP","reproductive process",1,3,33.3,"I","I"
"I-BNT-I (D2)","UP","rhythmic process",1,3,33.3,"I","I"
"I-BNT-I (D2)","UP","No annotation",1,3,33.3,"I","I"
"I-BNT-I (D5)","DOWN","biological regulation",1,1,100,"I","I"
"I-BNT-I (D5)","DOWN","cellular process",1,1,100,"I","I"
"I-BNT-I (D5)","DOWN","positive regulation of biological process",1,1,100,"I","I"
"I-BNT-I (D5)","DOWN","regulation of biological process",1,1,100,"I","I"
"I-I (D1)","DOWN","interspecies interaction BP",6,37,16.2,"I","I"
"I-I (D1)","DOWN","biological regulation",24,37,64.9,"I","I"
"I-I (D1)","DOWN","cellular process",32,37,86.5,"I","I"
"I-I (D1)","DOWN","immune system process",14,37,37.8,"I","I"
"I-I (D1)","DOWN","positive regulation of biological process",14,37,37.8,"I","I"
"I-I (D1)","DOWN","regulation of biological process",24,37,64.9,"I","I"
"I-I (D1)","DOWN","reproductive process",3,37,8.1,"I","I"
"I-I (D1)","DOWN","No annotation",4,37,10.8,"I","I"
"I-I (D2)","DOWN","cellular process",1,1,100,"I","I"
"I-I (D3)","DOWN","biological regulation",1,2,50,"I","I"
"I-I (D3)","DOWN","cellular process",2,2,100,"I","I"
"I-I (D3)","DOWN","positive regulation of biological process",1,2,50,"I","I"
"I-I (D3)","DOWN","regulation of biological process",1,2,50,"I","I"
"I-I (D3)","UP","biological regulation",1,1,100,"I","I"
"I-I (D3)","UP","cellular process",1,1,100,"I","I"
"I-I (D3)","UP","regulation of biological process",1,1,100,"I","I"
"I-I (D5)","DOWN","biological regulation",3,9,33.3,"I","I"
"I-I (D5)","DOWN","cellular process",6,9,66.7,"I","I"
"I-I (D5)","DOWN","immune system process",1,9,11.1,"I","I"
"I-I (D5)","DOWN","regulation of biological process",3,9,33.3,"I","I"
"I-I (D5)","DOWN","reproductive process",2,9,22.2,"I","I"
"I-I (D5)","DOWN","No annotation",3,9,33.3,"I","I"
"I-I (D5)","UP","biological regulation",1,4,25,"I","I"
"I-I (D5)","UP","cellular process",3,4,75,"I","I"
"I-I (D5)","UP","regulation of biological process",1,4,25,"I","I"
"I-I (D5)","UP","No annotation",1,4,25,"I","I"
"ZF2001 (V3, D07)","DOWN","interspecies interaction BP",10,178,5.6,"SU","V"
"ZF2001 (V3, D07)","DOWN","biological regulation",104,178,58.4,"SU","V"
"ZF2001 (V3, D07)","DOWN","cellular process",129,178,72.5,"SU","V"
"ZF2001 (V3, D07)","DOWN","immune system process",23,178,12.9,"SU","V"
"ZF2001 (V3, D07)","DOWN","locomotion",8,178,4.5,"SU","V"
"ZF2001 (V3, D07)","DOWN","pigmentation",1,178,0.6,"SU","V"
"ZF2001 (V3, D07)","DOWN","positive regulation of biological process",52,178,29.2,"SU","V"
"ZF2001 (V3, D07)","DOWN","regulation of biological process",99,178,55.6,"SU","V"
"ZF2001 (V3, D07)","DOWN","reproductive process",13,178,7.3,"SU","V"
"ZF2001 (V3, D07)","DOWN","rhythmic process",2,178,1.1,"SU","V"
"ZF2001 (V3, D07)","DOWN","No annotation",46,178,25.8,"SU","V"
"ZF2001 (V3, D07)","UP","interspecies interaction BP",22,243,9.1,"SU","V"
"ZF2001 (V3, D07)","UP","biological regulation",132,243,54.3,"SU","V"
"ZF2001 (V3, D07)","UP","cellular process",169,243,69.5,"SU","V"
"ZF2001 (V3, D07)","UP","immune system process",41,243,16.9,"SU","V"
"ZF2001 (V3, D07)","UP","locomotion",17,243,7,"SU","V"
"ZF2001 (V3, D07)","UP","pigmentation",2,243,0.8,"SU","V"
"ZF2001 (V3, D07)","UP","positive regulation of biological process",72,243,29.6,"SU","V"
"ZF2001 (V3, D07)","UP","regulation of biological process",125,243,51.4,"SU","V"
"ZF2001 (V3, D07)","UP","reproductive process",19,243,7.8,"SU","V"
"ZF2001 (V3, D07)","UP","rhythmic process",3,243,1.2,"SU","V"
"ZF2001 (V3, D07)","UP","No annotation",66,243,27.2,"SU","V"
"ZF2001 (V3, D14)","DOWN","interspecies interaction BP",2,43,4.7,"SU","V"
"ZF2001 (V3, D14)","DOWN","biological regulation",27,43,62.8,"SU","V"
"ZF2001 (V3, D14)","DOWN","cellular process",34,43,79.1,"SU","V"
"ZF2001 (V3, D14)","DOWN","immune system process",7,43,16.3,"SU","V"
"ZF2001 (V3, D14)","DOWN","locomotion",2,43,4.7,"SU","V"
"ZF2001 (V3, D14)","DOWN","positive regulation of biological process",11,43,25.6,"SU","V"
"ZF2001 (V3, D14)","DOWN","regulation of biological process",25,43,58.1,"SU","V"
"ZF2001 (V3, D14)","DOWN","reproductive process",3,43,7,"SU","V"
"ZF2001 (V3, D14)","DOWN","rhythmic process",1,43,2.3,"SU","V"
"ZF2001 (V3, D14)","DOWN","No annotation",11,43,25.6,"SU","V"
"ZF2001 (V3, D14)","UP","interspecies interaction BP",10,216,4.6,"SU","V"
"ZF2001 (V3, D14)","UP","biological regulation",108,216,50,"SU","V"
"ZF2001 (V3, D14)","UP","cellular process",150,216,69.4,"SU","V"
"ZF2001 (V3, D14)","UP","immune system process",23,216,10.6,"SU","V"
"ZF2001 (V3, D14)","UP","locomotion",11,216,5.1,"SU","V"
"ZF2001 (V3, D14)","UP","pigmentation",4,216,1.9,"SU","V"
"ZF2001 (V3, D14)","UP","positive regulation of biological process",60,216,27.8,"SU","V"
"ZF2001 (V3, D14)","UP","regulation of biological process",107,216,49.5,"SU","V"
"ZF2001 (V3, D14)","UP","reproductive process",11,216,5.1,"SU","V"
"ZF2001 (V3, D14)","UP","rhythmic process",2,216,0.9,"SU","V"
"ZF2001 (V3, D14)","UP","No annotation",65,216,30.1,"SU","V"
"ZF2001 (V3, D28)","DOWN","interspecies interaction BP",3,50,6,"SU","V"
"ZF2001 (V3, D28)","DOWN","biological regulation",28,50,56,"SU","V"
"ZF2001 (V3, D28)","DOWN","cellular process",40,50,80,"SU","V"
"ZF2001 (V3, D28)","DOWN","immune system process",6,50,12,"SU","V"
"ZF2001 (V3, D28)","DOWN","locomotion",1,50,2,"SU","V"
"ZF2001 (V3, D28)","DOWN","positive regulation of biological process",14,50,28,"SU","V"
"ZF2001 (V3, D28)","DOWN","regulation of biological process",28,50,56,"SU","V"
"ZF2001 (V3, D28)","DOWN","reproductive process",5,50,10,"SU","V"
"ZF2001 (V3, D28)","DOWN","rhythmic process",2,50,4,"SU","V"
"ZF2001 (V3, D28)","DOWN","No annotation",8,50,16,"SU","V"
"ZF2001 (V3, D28)","UP","interspecies interaction BP",5,62,8.1,"SU","V"
"ZF2001 (V3, D28)","UP","biological regulation",34,62,54.8,"SU","V"
"ZF2001 (V3, D28)","UP","cellular process",45,62,72.6,"SU","V"
"ZF2001 (V3, D28)","UP","immune system process",8,62,12.9,"SU","V"
"ZF2001 (V3, D28)","UP","locomotion",4,62,6.5,"SU","V"
"ZF2001 (V3, D28)","UP","positive regulation of biological process",16,62,25.8,"SU","V"
"ZF2001 (V3, D28)","UP","regulation of biological process",32,62,51.6,"SU","V"
