Source,Target,Type,Id,Label,Weight
HUMORAL ADAPTIVE IMMUNE SYSTEM,FCGR2B,Undirected,6732,,1
Reg. of BP,GPER1,Undirected,6733,,1
SUOX,HIV-1 GAG-POL NEF (D3),Undirected,6734,,1
PALM,"ChAd (V1, D7)",Undirected,6735,,1
Reg. of BP,NRARP,Undirected,6736,,1
TFEC,MONOV INFLUENZA A (D1),Undirected,6737,,1
HK1,Cellular,Undirected,6738,,2
TNFSF10,HPV-VLP (M2),Undirected,6739,,1
STAMARIL (D7),SIDT2,Undirected,6740,,1
"ZF2001 (V3, D07)",GDNF,Undirected,6741,,1
PRPF19,FLUMIST (D3),Undirected,6742,,1
STAMARIL (D10),MYL6B,Undirected,6743,,1
XRCC4,Immune system,Undirected,6744,,1
WETVAX (D5-7),ELF4,Undirected,6745,,1
ARTN,ADAPTIVE IMMUNE SYSTEM,Undirected,6746,,1
NAMPT,MONOV INFLUENZA A (D1),Undirected,6747,,1
GDI2,FLUMIST (D3),Undirected,6748,,1
"ZF2001 (V3, D07)",CADM3,Undirected,6749,,1
NDFIP1,CELLULAR ADAPTIVE IMMUNE SYSTEM,Undirected,6750,,1
GLRA3,"ChAd (V1, D3)",Undirected,6751,,1
ZNF208,"ChAd-BNT (V2, D7)",Undirected,6752,,1
"ChAd-BNT (V3, D1)",ASPHD2,Undirected,6753,,1
HUMORAL ADAPTIVE IMMUNE SYSTEM,DNAJB9,Undirected,6754,,1
WETVAX (D5-7),HUNK,Undirected,6755,,1
PKMYT1,"ChAd-BNT (V2, D7)",Undirected,6756,,1
"ZF2001 (V3, D14)",ERMN,Undirected,6757,,1
Immune system,CACNA1C,Undirected,6758,,1
MEFV,Immune system,Undirected,6759,,2
MBOAT1,FLUARIX FLUVIRIN (D3),Undirected,6760,,1
SELP,Interspecies interaction,Undirected,6761,,1
PATL1,FLUMIST (D3),Undirected,6762,,1
T CELLS,CLEC4G,Undirected,6763,,1
IFI30,"BNT-MO (V3, D1)",Undirected,6764,,1
Reg. of BP,FZD5,Undirected,6765,,1
"ChAd-BNT (V3, D1)",COL16A1,Undirected,6766,,1
ZBP1,"BNT (V2, D1)",Undirected,6767,,1
Reg. of BP,FCER2,Undirected,6768,,2
MYB,Cellular,Undirected,6769,,2
CELLULAR ADAPTIVE IMMUNE SYSTEM,AIRE,Undirected,6770,,1
FLUARIX FLUVIRIN (D3),COQ10B,Undirected,6771,,1
Reg. of BP,CARD8,Undirected,6772,,1
XBP1,Reg. of BP,Undirected,6773,,1
Reg. of BP,CARD9,Undirected,6774,,2
TAB1,MONOV INFLUENZA A (D1),Undirected,6775,,1
PARP14,Cellular,Undirected,6776,,1
FABP6,BNT-I (D3),Undirected,6777,,1
PNP,Metabolism,Undirected,6778,,1
Reg. of BP,IL12RB1,Undirected,6779,,1
Immune system,FPR1,Undirected,6780,,2
Immune system,FPR3,Undirected,6781,,2
Immune system,FPR2,Undirected,6782,,2
PSTPIP2,"ChAd (V2, D1)",Undirected,6783,,1
TUSC2,Immune system,Undirected,6784,,1
CELA1,"BNT-MO (V3, D1)",Undirected,6785,,1
HPV-VLP (M2),EML4,Undirected,6786,,1
DDOST,Cellular,Undirected,6787,,1
MT2A,"ChAd (V1, D3)",Undirected,6788,,1
SENP5,FLUMIST (D3),Undirected,6789,,1
"ChAd (V1, D3)",CNRIP1,Undirected,6790,,1
SECTM1,Immune system,Undirected,6791,,2
"ZF2001 (V3, D07)",CNTNAP4,Undirected,6792,,1
"ZF2001 (V3, D07)",DYDC2,Undirected,6793,,1
"ZF2001 (V3, D07)",CNTNAP5,Undirected,6794,,1
"ZF2001 (V3, D07)",CNTNAP3,Undirected,6795,,1
Immune system,EMP2,Undirected,6796,,1
"ZF2001 (V3, D07)",CACNG6,Undirected,6797,,1
"ZF2001 (V3, D07)",CACNG7,Undirected,6798,,1
ZDHHC11,Interspecies interaction,Undirected,6799,,2
"ZF2001 (V3, D07)",CACNG4,Undirected,6800,,1
YF VAX (ANY),CEBPB,Undirected,6801,,1
"ZF2001 (V3, D07)",CACNG5,Undirected,6802,,1
"ZF2001 (V3, D07)",CACNG8,Undirected,6803,,1
Metabolism,CHD7,Undirected,6804,,2
BAK1,ADAPTIVE IMMUNE SYSTEM,Undirected,6805,,1
LRPAP1,FLUMIST (D3),Undirected,6806,,1
KLRC1,Cellular,Undirected,6807,,2
RGS18,"ChAd-BNT (V2, D7)",Undirected,6808,,1
PHACTR1,FLUMIST (D3),Undirected,6809,,1
STAMARIL (D3),FOXO1,Undirected,6810,,1
RBX1,Cellular,Undirected,6811,,1
USP9Y,BNT-I (D4),Undirected,6812,,1
"ZF2001 (V3, D07)",ATE1,Undirected,6813,,1
"ZF2001 (V3, D14)",SUMO4,Undirected,6814,,1
ISG20,INNATE IMMUNE SYSTEM,Undirected,6815,,1
SDC2,"ChAd (V2, D1)",Undirected,6816,,1
PANDEMRIX (D7),CD8A,Undirected,6817,,1
YF VAX (ANY),RPS15A,Undirected,6818,,1
RFLNB,HIV-1 GAG-POL NEF (D3),Undirected,6819,,1
PANDEMRIX (D7),CD8B,Undirected,6820,,1
PHB2,ADAPTIVE IMMUNE SYSTEM,Undirected,6821,,1
"ZF2001 (V3, D07)",CACNG2,Undirected,6822,,1
FLUARIX FLUVIRIN (D3),DENND10,Undirected,6823,,1
JAGN1,Interspecies interaction,Undirected,6824,,1
GATA3,CELLULAR ADAPTIVE IMMUNE SYSTEM,Undirected,6825,,1
"ChAd-BNT (V3, D1)",APLP1,Undirected,6826,,1
PI3,"ChAd-BNT (V2, D3)",Undirected,6827,,1
TRIM22,STAMARIL (D10),Undirected,6828,,1
STAMARIL (D7),ELAPOR1,Undirected,6829,,1
POLR2M,FLUARIX FLUVIRIN (D3),Undirected,6830,,1
F3,"ChAd-BNT (V3, D1)",Undirected,6831,,1
MYBPC3,"ChAd-BNT (V2, D3)",Undirected,6832,,1
STAMARIL (D10),FOXO1,Undirected,6833,,1
"ZF2001 (V3, D07)",LYVE1,Undirected,6834,,1
Reg. of BP,PLEKHA1,Undirected,6835,,2
PANDEMRIX (D1),MTSS1,Undirected,6836,,1
TRBJ1-6,Immune system,Undirected,6837,,1
STAMARIL (D7),GADD45B,Undirected,6838,,1
"ZF2001 (V3, D07)",GLYATL1,Undirected,6839,,1
LEP,ADAPTIVE IMMUNE SYSTEM,Undirected,6840,,1
FYB1,Cellular,Undirected,6841,,1
SHLD2,HUMORAL ADAPTIVE IMMUNE SYSTEM,Undirected,6842,,1
Reg. of BP,PLA2G3,Undirected,6843,,2
Reg. of BP,ROCK1,Undirected,6844,,1
PPP1R2,FLUARIX FLUVIRIN (D3),Undirected,6845,,1
PIK3R6,Metabolism,Undirected,6846,,1
Reg. of BP,PLA2G6,Undirected,6847,,1
INFLUENZA (D1),F13A1,Undirected,6848,,1
TRIM15,Reg. of BP,Undirected,6849,,2
MYCL,INFLUENZA (D1),Undirected,6850,,1
MR1,INNATE IMMUNE SYSTEM,Undirected,6851,,1
MONOV INFLUENZA A (D3),MATCAP1,Undirected,6852,,1
IL33,Cellular,Undirected,6853,,1
PIGB,FLUMIST (D3),Undirected,6854,,1
Immune system,FCGRT,Undirected,6855,,2
T CELLS,GPR89B,Undirected,6856,,1
T CELLS,GPR89A,Undirected,6857,,1
VIL1,"ChAd-BNT (V2, D3)",Undirected,6858,,1
STAMARIL (D3),ORM1,Undirected,6859,,1
FOXJ3,FLUARIX FLUVIRIN (D3),Undirected,6860,,1
GALNT4,BNT-I (D1),Undirected,6861,,1
TNXB,BNT-I (D1),Undirected,6862,,1
RNF31,Cellular,Undirected,6863,,1
NABP1,"BNT-MO (V3, D1)",Undirected,6864,,1
PARP8,FLUARIX FLUVIRIN (D3),Undirected,6865,,1
SCAMP2,FLUMIST (D3),Undirected,6866,,1
"ZF2001 (V3, D07)",IGFBP5,Undirected,6867,,1
CD180,ADAPTIVE IMMUNE SYSTEM,Undirected,6868,,1
STAMARIL (D10),NUSAP1,Undirected,6869,,1
NR4A1,"ChAd-BNT (V3, D1)",Undirected,6870,,1
SLA2,ADAPTIVE IMMUNE SYSTEM,Undirected,6871,,1
MONOV INFLUENZA A (D1),FCMR,Undirected,6872,,1
Metabolism,CHUK,Undirected,6873,,2
RIMKLB,MONOV INFLUENZA A (D1),Undirected,6874,,1
TBL1X,STAMARIL (D7),Undirected,6875,,1
BNT-I (D1),ACE2,Undirected,6876,,1
UACA,"ChAd-BNT (V3, D1)",Undirected,6877,,1
"ZF2001 (V3, D07)",CACNB4,Undirected,6878,,1
RIN2,"ChAd-BNT (V3, D1)",Undirected,6879,,1
PTX3,INNATE IMMUNE SYSTEM,Undirected,6880,,1
TNFSF10,"ChAd-BNT (V3, D1)",Undirected,6881,,1
MONOV INFLUENZA A (D1),FCN1,Undirected,6882,,1
FKBP1A,Cellular,Undirected,6883,,2
FLUARIX FLUVIRIN (D3),ADAP2,Undirected,6884,,1
GIGYF2,FLUMIST (D3),Undirected,6885,,1
INNATE IMMUNE SYSTEM,FCN2,Undirected,6886,,1
"ChAd (V1, D3)",ALPL,Undirected,6887,,1
VAV1,Reg. of BP,Undirected,6888,,2
MONOV INFLUENZA A (D1),IL12RB1,Undirected,6889,,1
GCNT4,Cellular,Undirected,6890,,1
STAMARIL (D7),LDLR,Undirected,6891,,1
UTY,BNT-I (D4),Undirected,6892,,1
SMN2,FLUARIX FLUVIRIN (D3),Undirected,6893,,1
PIK3R1,FLUARIX FLUVIRIN (D3),Undirected,6894,,1
FLUMIST (D3),EMC7,Undirected,6895,,1
EHD2,"ChAd-BNT (V2, D7)",Undirected,6896,,1
RIOK3,Interspecies interaction,Undirected,6897,,2
S1PR5,"ChAd-BNT (V3, D1)",Undirected,6898,,1
INNATE IMMUNE SYSTEM,FCN1,Undirected,6899,,1
INNATE IMMUNE SYSTEM,BLK,Undirected,6900,,1
PELI1,ADAPTIVE IMMUNE SYSTEM,Undirected,6901,,1
RTN4,FLUMIST (D3),Undirected,6902,,1
ZFYVE27,FLUARIX FLUVIRIN (D3),Undirected,6903,,1
ALCAM,ADAPTIVE IMMUNE SYSTEM,Undirected,6904,,1
WETVAX (D5-7),NFX1,Undirected,6905,,1
WETVAX (D5-7),TNNT1,Undirected,6906,,1
TRBV6-1,Cellular,Undirected,6907,,2
MPZL2,MONOV INFLUENZA A (D1),Undirected,6908,,1
FLUARIX FLUVIRIN (D3),CAP1,Undirected,6909,,1
GABARAPL1,FLUMIST (D3),Undirected,6910,,1
NUB1,Interspecies interaction,Undirected,6911,,1
RXFP4,"ChAd-BNT (V2, D7)",Undirected,6912,,1
T CELLS,CCNB2,Undirected,6913,,1
SEPTIN4,"ChAd (V2, D1)",Undirected,6914,,1
MONOV INFLUENZA A (D3),LAP3,Undirected,6915,,1
SOCS1,"BNT-MO (V3, D1)",Undirected,6916,,1
TLR6,MVA85A (D2),Undirected,6917,,1
PRDM7,"ChAd-BNT (V2, D7)",Undirected,6918,,1
FOXO1,FLUARIX FLUVIRIN (D3),Undirected,6919,,1
SULT1A1,BNT-I (D1),Undirected,6920,,1
SCARNA5,"ChAd-BNT (V3, D1)",Undirected,6921,,1
PSME2,"BNT-MO (V3, D1)",Undirected,6922,,1
UBE2N,Cellular,Undirected,6923,,1
PLEC,CELLULAR ADAPTIVE IMMUNE SYSTEM,Undirected,6924,,1
HYLS1,BNT-I (D1),Undirected,6925,,1
"ZF2001 (V3, D07)",ART4,Undirected,6926,,1
PMEPA1,BNT-I (D1),Undirected,6927,,1
MONOV INFLUENZA A (D1),DDIAS,Undirected,6928,,1
GZMM,ADAPTIVE IMMUNE SYSTEM,Undirected,6929,,1
PRC1,"ChAd (V1, D6)",Undirected,6930,,1
NADK,FLUMIST (D3),Undirected,6931,,1
NYNRIN,BNT-I (D1),Undirected,6932,,1
DAPP1,"BNT-MO (V3, D1)",Undirected,6933,,1
FLUMIST (D3),CBL,Undirected,6934,,1
Reg. of BP,HLA-DRA,Undirected,6935,,2
SMPDL3B,Cellular,Undirected,6936,,1
VAMP5,"ChAd-BNT (V2, D3)",Undirected,6937,,1
RGS1,Interspecies interaction,Undirected,6938,,2
STAMARIL (D7),HMOX1,Undirected,6939,,1
HPV-VLP (M2),CTAGE1,Undirected,6940,,1
WETVAX (D2-4),CEACAM1,Undirected,6941,,1
SRC,Reg. of BP,Undirected,6942,,1
UNC93B1,Reg. of BP,Undirected,6943,,2
KHDRBS1,Cellular,Undirected,6944,,2
NEDD4,Metabolism,Undirected,6945,,1
NK CELL,CD244,Undirected,6946,,1
SBNO2,Reg. of BP,Undirected,6947,,1
USP18,"ChAd-BNT (V3, D1)",Undirected,6948,,1
WETVAX (D5-7),MARCO,Undirected,6949,,1
MONOV INFLUENZA A (D3),ALDH1A1,Undirected,6950,,1
"ZF2001 (V3, D07)",NOMO3,Undirected,6951,,1
"ZF2001 (V3, D14)",PPL,Undirected,6952,,1
HBG2,"ChAd (V1, D7)",Undirected,6953,,1
LACC1,FLUARIX FLUVIRIN (D3),Undirected,6954,,1
T CELLS,CCND3,Undirected,6955,,1
NRXN1,"ChAd (V1, D3)",Undirected,6956,,1
NEUTROPHIL,AZU1,Undirected,6957,,1
VIL1,"ChAd-BNT (V2, D7)",Undirected,6958,,1
TYROBP,Cellular,Undirected,6959,,2
"ChAd-BNT (V3, D1)",AREG,Undirected,6960,,1
TRIM28,Interspecies interaction,Undirected,6961,,1
OSR2,"ChAd (V1, D7)",Undirected,6962,,1
Reg. of BP,ITGA4,Undirected,6963,,1
Reg. of BP,ITGA7,Undirected,6964,,1
"ZF2001 (V3, D07)",CLDN3,Undirected,6965,,1
Reg. of BP,ITGA6,Undirected,6966,,2
TLR8,Interspecies interaction,Undirected,6967,,2
Reg. of BP,ITGA3,Undirected,6968,,1
TMEM229B,MACROPHAGES,Undirected,6969,,1
SCNN1B,Cellular,Undirected,6970,,1
Reg. of BP,ITGA9,Undirected,6971,,2
Immune system,IRAK2,Undirected,6972,,1
Immune system,IRAK1,Undirected,6973,,2
CCL8,ADAPTIVE IMMUNE SYSTEM,Undirected,6974,,1
PLCL2,Metabolism,Undirected,6975,,1
Immune system,IRAK4,Undirected,6976,,2
Immune system,IRAK3,Undirected,6977,,1
GPR174,CELLULAR ADAPTIVE IMMUNE SYSTEM,Undirected,6978,,1
CYP26B1,BNT-I (D4),Undirected,6979,,1
MT2A,MONOV INFLUENZA A (D3),Undirected,6980,,1
FLUMIST (D3),AHCTF1,Undirected,6981,,1
EHD2,"ChAd-BNT (V2, D3)",Undirected,6982,,1
Reg. of BP,ITGAM,Undirected,6983,,2
STAMARIL (D3),PARP10,Undirected,6984,,1
Reg. of BP,ITGAL,Undirected,6985,,2
STAMARIL (D3),PARP12,Undirected,6986,,1
STAMARIL (D7),LDHB,Undirected,6987,,1
SLC15A4,Immune system,Undirected,6988,,2
STAMARIL (D3),PARP14,Undirected,6989,,1
IL27,"BNT (V2, D1)",Undirected,6990,,1
Immune system,ELF4,Undirected,6991,,2
IER3,"ChAd-BNT (V2, D7)",Undirected,6992,,1
Reg. of BP,ITGB8,Undirected,6993,,1
Reg. of BP,CASP1,Undirected,6994,,1
Reg. of BP,ITGB7,Undirected,6995,,1
Reg. of BP,ITGB2,Undirected,6996,,2
INNATE IMMUNE SYSTEM,C1R,Undirected,6997,,1
Reg. of BP,CASP3,Undirected,6998,,1
Reg. of BP,ITGB1,Undirected,6999,,2
PANX2,"ChAd-BNT (V2, D7)",Undirected,7000,,1
Reg. of BP,CASP4,Undirected,7001,,2
INNATE IMMUNE SYSTEM,C1S,Undirected,7002,,1
IFI6,"ChAd-BNT (V2, D3)",Undirected,7003,,1
NAGLU,INNATE IMMUNE SYSTEM,Undirected,7004,,1
INNATE IMMUNE SYSTEM,BPI,Undirected,7005,,1
KMO,HIV-1 GAG-POL NEF (D3),Undirected,7006,,1
STAMARIL (D10),ATF3,Undirected,7007,,1
CEACAM1,BNT-I (D3),Undirected,7008,,1
GNG10,"ChAd-BNT (V2, D3)",Undirected,7009,,1
Reg. of BP,CASP6,Undirected,7010,,2
Reg. of BP,CASP8,Undirected,7011,,1
RNF182,"ChAd-BNT (V2, D7)",Undirected,7012,,1
H3-3B,FLUARIX FLUVIRIN (D3),Undirected,7013,,1
IGHG2,Cellular,Undirected,7014,,1
SLFN11,Reg. of BP,Undirected,7015,,1
HMMR,"ChAd (V1, D7)",Undirected,7016,,1
"ZF2001 (V3, D14)",CSDC2,Undirected,7017,,1
HLA-DRB3,Cellular,Undirected,7018,,2
SLC18A2,Immune system,Undirected,7019,,1
SPTA1,ADAPTIVE IMMUNE SYSTEM,Undirected,7020,,1
Reg. of BP,HLA-DRB4,Undirected,7021,,2
LRRC8A,HUMORAL ADAPTIVE IMMUNE SYSTEM,Undirected,7022,,1
Reg. of BP,HLA-DRB3,Undirected,7023,,2
FOXC1,"BNT-MO (V3, D1)",Undirected,7024,,1
ZOSTAVAX (D1),S1PR5,Undirected,7025,,1
Reg. of BP,HLA-DRB1,Undirected,7026,,2
"ZF2001 (V3, D07)",GCGR,Undirected,7027,,1
"ZF2001 (V3, D07)",CADPS,Undirected,7028,,1
Reg. of BP,HLA-DRB5,Undirected,7029,,2
MT2A,MONOV INFLUENZA A (D1),Undirected,7030,,1
MOG,ADAPTIVE IMMUNE SYSTEM,Undirected,7031,,1
OAS2,Cellular,Undirected,7032,,2
Interspecies interaction,GAS6,Undirected,7033,,1
FLUMIST (D3),CFP,Undirected,7034,,1
FLUARIX FLUVIRIN (D3),DAGLB,Undirected,7035,,1
"ZF2001 (V3, D07)",PTPN3,Undirected,7036,,1
KANSL2,FLUARIX FLUVIRIN (D3),Undirected,7037,,1
IPO7,INNATE IMMUNE SYSTEM,Undirected,7038,,1
"ZF2001 (V3, D07)",PTPN5,Undirected,7039,,1
TRIM49D1,Interspecies interaction,Undirected,7040,,1
GTPBP1,Cellular,Undirected,7041,,2
MKKS,FLUARIX FLUVIRIN (D3),Undirected,7042,,1
"ChAd (V1, D6)",CDC25A,Undirected,7043,,1
"ZF2001 (V3, D07)",FFAR2,Undirected,7044,,1
INNATE IMMUNE SYSTEM,BAX,Undirected,7045,,1
ZNF692,WETVAX (D5-7),Undirected,7046,,1
TDRD7,"BNT (V2, D1)",Undirected,7047,,1
MPEG1,FLUARIX FLUVIRIN (D3),Undirected,7048,,1
RIPK3,ADAPTIVE IMMUNE SYSTEM,Undirected,7049,,1
GNAS,FLUMIST (D3),Undirected,7050,,1
TRBC2,Immune system,Undirected,7051,,2
TREML1,INNATE IMMUNE SYSTEM,Undirected,7052,,1
TUBB4B,NK CELL,Undirected,7053,,1
MESD,FLUARIX FLUVIRIN (D3),Undirected,7054,,1
TRAV30,Interspecies interaction,Undirected,7055,,1
TRIM22,Reg. of BP,Undirected,7056,,2
PRELID1,FLUMIST (D3),Undirected,7057,,1
TREM2,"BNT-MO (V3, D1)",Undirected,7058,,1
NRXN1,"ChAd (V1, D7)",Undirected,7059,,1
NCAM1,"ChAd-BNT (V3, D1)",Undirected,7060,,1
MICB,ADAPTIVE IMMUNE SYSTEM,Undirected,7061,,1
ST3GAL1,HUMORAL ADAPTIVE IMMUNE SYSTEM,Undirected,7062,,1
POLB,Immune system,Undirected,7063,,1
INNATE IMMUNE SYSTEM,IL1RN,Undirected,7064,,1
STAMARIL (D3),CNDP2,Undirected,7065,,1
PPP1CA,FLUARIX FLUVIRIN (D3),Undirected,7066,,1
INNATE IMMUNE SYSTEM,IL23R,Undirected,7067,,1
"ChAd-BNT (V2, D7)",CYP4F3,Undirected,7068,,1
Reg. of BP,MNDA,Undirected,7069,,2
Reg. of BP,AZGP1,Undirected,7070,,1
NLRP1,Cellular,Undirected,7071,,2
CHRNA7,ADAPTIVE IMMUNE SYSTEM,Undirected,7072,,1
FLUARIX FLUVIRIN (D3),CIDEB,Undirected,7073,,1
TOX,ADAPTIVE IMMUNE SYSTEM,Undirected,7074,,1
RSAD2,MONOV INFLUENZA A (D1),Undirected,7075,,1
DDX3Y,BNT-I (D4),Undirected,7076,,1
Metabolism,FCER1G,Undirected,7077,,2
HCAR1,"BNT (V2, D1)",Undirected,7078,,1
CELLULAR ADAPTIVE IMMUNE SYSTEM,CEACAM21,Undirected,7079,,1
GRIK4,"ChAd (V2, D1)",Undirected,7080,,1
SYNPO2,"ChAd (V2, D1)",Undirected,7081,,1
MAPKAPK2,FLUMIST (D3),Undirected,7082,,1
LEF1,Interspecies interaction,Undirected,7083,,2
HUMORAL ADAPTIVE IMMUNE SYSTEM,AKAP17A,Undirected,7084,,1
MAVS,Cellular,Undirected,7085,,1
ZMYND10,MONOV INFLUENZA A (D1),Undirected,7086,,1
WETVAX (D5-7),BCL6,Undirected,7087,,1
INNATE IMMUNE SYSTEM,BCR,Undirected,7088,,1
PPARG,INNATE IMMUNE SYSTEM,Undirected,7089,,1
TBX21,CELLULAR ADAPTIVE IMMUNE SYSTEM,Undirected,7090,,1
SEC14L1,Cellular,Undirected,7091,,2
"ChAd (V2, D1)",CMTR1,Undirected,7092,,1
HPV-VLP (M2),GABBR2,Undirected,7093,,1
"ChAd (V1, D3)",CLDN10,Undirected,7094,,1
HPV-VLP (M2),GABBR1,Undirected,7095,,1
Immune system,ITGB8,Undirected,7096,,1
STAMARIL (D7),SNRPN,Undirected,7097,,1
ZNF835,BNT-I (D3),Undirected,7098,,1
IL2RB,Cellular,Undirected,7099,,2
Immune system,ITGB7,Undirected,7100,,1
CD70,B CELLS,Undirected,7101,,1
STAMARIL (D3),LMBRD1,Undirected,7102,,1
STAMARIL (D3),AP5B1,Undirected,7103,,1
TCF7,Immune system,Undirected,7104,,2
TENT5C,FLUARIX FLUVIRIN (D3),Undirected,7105,,1
CTBS,BNT-I (D3),Undirected,7106,,1
"ZF2001 (V3, D07)",DNAH12,Undirected,7107,,1
KIF25,FLUMIST (D3),Undirected,7108,,1
"ZF2001 (V3, D14)",CFAP20,Undirected,7109,,1
FLUARIX FLUVIRIN (D3),ALDH9A1,Undirected,7110,,1
"ZF2001 (V3, D07)",DNAH11,Undirected,7111,,1
DYSF,Cellular,Undirected,7112,,2
WETVAX (D5-7),MCL1,Undirected,7113,,1
SYBU,"ChAd (V1, D3)",Undirected,7114,,1
PARP1,Cellular,Undirected,7115,,1
NK CELL,GATA3,Undirected,7116,,1
MORC3,Immune system,Undirected,7117,,2
TRIM28,Metabolism,Undirected,7118,,1
MAP2K1,FLUMIST (D3),Undirected,7119,,1
HUMORAL ADAPTIVE IMMUNE SYSTEM,FGF10,Undirected,7120,,1
WDR38,"BNT (V3, D1)",Undirected,7121,,1
SOX13,Metabolism,Undirected,7122,,1
IL18BP,CELLULAR ADAPTIVE IMMUNE SYSTEM,Undirected,7123,,1
MDK,"BNT-MO (V3, D1)",Undirected,7124,,1
HLA-DRB5,ADAPTIVE IMMUNE SYSTEM,Undirected,7125,,1
RMI2,"ChAd (V2, D1)",Undirected,7126,,1
"ChAd (V1, D3)",CPAMD8,Undirected,7127,,1
VAV3,Cellular,Undirected,7128,,2
Immune system,GRB2,Undirected,7129,,2
Metabolism,EDNRB,Undirected,7130,,2
"ZF2001 (V3, D07)",TIE1,Undirected,7131,,1
CH25H,B CELLS,Undirected,7132,,1
GTF2H2C_2,FLUMIST (D3),Undirected,7133,,1
Immune system,DHX9,Undirected,7134,,2
Reg. of BP,DCST1,Undirected,7135,,2
CEP295NL,BNT-I (D1),Undirected,7136,,1
"ZF2001 (V3, D07)",NXT1,Undirected,7137,,1
MARCO,"ChAd-BNT (V3, D1)",Undirected,7138,,1
TICAM1,ARPP,Undirected,7139,,1
ZNF746,FLUMIST (D3),Undirected,7140,,1
SIGLEC10,Cellular,Undirected,7141,,2
YF VAX (ANY),IFITM2,Undirected,7142,,1
YF VAX (ANY),IFITM3,Undirected,7143,,1
YF VAX (ANY),IFITM1,Undirected,7144,,1
CCL20,ANTIVIRAL AND INTERFERON,Undirected,7145,,1
HPV-VLP (M2),CER1,Undirected,7146,,1
RICTOR,FLUARIX FLUVIRIN (D3),Undirected,7147,,1
TLR6,LVS F TULARENSIS (H192),Undirected,7148,,1
RSAD2,CELLULAR ADAPTIVE IMMUNE SYSTEM,Undirected,7149,,1
T CELLS,EPHB1,Undirected,7150,,1
STAMARIL (D7),RPL10A,Undirected,7151,,1
"ChAd (V2, D1)",CACNA1E,Undirected,7152,,1
TBL1X,STAMARIL (D3),Undirected,7153,,1
TRPC6,"ChAd-BNT (V2, D7)",Undirected,7154,,1
"ChAd (V2, D1)",CACNA1A,Undirected,7155,,1
Metabolism,FBXO38,Undirected,7156,,2
FLUARIX FLUVIRIN (D3),CAMK4,Undirected,7157,,1
NCF1,"ChAd (V2, D1)",Undirected,7158,,1
TNS1,HPV-VLP (M2),Undirected,7159,,1
Metabolism,ABL1,Undirected,7160,,1
HPV-VLP (M2),CES1,Undirected,7161,,1
SCN3B,BNT-I (D3),Undirected,7162,,1
LRRC19,Immune system,Undirected,7163,,1
MONOV INFLUENZA A (D1),FBXO6,Undirected,7164,,1
PRMT9,FLUMIST (D3),Undirected,7165,,1
ZFP36L1,Reg. of BP,Undirected,7166,,1
SCRIB,Reg. of BP,Undirected,7167,,1
"ChAd (V1, D7)",CXCR1,Undirected,7168,,1
WETVAX (D5-7),IL15RA,Undirected,7169,,1
"ZF2001 (V3, D07)",MUSK,Undirected,7170,,1
TRBV4-2,Cellular,Undirected,7171,,2
MFNG,HUMORAL ADAPTIVE IMMUNE SYSTEM,Undirected,7172,,1
STAMARIL (D7),RPL13A,Undirected,7173,,1
Metabolism,CSF1R,Undirected,7174,,2
"ZF2001 (V3, D07)",CAMK2B,Undirected,7175,,1
RASSF4,FLUMIST (D3),Undirected,7176,,1
"ChAd (V2, D1)",COL7A1,Undirected,7177,,1
"ZF2001 (V3, D07)",CAMK2A,Undirected,7178,,1
NAIP,Immune system,Undirected,7179,,2
"ZF2001 (V3, D07)",LRP4,Undirected,7180,,1
KIR2DL3,Immune system,Undirected,7181,,2
RELA,Cellular,Undirected,7182,,2
STAMARIL (D3),PI3,Undirected,7183,,1
IDO1,"BNT-MO (V3, D1)",Undirected,7184,,1
"ChAd (V1, D7)",AMPD1,Undirected,7185,,1
PARP12,"ChAd (V2, D1)",Undirected,7186,,1
PDIA3,ARPP,Undirected,7187,,1
INNATE IMMUNE SYSTEM,CREBBP,Undirected,7188,,1
"ZF2001 (V3, D07)",SPSB4,Undirected,7189,,1
MAP2K4,FLUARIX FLUVIRIN (D3),Undirected,7190,,1
GMPR2,FLUARIX FLUVIRIN (D3),Undirected,7191,,1
MIR1271,"ChAd (V1, D7)",Undirected,7192,,1
FMNL2,"ChAd-BNT (V3, D1)",Undirected,7193,,1
PPIB,Cellular,Undirected,7194,,2
BCL2,ADAPTIVE IMMUNE SYSTEM,Undirected,7195,,1
KLRK1,Immune system,Undirected,7196,,2
PGAP1,"ChAd (V2, D1)",Undirected,7197,,1
MALT1,CELLULAR ADAPTIVE IMMUNE SYSTEM,Undirected,7198,,1
RTN1,FLUMIST (D3),Undirected,7199,,1
DUSP2,BNT-I (D3),Undirected,7200,,1
BNT-I (D1),ABCA9,Undirected,7201,,1
SNORD9,"ChAd (V2, D1)",Undirected,7202,,1
Reg. of BP,NLRP1,Undirected,7203,,2
STAMARIL (D10),SHFL,Undirected,7204,,1
"ChAd-BNT (V3, D1)",AQP7,Undirected,7205,,1
Reg. of BP,NLRP2,Undirected,7206,,1
"ZF2001 (V3, D07)",EFHC1,Undirected,7207,,1
Reg. of BP,NLRP3,Undirected,7208,,2
ZNF667,"ChAd (V1, D3)",Undirected,7209,,1
NR6A1,"ChAd (V2, D3)",Undirected,7210,,1
MAGI2,HPV-VLP (M2),Undirected,7211,,1
Metabolism,GPER1,Undirected,7212,,1
Reg. of BP,NQO1,Undirected,7213,,1
