"","genes","infection_vaccination","n_conditions","gene_set_short","process","comparison"
"941","CD3E","Infection",8,NA,"GAMMA-DELTA T CELL ACTIVATION","Infection only"
"942","CD3E","Infection",8,NA,"ALPHA-BETA T CELL ACTIVATION","Infection only"
"943","CD3E","Infection",8,NA,"T CELL RECEPTOR SIGNALING PATHWAY","Infection only"
"944","CD3E","Infection",8,NA,"POSITIVE REGULATION OF CD4-POSITIVE, ALPHA-BETA T CELL PROLIFERATION","Infection only"
"945","CD3G","Infection",9,"Adaptive Immune response","ADAPTIVE IMMUNE RESPONSE","Infection only"
"946","CD3G","Infection",9,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Infection only"
"947","CD3G","Infection",9,"Activation, abT cell","ALPHA-BETA T CELL ACTIVATION","Infection only"
"948","CD3G","Infection",9,"Cellular adaptive immune system","CELLULAR ADAPTIVE IMMUNE SYSTEM","Infection only"
"949","CD3G","Infection",9,"Activation, gdT cell","GAMMA-DELTA T CELL ACTIVATION","Infection only"
"950","CD3G","Infection",9,"Immune system, Process","IMMUNE SYSTEM PROCESS","Infection only"
"951","CD3G","Infection",9,"Selection+, Thymic, T cell","POSITIVE THYMIC T CELL SELECTION","Infection only"
"952","CD3G","Infection",9,"Activation, T cell","T CELL ACTIVATION","Infection only"
"953","CD3G","Infection",9,"Signaling, T cell","T CELL RECEPTOR SIGNALING PATHWAY","Infection only"
"954","CD3G","Infection",9,"T cells","T CELLS","Infection only"
"955","CD4","Infection",6,NA,"ADAPTIVE IMMUNE RESPONSE","Infection only"
"956","CD4","Infection",6,NA,"IMMUNE RESPONSE","Infection only"
"957","CD4","Infection",6,NA,"T CELL DIFFERENTIATION","Infection only"
"958","CD4","Infection",6,NA,"HELPER T CELL ENHANCEMENT OF ADAPTIVE IMMUNE RESPONSE","Infection only"
"959","CD4","Infection",6,NA,"T CELL ACTIVATION","Infection only"
"960","CD4","Infection",6,NA,"T CELL SELECTION","Infection only"
"961","CD4","Infection",6,NA,"POSITIVE REGULATION OF MONOCYTE DIFFERENTIATION","Infection only"
"962","CD4","Infection",6,NA,"REGULATION OF T CELL ACTIVATION","Infection only"
"963","CD4","Infection",6,NA,"POSITIVE REGULATION OF T CELL ACTIVATION","Infection only"
"964","CD40","Infection",6,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Infection only"
"965","CD40","Infection",6,"Antigen recognition processing and presentation","ARPP","Infection only"
"966","CD40","Infection",6,"Activation, B cell","B CELL ACTIVATION","Infection only"
"967","CD40","Infection",6,"Immunity, B cell","B CELL MEDIATED IMMUNITY","Infection only"
"968","CD40","Infection",6,"Proliferation, B cell","B CELL PROLIFERATION","Infection only"
"969","CD40","Infection",6,"B cells","B CELLS","Infection only"
"970","CD40","Infection",6,"Immune system, Process","IMMUNE SYSTEM PROCESS","Infection only"
"971","CD40","Infection",6,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"972","CD40","Infection",6,"Response to Interferon II","RESPONSE TO TYPE II INTERFERON","Infection only"
"973","CD40","Infection",6,"PRR, TLR TRIF dep, Pathway","TRIF-DEPENDENT TOLL-LIKE RECEPTOR SIGNALING PATHWAY","Infection only"
"974","CD40","Infection",6,NA,"IMMUNE RESPONSE-REGULATING CELL SURFACE RECEPTOR SIGNALING PATHWAY","Infection only"
"975","CD40","Infection",6,NA,"POSITIVE REGULATION OF B CELL PROLIFERATION","Infection only"
"976","CD40","Infection",6,NA,"POSITIVE REGULATION OF ISOTYPE SWITCHING TO IGG ISOTYPES","Infection only"
"977","CD40LG","Infection",10,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Infection only"
"978","CD40LG","Infection",10,"Differentiation, B cell","B CELL DIFFERENTIATION","Infection only"
"979","CD40LG","Infection",10,"Proliferation, B cell","B CELL PROLIFERATION","Infection only"
"980","CD40LG","Infection",10,"B cells","B CELLS","Infection only"
"981","CD40LG","Infection",10,"Cellular adaptive immune system","CELLULAR ADAPTIVE IMMUNE SYSTEM","Infection only"
"982","CD40LG","Infection",10,"Humoral adaptive immune system","HUMORAL ADAPTIVE IMMUNE SYSTEM","Infection only"
"983","CD40LG","Infection",10,"Immune response","IMMUNE RESPONSE","Infection only"
"984","CD40LG","Infection",10,"Isotype switching","ISOTYPE SWITCHING","Infection only"
"985","CD40LG","Infection",10,"Costimulation, T cell","T CELL COSTIMULATION","Infection only"
"986","CD40LG","Infection",10,"T cells","T CELLS","Infection only"
"987","CD40LG","Infection",10,NA,"REGULATION OF IMMUNOGLOBULIN PRODUCTION","Infection only"
"988","CD40LG","Infection",10,NA,"POSITIVE REGULATION OF T CELL PROLIFERATION","Infection only"
"989","CD44","Infection",1,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Infection only"
"990","CD44","Infection",1,"Cellular adaptive immune system","CELLULAR ADAPTIVE IMMUNE SYSTEM","Infection only"
"991","CD44","Infection",1,"Activation, T cell","T CELL ACTIVATION","Infection only"
"992","CD44","Infection",1,"T cells","T CELLS","Infection only"
"993","CD5","Infection",7,NA,"T CELL COSTIMULATION","Infection only"
"994","CD55","Infection",7,"Complement, Classical pathway","COMPLEMENT ACTIVATION, CLASSICAL PATHWAY","Infection only"
"995","CD55","Infection",7,"Complement immune system","COMPLEMENT IMMUNE SYSTEM","Infection only"
"996","CD55","Infection",7,"Immune system, Process","IMMUNE SYSTEM PROCESS","Infection only"
"997","CD55","Infection",7,"Innate immune response","INNATE IMMUNE RESPONSE","Infection only"
"998","CD55","Infection",7,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"999","CD55","Infection",7,NA,"POSITIVE REGULATION OF T CELL CYTOKINE PRODUCTION","Infection only"
"1000","CD55","Infection",7,NA,"REGULATION OF COMPLEMENT ACTIVATION","Infection only"
"1001","CD55","Infection",7,NA,"NEGATIVE REGULATION OF COMPLEMENT ACTIVATION","Infection only"
"1002","CD55","Infection",7,NA,"POSITIVE REGULATION OF CD4-POSITIVE, ALPHA-BETA T CELL ACTIVATION","Infection only"
"1003","CD55","Infection",7,NA,"POSITIVE REGULATION OF CD4-POSITIVE, ALPHA-BETA T CELL PROLIFERATION","Infection only"
"1004","CD58","Infection",5,"Antiviral and inteferon","ANTIVIRAL AND INTERFERON","Infection only"
"1005","CD58","Infection",5,"Cellular response to Interferon II","CELLULAR RESPONSE TO TYPE II INTERFERON","Infection only"
"1006","CD58","Infection",5,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"1007","CD59","Infection",9,NA,"NEGATIVE REGULATION OF ACTIVATION OF MEMBRANE ATTACK COMPLEX","Infection only"
"1008","CD59","Infection",9,NA,"REGULATION OF COMPLEMENT ACTIVATION","Infection only"
"1009","CD6","Infection",7,"Acute inflammatory response to antigenic stimulus","ACUTE INFLAMMATORY RESPONSE TO ANTIGENIC STIMULUS","Infection only"
"1010","CD6","Infection",7,"Adaptive Immune response","ADAPTIVE IMMUNE RESPONSE","Infection only"
"1011","CD6","Infection",7,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Infection only"
"1012","CD6","Infection",7,"Humoral adaptive immune system","HUMORAL ADAPTIVE IMMUNE SYSTEM","Infection only"
"1013","CD6","Infection",7,"Immune system, Process","IMMUNE SYSTEM PROCESS","Infection only"
"1014","CD6","Infection",7,"Formation, Immunological synapse","IMMUNOLOGICAL SYNAPSE FORMATION","Infection only"
"1015","CD6","Infection",7,"Inflammation","INFLAMMATION","Infection only"
"1016","CD6","Infection",7,"Innate immune response","INNATE IMMUNE RESPONSE","Infection only"
"1017","CD6","Infection",7,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"1018","CD6","Infection",7,"T cells","T CELLS","Infection only"
"1019","CD6","Infection",7,NA,"POSITIVE REGULATION OF T CELL PROLIFERATION","Infection only"
"1020","CD68","Infection",1,"Inflammation","INFLAMMATION","Infection only"
"1021","CD68","Infection",1,"Inflammatory response, Antigenic stimulus","INFLAMMATORY RESPONSE TO ANTIGENIC STIMULUS","Infection only"
"1022","CD68","Infection",1,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"1023","CD68","Infection",1,NA,"NEGATIVE REGULATION OF DENDRITIC CELL ANTIGEN PROCESSING AND PRESENTATION","Infection only"
"1024","CD7","Infection",3,"Adaptive Immune response","ADAPTIVE IMMUNE RESPONSE","Infection only"
"1025","CD7","Infection",3,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Infection only"
"1026","CD7","Infection",3,"Cellular adaptive immune system","CELLULAR ADAPTIVE IMMUNE SYSTEM","Infection only"
"1027","CD7","Infection",3,"Immune response","IMMUNE RESPONSE","Infection only"
"1028","CD7","Infection",3,"Immune system, Process","IMMUNE SYSTEM PROCESS","Infection only"
"1029","CD7","Infection",3,"Activation, T cell","T CELL ACTIVATION","Infection only"
"1030","CD7","Infection",3,"T cells","T CELLS","Infection only"
"1031","CD74","Infection",2,NA,"T CELL ACTIVATION INVOLVED IN IMMUNE RESPONSE","Infection only"
"1032","CD74","Infection",2,NA,"POSITIVE REGULATION OF DENDRITIC CELL ANTIGEN PROCESSING AND PRESENTATION","Infection only"
"1033","CD74","Infection",2,NA,"POSITIVE REGULATION OF TYPE 2 IMMUNE RESPONSE","Infection only"
"1034","CD74","Infection",2,NA,"NEGATIVE REGULATION OF MATURE B CELL APOPTOTIC PROCESS","Infection only"
"1035","CD74","Infection",2,NA,"IMMUNOGLOBULIN MEDIATED IMMUNE RESPONSE","Infection only"
"1036","CD74","Infection",2,NA,"ANTIGEN PROCESSING AND PRESENTATION","Infection only"
"1037","CD74","Infection",2,NA,"ANTIGEN PROCESSING AND PRESENTATION OF ENDOGENOUS ANTIGEN","Infection only"
"1038","CD74","Infection",2,NA,"ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS II","Infection only"
"1039","CD74","Infection",2,NA,"POSITIVE REGULATION OF B CELL PROLIFERATION","Infection only"
"1040","CD74","Infection",2,NA,"RESPONSE TO TYPE II INTERFERON","Infection only"
"1041","CD74","Infection",2,NA,"REGULATION OF MACROPHAGE ACTIVATION","Infection only"
"1042","CD74","Infection",2,NA,"T CELL SELECTION","Infection only"
"1043","CD74","Infection",2,NA,"POSITIVE THYMIC T CELL SELECTION","Infection only"
"1044","CD74","Infection",2,NA,"NEGATIVE THYMIC T CELL SELECTION","Infection only"
"1045","CD74","Infection",2,NA,"NEGATIVE REGULATION OF T CELL DIFFERENTIATION","Infection only"
"1046","CD74","Infection",2,NA,"POSITIVE REGULATION OF T CELL DIFFERENTIATION","Infection only"
"1047","CD74","Infection",2,NA,"POSITIVE REGULATION OF MONOCYTE DIFFERENTIATION","Infection only"
"1048","CD74","Infection",2,NA,"POSITIVE REGULATION OF MACROPHAGE CYTOKINE PRODUCTION","Infection only"
"1049","CD74","Infection",2,NA,"POSITIVE REGULATION OF NEUTROPHIL CHEMOTAXIS","Infection only"
"1050","CD79A","Infection",4,"Adaptive Immune response","ADAPTIVE IMMUNE RESPONSE","Infection only"
"1051","CD79A","Infection",4,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Infection only"
"1052","CD79A","Infection",4,"Activation, B cell","B CELL ACTIVATION","Infection only"
"1053","CD79A","Infection",4,"Differentiation, B cell","B CELL DIFFERENTIATION","Infection only"
"1054","CD79A","Infection",4,"Proliferation, B cell","B CELL PROLIFERATION","Infection only"
"1055","CD79A","Infection",4,"Signaling, BCR, B cell","B CELL RECEPTOR SIGNALING PATHWAY","Infection only"
"1056","CD79A","Infection",4,"B cells","B CELLS","Infection only"
"1057","CD79A","Infection",4,"Immune system, Process","IMMUNE SYSTEM PROCESS","Infection only"
"1058","CD79B","Infection",5,"Adaptive Immune response","ADAPTIVE IMMUNE RESPONSE","Infection only"
"1059","CD79B","Infection",5,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Infection only"
"1060","CD79B","Infection",5,"Differentiation, B cell","B CELL DIFFERENTIATION","Infection only"
"1061","CD79B","Infection",5,"Signaling, BCR, B cell","B CELL RECEPTOR SIGNALING PATHWAY","Infection only"
"1062","CD79B","Infection",5,"B cells","B CELLS","Infection only"
"1063","CD79B","Infection",5,"Immune response","IMMUNE RESPONSE","Infection only"
"1064","CD79B","Infection",5,"Immune system, Process","IMMUNE SYSTEM PROCESS","Infection only"
"1065","CD81","Infection",4,"Adaptive Immune response","ADAPTIVE IMMUNE RESPONSE","Infection only"
"1066","CD81","Infection",4,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Infection only"
"1067","CD81","Infection",4,"B cells","B CELLS","Infection only"
"1068","CD81","Infection",4,"Costimulation, CD4+, abT cell","CD4-POSITIVE, ALPHA-BETA T CELL COSTIMULATION","Infection only"
"1069","CD81","Infection",4,"Cellular adaptive immune system","CELLULAR ADAPTIVE IMMUNE SYSTEM","Infection only"
"1070","CD81","Infection",4,"Humoral adaptive immune system","HUMORAL ADAPTIVE IMMUNE SYSTEM","Infection only"
"1071","CD81","Infection",4,"Ig, Humoral immune response","HUMORAL IMMUNE RESPONSE MEDIATED BY CIRCULATING IMMUNOGLOBULIN","Infection only"
"1072","CD81","Infection",4,"Immune system, Process","IMMUNE SYSTEM PROCESS","Infection only"
"1073","CD81","Infection",4,"Formation, Immunological synapse","IMMUNOLOGICAL SYNAPSE FORMATION","Infection only"
"1074","CD81","Infection",4,"T cells","T CELLS","Infection only"
"1075","CD81","Infection",4,NA,"POSITIVE REGULATION OF INFLAMMATORY RESPONSE TO ANTIGENIC STIMULUS","Infection only"
"1076","CD81","Infection",4,NA,"POSITIVE REGULATION OF B CELL PROLIFERATION","Infection only"
"1077","CD81","Infection",4,NA,"POSITIVE REGULATION OF B CELL RECEPTOR SIGNALING PATHWAY","Infection only"
"1078","CD81","Infection",4,NA,"POSITIVE REGULATION OF T CELL RECEPTOR SIGNALING PATHWAY","Infection only"
"1079","CD81","Infection",4,NA,"REGULATION OF MACROPHAGE MIGRATION","Infection only"
"1080","CD81","Infection",4,NA,"POSITIVE REGULATION OF ADAPTIVE IMMUNE MEMORY RESPONSE","Infection only"
"1081","CD81","Infection",4,NA,"POSITIVE REGULATION OF T-HELPER 2 CELL CYTOKINE PRODUCTION","Infection only"
"1082","CD81","Infection",4,NA,"POSITIVE REGULATION OF CD4-POSITIVE, ALPHA-BETA T CELL PROLIFERATION","Infection only"
"1083","CD81","Infection",4,NA,"POSITIVE REGULATION OF T CELL ACTIVATION VIA T CELL RECEPTOR CONTACT WITH ANTIGEN BOUND TO MHC MOLECULE ON ANTIGEN PRESENTING CELL","Infection only"
"1084","CD83","Infection",1,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Infection only"
"1085","CD83","Infection",1,"Differentiation, CD4+ T cell","CD4-POSITIVE, ALPHA-BETA T CELL DIFFERENTIATION","Infection only"
"1086","CD83","Infection",1,"Cellular adaptive immune system","CELLULAR ADAPTIVE IMMUNE SYSTEM","Infection only"
"1087","CD83","Infection",1,"Humoral immune response","HUMORAL IMMUNE RESPONSE","Infection only"
"1088","CD83","Infection",1,"T cells","T CELLS","Infection only"
"1089","CD83","Infection",1,NA,"POSITIVE REGULATION OF CD4-POSITIVE, ALPHA-BETA T CELL DIFFERENTIATION","Infection only"
"1090","CD84","Infection",3,NA,"ADAPTIVE IMMUNE RESPONSE","Infection only"
"1091","CD84","Infection",3,NA,"NEGATIVE REGULATION OF MAST CELL ACTIVATION","Infection only"
"1092","CD84","Infection",3,NA,"T CELL ACTIVATION","Infection only"
"1093","CD84","Infection",3,NA,"REGULATION OF MACROPHAGE ACTIVATION","Infection only"
"1094","CD84","Infection",3,NA,"NEGATIVE REGULATION OF MAST CELL DEGRANULATION","Infection only"
"1095","CD84","Infection",3,NA,"INNATE IMMUNE RESPONSE","Infection only"
"1096","CD86","Infection",2,"Adaptive Immune response","ADAPTIVE IMMUNE RESPONSE","Infection only"
"1097","CD86","Infection",2,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Infection only"
"1098","CD86","Infection",2,"Activation, B cell","B CELL ACTIVATION","Infection only"
"1099","CD86","Infection",2,"B cells","B CELLS","Infection only"
"1100","CD86","Infection",2,"Cellular adaptive immune system","CELLULAR ADAPTIVE IMMUNE SYSTEM","Infection only"
"1101","CD86","Infection",2,"Immune response","IMMUNE RESPONSE","Infection only"
"1102","CD86","Infection",2,"Immune system, Process","IMMUNE SYSTEM PROCESS","Infection only"
"1103","CD86","Infection",2,"Activation, T cell","T CELL ACTIVATION","Infection only"
"1104","CD86","Infection",2,"Costimulation, T cell","T CELL COSTIMULATION","Infection only"
"1105","CD86","Infection",2,"T cells","T CELLS","Infection only"
"1106","CD86","Infection",2,NA,"POSITIVE REGULATION OF IMMUNOGLOBULIN PRODUCTION","Infection only"
"1107","CD86","Infection",2,NA,"POSITIVE REGULATION OF T CELL PROLIFERATION","Infection only"
"1108","CD86","Infection",2,NA,"NEGATIVE REGULATION OF T CELL PROLIFERATION","Infection only"
"1109","CD86","Infection",2,NA,"POSITIVE REGULATION OF T-HELPER 2 CELL DIFFERENTIATION","Infection only"
"1110","CD8A","Infection",4,NA,"ADAPTIVE IMMUNE RESPONSE","Infection only"
"1111","CD8A","Infection",4,NA,"T CELL MEDIATED IMMUNITY","Infection only"
"1112","CD8A","Infection",4,NA,"IMMUNE RESPONSE","Infection only"
"1113","CD8A","Infection",4,NA,"ANTIGEN PROCESSING AND PRESENTATION","Infection only"
"1114","CD8A","Infection",4,NA,"T CELL ACTIVATION","Infection only"
"1115","CD8A","Infection",4,NA,"CYTOTOXIC T CELL DIFFERENTIATION","Infection only"
"1116","CD8A","Infection",4,NA,"T CELL RECEPTOR SIGNALING PATHWAY","Infection only"
"1117","CD8B","Infection",4,"Adaptive Immune response","ADAPTIVE IMMUNE RESPONSE","Infection only"
"1118","CD8B","Infection",4,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Infection only"
"1119","CD8B","Infection",4,"Cellular adaptive immune system","CELLULAR ADAPTIVE IMMUNE SYSTEM","Infection only"
"1120","CD8B","Infection",4,"Immune response","IMMUNE RESPONSE","Infection only"
"1121","CD8B","Infection",4,"Immune system, Process","IMMUNE SYSTEM PROCESS","Infection only"
"1122","CD8B","Infection",4,"Activation, T cell","T CELL ACTIVATION","Infection only"
"1123","CD8B","Infection",4,"Signaling, T cell","T CELL RECEPTOR SIGNALING PATHWAY","Infection only"
"1124","CD8B","Infection",4,"T cells","T CELLS","Infection only"
"1125","CD9","Infection",4,NA,"REGULATION OF MACROPHAGE MIGRATION","Infection only"
"1126","CD96","Infection",7,NA,"OTHER","Infection only"
"1127","CD96","Infection",7,"Immune response","IMMUNE RESPONSE","Infection only"
"1128","CD96","Infection",7,NA,"NEGATIVE REGULATION OF NATURAL KILLER CELL CYTOKINE PRODUCTION","Infection only"
"1129","CDC42","Infection",2,"Antiviral and inteferon","ANTIVIRAL AND INTERFERON","Infection only"
"1130","CDC42","Infection",2,"Cellular response to Interferon II","CELLULAR RESPONSE TO TYPE II INTERFERON","Infection only"
"1131","CDC42","Infection",2,"Migration, Dendritic cell","DENDRITIC CELL MIGRATION","Infection only"
"1132","CDC42","Infection",2,"Dendritic cells","DENDRITIC CELLS","Infection only"
"1133","CDC42","Infection",2,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"1134","CDC42EP2","Infection",3,NA,"CELLULAR RESPONSE TO TYPE II INTERFERON","Infection only"
"1135","CDC42EP4","Infection",4,NA,"CELLULAR RESPONSE TO TYPE II INTERFERON","Infection only"
"1136","CDH26","Infection",2,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Infection only"
"1137","CDH26","Infection",2,"Activation, CD4+, abT cell","CD4-POSITIVE, ALPHA-BETA T CELL ACTIVATION","Infection only"
"1138","CDH26","Infection",2,"Cellular adaptive immune system","CELLULAR ADAPTIVE IMMUNE SYSTEM","Infection only"
"1139","CDH26","Infection",2,"T cells","T CELLS","Infection only"
"1140","CDK6","Infection",3,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Infection only"
"1141","CDK6","Infection",3,"Cellular adaptive immune system","CELLULAR ADAPTIVE IMMUNE SYSTEM","Infection only"
"1142","CDK6","Infection",3,"Differentiation, T cell, Thymus","T CELL DIFFERENTIATION IN THYMUS","Infection only"
"1143","CDK6","Infection",3,"T cells","T CELLS","Infection only"
"1144","CDK6","Infection",3,NA,"NEGATIVE REGULATION OF MYELOID CELL DIFFERENTIATION","Infection only"
"1145","CDK6","Infection",3,NA,"REGULATION OF ERYTHROCYTE DIFFERENTIATION","Infection only"
"1146","CDK6","Infection",3,NA,"NEGATIVE REGULATION OF MONOCYTE DIFFERENTIATION","Infection only"
"1147","CDKN1A","Infection",2,NA,"POSITIVE REGULATION OF B CELL PROLIFERATION","Infection only"
"1148","CDKN2B","Infection",5,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Infection only"
"1149","CDKN2B","Infection",5,"Humoral adaptive immune system","HUMORAL ADAPTIVE IMMUNE SYSTEM","Infection only"
"1150","CDKN2B","Infection",5,"Development, Spleen","SPLEEN DEVELOPMENT","Infection only"
"1151","CEACAM1","Infection",5,NA,"NEGATIVE REGULATION OF T CELL MEDIATED CYTOTOXICITY","Infection only"
"1152","CEACAM1","Infection",5,NA,"REGULATION OF IMMUNE SYSTEM PROCESS","Infection only"
"1153","CEACAM1","Infection",5,NA,"NEGATIVE REGULATION OF NATURAL KILLER CELL MEDIATED CYTOTOXICITY DIRECTED AGAINST TUMOR CELL TARGET","Infection only"
"1154","CEACAM1","Infection",5,NA,"NEGATIVE REGULATION OF GRANULOCYTE DIFFERENTIATION","Infection only"
"1155","CEACAM1","Infection",5,NA,"NEGATIVE REGULATION OF CYTOTOXIC T CELL DEGRANULATION","Infection only"
"1156","CEACAM1","Infection",5,NA,"NEGATIVE REGULATION OF T CELL RECEPTOR SIGNALING PATHWAY","Infection only"
"1157","CEACAM4","Infection",5,NA,"REGULATION OF IMMUNE SYSTEM PROCESS","Infection only"
"1158","CEACAM7","Infection",6,NA,"REGULATION OF IMMUNE SYSTEM PROCESS","Infection only"
"1159","CEACAM8","Infection",9,NA,"OTHER","Infection only"
"1160","CEACAM8","Infection",9,"Immune response","IMMUNE RESPONSE","Infection only"
"1161","CEBPA","Infection",3,NA,"POSITIVE REGULATION OF MACROPHAGE ACTIVATION","Infection only"
"1162","CEBPA","Infection",3,NA,"NEGATIVE REGULATION OF HEMATOPOIETIC STEM CELL PROLIFERATION","Infection only"
"1163","CEBPB","Infection",4,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Infection only"
"1164","CEBPB","Infection",4,"Cellular adaptive immune system","CELLULAR ADAPTIVE IMMUNE SYSTEM","Infection only"
"1165","CEBPB","Infection",4,"Formation, Granuloma","GRANULOMA FORMATION","Infection only"
"1166","CEBPB","Infection",4,"Immune response","IMMUNE RESPONSE","Infection only"
"1167","CEBPB","Infection",4,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"1168","CEBPB","Infection",4,"Activation, Th1 cell","T-HELPER 1 CELL ACTIVATION","Infection only"
"1169","CEBPB","Infection",4,NA,"NEGATIVE REGULATION OF T CELL PROLIFERATION","Infection only"
"1170","CEBPB","Infection",4,NA,"REGULATION OF OSTEOCLAST DIFFERENTIATION","Infection only"
"1171","CEBPB","Infection",4,NA,"REGULATION OF DENDRITIC CELL DIFFERENTIATION","Infection only"
"1172","CFB","Infection",3,"Activation, Complement","COMPLEMENT ACTIVATION","Infection only"
"1173","CFB","Infection",3,"Complement, Alternative pathway","COMPLEMENT ACTIVATION, ALTERNATIVE PATHWAY","Infection only"
"1174","CFB","Infection",3,"Complement immune system","COMPLEMENT IMMUNE SYSTEM","Infection only"
"1175","CFB","Infection",3,"Immune system, Process","IMMUNE SYSTEM PROCESS","Infection only"
"1176","CFB","Infection",3,"Innate immune response","INNATE IMMUNE RESPONSE","Infection only"
"1177","CFB","Infection",3,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"1178","CFD","Infection",3,"Activation, Complement","COMPLEMENT ACTIVATION","Infection only"
"1179","CFD","Infection",3,"Complement, Alternative pathway","COMPLEMENT ACTIVATION, ALTERNATIVE PATHWAY","Infection only"
"1180","CFD","Infection",3,"Complement immune system","COMPLEMENT IMMUNE SYSTEM","Infection only"
"1181","CFD","Infection",3,"Immune system, Process","IMMUNE SYSTEM PROCESS","Infection only"
"1182","CFD","Infection",3,"Innate immune response","INNATE IMMUNE RESPONSE","Infection only"
"1183","CFD","Infection",3,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"1184","CFH","Infection",2,"Activation, Complement","COMPLEMENT ACTIVATION","Infection only"
"1185","CFH","Infection",2,"Complement, Alternative pathway","COMPLEMENT ACTIVATION, ALTERNATIVE PATHWAY","Infection only"
"1186","CFH","Infection",2,"Complement immune system","COMPLEMENT IMMUNE SYSTEM","Infection only"
"1187","CFH","Infection",2,"Immune system, Process","IMMUNE SYSTEM PROCESS","Infection only"
"1188","CFH","Infection",2,"Innate immune response","INNATE IMMUNE RESPONSE","Infection only"
"1189","CFH","Infection",2,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"1190","CFH","Infection",2,NA,"REGULATION OF COMPLEMENT ACTIVATION","Infection only"
"1191","CFH","Infection",2,NA,"REGULATION OF COMPLEMENT ACTIVATION, ALTERNATIVE PATHWAY","Infection only"
"1192","CFLAR","Infection",8,NA,"ERYTHROCYTE DIFFERENTIATION","Infection only"
"1193","CFP","Infection",2,"Activation, Complement","COMPLEMENT ACTIVATION","Infection only"
"1194","CFP","Infection",2,"Complement, Alternative pathway","COMPLEMENT ACTIVATION, ALTERNATIVE PATHWAY","Infection only"
"1195","CFP","Infection",2,"Complement immune system","COMPLEMENT IMMUNE SYSTEM","Infection only"
"1196","CFP","Infection",2,"Immune response","IMMUNE RESPONSE","Infection only"
"1197","CFP","Infection",2,"Immune system, Process","IMMUNE SYSTEM PROCESS","Infection only"
"1198","CFP","Infection",2,"Innate immune response","INNATE IMMUNE RESPONSE","Infection only"
"1199","CFP","Infection",2,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"1200","CFP","Infection",2,NA,"POSITIVE REGULATION OF IMMUNE RESPONSE","Infection only"
"1201","CFP","Infection",2,NA,"POSITIVE REGULATION OF OPSONIZATION","Infection only"
"1202","CH25H","Infection",7,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Infection only"
"1203","CH25H","Infection",7,"Chemotaxis, B cell","B CELL CHEMOTAXIS","Infection only"
"1204","CH25H","Infection",7,"B cells","B CELLS","Infection only"
"1205","CH25H","Infection",7,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"1206","CH25H","Infection",7,"Response to Interferon I","RESPONSE TO TYPE I INTERFERON","Infection only"
"1207","CHD7","Infection",5,NA,"T CELL DIFFERENTIATION","Infection only"
"1208","CHGA","Infection",5,"Innate immune response","INNATE IMMUNE RESPONSE","Infection only"
"1209","CHGA","Infection",5,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"1210","CHGA","Infection",5,"Mast cell","MAST CELL","Infection only"
"1211","CHGA","Infection",5,"Activation, Mast cell","MAST CELL ACTIVATION","Infection only"
"1212","CHGA","Infection",5,"Chemotaxis, Mast cell","MAST CELL CHEMOTAXIS","Infection only"
"1213","CHGA","Infection",5,"Degranulation, Mast cell","MAST CELL DEGRANULATION","Infection only"
"1214","CHID1","Infection",2,NA,"INNATE IMMUNE RESPONSE","Infection only"
"1215","CHIT1","Infection",9,NA,"IMMUNE RESPONSE","Infection only"
"1216","CHST2","Infection",1,NA,"POSITIVE REGULATION OF LEUKOCYTE TETHERING OR ROLLING","Infection only"
"1217","CHUK","Infection",5,NA,"IMMUNE RESPONSE","Infection only"
