"","genes","infection_vaccination","n_conditions","comparison"
"3314","NAPA","Infection",4,"Infection only"
"3315","NAPA-AS1","Infection",4,"Infection only"
"3316","NAT10","Infection",4,"Infection only"
"3317","NAT8L","Infection",4,"Infection only"
"3318","NAV1","Infection",4,"Infection only"
"3319","NCAPG","Infection",4,"Infection only"
"3320","NEIL3","Infection",4,"Infection only"
"3321","NEO1","Infection",4,"Infection only"
"3322","NETO1","Infection",4,"Infection only"
"3323","NETO2","Infection",4,"Infection only"
"3324","NEXN","Infection",4,"Infection only"
"3325","NKAPP1","Infection",4,"Infection only"
"3326","NOP14","Infection",4,"Infection only"
"3327","NOS1AP","Infection",4,"Infection only"
"3328","NOSTRIN","Infection",4,"Infection only"
"3329","NOTCH4","Infection",4,"Infection only"
"3330","NOXA1","Infection",4,"Infection only"
"3331","NPTN","Infection",4,"Infection only"
"3332","NPY6R","Infection",4,"Infection only"
"3333","NR5A2","Infection",4,"Infection only"
"3334","NRN1","Infection",4,"Infection only"
"3335","NSFL1C","Infection",4,"Infection only"
"3336","NT5DC3","Infection",4,"Infection only"
"3337","NUDT16P1","Infection",4,"Infection only"
"3338","NUF2","Infection",4,"Infection only"
"3339","NUMA1","Infection",4,"Infection only"
"3340","NXT1","Infection",4,"Infection only"
"3341","OAZ1","Infection",4,"Infection only"
"3342","OAZ3","Infection",4,"Infection only"
"3343","OGFOD3","Infection",4,"Infection only"
"3344","OLMALINC","Infection",4,"Infection only"
"3345","OR10G2","Infection",4,"Infection only"
"3346","OR6N1","Infection",4,"Infection only"
"3347","ORAI2","Infection",4,"Infection only"
"3348","ORC1","Infection",4,"Infection only"
"3349","ORC6","Infection",4,"Infection only"
"3350","OSBPL1A","Infection",4,"Infection only"
"3351","OSCAR","Infection",4,"Infection only"
"3352","OSGEPL1","Infection",4,"Infection only"
"3353","OTOGL","Infection",4,"Infection only"
"3354","P2RY6","Infection",4,"Infection only"
"3355","PACS2","Infection",4,"Infection only"
"3356","PAIP2B","Infection",4,"Infection only"
"3357","PARVA","Infection",4,"Infection only"
"3358","PATL2","Infection",4,"Infection only"
"3359","PBX4","Infection",4,"Infection only"
"3360","PCBP2-OT1","Infection",4,"Infection only"
"3361","PCDHGC3","Infection",4,"Infection only"
"3362","PCSK6","Infection",4,"Infection only"
"3363","PDE1B","Infection",4,"Infection only"
"3364","PDE3A","Infection",4,"Infection only"
"3365","PEAR1","Infection",4,"Infection only"
"3366","PECR","Infection",4,"Infection only"
"3367","PEMT","Infection",4,"Infection only"
"3368","PER1","Infection",4,"Infection only"
"3369","PER3","Infection",4,"Infection only"
"3370","PET100","Infection",4,"Infection only"
"3371","PEX3","Infection",4,"Infection only"
"3372","PFKL","Infection",4,"Infection only"
"3373","PFN1P2","Infection",4,"Infection only"
"3374","PHF1","Infection",4,"Infection only"
"3375","PHLDB2","Infection",4,"Infection only"
"3376","PHLDB3","Infection",4,"Infection only"
"3377","PHLPP2","Infection",4,"Infection only"
"3378","PIGL","Infection",4,"Infection only"
"3379","PIM1","Infection",4,"Infection only"
"3380","PINX1","Infection",4,"Infection only"
"3381","PIPSL","Infection",4,"Infection only"
"3382","PITPNA-AS1","Infection",4,"Infection only"
"3383","PKD2L1","Infection",4,"Infection only"
"3384","PKD2L2","Infection",4,"Infection only"
"3385","PKMYT1","Infection",4,"Infection only"
"3386","PLA2G4B","Infection",4,"Infection only"
"3387","PLBD1-AS1","Infection",4,"Infection only"
"3388","PLCH2","Infection",4,"Infection only"
"3389","PLD1","Infection",4,"Infection only"
"3390","PLK1","Infection",4,"Infection only"
"3391","PMEPA1","Infection",4,"Infection only"
"3392","PNPLA8","Infection",4,"Infection only"
"3393","POF1B","Infection",4,"Infection only"
"3394","POLE4","Infection",4,"Infection only"
"3395","POLR1A","Infection",4,"Infection only"
"3396","POLR1E","Infection",4,"Infection only"
"3397","POU5F1P3","Infection",4,"Infection only"
"3398","POU6F1","Infection",4,"Infection only"
"3399","PPEF1","Infection",4,"Infection only"
"3400","PPFIA4","Infection",4,"Infection only"
"3401","PPIE","Infection",4,"Infection only"
"3402","PPIEL","Infection",4,"Infection only"
"3403","PPP1R16B","Infection",4,"Infection only"
"3404","PPP1R3D","Infection",4,"Infection only"
"3405","PPP1R3F","Infection",4,"Infection only"
"3406","PPP1R9A","Infection",4,"Infection only"
"3407","PPP4R1L","Infection",4,"Infection only"
"3408","PQLC2","Infection",4,"Infection only"
"3409","PRAP1","Infection",4,"Infection only"
"3410","PRKAR2B","Infection",4,"Infection only"
"3411","PRKG2","Infection",4,"Infection only"
"3412","PROK2","Infection",4,"Infection only"
"3413","PRR13","Infection",4,"Infection only"
"3414","PRR29","Infection",4,"Infection only"
"3415","PRSS1","Infection",4,"Infection only"
"3416","PRSS33","Infection",4,"Infection only"
"3417","PSMD6-AS2","Infection",4,"Infection only"
"3418","PTCD2","Infection",4,"Infection only"
"3419","PTCRA","Infection",4,"Infection only"
"3420","PTGR1","Infection",4,"Infection only"
"3421","PTK7","Infection",4,"Infection only"
"3422","PTPDC1","Infection",4,"Infection only"
"3423","PTPRQ","Infection",4,"Infection only"
"3424","RAB5A","Infection",4,"Infection only"
"3425","RAB7A","Infection",4,"Infection only"
"3426","RAD54B","Infection",4,"Infection only"
"3427","RASSF6","Infection",4,"Infection only"
"3428","RBFOX3","Infection",4,"Infection only"
"3429","RBM44","Infection",4,"Infection only"
"3430","RBMS1","Infection",4,"Infection only"
"3431","RBMS3","Infection",4,"Infection only"
"3432","REC8","Infection",4,"Infection only"
"3433","RELT","Infection",4,"Infection only"
"3434","RETN","Infection",4,"Infection only"
"3435","RGS18","Infection",4,"Infection only"
"3436","RHOBTB2","Infection",4,"Infection only"
"3437","RLN3","Infection",4,"Infection only"
"3438","RNF126","Infection",4,"Infection only"
"3439","RNF144A","Infection",4,"Infection only"
"3440","RNF157","Infection",4,"Infection only"
"3441","RNF207","Infection",4,"Infection only"
"3442","RNF217","Infection",4,"Infection only"
"3443","ROPN1B","Infection",4,"Infection only"
"3444","RPAP1","Infection",4,"Infection only"
"3445","RPL13AP6","Infection",4,"Infection only"
"3446","RPL4","Infection",4,"Infection only"
"3447","RPLP0","Infection",4,"Infection only"
"3448","RPS8","Infection",4,"Infection only"
"3449","RRAD","Infection",4,"Infection only"
"3450","RRP15","Infection",4,"Infection only"
"3451","RRP1B","Infection",4,"Infection only"
"3452","RSBN1","Infection",4,"Infection only"
"3453","RTEL1","Infection",4,"Infection only"
"3454","RTKN2","Infection",4,"Infection only"
"3455","RTN1","Infection",4,"Infection only"
"3456","RUFY4","Infection",4,"Infection only"
"3457","SAMD3","Infection",4,"Infection only"
"3458","SBF2","Infection",4,"Infection only"
"3459","SCN3B","Infection",4,"Infection only"
"3460","SCN9A","Infection",4,"Infection only"
"3461","SCPEP1","Infection",4,"Infection only"
"3462","SCUBE3","Infection",4,"Infection only"
"3463","SEC14L1P1","Infection",4,"Infection only"
"3464","SEC61G","Infection",4,"Infection only"
"3465","SELT","Infection",4,"Infection only"
"3466","SEMA3A","Infection",4,"Infection only"
"3467","SEPHS2","Infection",4,"Infection only"
"3468","SEPP1","Infection",4,"Infection only"
"3469","SEPT4","Infection",4,"Infection only"
"3470","SERINC2","Infection",4,"Infection only"
"3471","SERPINA1","Infection",4,"Infection only"
"3472","SERTAD3","Infection",4,"Infection only"
"3473","SFTPB","Infection",4,"Infection only"
"3474","SGSM2","Infection",4,"Infection only"
"3475","SH3GL1P2","Infection",4,"Infection only"
"3476","SH3RF3","Infection",4,"Infection only"
"3477","SIDT1","Infection",4,"Infection only"
"3478","SIGLEC8","Infection",4,"Infection only"
"3479","SKA3","Infection",4,"Infection only"
"3480","SLC12A7","Infection",4,"Infection only"
"3481","SLC18A1","Infection",4,"Infection only"
"3482","SLC24A3","Infection",4,"Infection only"
"3483","SLC25A23","Infection",4,"Infection only"
"3484","SLC25A3","Infection",4,"Infection only"
"3485","SLC25A44","Infection",4,"Infection only"
"3486","SLC28A1","Infection",4,"Infection only"
"3487","SLC29A1","Infection",4,"Infection only"
"3488","SLC2A5","Infection",4,"Infection only"
"3489","SLC2A8","Infection",4,"Infection only"
"3490","SLC3A2","Infection",4,"Infection only"
"3491","SLC4A4","Infection",4,"Infection only"
"3492","SLC6A13","Infection",4,"Infection only"
"3493","SLC6A8","Infection",4,"Infection only"
"3494","SLC9B1","Infection",4,"Infection only"
"3495","SLFN5","Infection",4,"Infection only"
"3496","SLITRK4","Infection",4,"Infection only"
"3497","SMCO4","Infection",4,"Infection only"
"3498","SNORA28","Infection",4,"Infection only"
"3499","SNORD1A","Infection",4,"Infection only"
"3500","SNX29P1","Infection",4,"Infection only"
"3501","SOCS3","Infection",4,"Infection only"
"3502","SOGA3","Infection",4,"Infection only"
"3503","SPAG4","Infection",4,"Infection only"
"3504","SPATA5L1","Infection",4,"Infection only"
"3505","SPDYC","Infection",4,"Infection only"
"3506","SPDYE3","Infection",4,"Infection only"
"3507","SPNS3","Infection",4,"Infection only"
"3508","SPTLC2","Infection",4,"Infection only"
"3509","SPTSSA","Infection",4,"Infection only"
"3510","SRA1","Infection",4,"Infection only"
"3511","SRGAP2","Infection",4,"Infection only"
"3512","SSBP4","Infection",4,"Infection only"
"3513","SSTR3","Infection",4,"Infection only"
"3514","ST3GAL5-AS1","Infection",4,"Infection only"
"3515","ST8SIA1","Infection",4,"Infection only"
"3516","STAG3L5P-PVRIG2P-PILRB","Infection",4,"Infection only"
"3517","STAR","Infection",4,"Infection only"
"3518","STARD10","Infection",4,"Infection only"
"3519","STAT4","Infection",4,"Infection only"
"3520","STK16","Infection",4,"Infection only"
"3521","STK32C","Infection",4,"Infection only"
"3522","STON1","Infection",4,"Infection only"
"3523","STOX1","Infection",4,"Infection only"
"3524","STX1B","Infection",4,"Infection only"
"3525","STXBP5-AS1","Infection",4,"Infection only"
"3526","SUPT3H","Infection",4,"Infection only"
"3527","SWT1","Infection",4,"Infection only"
"3528","SYAP1","Infection",4,"Infection only"
"3529","SYCE1L","Infection",4,"Infection only"
"3530","SYDE2","Infection",4,"Infection only"
"3531","SYTL2","Infection",4,"Infection only"
"3532","TAS2R3","Infection",4,"Infection only"
"3533","TBRG4","Infection",4,"Infection only"
"3534","TCTEX1D4","Infection",4,"Infection only"
"3535","TCTN2","Infection",4,"Infection only"
"3536","TENM4","Infection",4,"Infection only"
"3537","TET2-AS1","Infection",4,"Infection only"
"3538","TFR2","Infection",4,"Infection only"
"3539","TGFBI","Infection",4,"Infection only"
"3540","THEM5","Infection",4,"Infection only"
"3541","THEM6","Infection",4,"Infection only"
"3542","THOP1","Infection",4,"Infection only"
"3543","TIAM1","Infection",4,"Infection only"
"3544","TICRR","Infection",4,"Infection only"
"3545","TIMM10","Infection",4,"Infection only"
"3546","TIPARP","Infection",4,"Infection only"
"3547","TK1","Infection",4,"Infection only"
"3548","TMEM117","Infection",4,"Infection only"
"3549","TMEM170B","Infection",4,"Infection only"
"3550","TMEM191A","Infection",4,"Infection only"
"3551","TMEM201","Infection",4,"Infection only"
"3552","TMEM234","Infection",4,"Infection only"
"3553","TMEM245","Infection",4,"Infection only"
"3554","TMEM254-AS1","Infection",4,"Infection only"
"3555","TMEM255B","Infection",4,"Infection only"
"3556","TMEM258","Infection",4,"Infection only"
"3557","TMEM263","Infection",4,"Infection only"
"3558","TMEM40","Infection",4,"Infection only"
"3559","TMEM44-AS1","Infection",4,"Infection only"
"3560","TMEM52B","Infection",4,"Infection only"
"3561","TMEM59","Infection",4,"Infection only"
"3562","TNC","Infection",4,"Infection only"
"3563","TNRC6C","Infection",4,"Infection only"
"3564","TP53INP2","Infection",4,"Infection only"
"3565","TP73","Infection",4,"Infection only"
"3566","TPBG","Infection",4,"Infection only"
"3567","TPM1","Infection",4,"Infection only"
"3568","TRAF5","Infection",4,"Infection only"
"3569","TREX2","Infection",4,"Infection only"
"3570","TRG-AS1","Infection",4,"Infection only"
"3571","TRIM2","Infection",4,"Infection only"
"3572","TRIM47","Infection",4,"Infection only"
"3573","TRIM69","Infection",4,"Infection only"
"3574","TRIP13","Infection",4,"Infection only"
"3575","TRMT1","Infection",4,"Infection only"
"3576","TRMT13","Infection",4,"Infection only"
"3577","TRO","Infection",4,"Infection only"
"3578","TROAP","Infection",4,"Infection only"
"3579","TRPC1","Infection",4,"Infection only"
"3580","TRPM6","Infection",4,"Infection only"
"3581","TRPV5","Infection",4,"Infection only"
"3582","TRUB2","Infection",4,"Infection only"
"3583","TSHZ2","Infection",4,"Infection only"
"3584","TSKS","Infection",4,"Infection only"
"3585","TSNAX","Infection",4,"Infection only"
"3586","TSPEAR","Infection",4,"Infection only"
"3587","TSPEAR-AS1","Infection",4,"Infection only"
"3588","TSPEAR-AS2","Infection",4,"Infection only"
"3589","TTLL2","Infection",4,"Infection only"
"3590","TTYH2","Infection",4,"Infection only"
"3591","TUBGCP6","Infection",4,"Infection only"
"3592","TXLNB","Infection",4,"Infection only"
"3593","TXNIP","Infection",4,"Infection only"
"3594","TXNRD3","Infection",4,"Infection only"
"3595","UBA6-AS1","Infection",4,"Infection only"
"3596","UBE2F","Infection",4,"Infection only"
"3597","UBE2L6","Infection",4,"Infection only"
"3598","UBL5","Infection",4,"Infection only"
"3599","UGT2B11","Infection",4,"Infection only"
"3600","UMPS","Infection",4,"Infection only"
"3601","URB1","Infection",4,"Infection only"
"3602","USP11","Infection",4,"Infection only"
"3603","USP13","Infection",4,"Infection only"
"3604","USP36","Infection",4,"Infection only"
"3605","USP44","Infection",4,"Infection only"
"3606","USP53","Infection",4,"Infection only"
"3607","UST","Infection",4,"Infection only"
"3608","UTP3","Infection",4,"Infection only"
"3609","VAMP5","Infection",4,"Infection only"
"3610","VWA8-AS1","Infection",4,"Infection only"
"3611","WASF3","Infection",4,"Infection only"
"3612","WDR17","Infection",4,"Infection only"
"3613","WDR3","Infection",4,"Infection only"
"3614","WDR54","Infection",4,"Infection only"
"3615","WDR83OS","Infection",4,"Infection only"
"3616","WDR86-AS1","Infection",4,"Infection only"
"3617","WEE2","Infection",4,"Infection only"
"3618","YBX3","Infection",4,"Infection only"
"3619","YJEFN3","Infection",4,"Infection only"
"3620","YY2","Infection",4,"Infection only"
"3621","ZAR1L","Infection",4,"Infection only"
"3622","ZBTB9","Infection",4,"Infection only"
"3623","ZCCHC18","Infection",4,"Infection only"
"3624","ZDHHC17","Infection",4,"Infection only"
"3625","ZFAND5","Infection",4,"Infection only"
"3626","ZFHX2","Infection",4,"Infection only"
"3627","ZFP1","Infection",4,"Infection only"
"3628","ZFP2","Infection",4,"Infection only"
"3629","ZFP28","Infection",4,"Infection only"
"3630","ZFP3","Infection",4,"Infection only"
"3631","ZFP30","Infection",4,"Infection only"
"3632","ZFR2","Infection",4,"Infection only"
"3633","ZNF154","Infection",4,"Infection only"
"3634","ZNF17","Infection",4,"Infection only"
"3635","ZNF19","Infection",4,"Infection only"
"3636","ZNF205-AS1","Infection",4,"Infection only"
"3637","ZNF208","Infection",4,"Infection only"
"3638","ZNF223","Infection",4,"Infection only"
"3639","ZNF23","Infection",4,"Infection only"
"3640","ZNF257","Infection",4,"Infection only"
"3641","ZNF268","Infection",4,"Infection only"
"3642","ZNF275","Infection",4,"Infection only"
"3643","ZNF285","Infection",4,"Infection only"
"3644","ZNF286A","Infection",4,"Infection only"
"3645","ZNF304","Infection",4,"Infection only"
"3646","ZNF32-AS2","Infection",4,"Infection only"
"3647","ZNF324B","Infection",4,"Infection only"
"3648","ZNF354C","Infection",4,"Infection only"
"3649","ZNF396","Infection",4,"Infection only"
"3650","ZNF41","Infection",4,"Infection only"
"3651","ZNF43","Infection",4,"Infection only"
"3652","ZNF471","Infection",4,"Infection only"
"3653","ZNF48","Infection",4,"Infection only"
"3654","ZNF497","Infection",4,"Infection only"
"3655","ZNF543","Infection",4,"Infection only"
"3656","ZNF550","Infection",4,"Infection only"
"3657","ZNF555","Infection",4,"Infection only"
"3658","ZNF582","Infection",4,"Infection only"
"3659","ZNF599","Infection",4,"Infection only"
"3660","ZNF607","Infection",4,"Infection only"
"3661","ZNF618","Infection",4,"Infection only"
"3662","ZNF624","Infection",4,"Infection only"
"3663","ZNF680","Infection",4,"Infection only"
"3664","ZNF681","Infection",4,"Infection only"
"3665","ZNF684","Infection",4,"Infection only"
"3666","ZNF708","Infection",4,"Infection only"
"3667","ZNF765","Infection",4,"Infection only"
"3668","ZNF772","Infection",4,"Infection only"
"3669","ZNF773","Infection",4,"Infection only"
"3670","ZNF780B","Infection",4,"Infection only"
"3671","ZNF782","Infection",4,"Infection only"
"3672","ZNF785","Infection",4,"Infection only"
"3673","ZNF793","Infection",4,"Infection only"
"3674","ZNF827","Infection",4,"Infection only"
"3675","ZNF835","Infection",4,"Infection only"
"3676","ZNF84","Infection",4,"Infection only"
"3677","ZNHIT6","Infection",4,"Infection only"
"3678","ZNRF3","Infection",4,"Infection only"
"3679","ZSCAN18","Infection",4,"Infection only"
"3680","ZSCAN21","Infection",4,"Infection only"
"3681","ZSCAN31","Infection",4,"Infection only"
"3682","ZWINT","Infection",4,"Infection only"
"3683","ADAMTSL4-AS1","Vaccination",4,"Vaccination only"
"3684","ALDH1L2","Vaccination",4,"Vaccination only"
"3685","APOBEC3B-AS1","Vaccination",4,"Vaccination only"
"3686","ASPHD2","Vaccination",4,"Vaccination only"
"3687","BIRC5","Vaccination",4,"Vaccination only"
"3688","C1orf167","Vaccination",4,"Vaccination only"
"3689","CACNA1A","Vaccination",4,"Vaccination only"
"3690","CAPNS2","Vaccination",4,"Vaccination only"
"3691","CCL4L2","Vaccination",4,"Vaccination only"
"3692","CDC25A","Vaccination",4,"Vaccination only"
"3693","CDK1","Vaccination",4,"Vaccination only"
"3694","CENPM","Vaccination",4,"Vaccination only"
"3695","CEP55","Vaccination",4,"Vaccination only"
"3696","CFAP58-DT","Vaccination",4,"Vaccination only"
"3697","CHRM4","Vaccination",4,"Vaccination only"
"3698","CHRNA2","Vaccination",4,"Vaccination only"
"3699","CIBAR1","Vaccination",4,"Vaccination only"
"3700","CLSPN","Vaccination",4,"Vaccination only"
"3701","CNTNAP3","Vaccination",4,"Vaccination only"
"3702","COL1A1","Vaccination",4,"Vaccination only"
"3703","CSRNP1","Vaccination",4,"Vaccination only"
"3704","DISC1","Vaccination",4,"Vaccination only"
"3705","DISC1-IT1","Vaccination",4,"Vaccination only"
"3706","DNM1P33","Vaccination",4,"Vaccination only"
"3707","DYNLT1","Vaccination",4,"Vaccination only"
"3708","ENAM","Vaccination",4,"Vaccination only"
"3709","FBXO27","Vaccination",4,"Vaccination only"
"3710","FER1L4","Vaccination",4,"Vaccination only"
"3711","GADD45G","Vaccination",4,"Vaccination only"
"3712","GK","Vaccination",4,"Vaccination only"
"3713","GLDN","Vaccination",4,"Vaccination only"
"3714","GSDMC","Vaccination",4,"Vaccination only"
"3715","H2BP2","Vaccination",4,"Vaccination only"
"3716","HBA1","Vaccination",4,"Vaccination only"
"3717","HBA2","Vaccination",4,"Vaccination only"
"3718","HMGB1P3","Vaccination",4,"Vaccination only"
"3719","HTR3A","Vaccination",4,"Vaccination only"
"3720","IGHEP2","Vaccination",4,"Vaccination only"
"3721","ITGB4","Vaccination",4,"Vaccination only"
"3722","JPH4","Vaccination",4,"Vaccination only"
"3723","KAZN","Vaccination",4,"Vaccination only"
"3724","KCNJ15","Vaccination",4,"Vaccination only"
"3725","KCNN3","Vaccination",4,"Vaccination only"
"3726","KIAA1958","Vaccination",4,"Vaccination only"
"3727","KIF23","Vaccination",4,"Vaccination only"
"3728","KLHDC7B-DT","Vaccination",4,"Vaccination only"
"3729","KREMEN1","Vaccination",4,"Vaccination only"
"3730","LINC01415","Vaccination",4,"Vaccination only"
"3731","LINC01703","Vaccination",4,"Vaccination only"
"3732","LINC02033","Vaccination",4,"Vaccination only"
"3733","LINC02287","Vaccination",4,"Vaccination only"
"3734","MAFF","Vaccination",4,"Vaccination only"
"3735","MARCKS","Vaccination",4,"Vaccination only"
"3736","MIR130AHG","Vaccination",4,"Vaccination only"
"3737","MIR3679","Vaccination",4,"Vaccination only"
"3738","MIR601","Vaccination",4,"Vaccination only"
"3739","MIXL1","Vaccination",4,"Vaccination only"
"3740","MMADHCP2","Vaccination",4,"Vaccination only"
"3741","MSANTD1","Vaccination",4,"Vaccination only"
"3742","MTCO1P11","Vaccination",4,"Vaccination only"
"3743","MTCO2P11","Vaccination",4,"Vaccination only"
"3744","MTND1P11","Vaccination",4,"Vaccination only"
"3745","MTND6P5","Vaccination",4,"Vaccination only"
"3746","MUC1","Vaccination",4,"Vaccination only"
"3747","MYBPHL","Vaccination",4,"Vaccination only"
"3748","NAIPP3","Vaccination",4,"Vaccination only"
"3749","NAV3","Vaccination",4,"Vaccination only"
"3750","NDUFB4P11","Vaccination",4,"Vaccination only"
"3751","NECAB2","Vaccination",4,"Vaccination only"
"3752","NES","Vaccination",4,"Vaccination only"
"3753","NEXN","Vaccination",4,"Vaccination only"
"3754","NGFR","Vaccination",4,"Vaccination only"
"3755","NOV","Vaccination",4,"Vaccination only"
"3756","OR51R1P","Vaccination",4,"Vaccination only"
"3757","OR56B1","Vaccination",4,"Vaccination only"
"3758","OR7E140P","Vaccination",4,"Vaccination only"
"3759","OTX1","Vaccination",4,"Vaccination only"
"3760","PDLIM4","Vaccination",4,"Vaccination only"
"3761","PHGR1","Vaccination",4,"Vaccination only"
"3762","PKN2-AS1","Vaccination",4,"Vaccination only"
"3763","PLSCR2","Vaccination",4,"Vaccination only"
"3764","PTGS2","Vaccination",4,"Vaccination only"
"3765","RCBTB2P1","Vaccination",4,"Vaccination only"
"3766","RNF213-AS1","Vaccination",4,"Vaccination only"
"3767","RNU1-4","Vaccination",4,"Vaccination only"
"3768","RNU6-275P","Vaccination",4,"Vaccination only"
"3769","RNU7-41P","Vaccination",4,"Vaccination only"
"3770","RNY1","Vaccination",4,"Vaccination only"
"3771","RPL21P123","Vaccination",4,"Vaccination only"
"3772","RRAD","Vaccination",4,"Vaccination only"
"3773","RXFP4","Vaccination",4,"Vaccination only"
"3774","SCARNA1","Vaccination",4,"Vaccination only"
"3775","SDC1","Vaccination",4,"Vaccination only"
"3776","SDC2","Vaccination",4,"Vaccination only"
"3777","SHCBP1","Vaccination",4,"Vaccination only"
"3778","SIGLEC16","Vaccination",4,"Vaccination only"
"3779","SIRPD","Vaccination",4,"Vaccination only"
"3780","SNORA23","Vaccination",4,"Vaccination only"
"3781","SNORA49","Vaccination",4,"Vaccination only"
"3782","SNORA74A","Vaccination",4,"Vaccination only"
"3783","SNORA74B","Vaccination",4,"Vaccination only"
"3784","SNORD3A","Vaccination",4,"Vaccination only"
"3785","SNORD67","Vaccination",4,"Vaccination only"
"3786","SPP1","Vaccination",4,"Vaccination only"
"3787","STAT4-AS1","Vaccination",4,"Vaccination only"
"3788","STX11","Vaccination",4,"Vaccination only"
"3789","TCF3P1","Vaccination",4,"Vaccination only"
"3790","TIMM10","Vaccination",4,"Vaccination only"
"3791","TSHR","Vaccination",4,"Vaccination only"
"3792","TTC26","Vaccination",4,"Vaccination only"
"3793","TYMS","Vaccination",4,"Vaccination only"
"3794","UNC5A","Vaccination",4,"Vaccination only"
"3795","VPS9D1","Vaccination",4,"Vaccination only"
"3796","XXYLT1-AS2","Vaccination",4,"Vaccination only"
"3797","ZCCHC2","Vaccination",4,"Vaccination only"
"3798","FBXO39","Infection",4,"Infection and vaccination"
"3799","FBXO6","Infection",4,"Infection and vaccination"
"3800","HELZ2","Infection",4,"Infection and vaccination"
"3801","LGALS3BP","Infection",4,"Infection and vaccination"
"3802","RUFY4","Infection",4,"Infection and vaccination"
"3803","UBE2L6","Infection",4,"Infection and vaccination"
"3804","VAMP5","Infection",4,"Infection and vaccination"
"3805","APOL6","Infection",4,"Infection and vaccination"
"3806","NRN1","Infection",4,"Infection and vaccination"
"3807","P2RY6","Infection",4,"Infection and vaccination"
"3808","SMCO4","Infection",4,"Infection and vaccination"
"3809","KPTN","Infection",4,"Infection and vaccination"
"3810","PKMYT1","Infection",4,"Infection and vaccination"
"3811","ADAMTSL4-AS1","Vaccination",4,"Infection and vaccination"
"3812","ALDH1L2","Vaccination",4,"Infection and vaccination"
"3813","APOBEC3B-AS1","Vaccination",4,"Infection and vaccination"
"3814","BIRC5","Vaccination",4,"Infection and vaccination"
"3815","CACNA1A","Vaccination",4,"Infection and vaccination"
"3816","CACNA1A","Infection",4,"Infection and vaccination"
"3817","CAPNS2","Vaccination",4,"Infection and vaccination"
"3818","CCL4L2","Vaccination",4,"Infection and vaccination"
"3819","CDC25A","Vaccination",4,"Infection and vaccination"
"3820","CDK1","Vaccination",4,"Infection and vaccination"
"3821","CDK1","Infection",4,"Infection and vaccination"
"3822","CENPM","Vaccination",4,"Infection and vaccination"
"3823","CENPM","Infection",4,"Infection and vaccination"
"3824","CEP55","Vaccination",4,"Infection and vaccination"
"3825","CHRM4","Vaccination",4,"Infection and vaccination"
"3826","CHRNA2","Vaccination",4,"Infection and vaccination"
"3827","CLSPN","Vaccination",4,"Infection and vaccination"
"3828","CNTNAP3","Vaccination",4,"Infection and vaccination"
"3829","COL1A1","Vaccination",4,"Infection and vaccination"
"3830","CSRNP1","Vaccination",4,"Infection and vaccination"
"3831","CSRNP1","Infection",4,"Infection and vaccination"
"3832","DISC1","Vaccination",4,"Infection and vaccination"
"3833","DISC1-IT1","Vaccination",4,"Infection and vaccination"
"3834","DYNLT1","Vaccination",4,"Infection and vaccination"
"3835","ENAM","Vaccination",4,"Infection and vaccination"
"3836","FER1L4","Vaccination",4,"Infection and vaccination"
"3837","FER1L4","Infection",4,"Infection and vaccination"
"3838","GADD45G","Vaccination",4,"Infection and vaccination"
"3839","GK","Vaccination",4,"Infection and vaccination"
"3840","GLDN","Vaccination",4,"Infection and vaccination"
"3841","GSDMC","Vaccination",4,"Infection and vaccination"
"3842","HBA1","Vaccination",4,"Infection and vaccination"
"3843","HBA2","Vaccination",4,"Infection and vaccination"
"3844","HBA2","Infection",4,"Infection and vaccination"
"3845","HTR3A","Vaccination",4,"Infection and vaccination"
"3846","JPH4","Vaccination",4,"Infection and vaccination"
"3847","KAZN","Vaccination",4,"Infection and vaccination"
"3848","KCNJ15","Vaccination",4,"Infection and vaccination"
"3849","KCNN3","Vaccination",4,"Infection and vaccination"
"3850","KIAA1958","Vaccination",4,"Infection and vaccination"
"3851","KIF23","Vaccination",4,"Infection and vaccination"
"3852","KREMEN1","Vaccination",4,"Infection and vaccination"
"3853","MAFF","Vaccination",4,"Infection and vaccination"
"3854","MARCKS","Vaccination",4,"Infection and vaccination"
"3855","MIR3679","Vaccination",4,"Infection and vaccination"
"3856","MIR601","Vaccination",4,"Infection and vaccination"
"3857","MIXL1","Vaccination",4,"Infection and vaccination"
"3858","MUC1","Vaccination",4,"Infection and vaccination"
"3859","MYBPHL","Vaccination",4,"Infection and vaccination"
"3860","NAV3","Vaccination",4,"Infection and vaccination"
"3861","NECAB2","Vaccination",4,"Infection and vaccination"
"3862","NES","Vaccination",4,"Infection and vaccination"
"3863","NEXN","Vaccination",4,"Infection and vaccination"
"3864","NEXN","Infection",4,"Infection and vaccination"
"3865","PDLIM4","Vaccination",4,"Infection and vaccination"
"3866","PHGR1","Vaccination",4,"Infection and vaccination"
"3867","PKN2-AS1","Vaccination",4,"Infection and vaccination"
"3868","PLSCR2","Vaccination",4,"Infection and vaccination"
"3869","PTGS2","Vaccination",4,"Infection and vaccination"
"3870","RRAD","Vaccination",4,"Infection and vaccination"
"3871","RRAD","Infection",4,"Infection and vaccination"
"3872","RXFP4","Vaccination",4,"Infection and vaccination"
"3873","SDC1","Vaccination",4,"Infection and vaccination"
"3874","SDC2","Vaccination",4,"Infection and vaccination"
